bucket_open_et,segment_id,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,spans_segment_boundary,complete
2026-07-08 20:15:00-04:00,25,29562.5,29567.75,29518.25,29561.75,2694,15,2026-07-08 20:15:00-04:00,2026-07-08 20:29:00-04:00,2026-07-08 20:30:00-04:00,2026-07-08 20:30:00-04:00,15m,False,True
2026-07-08 20:30:00-04:00,25,29563.25,29583.0,29512.5,29519.5,2282,15,2026-07-08 20:30:00-04:00,2026-07-08 20:44:00-04:00,2026-07-08 20:45:00-04:00,2026-07-08 20:45:00-04:00,15m,False,True
2026-07-08 20:45:00-04:00,25,29515.75,29562.75,29486.25,29503.5,2522,15,2026-07-08 20:45:00-04:00,2026-07-08 20:59:00-04:00,2026-07-08 21:00:00-04:00,2026-07-08 21:00:00-04:00,15m,False,True
2026-07-08 21:00:00-04:00,25,29504.5,29538.25,29462.75,29513.25,2748,15,2026-07-08 21:00:00-04:00,2026-07-08 21:14:00-04:00,2026-07-08 21:15:00-04:00,2026-07-08 21:15:00-04:00,15m,False,True
2026-07-08 21:15:00-04:00,25,29514.5,29555.25,29500.5,29529.0,1685,15,2026-07-08 21:15:00-04:00,2026-07-08 21:29:00-04:00,2026-07-08 21:30:00-04:00,2026-07-08 21:30:00-04:00,15m,False,True
2026-07-08 21:30:00-04:00,25,29531.75,29541.25,29506.75,29531.0,1204,15,2026-07-08 21:30:00-04:00,2026-07-08 21:44:00-04:00,2026-07-08 21:45:00-04:00,2026-07-08 21:45:00-04:00,15m,False,True
2026-07-08 21:45:00-04:00,25,29531.5,29537.5,29444.5,29449.0,2670,15,2026-07-08 21:45:00-04:00,2026-07-08 21:59:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 22:00:00-04:00,15m,False,True
2026-07-08 22:00:00-04:00,25,29450.5,29529.5,29426.0,29527.5,3046,15,2026-07-08 22:00:00-04:00,2026-07-08 22:14:00-04:00,2026-07-08 22:15:00-04:00,2026-07-08 22:15:00-04:00,15m,False,True
2026-07-08 22:15:00-04:00,25,29525.75,29579.0,29517.25,29533.75,2725,15,2026-07-08 22:15:00-04:00,2026-07-08 22:29:00-04:00,2026-07-08 22:30:00-04:00,2026-07-08 22:30:00-04:00,15m,False,True
2026-07-08 22:30:00-04:00,25,29534.0,29544.25,29460.0,29462.5,2004,15,2026-07-08 22:30:00-04:00,2026-07-08 22:44:00-04:00,2026-07-08 22:45:00-04:00,2026-07-08 22:45:00-04:00,15m,False,True
2026-07-08 22:45:00-04:00,25,29462.25,29467.75,29419.0,29429.5,2610,15,2026-07-08 22:45:00-04:00,2026-07-08 22:59:00-04:00,2026-07-08 23:00:00-04:00,2026-07-08 23:00:00-04:00,15m,False,True
2026-07-08 23:00:00-04:00,25,29430.75,29449.75,29405.0,29423.25,1930,15,2026-07-08 23:00:00-04:00,2026-07-08 23:14:00-04:00,2026-07-08 23:15:00-04:00,2026-07-08 23:15:00-04:00,15m,False,True
2026-07-08 23:15:00-04:00,25,29424.0,29481.5,29396.5,29480.0,1571,15,2026-07-08 23:15:00-04:00,2026-07-08 23:29:00-04:00,2026-07-08 23:30:00-04:00,2026-07-08 23:30:00-04:00,15m,False,True
2026-07-08 23:30:00-04:00,25,29480.75,29514.5,29474.25,29512.25,1440,15,2026-07-08 23:30:00-04:00,2026-07-08 23:44:00-04:00,2026-07-08 23:45:00-04:00,2026-07-08 23:45:00-04:00,15m,False,True
2026-07-08 23:45:00-04:00,25,29510.25,29518.0,29497.0,29506.75,773,15,2026-07-08 23:45:00-04:00,2026-07-08 23:59:00-04:00,2026-07-09 00:00:00-04:00,2026-07-09 00:00:00-04:00,15m,False,True
2026-07-09 00:00:00-04:00,25,29507.5,29518.0,29495.0,29500.5,763,15,2026-07-09 00:00:00-04:00,2026-07-09 00:14:00-04:00,2026-07-09 00:15:00-04:00,2026-07-09 00:15:00-04:00,15m,False,True
2026-07-09 00:15:00-04:00,25,29499.75,29518.5,29462.5,29474.5,1056,15,2026-07-09 00:15:00-04:00,2026-07-09 00:29:00-04:00,2026-07-09 00:30:00-04:00,2026-07-09 00:30:00-04:00,15m,False,True
2026-07-09 00:30:00-04:00,25,29475.0,29539.0,29475.0,29536.25,1679,15,2026-07-09 00:30:00-04:00,2026-07-09 00:44:00-04:00,2026-07-09 00:45:00-04:00,2026-07-09 00:45:00-04:00,15m,False,True
2026-07-09 00:45:00-04:00,25,29536.25,29558.5,29521.5,29554.0,964,15,2026-07-09 00:45:00-04:00,2026-07-09 00:59:00-04:00,2026-07-09 01:00:00-04:00,2026-07-09 01:00:00-04:00,15m,False,True
2026-07-09 01:00:00-04:00,25,29554.75,29597.0,29508.75,29566.75,2525,15,2026-07-09 01:00:00-04:00,2026-07-09 01:14:00-04:00,2026-07-09 01:15:00-04:00,2026-07-09 01:15:00-04:00,15m,False,True
2026-07-09 01:15:00-04:00,25,29567.5,29577.75,29512.5,29515.0,1642,15,2026-07-09 01:15:00-04:00,2026-07-09 01:29:00-04:00,2026-07-09 01:30:00-04:00,2026-07-09 01:30:00-04:00,15m,False,True
2026-07-09 01:30:00-04:00,25,29513.75,29539.5,29474.75,29536.5,1622,15,2026-07-09 01:30:00-04:00,2026-07-09 01:44:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:45:00-04:00,15m,False,True
2026-07-09 01:45:00-04:00,25,29537.25,29610.0,29532.5,29607.75,2093,15,2026-07-09 01:45:00-04:00,2026-07-09 01:59:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:00:00-04:00,15m,False,True
2026-07-09 02:00:00-04:00,25,29606.5,29616.5,29572.25,29606.25,2228,15,2026-07-09 02:00:00-04:00,2026-07-09 02:14:00-04:00,2026-07-09 02:15:00-04:00,2026-07-09 02:15:00-04:00,15m,False,True
2026-07-09 02:15:00-04:00,25,29603.5,29644.25,29602.5,29628.5,2034,15,2026-07-09 02:15:00-04:00,2026-07-09 02:29:00-04:00,2026-07-09 02:30:00-04:00,2026-07-09 02:30:00-04:00,15m,False,True
2026-07-09 02:30:00-04:00,25,29628.5,29637.0,29597.75,29628.5,1833,15,2026-07-09 02:30:00-04:00,2026-07-09 02:44:00-04:00,2026-07-09 02:45:00-04:00,2026-07-09 02:45:00-04:00,15m,False,True
2026-07-09 02:45:00-04:00,25,29627.0,29632.25,29601.5,29612.0,1145,15,2026-07-09 02:45:00-04:00,2026-07-09 02:59:00-04:00,2026-07-09 03:00:00-04:00,2026-07-09 03:00:00-04:00,15m,False,True
2026-07-09 03:00:00-04:00,25,29613.25,29655.75,29603.75,29654.5,2753,15,2026-07-09 03:00:00-04:00,2026-07-09 03:14:00-04:00,2026-07-09 03:15:00-04:00,2026-07-09 03:15:00-04:00,15m,False,True
2026-07-09 03:15:00-04:00,25,29655.75,29667.75,29639.75,29651.75,2077,15,2026-07-09 03:15:00-04:00,2026-07-09 03:29:00-04:00,2026-07-09 03:30:00-04:00,2026-07-09 03:30:00-04:00,15m,False,True
2026-07-09 03:30:00-04:00,25,29653.25,29683.25,29640.5,29681.5,1443,15,2026-07-09 03:30:00-04:00,2026-07-09 03:44:00-04:00,2026-07-09 03:45:00-04:00,2026-07-09 03:45:00-04:00,15m,False,True
2026-07-09 03:45:00-04:00,25,29682.5,29706.75,29671.25,29686.25,2596,15,2026-07-09 03:45:00-04:00,2026-07-09 03:59:00-04:00,2026-07-09 04:00:00-04:00,2026-07-09 04:00:00-04:00,15m,False,True
2026-07-09 04:00:00-04:00,25,29684.75,29734.25,29664.0,29705.5,2457,15,2026-07-09 04:00:00-04:00,2026-07-09 04:14:00-04:00,2026-07-09 04:15:00-04:00,2026-07-09 04:15:00-04:00,15m,False,True
2026-07-09 04:15:00-04:00,25,29705.75,29735.75,29694.0,29699.25,1596,15,2026-07-09 04:15:00-04:00,2026-07-09 04:29:00-04:00,2026-07-09 04:30:00-04:00,2026-07-09 04:30:00-04:00,15m,False,True
2026-07-09 04:30:00-04:00,25,29697.0,29705.25,29660.0,29677.5,1778,15,2026-07-09 04:30:00-04:00,2026-07-09 04:44:00-04:00,2026-07-09 04:45:00-04:00,2026-07-09 04:45:00-04:00,15m,False,True
2026-07-09 04:45:00-04:00,25,29676.75,29681.5,29643.0,29661.25,1362,15,2026-07-09 04:45:00-04:00,2026-07-09 04:59:00-04:00,2026-07-09 05:00:00-04:00,2026-07-09 05:00:00-04:00,15m,False,True
2026-07-09 05:00:00-04:00,25,29663.5,29669.0,29629.0,29639.5,976,15,2026-07-09 05:00:00-04:00,2026-07-09 05:14:00-04:00,2026-07-09 05:15:00-04:00,2026-07-09 05:15:00-04:00,15m,False,True
2026-07-09 05:15:00-04:00,25,29641.25,29663.25,29633.5,29650.0,1023,15,2026-07-09 05:15:00-04:00,2026-07-09 05:29:00-04:00,2026-07-09 05:30:00-04:00,2026-07-09 05:30:00-04:00,15m,False,True
2026-07-09 05:30:00-04:00,25,29647.75,29661.0,29613.75,29621.25,1268,15,2026-07-09 05:30:00-04:00,2026-07-09 05:44:00-04:00,2026-07-09 05:45:00-04:00,2026-07-09 05:45:00-04:00,15m,False,True
2026-07-09 05:45:00-04:00,25,29622.0,29649.0,29618.25,29644.0,888,15,2026-07-09 05:45:00-04:00,2026-07-09 05:59:00-04:00,2026-07-09 06:00:00-04:00,2026-07-09 06:00:00-04:00,15m,False,True
2026-07-09 06:00:00-04:00,25,29645.5,29656.5,29633.25,29647.75,775,15,2026-07-09 06:00:00-04:00,2026-07-09 06:14:00-04:00,2026-07-09 06:15:00-04:00,2026-07-09 06:15:00-04:00,15m,False,True
2026-07-09 06:15:00-04:00,25,29650.0,29669.0,29632.25,29650.5,1033,15,2026-07-09 06:15:00-04:00,2026-07-09 06:29:00-04:00,2026-07-09 06:30:00-04:00,2026-07-09 06:30:00-04:00,15m,False,True
2026-07-09 06:30:00-04:00,25,29649.5,29660.75,29629.0,29640.25,962,15,2026-07-09 06:30:00-04:00,2026-07-09 06:44:00-04:00,2026-07-09 06:45:00-04:00,2026-07-09 06:45:00-04:00,15m,False,True
2026-07-09 06:45:00-04:00,25,29641.25,29645.0,29564.5,29600.25,2847,15,2026-07-09 06:45:00-04:00,2026-07-09 06:59:00-04:00,2026-07-09 07:00:00-04:00,2026-07-09 07:00:00-04:00,15m,False,True
2026-07-09 07:00:00-04:00,25,29601.75,29626.0,29579.0,29610.5,1677,15,2026-07-09 07:00:00-04:00,2026-07-09 07:14:00-04:00,2026-07-09 07:15:00-04:00,2026-07-09 07:15:00-04:00,15m,False,True
2026-07-09 07:15:00-04:00,25,29611.25,29643.75,29593.75,29641.0,2139,15,2026-07-09 07:15:00-04:00,2026-07-09 07:29:00-04:00,2026-07-09 07:30:00-04:00,2026-07-09 07:30:00-04:00,15m,False,True
2026-07-09 07:30:00-04:00,25,29641.0,29690.0,29626.75,29683.25,2387,15,2026-07-09 07:30:00-04:00,2026-07-09 07:44:00-04:00,2026-07-09 07:45:00-04:00,2026-07-09 07:45:00-04:00,15m,False,True
2026-07-09 07:45:00-04:00,25,29684.75,29721.75,29674.25,29696.0,3597,15,2026-07-09 07:45:00-04:00,2026-07-09 07:59:00-04:00,2026-07-09 08:00:00-04:00,2026-07-09 08:00:00-04:00,15m,False,True
2026-07-09 08:00:00-04:00,25,29696.75,29732.75,29681.0,29715.75,2903,15,2026-07-09 08:00:00-04:00,2026-07-09 08:14:00-04:00,2026-07-09 08:15:00-04:00,2026-07-09 08:15:00-04:00,15m,False,True
2026-07-09 08:15:00-04:00,25,29716.25,29755.0,29704.25,29749.25,2900,15,2026-07-09 08:15:00-04:00,2026-07-09 08:29:00-04:00,2026-07-09 08:30:00-04:00,2026-07-09 08:30:00-04:00,15m,False,True
2026-07-09 08:30:00-04:00,25,29748.0,29786.5,29740.0,29748.5,4815,15,2026-07-09 08:30:00-04:00,2026-07-09 08:44:00-04:00,2026-07-09 08:45:00-04:00,2026-07-09 08:45:00-04:00,15m,False,True
2026-07-09 08:45:00-04:00,25,29748.25,29748.5,29715.25,29736.0,3464,15,2026-07-09 08:45:00-04:00,2026-07-09 08:59:00-04:00,2026-07-09 09:00:00-04:00,2026-07-09 09:00:00-04:00,15m,False,True
2026-07-09 09:00:00-04:00,25,29735.25,29759.5,29725.25,29757.25,2992,15,2026-07-09 09:00:00-04:00,2026-07-09 09:14:00-04:00,2026-07-09 09:15:00-04:00,2026-07-09 09:15:00-04:00,15m,False,True
2026-07-09 09:15:00-04:00,25,29757.25,29758.75,29726.75,29745.25,5737,15,2026-07-09 09:15:00-04:00,2026-07-09 09:29:00-04:00,2026-07-09 09:30:00-04:00,2026-07-09 09:30:00-04:00,15m,False,True
2026-07-09 09:30:00-04:00,25,29746.75,29871.25,29672.0,29858.5,33384,15,2026-07-09 09:30:00-04:00,2026-07-09 09:44:00-04:00,2026-07-09 09:45:00-04:00,2026-07-09 09:45:00-04:00,15m,False,True
2026-07-09 09:45:00-04:00,25,29859.25,29931.25,29808.5,29909.5,26079,15,2026-07-09 09:45:00-04:00,2026-07-09 09:59:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,15m,False,True
2026-07-09 10:00:00-04:00,25,29910.0,29922.75,29785.25,29802.75,21154,15,2026-07-09 10:00:00-04:00,2026-07-09 10:14:00-04:00,2026-07-09 10:15:00-04:00,2026-07-09 10:15:00-04:00,15m,False,True
2026-07-09 10:15:00-04:00,25,29803.5,29803.5,29614.5,29763.75,32690,15,2026-07-09 10:15:00-04:00,2026-07-09 10:29:00-04:00,2026-07-09 10:30:00-04:00,2026-07-09 10:30:00-04:00,15m,False,True
2026-07-09 10:30:00-04:00,25,29763.25,29799.0,29694.25,29758.5,14965,15,2026-07-09 10:30:00-04:00,2026-07-09 10:44:00-04:00,2026-07-09 10:45:00-04:00,2026-07-09 10:45:00-04:00,15m,False,True
2026-07-09 10:45:00-04:00,25,29760.0,29821.25,29723.5,29787.75,14842,15,2026-07-09 10:45:00-04:00,2026-07-09 10:59:00-04:00,2026-07-09 11:00:00-04:00,2026-07-09 11:00:00-04:00,15m,False,True
2026-07-09 11:00:00-04:00,25,29788.25,29864.25,29779.5,29854.75,11475,15,2026-07-09 11:00:00-04:00,2026-07-09 11:14:00-04:00,2026-07-09 11:15:00-04:00,2026-07-09 11:15:00-04:00,15m,False,True
2026-07-09 11:15:00-04:00,25,29853.5,29886.25,29830.0,29873.5,11328,15,2026-07-09 11:15:00-04:00,2026-07-09 11:29:00-04:00,2026-07-09 11:30:00-04:00,2026-07-09 11:30:00-04:00,15m,False,True
2026-07-09 11:30:00-04:00,25,29874.25,29899.75,29856.25,29882.0,7675,15,2026-07-09 11:30:00-04:00,2026-07-09 11:44:00-04:00,2026-07-09 11:45:00-04:00,2026-07-09 11:45:00-04:00,15m,False,True
2026-07-09 11:45:00-04:00,25,29883.0,29905.25,29878.5,29886.25,9279,15,2026-07-09 11:45:00-04:00,2026-07-09 11:59:00-04:00,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,15m,False,True
2026-07-09 12:00:00-04:00,25,29886.5,29924.25,29886.5,29900.25,7856,15,2026-07-09 12:00:00-04:00,2026-07-09 12:14:00-04:00,2026-07-09 12:15:00-04:00,2026-07-09 12:15:00-04:00,15m,False,True
2026-07-09 12:15:00-04:00,25,29900.25,29917.0,29880.75,29890.75,6935,15,2026-07-09 12:15:00-04:00,2026-07-09 12:29:00-04:00,2026-07-09 12:30:00-04:00,2026-07-09 12:30:00-04:00,15m,False,True
