bucket_open_et,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,complete
2026-07-09 21:15:00-04:00,29843.5,29862.0,29836.75,29860.5,512,5,2026-07-09 21:15:00-04:00,2026-07-09 21:19:00-04:00,2026-07-09 21:20:00-04:00,2026-07-09 21:20:00-04:00,5m,True
2026-07-09 21:20:00-04:00,29861.75,29877.25,29849.5,29873.25,616,5,2026-07-09 21:20:00-04:00,2026-07-09 21:24:00-04:00,2026-07-09 21:25:00-04:00,2026-07-09 21:25:00-04:00,5m,True
2026-07-09 21:25:00-04:00,29872.5,29875.0,29850.5,29866.25,443,5,2026-07-09 21:25:00-04:00,2026-07-09 21:29:00-04:00,2026-07-09 21:30:00-04:00,2026-07-09 21:30:00-04:00,5m,True
2026-07-09 21:30:00-04:00,29867.25,29887.75,29854.75,29879.0,568,5,2026-07-09 21:30:00-04:00,2026-07-09 21:34:00-04:00,2026-07-09 21:35:00-04:00,2026-07-09 21:35:00-04:00,5m,True
2026-07-09 21:35:00-04:00,29879.0,29902.5,29870.0,29896.75,917,5,2026-07-09 21:35:00-04:00,2026-07-09 21:39:00-04:00,2026-07-09 21:40:00-04:00,2026-07-09 21:40:00-04:00,5m,True
2026-07-09 21:40:00-04:00,29898.0,29899.75,29883.75,29885.25,368,5,2026-07-09 21:40:00-04:00,2026-07-09 21:44:00-04:00,2026-07-09 21:45:00-04:00,2026-07-09 21:45:00-04:00,5m,True
2026-07-09 21:45:00-04:00,29885.75,29919.0,29881.5,29916.75,762,5,2026-07-09 21:45:00-04:00,2026-07-09 21:49:00-04:00,2026-07-09 21:50:00-04:00,2026-07-09 21:50:00-04:00,5m,True
2026-07-09 21:50:00-04:00,29916.75,29922.75,29899.25,29901.0,521,5,2026-07-09 21:50:00-04:00,2026-07-09 21:54:00-04:00,2026-07-09 21:55:00-04:00,2026-07-09 21:55:00-04:00,5m,True
2026-07-09 21:55:00-04:00,29902.5,29910.75,29889.75,29891.5,440,5,2026-07-09 21:55:00-04:00,2026-07-09 21:59:00-04:00,2026-07-09 22:00:00-04:00,2026-07-09 22:00:00-04:00,5m,True
2026-07-09 22:00:00-04:00,29895.0,29895.25,29865.25,29888.0,805,5,2026-07-09 22:00:00-04:00,2026-07-09 22:04:00-04:00,2026-07-09 22:05:00-04:00,2026-07-09 22:05:00-04:00,5m,True
2026-07-09 22:05:00-04:00,29887.25,29901.25,29875.5,29897.25,387,5,2026-07-09 22:05:00-04:00,2026-07-09 22:09:00-04:00,2026-07-09 22:10:00-04:00,2026-07-09 22:10:00-04:00,5m,True
2026-07-09 22:10:00-04:00,29895.5,29896.25,29871.5,29880.75,376,5,2026-07-09 22:10:00-04:00,2026-07-09 22:14:00-04:00,2026-07-09 22:15:00-04:00,2026-07-09 22:15:00-04:00,5m,True
2026-07-09 22:15:00-04:00,29881.25,29881.25,29860.0,29875.0,678,5,2026-07-09 22:15:00-04:00,2026-07-09 22:19:00-04:00,2026-07-09 22:20:00-04:00,2026-07-09 22:20:00-04:00,5m,True
2026-07-09 22:20:00-04:00,29874.0,29879.0,29854.25,29869.25,561,5,2026-07-09 22:20:00-04:00,2026-07-09 22:24:00-04:00,2026-07-09 22:25:00-04:00,2026-07-09 22:25:00-04:00,5m,True
2026-07-09 22:25:00-04:00,29870.0,29884.75,29867.5,29882.5,637,5,2026-07-09 22:25:00-04:00,2026-07-09 22:29:00-04:00,2026-07-09 22:30:00-04:00,2026-07-09 22:30:00-04:00,5m,True
2026-07-09 22:30:00-04:00,29883.25,29898.0,29874.0,29897.0,574,5,2026-07-09 22:30:00-04:00,2026-07-09 22:34:00-04:00,2026-07-09 22:35:00-04:00,2026-07-09 22:35:00-04:00,5m,True
2026-07-09 22:35:00-04:00,29898.0,29910.25,29890.75,29908.25,502,5,2026-07-09 22:35:00-04:00,2026-07-09 22:39:00-04:00,2026-07-09 22:40:00-04:00,2026-07-09 22:40:00-04:00,5m,True
2026-07-09 22:40:00-04:00,29909.0,29916.25,29905.25,29908.25,431,5,2026-07-09 22:40:00-04:00,2026-07-09 22:44:00-04:00,2026-07-09 22:45:00-04:00,2026-07-09 22:45:00-04:00,5m,True
2026-07-09 22:45:00-04:00,29908.5,29932.0,29902.0,29929.75,740,5,2026-07-09 22:45:00-04:00,2026-07-09 22:49:00-04:00,2026-07-09 22:50:00-04:00,2026-07-09 22:50:00-04:00,5m,True
2026-07-09 22:50:00-04:00,29929.75,29949.0,29928.0,29936.5,705,5,2026-07-09 22:50:00-04:00,2026-07-09 22:54:00-04:00,2026-07-09 22:55:00-04:00,2026-07-09 22:55:00-04:00,5m,True
2026-07-09 22:55:00-04:00,29936.0,29952.5,29936.0,29952.0,352,5,2026-07-09 22:55:00-04:00,2026-07-09 22:59:00-04:00,2026-07-09 23:00:00-04:00,2026-07-09 23:00:00-04:00,5m,True
2026-07-09 23:00:00-04:00,29952.0,29959.5,29942.5,29954.5,355,5,2026-07-09 23:00:00-04:00,2026-07-09 23:04:00-04:00,2026-07-09 23:05:00-04:00,2026-07-09 23:05:00-04:00,5m,True
2026-07-09 23:05:00-04:00,29953.75,29963.5,29948.5,29952.25,343,5,2026-07-09 23:05:00-04:00,2026-07-09 23:09:00-04:00,2026-07-09 23:10:00-04:00,2026-07-09 23:10:00-04:00,5m,True
2026-07-09 23:10:00-04:00,29953.0,29955.25,29940.25,29947.25,350,5,2026-07-09 23:10:00-04:00,2026-07-09 23:14:00-04:00,2026-07-09 23:15:00-04:00,2026-07-09 23:15:00-04:00,5m,True
2026-07-09 23:15:00-04:00,29947.5,29950.5,29940.5,29943.25,191,5,2026-07-09 23:15:00-04:00,2026-07-09 23:19:00-04:00,2026-07-09 23:20:00-04:00,2026-07-09 23:20:00-04:00,5m,True
2026-07-09 23:20:00-04:00,29942.5,29945.5,29926.25,29929.75,381,5,2026-07-09 23:20:00-04:00,2026-07-09 23:24:00-04:00,2026-07-09 23:25:00-04:00,2026-07-09 23:25:00-04:00,5m,True
2026-07-09 23:25:00-04:00,29929.75,29932.25,29922.0,29923.5,293,5,2026-07-09 23:25:00-04:00,2026-07-09 23:29:00-04:00,2026-07-09 23:30:00-04:00,2026-07-09 23:30:00-04:00,5m,True
2026-07-09 23:30:00-04:00,29925.25,29932.75,29918.0,29929.0,284,5,2026-07-09 23:30:00-04:00,2026-07-09 23:34:00-04:00,2026-07-09 23:35:00-04:00,2026-07-09 23:35:00-04:00,5m,True
2026-07-09 23:35:00-04:00,29929.25,29931.0,29917.0,29925.25,206,5,2026-07-09 23:35:00-04:00,2026-07-09 23:39:00-04:00,2026-07-09 23:40:00-04:00,2026-07-09 23:40:00-04:00,5m,True
2026-07-09 23:40:00-04:00,29929.0,29932.0,29919.0,29925.0,205,5,2026-07-09 23:40:00-04:00,2026-07-09 23:44:00-04:00,2026-07-09 23:45:00-04:00,2026-07-09 23:45:00-04:00,5m,True
2026-07-09 23:45:00-04:00,29922.75,29923.75,29913.25,29921.25,226,5,2026-07-09 23:45:00-04:00,2026-07-09 23:49:00-04:00,2026-07-09 23:50:00-04:00,2026-07-09 23:50:00-04:00,5m,True
2026-07-09 23:50:00-04:00,29921.75,29926.0,29912.5,29916.5,227,5,2026-07-09 23:50:00-04:00,2026-07-09 23:54:00-04:00,2026-07-09 23:55:00-04:00,2026-07-09 23:55:00-04:00,5m,True
2026-07-09 23:55:00-04:00,29917.5,29933.75,29913.5,29932.25,369,5,2026-07-09 23:55:00-04:00,2026-07-09 23:59:00-04:00,2026-07-10 00:00:00-04:00,2026-07-10 00:00:00-04:00,5m,True
2026-07-10 00:00:00-04:00,29933.0,29942.0,29923.0,29940.75,341,5,2026-07-10 00:00:00-04:00,2026-07-10 00:04:00-04:00,2026-07-10 00:05:00-04:00,2026-07-10 00:05:00-04:00,5m,True
2026-07-10 00:05:00-04:00,29940.5,29942.25,29931.5,29935.25,250,5,2026-07-10 00:05:00-04:00,2026-07-10 00:09:00-04:00,2026-07-10 00:10:00-04:00,2026-07-10 00:10:00-04:00,5m,True
2026-07-10 00:10:00-04:00,29933.75,29948.75,29933.75,29947.75,261,5,2026-07-10 00:10:00-04:00,2026-07-10 00:14:00-04:00,2026-07-10 00:15:00-04:00,2026-07-10 00:15:00-04:00,5m,True
2026-07-10 00:15:00-04:00,29946.0,29947.5,29935.5,29944.5,165,5,2026-07-10 00:15:00-04:00,2026-07-10 00:19:00-04:00,2026-07-10 00:20:00-04:00,2026-07-10 00:20:00-04:00,5m,True
2026-07-10 00:20:00-04:00,29944.5,29944.75,29918.5,29921.25,373,5,2026-07-10 00:20:00-04:00,2026-07-10 00:24:00-04:00,2026-07-10 00:25:00-04:00,2026-07-10 00:25:00-04:00,5m,True
2026-07-10 00:25:00-04:00,29919.75,29930.75,29917.25,29927.5,201,5,2026-07-10 00:25:00-04:00,2026-07-10 00:29:00-04:00,2026-07-10 00:30:00-04:00,2026-07-10 00:30:00-04:00,5m,True
2026-07-10 00:30:00-04:00,29928.0,29929.25,29906.25,29909.0,484,5,2026-07-10 00:30:00-04:00,2026-07-10 00:34:00-04:00,2026-07-10 00:35:00-04:00,2026-07-10 00:35:00-04:00,5m,True
2026-07-10 00:35:00-04:00,29909.5,29920.0,29906.5,29916.5,333,5,2026-07-10 00:35:00-04:00,2026-07-10 00:39:00-04:00,2026-07-10 00:40:00-04:00,2026-07-10 00:40:00-04:00,5m,True
2026-07-10 00:40:00-04:00,29917.25,29923.0,29913.75,29915.25,265,5,2026-07-10 00:40:00-04:00,2026-07-10 00:44:00-04:00,2026-07-10 00:45:00-04:00,2026-07-10 00:45:00-04:00,5m,True
