tf,bucket_open_et,bucket_close_et,open,high,low,close,volume,segment_id,norm_segment_id,n_source_minutes,source_first_ts,source_last_ts,availability_et,complete,spans_segment_boundary
1m,2026-07-05 19:00:00-04:00,2026-07-05 19:01:00-04:00,29946.5,29949.25,29933.5,29949.25,170,6,0,1,2026-07-05 19:00:00-04:00,2026-07-05 19:00:00-04:00,2026-07-05 19:01:00-04:00,True,False
1m,2026-07-05 19:01:00-04:00,2026-07-05 19:02:00-04:00,29948.25,29955.5,29947.25,29953.5,159,6,0,1,2026-07-05 19:01:00-04:00,2026-07-05 19:01:00-04:00,2026-07-05 19:02:00-04:00,True,False
1m,2026-07-05 19:02:00-04:00,2026-07-05 19:03:00-04:00,29953.25,29961.25,29952.5,29956.75,154,6,0,1,2026-07-05 19:02:00-04:00,2026-07-05 19:02:00-04:00,2026-07-05 19:03:00-04:00,True,False
1m,2026-07-05 19:03:00-04:00,2026-07-05 19:04:00-04:00,29957.75,29959.75,29949.25,29952.0,95,6,0,1,2026-07-05 19:03:00-04:00,2026-07-05 19:03:00-04:00,2026-07-05 19:04:00-04:00,True,False
1m,2026-07-05 19:04:00-04:00,2026-07-05 19:05:00-04:00,29951.25,29952.25,29943.25,29951.5,79,6,0,1,2026-07-05 19:04:00-04:00,2026-07-05 19:04:00-04:00,2026-07-05 19:05:00-04:00,True,False
1m,2026-07-05 19:05:00-04:00,2026-07-05 19:06:00-04:00,29952.25,29960.25,29950.5,29954.25,69,6,0,1,2026-07-05 19:05:00-04:00,2026-07-05 19:05:00-04:00,2026-07-05 19:06:00-04:00,True,False
1m,2026-07-05 19:06:00-04:00,2026-07-05 19:07:00-04:00,29951.25,29951.5,29945.0,29949.25,30,6,0,1,2026-07-05 19:06:00-04:00,2026-07-05 19:06:00-04:00,2026-07-05 19:07:00-04:00,True,False
1m,2026-07-05 19:07:00-04:00,2026-07-05 19:08:00-04:00,29949.5,29950.25,29947.25,29949.75,14,6,0,1,2026-07-05 19:07:00-04:00,2026-07-05 19:07:00-04:00,2026-07-05 19:08:00-04:00,True,False
1m,2026-07-05 19:08:00-04:00,2026-07-05 19:09:00-04:00,29948.75,29951.25,29947.5,29951.25,25,6,0,1,2026-07-05 19:08:00-04:00,2026-07-05 19:08:00-04:00,2026-07-05 19:09:00-04:00,True,False
1m,2026-07-05 19:09:00-04:00,2026-07-05 19:10:00-04:00,29950.25,29954.25,29944.75,29946.75,84,6,0,1,2026-07-05 19:09:00-04:00,2026-07-05 19:09:00-04:00,2026-07-05 19:10:00-04:00,True,False
1m,2026-07-05 19:10:00-04:00,2026-07-05 19:11:00-04:00,29945.75,29945.75,29926.5,29931.75,244,6,0,1,2026-07-05 19:10:00-04:00,2026-07-05 19:10:00-04:00,2026-07-05 19:11:00-04:00,True,False
1m,2026-07-05 19:11:00-04:00,2026-07-05 19:12:00-04:00,29930.25,29936.5,29929.5,29935.0,64,6,0,1,2026-07-05 19:11:00-04:00,2026-07-05 19:11:00-04:00,2026-07-05 19:12:00-04:00,True,False
1m,2026-07-05 19:12:00-04:00,2026-07-05 19:13:00-04:00,29936.25,29994.5,29936.25,29992.0,545,6,0,1,2026-07-05 19:12:00-04:00,2026-07-05 19:12:00-04:00,2026-07-05 19:13:00-04:00,True,False
1m,2026-07-05 19:13:00-04:00,2026-07-05 19:14:00-04:00,29992.0,30008.25,29982.75,29982.75,718,6,0,1,2026-07-05 19:13:00-04:00,2026-07-05 19:13:00-04:00,2026-07-05 19:14:00-04:00,True,False
1m,2026-07-05 19:14:00-04:00,2026-07-05 19:15:00-04:00,29981.0,29993.75,29968.0,29990.25,185,6,0,1,2026-07-05 19:14:00-04:00,2026-07-05 19:14:00-04:00,2026-07-05 19:15:00-04:00,True,False
1m,2026-07-05 19:15:00-04:00,2026-07-05 19:16:00-04:00,29988.0,30002.5,29987.5,29995.75,230,6,0,1,2026-07-05 19:15:00-04:00,2026-07-05 19:15:00-04:00,2026-07-05 19:16:00-04:00,True,False
1m,2026-07-05 19:16:00-04:00,2026-07-05 19:17:00-04:00,29996.0,30001.0,29994.75,29994.75,67,6,0,1,2026-07-05 19:16:00-04:00,2026-07-05 19:16:00-04:00,2026-07-05 19:17:00-04:00,True,False
1m,2026-07-05 19:17:00-04:00,2026-07-05 19:18:00-04:00,29997.25,30003.75,29992.25,29994.5,86,6,0,1,2026-07-05 19:17:00-04:00,2026-07-05 19:17:00-04:00,2026-07-05 19:18:00-04:00,True,False
1m,2026-07-05 19:18:00-04:00,2026-07-05 19:19:00-04:00,29994.75,29996.25,29988.0,29989.25,86,6,0,1,2026-07-05 19:18:00-04:00,2026-07-05 19:18:00-04:00,2026-07-05 19:19:00-04:00,True,False
1m,2026-07-05 19:19:00-04:00,2026-07-05 19:20:00-04:00,29990.75,29995.0,29984.75,29989.75,66,6,0,1,2026-07-05 19:19:00-04:00,2026-07-05 19:19:00-04:00,2026-07-05 19:20:00-04:00,True,False
1m,2026-07-05 19:20:00-04:00,2026-07-05 19:21:00-04:00,29991.75,29991.75,29985.0,29986.25,44,6,0,1,2026-07-05 19:20:00-04:00,2026-07-05 19:20:00-04:00,2026-07-05 19:21:00-04:00,True,False
1m,2026-07-05 19:21:00-04:00,2026-07-05 19:22:00-04:00,29987.75,29992.0,29981.75,29988.5,55,6,0,1,2026-07-05 19:21:00-04:00,2026-07-05 19:21:00-04:00,2026-07-05 19:22:00-04:00,True,False
1m,2026-07-05 19:22:00-04:00,2026-07-05 19:23:00-04:00,29990.5,29992.0,29984.0,29985.25,28,6,0,1,2026-07-05 19:22:00-04:00,2026-07-05 19:22:00-04:00,2026-07-05 19:23:00-04:00,True,False
1m,2026-07-05 19:23:00-04:00,2026-07-05 19:24:00-04:00,29985.75,29988.5,29982.75,29982.75,23,6,0,1,2026-07-05 19:23:00-04:00,2026-07-05 19:23:00-04:00,2026-07-05 19:24:00-04:00,True,False
1m,2026-07-05 19:24:00-04:00,2026-07-05 19:25:00-04:00,29984.25,29986.0,29979.25,29980.75,66,6,0,1,2026-07-05 19:24:00-04:00,2026-07-05 19:24:00-04:00,2026-07-05 19:25:00-04:00,True,False
1m,2026-07-05 19:25:00-04:00,2026-07-05 19:26:00-04:00,29981.0,29983.75,29975.75,29977.75,48,6,0,1,2026-07-05 19:25:00-04:00,2026-07-05 19:25:00-04:00,2026-07-05 19:26:00-04:00,True,False
1m,2026-07-05 19:26:00-04:00,2026-07-05 19:27:00-04:00,29980.0,29984.5,29977.5,29984.25,42,6,0,1,2026-07-05 19:26:00-04:00,2026-07-05 19:26:00-04:00,2026-07-05 19:27:00-04:00,True,False
1m,2026-07-05 19:27:00-04:00,2026-07-05 19:28:00-04:00,29984.5,29990.0,29984.5,29988.25,55,6,0,1,2026-07-05 19:27:00-04:00,2026-07-05 19:27:00-04:00,2026-07-05 19:28:00-04:00,True,False
1m,2026-07-05 19:28:00-04:00,2026-07-05 19:29:00-04:00,29988.5,29995.5,29988.25,29993.5,109,6,0,1,2026-07-05 19:28:00-04:00,2026-07-05 19:28:00-04:00,2026-07-05 19:29:00-04:00,True,False
1m,2026-07-05 19:29:00-04:00,2026-07-05 19:30:00-04:00,29993.25,29995.0,29983.75,29985.25,83,6,0,1,2026-07-05 19:29:00-04:00,2026-07-05 19:29:00-04:00,2026-07-05 19:30:00-04:00,True,False
1m,2026-07-05 19:30:00-04:00,2026-07-05 19:31:00-04:00,29983.5,29998.0,29974.0,29995.5,218,6,0,1,2026-07-05 19:30:00-04:00,2026-07-05 19:30:00-04:00,2026-07-05 19:31:00-04:00,True,False
1m,2026-07-05 19:31:00-04:00,2026-07-05 19:32:00-04:00,29995.25,30011.25,29994.25,30004.0,205,6,0,1,2026-07-05 19:31:00-04:00,2026-07-05 19:31:00-04:00,2026-07-05 19:32:00-04:00,True,False
1m,2026-07-05 19:32:00-04:00,2026-07-05 19:33:00-04:00,30004.25,30007.75,30002.0,30005.75,73,6,0,1,2026-07-05 19:32:00-04:00,2026-07-05 19:32:00-04:00,2026-07-05 19:33:00-04:00,True,False
1m,2026-07-05 19:33:00-04:00,2026-07-05 19:34:00-04:00,30007.25,30007.25,30001.25,30001.5,75,6,0,1,2026-07-05 19:33:00-04:00,2026-07-05 19:33:00-04:00,2026-07-05 19:34:00-04:00,True,False
1m,2026-07-05 19:34:00-04:00,2026-07-05 19:35:00-04:00,30001.75,30003.75,29998.75,30002.75,61,6,0,1,2026-07-05 19:34:00-04:00,2026-07-05 19:34:00-04:00,2026-07-05 19:35:00-04:00,True,False
1m,2026-07-05 19:35:00-04:00,2026-07-05 19:36:00-04:00,30002.75,30004.0,29999.5,30001.5,27,6,0,1,2026-07-05 19:35:00-04:00,2026-07-05 19:35:00-04:00,2026-07-05 19:36:00-04:00,True,False
1m,2026-07-05 19:36:00-04:00,2026-07-05 19:37:00-04:00,30001.0,30001.0,29980.0,29985.75,227,6,0,1,2026-07-05 19:36:00-04:00,2026-07-05 19:36:00-04:00,2026-07-05 19:37:00-04:00,True,False
1m,2026-07-05 19:37:00-04:00,2026-07-05 19:38:00-04:00,29987.25,29988.0,29983.25,29986.0,31,6,0,1,2026-07-05 19:37:00-04:00,2026-07-05 19:37:00-04:00,2026-07-05 19:38:00-04:00,True,False
1m,2026-07-05 19:38:00-04:00,2026-07-05 19:39:00-04:00,29986.75,29988.0,29984.5,29986.25,29,6,0,1,2026-07-05 19:38:00-04:00,2026-07-05 19:38:00-04:00,2026-07-05 19:39:00-04:00,True,False
1m,2026-07-05 19:39:00-04:00,2026-07-05 19:40:00-04:00,29988.25,29988.5,29979.0,29982.5,55,6,0,1,2026-07-05 19:39:00-04:00,2026-07-05 19:39:00-04:00,2026-07-05 19:40:00-04:00,True,False
1m,2026-07-05 19:40:00-04:00,2026-07-05 19:41:00-04:00,29984.25,29985.0,29977.75,29981.75,39,6,0,1,2026-07-05 19:40:00-04:00,2026-07-05 19:40:00-04:00,2026-07-05 19:41:00-04:00,True,False
1m,2026-07-05 19:41:00-04:00,2026-07-05 19:42:00-04:00,29983.75,29988.25,29979.0,29984.5,61,6,0,1,2026-07-05 19:41:00-04:00,2026-07-05 19:41:00-04:00,2026-07-05 19:42:00-04:00,True,False
1m,2026-07-05 19:42:00-04:00,2026-07-05 19:43:00-04:00,29984.5,29984.75,29976.75,29979.0,52,6,0,1,2026-07-05 19:42:00-04:00,2026-07-05 19:42:00-04:00,2026-07-05 19:43:00-04:00,True,False
1m,2026-07-05 19:43:00-04:00,2026-07-05 19:44:00-04:00,29978.5,29979.0,29975.25,29976.75,43,6,0,1,2026-07-05 19:43:00-04:00,2026-07-05 19:43:00-04:00,2026-07-05 19:44:00-04:00,True,False
1m,2026-07-05 19:44:00-04:00,2026-07-05 19:45:00-04:00,29977.5,29978.25,29970.75,29976.0,162,6,0,1,2026-07-05 19:44:00-04:00,2026-07-05 19:44:00-04:00,2026-07-05 19:45:00-04:00,True,False
1m,2026-07-05 19:45:00-04:00,2026-07-05 19:46:00-04:00,29974.5,29975.0,29963.75,29975.0,136,6,0,1,2026-07-05 19:45:00-04:00,2026-07-05 19:45:00-04:00,2026-07-05 19:46:00-04:00,True,False
1m,2026-07-05 19:46:00-04:00,2026-07-05 19:47:00-04:00,29972.0,29997.25,29972.0,29988.25,208,6,0,1,2026-07-05 19:46:00-04:00,2026-07-05 19:46:00-04:00,2026-07-05 19:47:00-04:00,True,False
1m,2026-07-05 19:47:00-04:00,2026-07-05 19:48:00-04:00,29989.25,29992.0,29981.0,29982.5,66,6,0,1,2026-07-05 19:47:00-04:00,2026-07-05 19:47:00-04:00,2026-07-05 19:48:00-04:00,True,False
1m,2026-07-05 19:48:00-04:00,2026-07-05 19:49:00-04:00,29983.75,29994.25,29983.75,29992.75,107,6,0,1,2026-07-05 19:48:00-04:00,2026-07-05 19:48:00-04:00,2026-07-05 19:49:00-04:00,True,False
1m,2026-07-05 19:49:00-04:00,2026-07-05 19:50:00-04:00,29991.25,29995.0,29987.75,29991.5,53,6,0,1,2026-07-05 19:49:00-04:00,2026-07-05 19:49:00-04:00,2026-07-05 19:50:00-04:00,True,False
1m,2026-07-05 19:50:00-04:00,2026-07-05 19:51:00-04:00,29988.75,30005.5,29986.75,29999.25,199,6,0,1,2026-07-05 19:50:00-04:00,2026-07-05 19:50:00-04:00,2026-07-05 19:51:00-04:00,True,False
1m,2026-07-05 19:51:00-04:00,2026-07-05 19:52:00-04:00,29998.5,30005.75,29993.75,30001.75,106,6,0,1,2026-07-05 19:51:00-04:00,2026-07-05 19:51:00-04:00,2026-07-05 19:52:00-04:00,True,False
1m,2026-07-05 19:52:00-04:00,2026-07-05 19:53:00-04:00,30000.5,30000.5,29992.75,29995.25,61,6,0,1,2026-07-05 19:52:00-04:00,2026-07-05 19:52:00-04:00,2026-07-05 19:53:00-04:00,True,False
1m,2026-07-05 19:53:00-04:00,2026-07-05 19:54:00-04:00,29996.5,29998.5,29991.0,29997.75,62,6,0,1,2026-07-05 19:53:00-04:00,2026-07-05 19:53:00-04:00,2026-07-05 19:54:00-04:00,True,False
1m,2026-07-05 19:54:00-04:00,2026-07-05 19:55:00-04:00,29998.0,30001.25,29991.75,29991.75,57,6,0,1,2026-07-05 19:54:00-04:00,2026-07-05 19:54:00-04:00,2026-07-05 19:55:00-04:00,True,False
