week,episode_id,variant_id,role,structure_id
observation,EP-00050,,context/component,RB2-003075
observation,EP-00051,,context/component,RB2-000031
observation,EP-00052,,context/component,IFVG2-000001
observation,EP-00053,,context/component,RB2-003080
observation,EP-00054,,context/component,RB2-003080
observation,EP-00055,,context/component,RB2-004090
observation,EP-00056,,context/component,RB2-000033
observation,EP-00057,,context/component,RB2-004090
observation,EP-00058,,context/component,RB2-000034
observation,EP-00059,,context/component,RB2-000032
observation,EP-00060,,context/component,RB2-000035
observation,EP-00061,,context/component,RB2-003081
observation,EP-00062,,context/component,RB2-003081
observation,EP-00063,,context/component,FVG2-000003
observation,EP-00064,,context/component,FVG2-000004
observation,EP-00064,,context/component,RB2-000036
observation,EP-00065,,context/component,RB2-000037
observation,EP-00066,,context/component,RB2-004091
observation,EP-00067,,context/component,RB2-004091
observation,EP-00068,,context/component,RB2-003082
observation,EP-00069,,context/component,RB2-003082
observation,EP-00070,,context/component,FVG2-000005
observation,EP-00071,,context/component,RB2-000038
observation,EP-00072,,context/component,RB2-003083
observation,EP-00073,,context/component,RB2-003083
observation,EP-00074,,context/component,RB2-003084
observation,EP-00075,,context/component,FVG2-000749
observation,EP-00076,,context/component,RB2-003084
observation,EP-00077,,context/component,FVG2-000749
observation,EP-00078,,context/component,IFVG2-000002
observation,EP-00079,,context/component,IFVG2-000389
observation,EP-00080,,context/component,IFVG2-000389
observation,EP-00081,,context/component,RB2-000039
observation,EP-00082,,context/component,RB2-000040
observation,EP-00083,,context/component,RB2-004093
observation,EP-00084,,context/component,RB2-004093
observation,EP-00085,,context/component,RB2-004092
observation,EP-00086,,context/component,RB2-004092
observation,EP-00087,,context/component,RB2-000041
observation,EP-00088,,context/component,FVG2-000006
observation,EP-00089,,context/component,RB2-003085
observation,EP-00090,,context/component,RB2-003085
observation,EP-00091,,context/component,RB2-000042
observation,EP-00092,,context/component,RB2-000043
observation,EP-00093,,context/component,RB2-003079
observation,EP-00094,,context/component,FVG2-001009
observation,EP-00095,,context/component,RB2-004089
observation,EP-00096,,context/component,RB2-003079
observation,EP-00096,,context/component,RB2-004089
observation,EP-00097,,context/component,FVG2-001009
observation,EP-00098,,context/component,FVG2-000007
observation,EP-00099,,context/component,RB2-000045
observation,EP-00100,,context/component,RB2-000046
observation,EP-00101,,context/component,RB2-003086
observation,EP-00102,,context/component,RB2-003086
observation,EP-00103,,context/component,RB2-000047
observation,EP-00104,,context/component,RB2-000048
observation,EP-00105,,context/component,FVG2-000008
observation,EP-00105,,context/component,RB2-004094
observation,EP-00106,,context/component,RB2-004094
observation,EP-00107,,context/component,RB2-000050
observation,EP-00108,,context/component,RB2-000051
observation,EP-00108,,context/component,RB2-003088
observation,EP-00109,,context/component,RB2-003088
observation,EP-00110,,context/component,RB2-000049
observation,EP-00111,,context/component,IFVG2-000003
observation,EP-00112,,context/component,RB2-000054
observation,EP-00113,,context/component,IFVG2-000004
observation,EP-00113,,context/component,RB2-000053
observation,EP-00114,,context/component,FVG2-000010
observation,EP-00115,,context/component,RB2-000052
observation,EP-00116,,context/component,RB2-003089
observation,EP-00117,,context/component,RB2-003089
observation,EP-00118,,context/component,FVG2-000009
observation,EP-00119,,context/component,IFVG2-000005
observation,EP-00120,,context/component,RB2-003090
observation,EP-00121,,context/component,RB2-003087
observation,EP-00122,,context/component,RB2-003090
observation,EP-00123,,context/component,RB2-003087
observation,EP-00124,,context/component,RB2-000055
observation,EP-00125,,context/component,RB2-000044
observation,EP-00126,,context/component,RB2-000056
observation,EP-00126,EP-00126-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-000055
observation,EP-00126,EP-00126-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-000055
observation,EP-00126,EP-00126-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000055
observation,EP-00126,EP-00126-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-000001
observation,EP-00127,,context/component,RB2-000057
observation,EP-00128,,context/component,RB2-003091
observation,EP-00129,,context/component,RB2-003091
observation,EP-00130,,context/component,RB2-004095
observation,EP-00131,,context/component,RB2-003092
observation,EP-00132,,context/component,RB2-004095
observation,EP-00133,,context/component,RB2-000058
observation,EP-00134,,context/component,RB2-003092
observation,EP-00135,,context/component,FVG2-000013
observation,EP-00136,,context/component,RB2-000060
observation,EP-00137,,context/component,FVG2-000014
observation,EP-00138,,context/component,RB2-000059
observation,EP-00139,,context/component,FVG2-000012
observation,EP-00139,,context/component,FVG2-000751
observation,EP-00140,,context/component,FVG2-000751
observation,EP-00141,,context/component,FVG2-000011
observation,EP-00142,,context/component,IFVG2-000006
observation,EP-00143,,context/component,RB2-000061
observation,EP-00144,,context/component,RB2-000062
observation,EP-00144,,context/component,RB2-003094
observation,EP-00144,,context/component,RB2-004096
observation,EP-00145,,context/component,FVG2-000750
observation,EP-00146,,context/component,RB2-003094
observation,EP-00147,,context/component,FVG2-001010
observation,EP-00148,,context/component,RB2-004096
observation,EP-00149,,context/component,FVG2-000750
observation,EP-00149,,context/component,FVG2-001010
observation,EP-00150,,context/component,RB2-003095
observation,EP-00151,,context/component,IFVG2-000390
observation,EP-00152,,context/component,RB2-000064
observation,EP-00153,,context/component,RB2-003095
observation,EP-00154,,context/component,FVG2-000754
observation,EP-00154,,context/component,IFVG2-000390
observation,EP-00155,,context/component,RB2-000065
observation,EP-00156,,context/component,IFVG2-000007
observation,EP-00157,,context/component,FVG2-000754
observation,EP-00157,,context/component,FVG2-001011
observation,EP-00158,,context/component,FVG2-001011
observation,EP-00159,,context/component,RB2-000066
observation,EP-00159,,context/component,RB2-003096
observation,EP-00160,,context/component,FVG2-000753
observation,EP-00161,,context/component,RB2-003093
observation,EP-00162,,context/component,RB2-003096
observation,EP-00163,,context/component,FVG2-000753
observation,EP-00164,,context/component,RB2-003093
observation,EP-00165,,context/component,RB2-000067
observation,EP-00166,,context/component,RB2-000068
observation,EP-00167,,context/component,RB2-000069
observation,EP-00167,,context/component,RB2-004097
observation,EP-00168,,context/component,RB2-004097
observation,EP-00169,,context/component,RB2-003097
observation,EP-00170,,context/component,RB2-000070
observation,EP-00171,,context/component,RB2-003097
observation,EP-00172,,context/component,RB2-000071
observation,EP-00173,,context/component,FVG2-000752
observation,EP-00174,,context/component,FVG2-000752
observation,EP-00175,,context/component,RB2-000072
observation,EP-00176,,context/component,RB2-003098
observation,EP-00177,,context/component,RB2-003098
observation,EP-00178,,context/component,IFVG2-000391
observation,EP-00179,,context/component,IFVG2-000391
observation,EP-00180,,context/component,FVG2-000015
observation,EP-00180,,context/component,RB2-000073
observation,EP-00180,,context/component,RB2-000074
observation,EP-00181,,context/component,IFVG2-000008
observation,EP-00182,,context/component,RB2-003100
observation,EP-00183,,context/component,RB2-003100
observation,EP-00184,,context/component,RB2-000076
observation,EP-00185,,context/component,RB2-000077
observation,EP-00186,,context/component,RB2-000075
observation,EP-00187,,context/component,RB2-000079
observation,EP-00188,,context/component,FVG2-000018
observation,EP-00189,,context/component,RB2-000080
observation,EP-00190,,context/component,RB2-004099
observation,EP-00191,,context/component,RB2-004099
observation,EP-00192,,context/component,IFVG2-000009
observation,EP-00193,,context/component,FVG2-000017
observation,EP-00194,,context/component,FVG2-000019
observation,EP-00194,,context/component,RB2-000083
observation,EP-00195,,context/component,RB2-003102
observation,EP-00196,,context/component,RB2-003102
observation,EP-00197,,context/component,RB2-000085
observation,EP-00198,,context/component,RB2-000084
observation,EP-00199,,context/component,RB2-000086
observation,EP-00200,,context/component,RB2-000078
observation,EP-00201,,context/component,RB2-004100
observation,EP-00202,,context/component,RB2-004100
observation,EP-00203,,context/component,FVG2-000016
observation,EP-00204,,context/component,RB2-003103
observation,EP-00205,,context/component,FVG2-000020
observation,EP-00205,,context/component,RB2-000088
observation,EP-00206,,context/component,RB2-003103
observation,EP-00207,,context/component,RB2-000087
observation,EP-00208,,context/component,RB2-003101
observation,EP-00209,,context/component,RB2-000081
observation,EP-00210,,context/component,RB2-000082
observation,EP-00211,,context/component,RB2-003101
observation,EP-00212,,context/component,RB2-000092
observation,EP-00213,,context/component,RB2-000093
observation,EP-00214,,context/component,RB2-000094
observation,EP-00214,,context/component,RB2-003104
observation,EP-00215,,context/component,FVG2-000756
observation,EP-00215,,context/component,RB2-003104
observation,EP-00216,,context/component,RB2-004102
observation,EP-00217,,context/component,FVG2-001013
observation,EP-00217,,context/component,RB2-004102
observation,EP-00218,,context/component,FVG2-000022
observation,EP-00218,,context/component,FVG2-000756
observation,EP-00218,,context/component,FVG2-001013
observation,EP-00219,,context/component,RB2-000096
observation,EP-00219,,context/component,RB2-003105
observation,EP-00220,,context/component,FVG2-000023
observation,EP-00221,,context/component,RB2-003105
observation,EP-00222,,context/component,RB2-000097
observation,EP-00223,,context/component,RB2-000098
observation,EP-00224,,context/component,FVG2-000021
observation,EP-00224,,context/component,FVG2-000755
observation,EP-00224,,context/component,RB2-000090
observation,EP-00224,,context/component,RB2-000091
observation,EP-00225,,context/component,FVG2-000755
observation,EP-00226,,context/component,FVG2-001012
observation,EP-00227,,context/component,RB2-004723
observation,EP-00228,,context/component,RB2-004724
observation,EP-00229,,context/component,FVG2-001012
observation,EP-00229,,context/component,IFVG2-000010
observation,EP-00229,,context/component,RB2-004723
observation,EP-00230,,context/component,FVG2-000024
observation,EP-00230,,context/component,RB2-004724
observation,EP-00231,,context/component,RB2-003107
observation,EP-00232,,context/component,RB2-000099
observation,EP-00233,,context/component,RB2-003107
observation,EP-00234,,context/component,FVG2-000025
observation,EP-00234,,context/component,IFVG2-000534
observation,EP-00235,,context/component,IFVG2-000534
observation,EP-00235,,context/component,RB2-004104
observation,EP-00236,,context/component,RB2-004104
observation,EP-00237,,context/component,RB2-000100
observation,EP-00238,,context/component,RB2-003106
observation,EP-00239,,context/component,RB2-003106
observation,EP-00240,,context/component,RB2-000101
observation,EP-00241,,context/component,RB2-000102
observation,EP-00242,,context/component,RB2-004103
observation,EP-00243,,context/component,RB2-000103
observation,EP-00244,,context/component,RB2-000104
observation,EP-00245,,context/component,IFVG2-000012
observation,EP-00246,,context/component,RB2-000105
observation,EP-00247,,context/component,RB2-000095
observation,EP-00247,,context/component,RB2-004103
observation,EP-00248,,context/component,RB2-003108
observation,EP-00249,,context/component,FVG2-000757
observation,EP-00250,,context/component,RB2-003108
observation,EP-00251,,context/component,FVG2-000757
observation,EP-00251,,context/component,IFVG2-000011
observation,EP-00252,,context/component,RB2-000106
observation,EP-00253,,context/component,FVG2-001014
observation,EP-00253,,context/component,RB2-004105
observation,EP-00254,,context/component,FVG2-001014
observation,EP-00254,,context/component,RB2-004105
observation,EP-00255,,context/component,RB2-000107
observation,EP-00256,,context/component,RB2-000108
observation,EP-00257,,context/component,IFVG2-000392
observation,EP-00257,,context/component,RB2-003110
observation,EP-00258,,context/component,IFVG2-000392
observation,EP-00258,,context/component,RB2-003110
observation,EP-00259,,context/component,RB2-003109
observation,EP-00260,,context/component,RB2-003109
observation,EP-00261,,context/component,FVG2-000026
observation,EP-00262,,context/component,RB2-000109
observation,EP-00263,,context/component,RB2-000111
observation,EP-00264,,context/component,FVG2-000028
observation,EP-00265,,context/component,RB2-000112
observation,EP-00266,,context/component,RB2-003111
observation,EP-00267,,context/component,RB2-003111
observation,EP-00268,,context/component,RB2-004106
observation,EP-00269,,context/component,RB2-004106
observation,EP-00270,,context/component,RB2-003112
observation,EP-00271,,context/component,RB2-003112
observation,EP-00272,,context/component,RB2-000113
observation,EP-00273,,context/component,RB2-000114
observation,EP-00274,,context/component,RB2-003113
observation,EP-00275,,context/component,RB2-003113
observation,EP-00276,,context/component,RB2-000115
observation,EP-00277,,context/component,RB2-000116
observation,EP-00278,,context/component,RB2-000117
observation,EP-00278,,context/component,RB2-003114
observation,EP-00278,,context/component,RB2-004108
observation,EP-00279,,context/component,RB2-003114
observation,EP-00280,,context/component,RB2-004108
observation,EP-00281,,context/component,RB2-003115
observation,EP-00282,,context/component,RB2-003115
observation,EP-00283,,context/component,RB2-000118
observation,EP-00284,,context/component,RB2-004109
observation,EP-00285,,context/component,RB2-004109
observation,EP-00286,,context/component,RB2-000120
observation,EP-00287,,context/component,FVG2-000029
observation,EP-00287,,context/component,RB2-000121
observation,EP-00288,,context/component,RB2-000119
observation,EP-00289,,context/component,RB2-000123
observation,EP-00289,,context/component,RB2-003116
observation,EP-00290,,context/component,RB2-003116
observation,EP-00291,,context/component,RB2-004107
observation,EP-00292,,context/component,FVG2-001169
observation,EP-00292,,context/component,RB2-004726
observation,EP-00293,,context/component,RB2-004725
observation,EP-00294,,context/component,FVG2-001218
observation,EP-00295,,context/component,RB2-000122
observation,EP-00296,,context/component,RB2-004726
observation,EP-00297,,context/component,FVG2-000758
observation,EP-00297,,context/component,FVG2-001169
observation,EP-00297,,context/component,FVG2-001218
observation,EP-00298,,context/component,RB2-004107
observation,EP-00299,,context/component,RB2-000124
observation,EP-00300,,context/component,FVG2-000758
observation,EP-00301,,context/component,FVG2-000027
observation,EP-00301,,context/component,RB2-000110
observation,EP-00301,,context/component,RB2-004725
observation,EP-00302,,context/component,IFVG2-000013
observation,EP-00303,,context/component,RB2-000126
observation,EP-00303,,context/component,RB2-003118
observation,EP-00304,,context/component,RB2-003118
observation,EP-00305,,context/component,RB2-000127
observation,EP-00306,,context/component,RB2-004112
observation,EP-00307,,context/component,RB2-000128
observation,EP-00307,,context/component,RB2-003119
observation,EP-00308,,context/component,FVG2-000032
observation,EP-00308,,context/component,IFVG2-000015
observation,EP-00309,,context/component,RB2-003119
observation,EP-00310,,context/component,IFVG2-000393
observation,EP-00311,,context/component,IFVG2-000014
observation,EP-00311,,context/component,IFVG2-000393
observation,EP-00312,,context/component,IFVG2-000016
observation,EP-00313,,context/component,RB2-004112
observation,EP-00314,,context/component,RB2-004113
observation,EP-00315,,context/component,RB2-003120
observation,EP-00316,,context/component,RB2-003120
observation,EP-00317,,context/component,RB2-004113
observation,EP-00318,,context/component,IFVG2-000615
observation,EP-00319,,context/component,RB2-000129
observation,EP-00320,,context/component,RB2-000131
observation,EP-00321,,context/component,IFVG2-000615
observation,EP-00322,,context/component,FVG2-000033
observation,EP-00323,,context/component,RB2-000130
observation,EP-00324,,context/component,FVG2-000034
observation,EP-00325,,context/component,RB2-000133
observation,EP-00326,,context/component,RB2-003121
observation,EP-00327,,context/component,RB2-003121
observation,EP-00328,,context/component,RB2-004114
observation,EP-00329,,context/component,FVG2-001170
observation,EP-00329,,context/component,RB2-004728
observation,EP-00330,,context/component,IFVG2-000636
observation,EP-00331,,context/component,RB2-000132
observation,EP-00331,,context/component,RB2-004114
observation,EP-00332,,context/component,RB2-000134
observation,EP-00333,,context/component,RB2-000135
observation,EP-00334,,context/component,RB2-000136
observation,EP-00335,,context/component,RB2-003122
observation,EP-00336,,context/component,RB2-003122
observation,EP-00337,,context/component,RB2-000139
observation,EP-00338,,context/component,FVG2-001016
observation,EP-00339,,context/component,RB2-004728
observation,EP-00340,,context/component,RB2-000141
observation,EP-00341,,context/component,FVG2-000031
observation,EP-00341,,context/component,FVG2-000760
observation,EP-00341,,context/component,FVG2-001016
observation,EP-00341,,context/component,FVG2-001170
observation,EP-00341,,context/component,IFVG2-000636
observation,EP-00342,,context/component,FVG2-000760
observation,EP-00343,,context/component,RB2-000125
observation,EP-00344,,context/component,RB2-000143
observation,EP-00345,,context/component,RB2-000144
observation,EP-00346,,context/component,FVG2-000030
observation,EP-00346,,context/component,FVG2-000759
observation,EP-00347,,context/component,FVG2-000759
observation,EP-00348,,context/component,FVG2-001015
observation,EP-00348,,context/component,RB2-004110
observation,EP-00348,,context/component,RB2-004111
observation,EP-00349,,context/component,RB2-004727
observation,EP-00350,,context/component,RB2-000145
observation,EP-00351,,context/component,IFVG2-000394
observation,EP-00351,,context/component,RB2-003124
observation,EP-00352,,context/component,RB2-003117
observation,EP-00352,,context/component,RB2-004111
observation,EP-00353,,context/component,IFVG2-000394
observation,EP-00353,,context/component,RB2-003124
observation,EP-00354,,context/component,RB2-003117
observation,EP-00355,,context/component,FVG2-001015
observation,EP-00355,,context/component,RB2-004110
observation,EP-00356,,context/component,RB2-000146
observation,EP-00357,,context/component,IFVG2-000535
observation,EP-00357,,context/component,RB2-004116
observation,EP-00358,,context/component,IFVG2-000535
observation,EP-00358,,context/component,RB2-004116
observation,EP-00359,,context/component,RB2-000148
observation,EP-00360,,context/component,RB2-004727
observation,EP-00361,,context/component,RB2-003125
observation,EP-00362,,context/component,RB2-003125
observation,EP-00363,,context/component,RB2-000149
observation,EP-00364,,context/component,RB2-000147
observation,EP-00365,,context/component,IFVG2-000616
observation,EP-00366,,context/component,RB2-003126
observation,EP-00366,,context/component,RB2-004117
observation,EP-00367,,context/component,FVG2-000039
observation,EP-00368,,context/component,RB2-000150
observation,EP-00369,,context/component,RB2-003126
observation,EP-00370,,context/component,RB2-004117
observation,EP-00371,,context/component,IFVG2-000616
observation,EP-00372,,context/component,FVG2-001242
observation,EP-00373,,context/component,IFVG2-000018
observation,EP-00374,,context/component,RB2-000151
observation,EP-00375,,context/component,RB2-000152
observation,EP-00376,,context/component,FVG2-000040
observation,EP-00377,,context/component,RB2-000153
observation,EP-00378,,context/component,RB2-000154
observation,EP-00379,,context/component,RB2-003127
observation,EP-00380,,context/component,FVG2-000762
observation,EP-00381,,context/component,RB2-003127
observation,EP-00382,,context/component,FVG2-000762
observation,EP-00382,,context/component,FVG2-001017
observation,EP-00383,,context/component,IFVG2-000019
observation,EP-00384,,context/component,RB2-000155
observation,EP-00385,,context/component,FVG2-001017
observation,EP-00386,,context/component,FVG2-000038
observation,EP-00387,,context/component,IFVG2-000017
observation,EP-00387,,context/component,RB2-003123
observation,EP-00388,,context/component,FVG2-000761
observation,EP-00388,,context/component,RB2-003123
observation,EP-00389,,context/component,FVG2-000037
observation,EP-00389,,context/component,FVG2-000761
observation,EP-00390,,context/component,RB2-000157
observation,EP-00391,,context/component,RB2-000158
observation,EP-00392,,context/component,FVG2-000036
observation,EP-00392,,context/component,RB2-000142
observation,EP-00393,,context/component,RB2-000160
observation,EP-00393,,context/component,RB2-003128
observation,EP-00394,,context/component,RB2-000140
observation,EP-00395,,context/component,RB2-003128
observation,EP-00396,,context/component,FVG2-000035
observation,EP-00397,,context/component,RB2-000138
observation,EP-00398,,context/component,IFVG2-000536
observation,EP-00399,,context/component,IFVG2-000396
observation,EP-00399,,context/component,IFVG2-000536
observation,EP-00400,,context/component,IFVG2-000396
observation,EP-00401,,context/component,RB2-000161
observation,EP-00402,,context/component,RB2-000162
observation,EP-00403,,context/component,RB2-000163
observation,EP-00404,,context/component,RB2-003129
observation,EP-00405,,context/component,RB2-003129
observation,EP-00406,,context/component,RB2-000164
observation,EP-00406,,context/component,RB2-004118
observation,EP-00407,,context/component,RB2-004115
observation,EP-00408,,context/component,RB2-004118
observation,EP-00409,,context/component,RB2-004115
observation,EP-00410,,context/component,RB2-003130
observation,EP-00411,,context/component,RB2-003130
observation,EP-00412,,context/component,RB2-000165
observation,EP-00413,,context/component,RB2-000166
observation,EP-00413,,context/component,RB2-004730
observation,EP-00414,,context/component,RB2-000137
observation,EP-00415,,context/component,RB2-004730
observation,EP-00416,,context/component,RB2-000168
observation,EP-00417,,context/component,RB2-000167
observation,EP-00418,,context/component,FVG2-001242
observation,EP-00419,,context/component,RB2-000169
observation,EP-00420,,context/component,RB2-000171
observation,EP-00421,,context/component,RB2-000172
observation,EP-00422,,context/component,FVG2-000044
observation,EP-00423,,context/component,RB2-003133
observation,EP-00424,,context/component,RB2-003133
observation,EP-00425,,context/component,RB2-004119
observation,EP-00426,,context/component,RB2-000173
observation,EP-00427,,context/component,RB2-000175
observation,EP-00428,,context/component,RB2-004119
observation,EP-00429,,context/component,RB2-003132
observation,EP-00430,,context/component,RB2-000174
observation,EP-00431,,context/component,RB2-000176
observation,EP-00432,,context/component,RB2-003132
observation,EP-00433,,context/component,RB2-004120
observation,EP-00434,,context/component,RB2-000177
observation,EP-00435,,context/component,RB2-004120
observation,EP-00436,,context/component,RB2-000178
observation,EP-00437,,context/component,RB2-003134
observation,EP-00438,,context/component,RB2-003134
observation,EP-00439,,context/component,RB2-004101
observation,EP-00440,,context/component,RB2-004101
observation,EP-00441,,context/component,RB2-000180
observation,EP-00442,,context/component,RB2-000182
observation,EP-00443,,context/component,RB2-000179
observation,EP-00444,,context/component,RB2-003135
observation,EP-00444,,context/component,RB2-004731
observation,EP-00445,,context/component,RB2-003135
observation,EP-00446,,context/component,FVG2-001172
observation,EP-00446,,context/component,RB2-004731
observation,EP-00447,,context/component,FVG2-001172
observation,EP-00447,,context/component,RB2-000170
observation,EP-00448,,context/component,RB2-003131
observation,EP-00449,,context/component,RB2-003131
observation,EP-00450,,context/component,FVG2-000047
observation,EP-00451,,context/component,RB2-000183
observation,EP-00452,,context/component,FVG2-000764
observation,EP-00453,,context/component,FVG2-000045
observation,EP-00453,,context/component,FVG2-000046
observation,EP-00453,,context/component,FVG2-000764
observation,EP-00454,,context/component,IFVG2-000021
observation,EP-00455,,context/component,RB2-003136
observation,EP-00456,,context/component,RB2-000184
observation,EP-00457,,context/component,RB2-003136
observation,EP-00458,,context/component,RB2-000186
observation,EP-00458,,context/component,RB2-004121
observation,EP-00459,,context/component,RB2-004121
observation,EP-00460,,context/component,RB2-000185
observation,EP-00461,,context/component,IFVG2-000397
observation,EP-00462,,context/component,IFVG2-000397
observation,EP-00463,,context/component,RB2-000187
observation,EP-00463,,context/component,RB2-003137
observation,EP-00463,,context/component,RB2-004732
observation,EP-00464,,context/component,RB2-003137
observation,EP-00465,,context/component,FVG2-001171
observation,EP-00466,,context/component,RB2-004732
observation,EP-00467,,context/component,RB2-000188
observation,EP-00468,,context/component,RB2-000189
observation,EP-00469,,context/component,RB2-000190
observation,EP-00469,,context/component,RB2-004122
observation,EP-00470,,context/component,RB2-004122
observation,EP-00471,,context/component,FVG2-001171
observation,EP-00472,,context/component,FVG2-000049
observation,EP-00472,,context/component,RB2-000191
observation,EP-00473,,context/component,RB2-000192
observation,EP-00474,,context/component,RB2-000193
observation,EP-00475,,context/component,FVG2-000763
observation,EP-00475,,context/component,IFVG2-000395
observation,EP-00476,,context/component,FVG2-000043
observation,EP-00476,,context/component,FVG2-000763
observation,EP-00476,,context/component,IFVG2-000020
observation,EP-00476,,context/component,IFVG2-000395
observation,EP-00477,,context/component,RB2-000159
observation,EP-00478,,context/component,RB2-000194
observation,EP-00479,,context/component,FVG2-000042
observation,EP-00480,,context/component,RB2-000156
observation,EP-00481,,context/component,IFVG2-000617
observation,EP-00482,,context/component,FVG2-000041
observation,EP-00483,,context/component,FVG2-000051
observation,EP-00484,,context/component,RB2-003139
observation,EP-00485,,context/component,RB2-003139
observation,EP-00486,,context/component,RB2-000195
observation,EP-00486,,context/component,RB2-004124
observation,EP-00487,,context/component,FVG2-001018
observation,EP-00488,,context/component,RB2-004124
observation,EP-00489,,context/component,FVG2-000050
observation,EP-00489,,context/component,FVG2-000766
observation,EP-00489,,context/component,FVG2-001018
observation,EP-00490,,context/component,FVG2-000767
observation,EP-00491,,context/component,FVG2-000766
observation,EP-00492,,context/component,FVG2-000767
observation,EP-00493,,context/component,IFVG2-000617
observation,EP-00494,,context/component,FVG2-000052
observation,EP-00494,,context/component,IFVG2-000023
observation,EP-00494,,context/component,RB2-000197
observation,EP-00495,,context/component,IFVG2-000398
observation,EP-00496,,context/component,RB2-003138
observation,EP-00497,,context/component,IFVG2-000398
observation,EP-00498,,context/component,RB2-003138
observation,EP-00498,,context/component,RB2-004123
observation,EP-00499,,context/component,RB2-000198
observation,EP-00499,,context/component,RB2-004125
observation,EP-00500,,context/component,RB2-004123
observation,EP-00501,,context/component,RB2-004125
observation,EP-00502,,context/component,RB2-000199
observation,EP-00503,,context/component,FVG2-000765
observation,EP-00504,,context/component,FVG2-000765
observation,EP-00505,,context/component,IFVG2-000537
observation,EP-00506,,context/component,IFVG2-000399
observation,EP-00507,,context/component,IFVG2-000537
observation,EP-00508,,context/component,RB2-004733
observation,EP-00509,,context/component,RB2-000201
observation,EP-00510,,context/component,IFVG2-000022
observation,EP-00510,,context/component,IFVG2-000399
observation,EP-00510,,context/component,RB2-004733
observation,EP-00511,,context/component,FVG2-000054
observation,EP-00512,,context/component,RB2-000202
observation,EP-00513,,context/component,RB2-000203
observation,EP-00514,,context/component,RB2-004126
observation,EP-00515,,context/component,RB2-004126
observation,EP-00516,,context/component,RB2-003140
observation,EP-00517,,context/component,FVG2-000053
observation,EP-00518,,context/component,RB2-003140
observation,EP-00519,,context/component,RB2-000200
observation,EP-00520,,context/component,RB2-000204
observation,EP-00521,,context/component,RB2-000205
observation,EP-00522,,context/component,RB2-003141
observation,EP-00523,,context/component,RB2-003141
observation,EP-00524,,context/component,FVG2-000768
observation,EP-00525,,context/component,FVG2-000055
observation,EP-00525,,context/component,FVG2-000768
observation,EP-00526,,context/component,RB2-000206
observation,EP-00527,,context/component,RB2-004952
observation,EP-00528,,context/component,FVG2-000048
observation,EP-00529,,context/component,RB2-000207
observation,EP-00530,,context/component,IFVG2-000024
observation,EP-00531,,context/component,RB2-000208
observation,EP-00532,,context/component,RB2-000209
observation,EP-00533,,context/component,FVG2-000056
observation,EP-00534,,context/component,RB2-000211
observation,EP-00535,,context/component,RB2-004952
observation,EP-00536,,context/component,RB2-000196
observation,EP-00537,,context/component,FVG2-000059
