episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00036,1,F,1,3,True,fvg,FVG2-000801,FVG2-000004|FVG2-000801,True,60,29892.5,29908.75,FAILED_REACTION,1,0,EP-00036-ENTRY_ON_TAP
EP-00037,1,B,1,1,False,fvg,FVG2-000003,FVG2-000003,False,60,29882.75,29883.0,DELAYED_DISPLACEMENT,3,0,EP-00037-ENTRY_ON_TAP|EP-00037-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00037-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00038,-1,A,3,3,False,rb,RB2-003113,RB2-003113,False,60,29910.25,29915.0,CLOSE_BACK_OUTSIDE,2,0,EP-00038-ENTRY_ON_TAP|EP-00038-ENTRY_ON_FIRST_CLOSE_OUTSIDE
EP-00039,1,B,3,3,False,fvg,FVG2-000801,FVG2-000801,False,60,29892.5,29908.75,FAILED_REACTION,1,0,EP-00039-ENTRY_ON_TAP
EP-00040,-1,F,1,1,False,fvg,FVG2-000006,FVG2-000006|RB2-000022,True,62,29898.75,29909.5,MINIMAL_WICK_REJECTION,3,0,EP-00040-ENTRY_ON_TAP|EP-00040-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00040-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00041,1,A,1,1,False,rb,RB2-000023,RB2-000023,False,65,29888.25,29894.25,MINIMAL_WICK_REJECTION,3,0,EP-00041-ENTRY_ON_TAP|EP-00041-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00041-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00042,-1,A,1,1,False,rb,RB2-000024,RB2-000024,False,66,29896.0,29905.25,DELAYED_DISPLACEMENT,4,0,EP-00042-ENTRY_ON_TAP|EP-00042-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00042-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00042-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00043,-1,A,3,3,False,rb,RB2-003114,RB2-003114,False,69,29893.5,29904.5,MINIMAL_WICK_REJECTION,3,0,EP-00043-ENTRY_ON_TAP|EP-00043-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00043-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00044,-1,A,1,3,True,rb,RB2-003114,RB2-003114,False,70,29893.5,29904.5,DELAYED_DISPLACEMENT,4,0,EP-00044-ENTRY_ON_TAP|EP-00044-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00044-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00044-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00045,-1,A,1,1,False,rb,RB2-000025,RB2-000025,False,70,29890.75,29892.0,FAILED_REACTION,1,0,EP-00045-ENTRY_ON_TAP
EP-00046,1,F,1,5,True,rb,RB2-004168,RB2-003115|RB2-004168,True,75,29884.5,29891.25,STRONG_REJECTION_DEPARTURE,4,0,EP-00046-ENTRY_ON_TAP|EP-00046-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00046-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00046-ENTRY_ON_STRONG_REJECTION
EP-00047,1,A,3,3,False,rb,RB2-003115,RB2-003115,False,75,29884.5,29891.25,FAILED_REACTION,1,0,EP-00047-ENTRY_ON_TAP
EP-00048,1,A,5,5,False,rb,RB2-004168,RB2-004168,False,75,29884.5,29891.25,FAILED_REACTION,1,0,EP-00048-ENTRY_ON_TAP
EP-00049,-1,A,1,1,False,rb,RB2-000026,RB2-000026,False,77,29886.75,29891.5,DELAYED_DISPLACEMENT,4,0,EP-00049-ENTRY_ON_TAP|EP-00049-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00049-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00049-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00050,1,A,1,1,False,rb,RB2-000027,RB2-000027,False,79,29885.5,29888.0,FAILED_REACTION,1,0,EP-00050-ENTRY_ON_TAP
EP-00051,1,A,1,3,True,rb,RB2-003116,RB2-003116,False,81,29880.25,29887.0,FAILED_REACTION,1,0,EP-00051-ENTRY_ON_TAP
