episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00059,1,A,1,1,False,rb,RB2-000032,RB2-000032,False,84,29968.0,29981.0,MINIMAL_WICK_REJECTION,4,0,EP-00059-ENTRY_ON_TAP|EP-00059-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00059-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00059-ENTRY_ON_NEW_FVG
EP-00060,-1,A,1,1,False,rb,RB2-000035,RB2-000035,False,86,29981.0,29983.75,FAILED_REACTION,1,0,EP-00060-ENTRY_ON_TAP
EP-00061,1,A,3,3,False,rb,RB2-003081,RB2-003081,False,87,29975.75,29984.25,IMMEDIATE_DISPLACEMENT,5,0,EP-00061-ENTRY_ON_TAP|EP-00061-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00061-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00061-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00061-ENTRY_ON_NEW_IFVG
EP-00062,1,A,1,3,True,rb,RB2-003081,RB2-003081,False,89,29975.75,29984.25,IMMEDIATE_DISPLACEMENT,5,0,EP-00062-ENTRY_ON_TAP|EP-00062-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00062-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00062-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00062-ENTRY_ON_NEW_FVG
EP-00063,1,B,1,1,False,fvg,FVG2-000003,FVG2-000003,False,89,29984.5,29988.25,IMMEDIATE_DISPLACEMENT,5,0,EP-00063-ENTRY_ON_TAP|EP-00063-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00063-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00063-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00063-ENTRY_ON_NEW_FVG
EP-00064,1,F,1,1,False,fvg,FVG2-000004,FVG2-000004|RB2-000036,True,93,29998.0,30002.0,FAILED_REACTION,3,0,EP-00064-ENTRY_ON_TAP|EP-00064-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00064-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00065,1,A,1,1,False,rb,RB2-000037,RB2-000037,False,95,29998.75,30001.75,FAILED_REACTION,1,0,EP-00065-ENTRY_ON_TAP
EP-00066,1,A,5,5,False,rb,RB2-004091,RB2-004091,False,95,29974.0,29983.5,DELAYED_DISPLACEMENT,4,0,EP-00066-ENTRY_ON_TAP|EP-00066-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00066-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00066-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00067,1,A,1,5,True,rb,RB2-004091,RB2-004091,False,96,29974.0,29983.5,MINIMAL_WICK_REJECTION,3,0,EP-00067-ENTRY_ON_TAP|EP-00067-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00067-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00068,1,A,1,3,True,rb,RB2-003082,RB2-003082,False,96,29998.75,30001.5,FAILED_REACTION,1,0,EP-00068-ENTRY_ON_TAP
EP-00069,1,A,3,3,False,rb,RB2-003082,RB2-003082,False,96,29998.75,30001.5,FAILED_REACTION,1,0,EP-00069-ENTRY_ON_TAP
EP-00070,-1,B,1,1,False,fvg,FVG2-000005,FVG2-000005,False,98,29988.0,29999.5,DELAYED_DISPLACEMENT,4,0,EP-00070-ENTRY_ON_TAP|EP-00070-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00070-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00070-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00071,1,A,1,1,False,rb,RB2-000038,RB2-000038,False,98,29983.25,29986.0,FAILED_REACTION,1,0,EP-00071-ENTRY_ON_TAP
EP-00072,1,A,1,3,True,rb,RB2-003083,RB2-003083,False,99,29980.0,29986.25,FAILED_REACTION,1,0,EP-00072-ENTRY_ON_TAP
EP-00073,1,A,3,3,False,rb,RB2-003083,RB2-003083,False,99,29980.0,29986.25,FAILED_REACTION,1,0,EP-00073-ENTRY_ON_TAP
EP-00074,1,A,1,3,True,rb,RB2-003084,RB2-003084,False,105,29970.75,29976.0,DELAYED_DISPLACEMENT,3,0,EP-00074-ENTRY_ON_TAP|EP-00074-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00074-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00075,-1,B,3,3,False,fvg,FVG2-000749,FVG2-000749,False,105,29988.5,29998.75,FAILED_REACTION,1,0,EP-00075-ENTRY_ON_TAP
EP-00076,1,A,3,3,False,rb,RB2-003084,RB2-003084,False,105,29970.75,29976.0,IMMEDIATE_DISPLACEMENT,4,0,EP-00076-ENTRY_ON_TAP|EP-00076-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00076-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00076-ENTRY_ON_NEW_IFVG
EP-00077,-1,B,1,3,True,fvg,FVG2-000749,FVG2-000749,False,106,29988.5,29998.75,IMMEDIATE_DISPLACEMENT,4,0,EP-00077-ENTRY_ON_TAP|EP-00077-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00077-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00077-ENTRY_ON_IMMEDIATE_DISPLACEMENT
EP-00078,-1,C,1,1,False,ifvg,IFVG2-000002,IFVG2-000002,False,110,29998.0,30002.0,DELAYED_DISPLACEMENT,5,0,EP-00078-ENTRY_ON_IFVG_RETEST|EP-00078-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00078-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00078-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00078-ENTRY_ON_NEW_FVG
EP-00079,1,C,1,3,True,ifvg,IFVG2-000389,IFVG2-000389,False,111,29988.5,29998.75,FAILED_REACTION,1,0,EP-00079-ENTRY_ON_IFVG_RETEST
EP-00080,1,C,3,3,False,ifvg,IFVG2-000389,IFVG2-000389,False,111,29988.5,29998.75,FAILED_REACTION,1,0,EP-00080-ENTRY_ON_IFVG_RETEST
EP-00081,1,A,1,1,False,rb,RB2-000039,RB2-000039,False,112,29993.75,29998.5,FAILED_REACTION,1,0,EP-00081-ENTRY_ON_TAP
EP-00082,1,A,1,1,False,rb,RB2-000040,RB2-000040,False,114,29991.0,29996.5,FAILED_REACTION,1,0,EP-00082-ENTRY_ON_TAP
EP-00083,-1,A,1,5,True,rb,RB2-004093,RB2-004093,False,115,29991.75,30005.75,DELAYED_DISPLACEMENT,4,0,EP-00083-ENTRY_ON_TAP|EP-00083-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00083-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00083-ENTRY_ON_NEW_FVG
