episode_id,variant_id,entry_variant,reaction_state,match_mode,playbook_items,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,entry_ts,entry_price,stop_price,target_surface,target_family,target_tf,natural_rr,rejection_reason
EP-00033,EP-00033-ENTRY_ON_DELAYED_DISPLACEMENT,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:01:00-04:00,29888.0,29912.75,29883.25,rb,1,0.1919,INSUFFICIENT_NATURAL_RR
EP-00034,EP-00034-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:00:00-04:00,29909.75,29914.75,29908.75,fvg,3,0.2,INSUFFICIENT_NATURAL_RR
EP-00035,EP-00035-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:01:00-04:00,29888.0,29915.0,29883.25,rb,1,0.1759,INSUFFICIENT_NATURAL_RR
EP-00035,EP-00035-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:02:00-04:00,29886.0,29915.0,29883.25,rb,1,0.0948,INSUFFICIENT_NATURAL_RR
EP-00037,EP-00037-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,B,GLOBEX_EVENING,1,1,False,2026-07-12 19:01:00-04:00,29888.0,29882.75,29908.25,ifvg,1,3.8571,authorized_pattern_but_target_or_rr_family_mismatch
EP-00037,EP-00037-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,1,B,GLOBEX_EVENING,1,1,False,2026-07-12 19:03:00-04:00,29898.0,29882.75,29898.75,fvg,1,0.0492,INSUFFICIENT_NATURAL_RR
EP-00038,EP-00038-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:06:00-04:00,29893.5,29915.0,29883.25,rb,1,0.4767,INSUFFICIENT_NATURAL_RR
EP-00040,EP-00040-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,-1,F,GLOBEX_EVENING,1,1,False,2026-07-12 19:03:00-04:00,29898.0,29909.5,29883.25,rb,1,1.2826,authorized_pattern_but_target_or_rr_family_mismatch
EP-00041,EP-00041-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,PATTERN_NEAR,,1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:06:00-04:00,29893.5,29888.25,29896.0,rb,1,0.4762,INSUFFICIENT_NATURAL_RR
EP-00042,EP-00042-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,PATTERN_NEAR,,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:09:00-04:00,29889.75,29905.25,29883.25,rb,1,0.4194,INSUFFICIENT_NATURAL_RR
