episode_id,role,structure_id
EP-00051,target:BRANCH_SEMANTIC_TARGET,RB2-000080
EP-00051,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000080
EP-00052,context/component,RB2-000080
EP-00052,target:NEAREST_VALID_STRUCTURE,RB2-000079
EP-00052,target:BRANCH_SEMANTIC_TARGET,RB2-000079
EP-00052,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000079
EP-00053,context/component,IFVG2-000009
EP-00053,target:NEAREST_VALID_STRUCTURE,FVG2-000017
EP-00053,target:BRANCH_SEMANTIC_TARGET,FVG2-000017
EP-00053,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000017
EP-00054,context/component,IFVG2-000009
EP-00054,target:NEAREST_VALID_STRUCTURE,RB2-003102
EP-00054,target:BRANCH_SEMANTIC_TARGET,RB2-003102
EP-00054,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003102
EP-00055,context/component,FVG2-000019
EP-00055,target:NEAREST_VALID_STRUCTURE,RB2-000078
EP-00055,target:BRANCH_SEMANTIC_TARGET,RB2-000078
EP-00055,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000078
EP-00056,context/component,IFVG2-000010
EP-00056,target:NEAREST_VALID_STRUCTURE,RB2-003101
EP-00056,target:BRANCH_SEMANTIC_TARGET,RB2-003101
EP-00056,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003101
EP-00057,context/component,RB2-003103
EP-00057,target:NEAREST_VALID_STRUCTURE,RB2-000080
EP-00057,target:BRANCH_SEMANTIC_TARGET,RB2-000080
EP-00058,context/component,RB2-000092
EP-00058,target:NEAREST_VALID_STRUCTURE,RB2-000093
EP-00058,target:BRANCH_SEMANTIC_TARGET,RB2-000093
EP-00058,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000093
EP-00059,context/component,FVG2-000023
EP-00059,context/component,RB2-000097
EP-00059,target:NEAREST_VALID_STRUCTURE,RB2-000091
EP-00059,target:BRANCH_SEMANTIC_TARGET,RB2-000091
EP-00059,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000091
EP-00060,context/component,FVG2-000024
EP-00060,target:NEAREST_VALID_STRUCTURE,RB2-000091
EP-00060,target:BRANCH_SEMANTIC_TARGET,RB2-000091
EP-00060,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000091
EP-00061,context/component,IFVG2-000010
EP-00061,target:NEAREST_VALID_STRUCTURE,FVG2-000025
EP-00061,target:BRANCH_SEMANTIC_TARGET,FVG2-000025
EP-00061,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000025
EP-00062,context/component,FVG2-000025
EP-00063,context/component,RB2-003107
EP-00063,target:NEAREST_VALID_STRUCTURE,FVG2-000023
EP-00063,target:BRANCH_SEMANTIC_TARGET,FVG2-000023
EP-00063,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004103
EP-00064,context/component,IFVG2-000011
EP-00064,target:NEAREST_VALID_STRUCTURE,RB2-000095
EP-00064,target:BRANCH_SEMANTIC_TARGET,RB2-000095
EP-00064,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000095
EP-00065,context/component,RB2-000095
EP-00065,target:NEAREST_VALID_STRUCTURE,RB2-000080
EP-00065,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00065,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000092
EP-00066,context/component,IFVG2-000011
EP-00066,target:NEAREST_VALID_STRUCTURE,RB2-000093
EP-00066,target:BRANCH_SEMANTIC_TARGET,RB2-000093
EP-00066,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000093
EP-00067,context/component,IFVG2-000012
EP-00067,target:NEAREST_VALID_STRUCTURE,RB2-000093
EP-00067,target:BRANCH_SEMANTIC_TARGET,RB2-000093
EP-00067,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000093
EP-00068,context/component,RB2-004723
EP-00069,context/component,IFVG2-000534
EP-00070,context/component,RB2-000111
EP-00070,target:NEAREST_VALID_STRUCTURE,RB2-000112
EP-00070,target:BRANCH_SEMANTIC_TARGET,RB2-000112
EP-00070,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000112
EP-00071,context/component,RB2-000112
EP-00072,context/component,RB2-000117
EP-00072,target:NEAREST_VALID_STRUCTURE,RB2-000115
EP-00072,target:BRANCH_SEMANTIC_TARGET,RB2-000115
EP-00072,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000115
EP-00073,context/component,RB2-000115
EP-00073,target:NEAREST_VALID_STRUCTURE,RB2-000117
EP-00073,target:BRANCH_SEMANTIC_TARGET,RB2-000117
EP-00073,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000117
EP-00074,context/component,RB2-000118
EP-00075,context/component,FVG2-000029
EP-00075,target:NEAREST_VALID_STRUCTURE,RB2-000115
EP-00075,target:BRANCH_SEMANTIC_TARGET,RB2-000115
EP-00075,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000115
EP-00076,context/component,RB2-000119
EP-00076,target:NEAREST_VALID_STRUCTURE,RB2-000115
EP-00076,target:BRANCH_SEMANTIC_TARGET,RB2-000115
EP-00076,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000115
EP-00077,context/component,RB2-000122
EP-00077,target:NEAREST_VALID_STRUCTURE,FVG2-000028
EP-00077,target:BRANCH_SEMANTIC_TARGET,FVG2-000028
EP-00077,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000028
EP-00078,context/component,IFVG2-000013
EP-00078,target:NEAREST_VALID_STRUCTURE,RB2-003108
EP-00078,target:BRANCH_SEMANTIC_TARGET,RB2-000126
EP-00078,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000126
EP-00079,context/component,IFVG2-000013
EP-00079,target:NEAREST_VALID_STRUCTURE,RB2-000126
EP-00079,target:BRANCH_SEMANTIC_TARGET,RB2-000126
EP-00079,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000126
EP-00080,context/component,RB2-000126
EP-00080,target:NEAREST_VALID_STRUCTURE,FVG2-000028
EP-00080,target:BRANCH_SEMANTIC_TARGET,IFVG2-000013
EP-00080,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000013
EP-00081,context/component,RB2-000127
EP-00081,target:NEAREST_VALID_STRUCTURE,RB2-000109
EP-00081,target:BRANCH_SEMANTIC_TARGET,IFVG2-000012
EP-00081,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000012
EP-00082,context/component,IFVG2-000014
EP-00082,target:NEAREST_VALID_STRUCTURE,FVG2-001014
EP-00082,target:BRANCH_SEMANTIC_TARGET,FVG2-001014
EP-00082,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001014
EP-00083,context/component,RB2-000128
EP-00083,target:NEAREST_VALID_STRUCTURE,RB2-000127
EP-00083,target:BRANCH_SEMANTIC_TARGET,RB2-000127
EP-00083,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000127
EP-00084,context/component,IFVG2-000014
EP-00084,target:NEAREST_VALID_STRUCTURE,RB2-000107
EP-00084,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00084,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000092
EP-00085,context/component,IFVG2-000015
EP-00085,target:NEAREST_VALID_STRUCTURE,FVG2-000022
EP-00085,target:BRANCH_SEMANTIC_TARGET,FVG2-000022
EP-00085,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000022
EP-00086,context/component,IFVG2-000016
EP-00087,context/component,RB2-000131
EP-00087,target:NEAREST_VALID_STRUCTURE,FVG2-000027
EP-00087,target:BRANCH_SEMANTIC_TARGET,IFVG2-000014
EP-00087,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000014
EP-00088,context/component,RB2-004112
EP-00088,target:NEAREST_VALID_STRUCTURE,RB2-000107
EP-00088,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00088,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004102
EP-00089,context/component,IFVG2-000393
EP-00089,context/component,RB2-003120
EP-00089,target:NEAREST_VALID_STRUCTURE,RB2-000130
EP-00089,target:BRANCH_SEMANTIC_TARGET,RB2-000130
EP-00089,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001013
EP-00090,context/component,IFVG2-000615
EP-00090,target:NEAREST_VALID_STRUCTURE,RB2-000100
EP-00090,target:BRANCH_SEMANTIC_TARGET,RB2-000091
EP-00090,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004723
EP-00091,context/component,RB2-000132
EP-00091,target:NEAREST_VALID_STRUCTURE,RB2-000100
EP-00091,target:BRANCH_SEMANTIC_TARGET,RB2-000091
EP-00091,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000091
EP-00092,context/component,RB2-000134
EP-00092,target:NEAREST_VALID_STRUCTURE,RB2-000101
EP-00092,target:BRANCH_SEMANTIC_TARGET,RB2-000101
EP-00092,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000101
EP-00093,context/component,IFVG2-000017
EP-00093,target:NEAREST_VALID_STRUCTURE,RB2-003112
EP-00093,target:BRANCH_SEMANTIC_TARGET,RB2-000143
EP-00093,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000143
EP-00094,context/component,FVG2-000030
EP-00094,target:NEAREST_VALID_STRUCTURE,RB2-000112
EP-00094,target:BRANCH_SEMANTIC_TARGET,RB2-000112
EP-00094,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000112
EP-00095,context/component,FVG2-000031
EP-00095,target:NEAREST_VALID_STRUCTURE,RB2-000112
EP-00095,target:BRANCH_SEMANTIC_TARGET,RB2-000112
EP-00095,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000112
EP-00096,context/component,IFVG2-000394
EP-00096,target:NEAREST_VALID_STRUCTURE,RB2-003111
EP-00096,target:BRANCH_SEMANTIC_TARGET,RB2-003111
EP-00096,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003111
EP-00097,context/component,IFVG2-000535
EP-00097,target:NEAREST_VALID_STRUCTURE,RB2-004727
EP-00097,target:BRANCH_SEMANTIC_TARGET,RB2-004727
EP-00097,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004727
EP-00098,context/component,IFVG2-000394
EP-00098,context/component,RB2-003124
EP-00098,target:NEAREST_VALID_STRUCTURE,FVG2-000029
EP-00098,target:BRANCH_SEMANTIC_TARGET,FVG2-000029
EP-00098,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004727
EP-00099,context/component,RB2-000149
EP-00099,target:NEAREST_VALID_STRUCTURE,RB2-000120
EP-00099,target:BRANCH_SEMANTIC_TARGET,RB2-000120
EP-00099,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000120
EP-00100,context/component,FVG2-001015
EP-00100,target:NEAREST_VALID_STRUCTURE,FVG2-000759
EP-00100,target:BRANCH_SEMANTIC_TARGET,IFVG2-000535
EP-00100,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000535
EP-00101,context/component,RB2-000147
EP-00101,target:NEAREST_VALID_STRUCTURE,RB2-000118
EP-00101,target:BRANCH_SEMANTIC_TARGET,RB2-003126
EP-00101,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003126
EP-00102,context/component,RB2-003126
EP-00102,target:NEAREST_VALID_STRUCTURE,RB2-003112
EP-00102,target:BRANCH_SEMANTIC_TARGET,RB2-003112
EP-00102,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003112
EP-00103,context/component,IFVG2-000018
EP-00104,context/component,RB2-000155
EP-00104,target:NEAREST_VALID_STRUCTURE,RB2-003104
EP-00104,target:BRANCH_SEMANTIC_TARGET,RB2-003104
EP-00104,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003104
EP-00105,context/component,IFVG2-000020
EP-00105,context/component,IFVG2-000615
EP-00105,target:NEAREST_VALID_STRUCTURE,RB2-000107
EP-00105,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00105,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004723
EP-00106,context/component,RB2-004117
EP-00106,context/component,RB2-004727
EP-00106,target:NEAREST_VALID_STRUCTURE,RB2-000107
EP-00106,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00106,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004723
EP-00107,context/component,IFVG2-000395
EP-00107,target:NEAREST_VALID_STRUCTURE,RB2-000104
EP-00107,target:BRANCH_SEMANTIC_TARGET,RB2-000104
EP-00107,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000757
EP-00108,context/component,RB2-000138
EP-00108,target:NEAREST_VALID_STRUCTURE,FVG2-000022
EP-00108,target:BRANCH_SEMANTIC_TARGET,RB2-000161
EP-00108,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000161
EP-00109,context/component,IFVG2-000536
EP-00109,target:NEAREST_VALID_STRUCTURE,FVG2-000035
EP-00109,target:BRANCH_SEMANTIC_TARGET,FVG2-000035
EP-00109,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004115
EP-00110,context/component,RB2-000163
EP-00110,target:NEAREST_VALID_STRUCTURE,FVG2-000022
EP-00110,target:BRANCH_SEMANTIC_TARGET,RB2-000161
EP-00110,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000161
EP-00111,context/component,RB2-000162
EP-00111,target:NEAREST_VALID_STRUCTURE,RB2-000091
EP-00111,target:BRANCH_SEMANTIC_TARGET,RB2-000091
EP-00111,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000091
EP-00112,context/component,IFVG2-000536
EP-00112,target:NEAREST_VALID_STRUCTURE,RB2-000100
EP-00112,target:BRANCH_SEMANTIC_TARGET,RB2-000166
EP-00112,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004115
EP-00113,context/component,RB2-000165
EP-00113,target:NEAREST_VALID_STRUCTURE,RB2-000090
EP-00113,target:BRANCH_SEMANTIC_TARGET,RB2-000090
EP-00113,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000090
EP-00114,context/component,IFVG2-000396
EP-00114,context/component,RB2-003129
EP-00114,target:NEAREST_VALID_STRUCTURE,FVG2-000755
EP-00114,target:BRANCH_SEMANTIC_TARGET,FVG2-000755
EP-00114,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000755
EP-00115,context/component,RB2-004118
EP-00115,target:NEAREST_VALID_STRUCTURE,RB2-004723
EP-00115,target:BRANCH_SEMANTIC_TARGET,RB2-004723
EP-00115,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004723
EP-00116,context/component,FVG2-000044
EP-00116,target:NEAREST_VALID_STRUCTURE,RB2-000088
EP-00116,target:BRANCH_SEMANTIC_TARGET,RB2-000172
EP-00116,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000172
EP-00117,context/component,RB2-000172
EP-00117,target:NEAREST_VALID_STRUCTURE,RB2-003107
EP-00117,target:BRANCH_SEMANTIC_TARGET,RB2-004119
EP-00117,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004119
EP-00118,context/component,RB2-000174
EP-00118,context/component,RB2-003133
EP-00118,target:NEAREST_VALID_STRUCTURE,RB2-003107
EP-00118,target:BRANCH_SEMANTIC_TARGET,RB2-004119
EP-00118,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004119
EP-00119,context/component,RB2-003132
EP-00119,target:NEAREST_VALID_STRUCTURE,RB2-000181
EP-00119,target:BRANCH_SEMANTIC_TARGET,RB2-000181
EP-00119,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004101
EP-00120,context/component,RB2-000182
EP-00120,target:NEAREST_VALID_STRUCTURE,RB2-000169
EP-00120,target:BRANCH_SEMANTIC_TARGET,RB2-000176
EP-00120,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000176
EP-00121,context/component,RB2-004101
EP-00121,target:NEAREST_VALID_STRUCTURE,RB2-000138
EP-00121,target:BRANCH_SEMANTIC_TARGET,RB2-000099
EP-00121,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004104
EP-00122,context/component,RB2-003131
EP-00122,target:NEAREST_VALID_STRUCTURE,RB2-003136
EP-00122,target:BRANCH_SEMANTIC_TARGET,RB2-003136
EP-00122,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003136
EP-00123,context/component,IFVG2-000021
EP-00123,target:NEAREST_VALID_STRUCTURE,FVG2-000045
EP-00123,target:BRANCH_SEMANTIC_TARGET,FVG2-000045
EP-00123,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000045
EP-00124,context/component,RB2-000184
EP-00124,target:NEAREST_VALID_STRUCTURE,FVG2-000045
EP-00124,target:BRANCH_SEMANTIC_TARGET,FVG2-000045
EP-00124,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000045
EP-00125,context/component,IFVG2-000397
EP-00126,context/component,RB2-000188
EP-00126,target:NEAREST_VALID_STRUCTURE,RB2-000134
EP-00126,target:BRANCH_SEMANTIC_TARGET,RB2-000168
EP-00126,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000168
EP-00127,context/component,RB2-003136
EP-00127,target:NEAREST_VALID_STRUCTURE,FVG2-000761
EP-00127,target:BRANCH_SEMANTIC_TARGET,IFVG2-000396
EP-00127,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000396
EP-00128,context/component,RB2-004121
EP-00128,target:NEAREST_VALID_STRUCTURE,RB2-000092
EP-00128,target:BRANCH_SEMANTIC_TARGET,RB2-000141
