episode_id,policy,structure_id,family,timeframe,surface,distance,freshness_bars,availability_seq,natural_rr
EP-00045,NEAREST_VALID_STRUCTURE,RB2-000069,rb,1,29813.0,7.25,7,174,0.2929
EP-00045,BRANCH_SEMANTIC_TARGET,RB2-000069,rb,1,29813.0,7.25,7,174,0.2929
EP-00045,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000069,rb,1,29813.0,7.25,7,174,0.2929
EP-00046,NEAREST_VALID_STRUCTURE,RB2-000036,rb,1,29845.0,1.0,75,108,0.0274
EP-00046,BRANCH_SEMANTIC_TARGET,RB2-000038,rb,1,29863.5,19.5,73,110,0.5342
EP-00046,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003130,rb,3,29881.75,37.75,18,165,1.0342
EP-00047,NEAREST_VALID_STRUCTURE,RB2-004181,rb,5,29819.75,4.25,3,190,0.1589
EP-00047,BRANCH_SEMANTIC_TARGET,RB2-004181,rb,5,29819.75,4.25,3,190,0.1589
EP-00047,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004181,rb,5,29819.75,4.25,3,190,0.1589
EP-00048,NEAREST_VALID_STRUCTURE,RB2-000069,rb,1,29813.0,1.0,20,174,0.0816
EP-00048,BRANCH_SEMANTIC_TARGET,RB2-000069,rb,1,29813.0,1.0,20,174,0.0816
EP-00048,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000069,rb,1,29813.0,1.0,20,174,0.0816
EP-00049,NEAREST_VALID_STRUCTURE,RB2-000036,rb,1,29845.0,2.75,88,108,0.0714
EP-00049,BRANCH_SEMANTIC_TARGET,RB2-000038,rb,1,29863.5,21.25,86,110,0.5519
EP-00049,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000038,rb,1,29863.5,21.25,86,110,0.5519
EP-00050,NEAREST_VALID_STRUCTURE,RB2-003133,rb,3,29831.75,3.75,23,177,0.3846
EP-00050,BRANCH_SEMANTIC_TARGET,RB2-003133,rb,3,29831.75,3.75,23,177,0.3846
EP-00050,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133,rb,3,29831.75,3.75,23,177,0.3846
EP-00051,NEAREST_VALID_STRUCTURE,RB2-003133,rb,3,29831.75,0.5,24,177,0.0118
EP-00051,BRANCH_SEMANTIC_TARGET,RB2-003133,rb,3,29831.75,0.5,24,177,0.0118
EP-00051,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133,rb,3,29831.75,0.5,24,177,0.0118
EP-00052,NEAREST_VALID_STRUCTURE,RB2-000072,rb,1,29814.0,0.5,18,187,0.022
EP-00052,BRANCH_SEMANTIC_TARGET,RB2-000072,rb,1,29814.0,0.5,18,187,0.022
EP-00052,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000072,rb,1,29814.0,0.5,18,187,0.022
EP-00054,NEAREST_VALID_STRUCTURE,RB2-003135,rb,3,29812.25,0.5,18,195,0.1053
EP-00054,BRANCH_SEMANTIC_TARGET,RB2-003135,rb,3,29812.25,0.5,18,195,0.1053
EP-00054,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003135,rb,3,29812.25,0.5,18,195,0.1053
EP-00055,NEAREST_VALID_STRUCTURE,RB2-000074,rb,1,29797.0,3.25,24,191,0.0667
EP-00055,BRANCH_SEMANTIC_TARGET,RB2-000074,rb,1,29797.0,3.25,24,191,0.0667
EP-00055,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004182,rb,5,29797.0,3.25,20,195,0.0667
EP-00056,NEAREST_VALID_STRUCTURE,RB2-003133,rb,3,29831.75,0.5,41,177,0.0417
EP-00056,BRANCH_SEMANTIC_TARGET,RB2-003133,rb,3,29831.75,0.5,41,177,0.0417
EP-00056,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003133,rb,3,29831.75,0.5,41,177,0.0417
EP-00057,NEAREST_VALID_STRUCTURE,RB2-000076,rb,1,29842.25,5.75,23,197,0.1204
EP-00057,BRANCH_SEMANTIC_TARGET,RB2-000076,rb,1,29842.25,5.75,23,197,0.1204
EP-00057,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004178,rb,5,29883.75,47.25,50,170,0.9895
EP-00058,NEAREST_VALID_STRUCTURE,RB2-000076,rb,1,29842.25,6.5,25,197,0.2766
EP-00058,BRANCH_SEMANTIC_TARGET,RB2-000076,rb,1,29842.25,6.5,25,197,0.2766
EP-00058,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000076,rb,1,29842.25,6.5,25,197,0.2766
EP-00059,NEAREST_VALID_STRUCTURE,RB2-000082,rb,1,29817.5,1.75,9,214,0.0588
EP-00059,BRANCH_SEMANTIC_TARGET,RB2-000072,rb,1,29814.0,5.25,36,187,0.1765
EP-00059,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000072,rb,1,29814.0,5.25,36,187,0.1765
EP-00061,NEAREST_VALID_STRUCTURE,FVG2-000023,fvg,1,29743.5,0.25,2,249,0.0169
EP-00061,BRANCH_SEMANTIC_TARGET,FVG2-000023,fvg,1,29743.5,0.25,2,249,0.0169
EP-00061,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000023,fvg,1,29743.5,0.25,2,249,0.0169
EP-00062,NEAREST_VALID_STRUCTURE,RB2-000091,rb,1,29757.0,4.0,19,236,0.1538
EP-00062,BRANCH_SEMANTIC_TARGET,RB2-000091,rb,1,29757.0,4.0,19,236,0.1538
EP-00062,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001067,fvg,5,29787.25,34.25,20,235,1.3173
EP-00063,NEAREST_VALID_STRUCTURE,RB2-000086,rb,1,29795.25,2.5,37,228,0.1449
EP-00063,BRANCH_SEMANTIC_TARGET,RB2-000086,rb,1,29795.25,2.5,37,228,0.1449
EP-00063,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000086,rb,1,29795.25,2.5,37,228,0.1449
EP-00064,NEAREST_VALID_STRUCTURE,RB2-000106,rb,1,29800.0,1.75,1,268,0.0897
EP-00064,BRANCH_SEMANTIC_TARGET,RB2-000106,rb,1,29800.0,1.75,1,268,0.0897
EP-00064,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000106,rb,1,29800.0,1.75,1,268,0.0897
EP-00065,NEAREST_VALID_STRUCTURE,RB2-000106,rb,1,29800.0,1.75,1,268,0.1707
EP-00065,BRANCH_SEMANTIC_TARGET,RB2-000106,rb,1,29800.0,1.75,1,268,0.1707
EP-00065,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000106,rb,1,29800.0,1.75,1,268,0.1707
EP-00066,NEAREST_VALID_STRUCTURE,RB2-000102,rb,1,29762.75,3.0,18,258,0.0698
