atomic_event_id,atomic_event_type,week,entry_seq,timeframe,direction,structure_id,note
TRIG-00198,ATOMIC_RB_TAP_EVENT,observation,297,1,1,RB2-000119,diagnostic only -- an atomic event is NOT a setup
TRIG-00199,ATOMIC_RB_TAP_EVENT,observation,297,1,1,RB2-000121,diagnostic only -- an atomic event is NOT a setup
TRIG-00200,ATOMIC_RB_TAP_EVENT,observation,301,1,-1,RB2-000123,diagnostic only -- an atomic event is NOT a setup
TRIG-00201,ATOMIC_RB_TAP_EVENT,observation,302,1,1,RB2-000122,diagnostic only -- an atomic event is NOT a setup
TRIG-00202,ATOMIC_RB_TAP_EVENT,observation,303,3,-1,RB2-003116,diagnostic only -- an atomic event is NOT a setup
TRIG-00203,ATOMIC_RB_TAP_EVENT,observation,304,1,-1,RB2-000124,diagnostic only -- an atomic event is NOT a setup
TRIG-00204,ATOMIC_RB_TAP_EVENT,observation,305,5,-1,RB2-004107,diagnostic only -- an atomic event is NOT a setup
TRIG-00205,ATOMIC_IFVG_ACTIVATION_EVENT,observation,305,1,1,IFVG2-000013,diagnostic only -- an atomic event is NOT a setup
TRIG-00206,ATOMIC_RB_TAP_EVENT,observation,305,1,-1,RB2-000110,diagnostic only -- an atomic event is NOT a setup
TRIG-00207,ATOMIC_RB_TAP_EVENT,observation,307,1,-1,RB2-000126,diagnostic only -- an atomic event is NOT a setup
TRIG-00208,ATOMIC_RB_TAP_EVENT,observation,309,3,-1,RB2-003118,diagnostic only -- an atomic event is NOT a setup
TRIG-00209,ATOMIC_RB_TAP_EVENT,observation,309,1,1,RB2-000127,diagnostic only -- an atomic event is NOT a setup
TRIG-00210,ATOMIC_IFVG_ACTIVATION_EVENT,observation,311,1,1,IFVG2-000014,diagnostic only -- an atomic event is NOT a setup
TRIG-00211,ATOMIC_IFVG_ACTIVATION_EVENT,observation,312,3,1,IFVG2-000393,diagnostic only -- an atomic event is NOT a setup
TRIG-00212,ATOMIC_IFVG_ACTIVATION_EVENT,observation,312,1,1,IFVG2-000015,diagnostic only -- an atomic event is NOT a setup
