episode_id,role,structure_id
EP-00073,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00073,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003141
EP-00074,context/component,RB2-003150
EP-00074,target:NEAREST_VALID_STRUCTURE,RB2-003149
EP-00074,target:BRANCH_SEMANTIC_TARGET,RB2-003149
EP-00074,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003149
EP-00075,context/component,IFVG2-000008
EP-00075,target:NEAREST_VALID_STRUCTURE,RB2-000092
EP-00075,target:BRANCH_SEMANTIC_TARGET,RB2-000092
EP-00075,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000092
EP-00076,context/component,RB2-004812
EP-00076,target:NEAREST_VALID_STRUCTURE,RB2-000121
EP-00076,target:BRANCH_SEMANTIC_TARGET,RB2-000121
EP-00077,context/component,RB2-000125
EP-00077,target:NEAREST_VALID_STRUCTURE,RB2-000132
EP-00077,target:BRANCH_SEMANTIC_TARGET,FVG2-000032
EP-00077,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000032
EP-00078,context/component,IFVG2-000009
EP-00078,target:NEAREST_VALID_STRUCTURE,RB2-003151
EP-00078,target:BRANCH_SEMANTIC_TARGET,RB2-003151
EP-00078,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003151
EP-00079,context/component,RB2-000144
EP-00079,target:NEAREST_VALID_STRUCTURE,RB2-000142
EP-00079,target:BRANCH_SEMANTIC_TARGET,RB2-000142
EP-00079,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000142
EP-00080,context/component,RB2-003158
EP-00080,target:NEAREST_VALID_STRUCTURE,FVG2-000030
EP-00080,target:BRANCH_SEMANTIC_TARGET,FVG2-000030
EP-00080,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000810
EP-00081,context/component,IFVG2-000010
EP-00081,target:NEAREST_VALID_STRUCTURE,RB2-004815
EP-00081,target:BRANCH_SEMANTIC_TARGET,RB2-004815
EP-00081,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004815
EP-00082,context/component,RB2-000148
EP-00082,target:NEAREST_VALID_STRUCTURE,RB2-004815
EP-00082,target:BRANCH_SEMANTIC_TARGET,RB2-004815
EP-00082,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004815
EP-00083,context/component,RB2-003160
EP-00083,target:NEAREST_VALID_STRUCTURE,RB2-000153
EP-00083,target:BRANCH_SEMANTIC_TARGET,RB2-000153
EP-00083,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003163
EP-00084,context/component,RB2-000156
EP-00084,target:NEAREST_VALID_STRUCTURE,RB2-000157
EP-00084,target:BRANCH_SEMANTIC_TARGET,RB2-000157
EP-00084,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000157
EP-00085,context/component,RB2-000158
EP-00085,target:NEAREST_VALID_STRUCTURE,FVG2-001073
EP-00085,target:BRANCH_SEMANTIC_TARGET,FVG2-001073
EP-00085,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001073
EP-00086,context/component,RB2-000159
EP-00086,context/component,RB2-003166
EP-00086,target:NEAREST_VALID_STRUCTURE,FVG2-000813
EP-00086,target:BRANCH_SEMANTIC_TARGET,FVG2-000813
EP-00086,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000813
EP-00087,context/component,RB2-003167
EP-00088,context/component,RB2-000161
EP-00089,context/component,RB2-004815
EP-00089,target:NEAREST_VALID_STRUCTURE,FVG2-000037
EP-00089,target:BRANCH_SEMANTIC_TARGET,IFVG2-000011
EP-00090,context/component,IFVG2-000012
EP-00091,context/component,RB2-000170
EP-00091,target:NEAREST_VALID_STRUCTURE,RB2-000171
EP-00091,target:BRANCH_SEMANTIC_TARGET,RB2-000171
EP-00091,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000171
EP-00092,context/component,RB2-000174
EP-00092,target:NEAREST_VALID_STRUCTURE,RB2-003171
EP-00092,target:BRANCH_SEMANTIC_TARGET,RB2-000172
EP-00092,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000172
EP-00093,context/component,RB2-000178
EP-00093,target:NEAREST_VALID_STRUCTURE,RB2-003165
EP-00093,target:BRANCH_SEMANTIC_TARGET,RB2-003165
EP-00093,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003165
EP-00094,context/component,IFVG2-000550
EP-00094,target:NEAREST_VALID_STRUCTURE,RB2-000160
EP-00094,target:BRANCH_SEMANTIC_TARGET,RB2-000160
EP-00094,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-001219
EP-00095,context/component,RB2-000180
EP-00095,target:NEAREST_VALID_STRUCTURE,RB2-003167
EP-00095,target:BRANCH_SEMANTIC_TARGET,RB2-000154
EP-00095,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000154
EP-00096,context/component,IFVG2-000550
EP-00096,target:NEAREST_VALID_STRUCTURE,RB2-000128
EP-00096,target:BRANCH_SEMANTIC_TARGET,RB2-000131
