trigger_id,role,structure_id,family,timeframe,direction,zone_lo,zone_hi,source_ts_et,availability_seq,availability_le_trigger
TRIG-00083,target,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00084,component,RB2-003087,rb,3,1,29928.5,29940.0,2026-07-05 20:09:00-04:00,129,True
TRIG-00084,target,RB2-004094,rb,5,1,29928.5,29950.25,2026-07-05 20:10:00-04:00,130,True
TRIG-00085,component,RB2-003090,rb,3,1,29954.0,29960.25,2026-07-05 20:24:00-04:00,144,True
TRIG-00085,target,RB2-003087,rb,3,1,29928.5,29940.0,2026-07-05 20:09:00-04:00,129,True
TRIG-00086,component,RB2-000044,rb,1,1,29900.0,29915.0,2026-07-05 20:02:00-04:00,123,True
TRIG-00086,target,RB2-003079,rb,3,1,29926.5,29935.0,2026-07-05 19:12:00-04:00,72,True
TRIG-00087,component,RB2-000055,rb,1,-1,29927.25,29935.5,2026-07-05 20:27:00-04:00,148,True
TRIG-00087,target,FVG2-000746,fvg,3,1,29921.0,29922.5,2026-07-05 18:24:00-04:00,24,True
TRIG-00088,component,RB2-000056,rb,1,1,29845.0,29882.25,2026-07-05 20:30:00-04:00,151,True
TRIG-00088,target,RB2-000044,rb,1,1,29900.0,29915.0,2026-07-05 20:02:00-04:00,123,True
TRIG-00089,component,RB2-000057,rb,1,-1,29894.0,29909.0,2026-07-05 20:32:00-04:00,153,True
TRIG-00090,component,RB2-003091,rb,3,1,29845.0,29882.25,2026-07-05 20:33:00-04:00,153,True
TRIG-00090,target,RB2-003092,rb,3,-1,29888.0,29901.0,2026-07-05 20:36:00-04:00,156,True
TRIG-00091,component,RB2-000058,rb,1,1,29885.25,29888.0,2026-07-05 20:35:00-04:00,156,True
TRIG-00091,target,RB2-000003,rb,1,-1,29909.25,29913.0,2026-07-05 18:18:00-04:00,19,True
TRIG-00092,component,RB2-003092,rb,3,-1,29888.0,29901.0,2026-07-05 20:36:00-04:00,156,True
TRIG-00092,target,FVG2-000746,fvg,3,1,29921.0,29922.5,2026-07-05 18:24:00-04:00,24,True
TRIG-00093,component,RB2-004095,rb,5,1,29845.0,29882.25,2026-07-05 20:35:00-04:00,155,True
TRIG-00093,target,FVG2-000746,fvg,3,1,29921.0,29922.5,2026-07-05 18:24:00-04:00,24,True
TRIG-00094,component,RB2-000060,rb,1,-1,29922.75,29926.75,2026-07-05 20:38:00-04:00,159,True
TRIG-00094,target,FVG2-000014,fvg,1,1,29906.75,29918.25,2026-07-05 20:38:00-04:00,159,True
TRIG-00095,component,RB2-000059,rb,1,1,29904.25,29908.0,2026-07-05 20:37:00-04:00,158,True
TRIG-00095,target,RB2-003079,rb,3,1,29926.5,29935.0,2026-07-05 19:12:00-04:00,72,True
TRIG-00096,component,IFVG2-000006,ifvg,1,1,29935.5,29942.0,2026-07-05 20:43:00-04:00,164,True
TRIG-00096,component,FVG2-000012,fvg,1,-1,29935.5,29942.0,2026-07-05 20:27:00-04:00,148,True
TRIG-00096,target,RB2-000006,rb,1,-1,29942.0,29948.75,2026-07-05 18:22:00-04:00,23,True
TRIG-00097,component,RB2-000061,rb,1,1,29932.75,29935.0,2026-07-05 20:43:00-04:00,164,True
TRIG-00097,target,RB2-000045,rb,1,-1,29938.5,29945.0,2026-07-05 20:03:00-04:00,124,True
TRIG-00098,component,IFVG2-000007,ifvg,1,1,29944.0,29950.0,2026-07-05 20:45:00-04:00,166,True
TRIG-00098,component,FVG2-000011,fvg,1,-1,29944.0,29950.0,2026-07-05 20:26:00-04:00,147,True
TRIG-00098,target,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00099,component,RB2-000062,rb,1,-1,29941.5,29944.5,2026-07-05 20:44:00-04:00,165,True
TRIG-00099,target,RB2-000008,rb,1,-1,29957.25,29959.25,2026-07-05 18:33:00-04:00,34,True
TRIG-00100,component,IFVG2-000390,ifvg,3,1,29935.5,29954.0,2026-07-05 20:48:00-04:00,168,True
TRIG-00100,component,FVG2-000751,fvg,3,-1,29935.5,29954.0,2026-07-05 20:30:00-04:00,150,True
TRIG-00100,target,RB2-000026,rb,1,-1,29956.75,29961.25,2026-07-05 19:02:00-04:00,63,True
TRIG-00101,component,RB2-003094,rb,3,-1,29933.75,29944.5,2026-07-05 20:45:00-04:00,165,True
TRIG-00101,target,RB2-000025,rb,1,-1,29953.5,29955.5,2026-07-05 19:01:00-04:00,62,True
TRIG-00102,component,RB2-000064,rb,1,1,29955.25,29957.75,2026-07-05 20:47:00-04:00,168,True
TRIG-00102,target,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00103,component,RB2-004096,rb,5,-1,29933.75,29944.5,2026-07-05 20:45:00-04:00,165,True
TRIG-00103,target,FVG2-000012,fvg,1,-1,29935.5,29942.0,2026-07-05 20:27:00-04:00,148,True
TRIG-00104,component,RB2-000065,rb,1,-1,29959.5,29964.25,2026-07-05 20:48:00-04:00,169,True
TRIG-00104,target,FVG2-000012,fvg,1,-1,29935.5,29942.0,2026-07-05 20:27:00-04:00,148,True
TRIG-00105,component,RB2-003095,rb,3,-1,29957.75,29969.75,2026-07-05 20:48:00-04:00,168,True
TRIG-00105,target,FVG2-000754,fvg,3,1,29934.0,29937.5,2026-07-05 20:48:00-04:00,168,True
TRIG-00106,component,RB2-000066,rb,1,1,29929.75,29939.25,2026-07-05 20:50:00-04:00,171,True
TRIG-00106,target,RB2-003086,rb,3,-1,29937.25,29954.0,2026-07-05 20:06:00-04:00,126,True
TRIG-00107,component,RB2-003093,rb,3,1,29908.0,29923.5,2026-07-05 20:42:00-04:00,162,True
TRIG-00107,target,RB2-003086,rb,3,-1,29937.25,29954.0,2026-07-05 20:06:00-04:00,126,True
TRIG-00108,component,RB2-003096,rb,3,1,29929.75,29939.25,2026-07-05 20:51:00-04:00,171,True
TRIG-00108,target,RB2-003086,rb,3,-1,29937.25,29954.0,2026-07-05 20:06:00-04:00,126,True
TRIG-00109,component,RB2-000067,rb,1,-1,29939.25,29943.75,2026-07-05 20:51:00-04:00,172,True
TRIG-00109,target,RB2-000055,rb,1,-1,29927.25,29935.5,2026-07-05 20:27:00-04:00,148,True
TRIG-00110,component,RB2-000068,rb,1,1,29916.5,29925.75,2026-07-05 20:52:00-04:00,173,True
TRIG-00110,target,RB2-003086,rb,3,-1,29937.25,29954.0,2026-07-05 20:06:00-04:00,126,True
TRIG-00111,component,RB2-000069,rb,1,1,29929.0,29936.25,2026-07-05 20:54:00-04:00,175,True
TRIG-00111,target,RB2-000004,rb,1,-1,29929.5,29939.0,2026-07-05 18:20:00-04:00,21,True
TRIG-00112,component,RB2-000070,rb,1,-1,29930.5,29933.25,2026-07-05 20:56:00-04:00,177,True
TRIG-00112,target,FVG2-000014,fvg,1,1,29906.75,29918.25,2026-07-05 20:38:00-04:00,159,True
TRIG-00113,component,RB2-004097,rb,5,1,29916.5,29936.25,2026-07-05 20:55:00-04:00,175,True
TRIG-00113,target,FVG2-000753,fvg,3,1,29926.75,29927.5,2026-07-05 20:45:00-04:00,165,True
TRIG-00114,component,RB2-003097,rb,3,-1,29936.25,29951.5,2026-07-05 20:57:00-04:00,177,True
TRIG-00114,target,RB2-000068,rb,1,1,29916.5,29925.75,2026-07-05 20:52:00-04:00,173,True
TRIG-00115,component,RB2-000071,rb,1,-1,29928.25,29932.5,2026-07-05 20:59:00-04:00,180,True
TRIG-00115,target,RB2-000002,rb,1,1,29907.25,29911.5,2026-07-05 18:17:00-04:00,18,True
TRIG-00116,component,IFVG2-000391,ifvg,3,-1,29901.0,29908.0,2026-07-05 21:06:00-04:00,186,True
TRIG-00116,component,FVG2-000752,fvg,3,1,29901.0,29908.0,2026-07-05 20:42:00-04:00,162,True
TRIG-00116,target,RB2-000058,rb,1,1,29885.25,29888.0,2026-07-05 20:35:00-04:00,156,True
TRIG-00117,component,RB2-000072,rb,1,-1,29894.25,29902.0,2026-07-05 21:05:00-04:00,186,True
TRIG-00118,component,RB2-003098,rb,3,1,29888.0,29894.25,2026-07-05 21:06:00-04:00,186,True
TRIG-00118,target,FVG2-001009,fvg,5,1,29902.0,29902.25,2026-07-05 18:25:00-04:00,25,True
TRIG-00119,component,IFVG2-000008,ifvg,1,-1,29889.0,29891.0,2026-07-05 21:10:00-04:00,191,True
