variant_id,episode_id,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,match_mode,cross_lookback,match_prev_1_session,match_prev_3_sessions,match_prev_10_sessions,match_prev_20_sessions,entry_price,effective_stop_price,target_price,exit_type,points,gross_r,mfe_points,mae_points,success
EP-44220-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44220,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,1,1,EXACT,TWENTY_SESSION_ONLY,,,,EXACT,29307.0,29320.75,29096.25,STOP,-13.75,-1.0,2.25,-38.25,False
EP-44224-ENTRY_ON_TAP,EP-44224,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29307.0,29325.75,29096.25,STOP,-18.75,-1.0,2.25,-38.25,False
EP-44444-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-44444,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29626.75,29609.25,29718.0,STOP,-17.5,-1.0,23.0,-20.0,False
EP-44818-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44818,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,LONDON,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29655.5,29627.0,29718.0,STOP,-28.5,-1.0,15.0,-38.75,False
EP-44831-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44831,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,B,LONDON,1,1,EXACT,TWENTY_SESSION_ONLY,,,,EXACT,29665.5,29640.5,29718.0,STOP,-25.0,-1.0,2.75,-33.75,False
EP-44902-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44902,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,C,NY_PREMARKET,1,1,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29662.5,29614.25,29718.0,TARGET,55.5,1.1503,245.75,-10.0,True
EP-45778-ENTRY_ON_TAP,EP-45778,ENTRY_ON_TAP,TAP_ONLY,1,A,ASIA,60,60,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29958.75,29837.5,30074.0,TIME,-38.75,-0.3196,103.75,-86.75,False
EP-45814-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45814,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29929.0,29907.5,30074.0,STOP,-21.5,-1.0,15.0,-24.25,False
EP-45831-ENTRY_ON_NEW_FVG,EP-45831,ENTRY_ON_NEW_FVG,NEW_FVG,1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29939.5,29906.75,30074.0,STOP,-32.75,-1.0,123.0,-35.25,False
EP-45844-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45844,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29965.25,29949.25,30074.0,STOP,-16.0,-1.0,22.0,-17.75,False
EP-45865-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45865,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29978.25,29959.5,30074.0,STOP,-18.75,-1.0,1.25,-19.75,False
EP-45874-ENTRY_ON_NEW_FVG,EP-45874,ENTRY_ON_NEW_FVG,NEW_FVG,1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29979.5,29961.75,30074.0,STOP,-17.75,-1.0,7.75,-20.5,False
EP-45936-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-45936,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29993.75,29982.75,30074.0,STOP,-11.0,-1.0,64.5,-12.25,False
EP-45943-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45943,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,30000.5,29991.25,30074.0,STOP,-9.25,-1.0,1.5,-10.75,False
EP-45944-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45944,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,30000.5,29991.25,30074.0,STOP,-9.25,-1.0,1.5,-10.75,False
EP-45951-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45951,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,30000.5,29988.5,30074.0,STOP,-12.0,-1.0,18.75,-17.25,False
EP-46039-ENTRY_ON_DELAYED_DISPLACEMENT,EP-46039,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,A,ASIA,3,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,30022.5,30007.0,30074.0,STOP,-15.5,-1.0,35.75,-21.25,False
EP-46700-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-46700,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,NY_AM,3,3,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29847.0,29966.5,29786.0,TARGET,61.0,0.5105,62.75,-37.5,True
EP-46700-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-46700,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,-1,A,NY_AM,3,3,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29847.0,29966.5,29786.0,TARGET,61.0,0.5105,62.75,-37.5,True
EP-46700-ENTRY_ON_NEW_FVG,EP-46700,ENTRY_ON_NEW_FVG,NEW_FVG,-1,A,NY_AM,3,3,REDUCED_FAMILY,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,29847.0,29966.5,29786.0,TARGET,61.0,0.5105,62.75,-37.5,True
