id,family,subtype,segment_id,created_seq,created_ts,lo,hi,events
FVG-000060,fvg,bullish,0,231,2025-07-07 01:51:00+00:00,22940.0,22941.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000061,fvg,bearish,0,238,2025-07-07 01:58:00+00:00,22947.0,22948.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000062,fvg,bearish,0,240,2025-07-07 02:00:00+00:00,22945.0,22945.25,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000063,fvg,bullish,0,247,2025-07-07 02:07:00+00:00,22943.75,22944.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000064,fvg,bullish,0,251,2025-07-07 02:11:00+00:00,22945.75,22946.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000065,fvg,bullish,0,253,2025-07-07 02:13:00+00:00,22949.75,22954.25,FORMED|FIRST_TOUCH|FIRST_FILL|EXACT_TOUCH|REVISIT|REVISIT|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000066,fvg,bullish,0,254,2025-07-07 02:14:00+00:00,22954.0,22956.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000067,fvg,bullish,0,259,2025-07-07 02:19:00+00:00,22963.0,22964.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000068,fvg,bearish,0,261,2025-07-07 02:21:00+00:00,22964.25,22964.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000069,fvg,bearish,0,262,2025-07-07 02:22:00+00:00,22961.75,22962.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000070,fvg,bearish,0,263,2025-07-07 02:23:00+00:00,22957.75,22961.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000071,fvg,bullish,0,265,2025-07-07 02:25:00+00:00,22957.75,22959.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000072,fvg,bearish,0,272,2025-07-07 02:32:00+00:00,22952.0,22955.5,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|REVISIT|REVISIT|REVISIT|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000073,fvg,bearish,0,273,2025-07-07 02:33:00+00:00,22949.25,22950.75,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000074,fvg,bullish,0,282,2025-07-07 02:42:00+00:00,22952.0,22953.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000075,fvg,bullish,0,291,2025-07-07 02:51:00+00:00,22956.5,22960.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000076,fvg,bearish,0,297,2025-07-07 02:57:00+00:00,22959.25,22960.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000077,fvg,bearish,0,304,2025-07-07 03:04:00+00:00,22947.75,22956.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|MIDPOINT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000078,fvg,bullish,0,312,2025-07-07 03:12:00+00:00,22949.5,22951.5,FORMED|FIRST_TOUCH|FIRST_FILL|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000079,fvg,bearish,0,317,2025-07-07 03:17:00+00:00,22951.25,22951.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|FAILURE
FVG-000080,fvg,bearish,0,318,2025-07-07 03:18:00+00:00,22950.75,22951.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000081,fvg,bullish,0,326,2025-07-07 03:26:00+00:00,22951.25,22953.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000082,fvg,bullish,0,341,2025-07-07 03:41:00+00:00,22956.75,22958.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000083,fvg,bullish,0,344,2025-07-07 03:44:00+00:00,22960.0,22960.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000084,fvg,bullish,0,345,2025-07-07 03:45:00+00:00,22961.25,22961.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000085,fvg,bullish,0,348,2025-07-07 03:48:00+00:00,22964.5,22967.75,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|MIDPOINT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|FAILURE
