candidate_id,episode_id,branch_id,branch_state,direction,entry_mode,continuation_or_fade,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,effective_sample,unique_sessions,shrunk_expected_R,uncertainty,qualification,outcome
SETUP-001369,EP-033310,BR-003256,CONTINUATION,short,midpoint,continuation,BEARISH_FVG_FORMED -> BEARISH_FVG_FIRST_TOUCH -> MIDPOINT_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,4453,23002.875,23004.75,23001.75,0.6,0.6,3,3,0.3664,0.3831,RECORDED_NOT_ACTIVATED,WIN
SETUP-003818,EP-033332,BR-003257,CONTINUATION,long,midpoint,continuation,GOOD_BULLISH_DISPLACEMENT -> MIDPOINT_LONG_TRIGGER,STRONG_DISPLACEMENT -> ENTRY_TRIGGER,4455,23001.625,22998.25,23003.5,0.5556,0.5556,4,4,-0.002,0.4329,RECORDED_NOT_ACTIVATED,WIN
SETUP-030261,EP-033337,BR-003258,FADE,long,formation_close,fade,SWING_LOW_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4455,23001.75,23000.5,23003.5,1.4,1.0,6,6,-0.0252,0.348,RECORDED_NOT_ACTIVATED,LOSS
SETUP-041082,EP-033338,BR-003259,FADE,long,formation_close,fade,EQUAL_LOWS_SWEEP_BELOW -> FORMATION_CLOSE_LONG_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4455,23001.75,23000.5,23003.5,1.4,1.0,5,5,-0.2032,0.3441,RECORDED_NOT_ACTIVATED,LOSS
SETUP-033175,EP-033342,BR-003260,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4458,23003.0,23004.25,23001.75,1.0,1.0,6,6,-0.0393,0.3501,RECORDED_NOT_ACTIVATED,LOSS
SETUP-033245,EP-033343,BR-003261,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4458,23003.0,23004.25,23001.75,1.0,1.0,6,6,-0.0393,0.3501,RECORDED_NOT_ACTIVATED,LOSS
SETUP-033936,EP-033344,BR-003262,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4458,23003.0,23004.25,23001.75,1.0,1.0,6,6,-0.0378,0.3501,RECORDED_NOT_ACTIVATED,LOSS
SETUP-004828,EP-033345,BR-003263,FADE,short,formation_close,fade,HL_0930_HIGH_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4459,23004.25,23005.5,23003.5,0.6,0.6,3,3,-0.051,0.4857,RECORDED_NOT_ACTIVATED,WIN
SETUP-033048,EP-033346,BR-003264,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4459,23004.25,23005.5,23003.5,0.6,0.6,6,6,-0.0183,0.3501,RECORDED_NOT_ACTIVATED,WIN
SETUP-033702,EP-033347,BR-003265,FADE,short,formation_close,fade,SWING_LOW_SWEEP_ABOVE -> FORMATION_CLOSE_SHORT_TRIGGER,LIQUIDITY_SWEEP -> ENTRY_TRIGGER,4459,23004.25,23005.5,23003.5,0.6,0.6,6,6,-0.0233,0.3501,RECORDED_NOT_ACTIVATED,WIN
