branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-011141,GEP-002485,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011144,GEP-002486,H_rb_unresolved_fade,UNRESOLVED,inactive,2
GBR-011146,GEP-002487,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011148,GEP-002488,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011154,GEP-002490,H_rb_reaction_continuation,EXPIRED,inactive,1
GBR-011155,GEP-002490,H_rb_fvg_fill_continuation,EXPIRED,inactive,1
GBR-011156,GEP-002490,H_rb_unresolved_fade,EXPIRED,inactive,1
GBR-011163,GEP-002493,H_fvg_first_fill,EXPIRED,inactive,1
GBR-011164,GEP-002493,H_fvg_midpoint,EXPIRED,inactive,1
GBR-011165,GEP-002493,H_fvg_full_fill,EXPIRED,inactive,1
GBR-011179,GEP-002495,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011346,GEP-002226,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011347,GEP-002226,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011351,GEP-002531,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011354,GEP-002531,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011356,GEP-002227,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011357,GEP-002227,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011368,GEP-002533,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011375,GEP-002536,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011377,GEP-002537,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011385,GEP-002539,H_rb_unresolved_fade,UNRESOLVED,inactive,3
GBR-011387,GEP-002533,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011388,GEP-002533,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011390,GEP-002536,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011391,GEP-002536,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011393,GEP-002537,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011394,GEP-002537,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011397,GEP-002540,H_rb_unresolved_fade,UNRESOLVED,inactive,3
GBR-011403,GEP-002543,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011405,GEP-002544,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011595,GEP-002472,H_vwap_break_accept_continuation,EXPIRED,inactive,1
GBR-011639,GEP-002597,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011648,GEP-002600,H_compression_false_expansion_fade,EXPIRED,inactive,1
GBR-011845,GEP-002597,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011846,GEP-002597,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011848,GEP-002642,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011878,GEP-002651,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011880,GEP-002652,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011888,GEP-002656,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011890,GEP-002657,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011920,GEP-002662,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011929,GEP-002665,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011943,GEP-002667,H_rb_unresolved_fade,UNRESOLVED,inactive,2
GBR-011945,GEP-002668,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011947,GEP-002669,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-011961,GEP-002665,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011962,GEP-002665,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011964,GEP-002668,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011965,GEP-002668,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011967,GEP-002669,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-011968,GEP-002669,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-011983,GEP-002675,H_ifvg_retest,EXPIRED,inactive,3
GBR-011985,GEP-002676,H_fvg_first_touch,EXPIRED,inactive,1
GBR-011986,GEP-002676,H_fvg_first_fill,EXPIRED,inactive,1
