instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,atr_value,atr_availability_et,net_move_atr,total_distance_atr,created_fvg,segment_id,end_index
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 01:35:00-04:00,2026-07-09 01:40:00-04:00,2026-07-09 01:45:00-04:00,6.25,1,0.5,13.25,30.0,50.0,45.0,24.25,0.9896907216494846,0.1201923076923077,52.0,32.94642857142857,2026-07-09 01:40:00-04:00,0.1897018970189702,1.5783197831978322,False,6,107261
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 01:35:00-04:00,2026-07-09 01:40:00-04:00,2026-07-09 01:45:00-04:00,-6.25,1,0.5,7.25,30.0,50.0,45.0,24.25,0.010309278350515464,0.1201923076923077,52.0,32.94642857142857,2026-07-09 01:40:00-04:00,0.1897018970189702,1.5783197831978322,False,6,107261
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 01:30:00-04:00,2026-07-09 01:40:00-04:00,2026-07-09 01:45:00-04:00,22.75,2,0.6666666666666666,14.875,40.0,60.0,60.0,21.375,0.9896907216494846,0.2116279069767442,107.5,32.94642857142857,2026-07-09 01:40:00-04:00,0.6905149051490516,3.2628726287262872,False,6,107261
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 01:30:00-04:00,2026-07-09 01:40:00-04:00,2026-07-09 01:45:00-04:00,-22.75,1,0.3333333333333333,7.25,40.0,60.0,60.0,21.375,0.010309278350515464,0.2116279069767442,107.5,32.94642857142857,2026-07-09 01:40:00-04:00,0.6905149051490516,3.2628726287262872,False,6,107261
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 01:45:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,27.25,1,1.0,27.25,80.0,85.0,85.0,,0.9922480620155039,0.8449612403100775,32.25,30.678571428571427,2026-07-09 01:45:00-04:00,0.8882421420256112,1.0512223515715948,False,6,107262
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 01:45:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,-27.25,0,0.0,0.0,80.0,85.0,85.0,,0.007751937984496124,0.8449612403100775,32.25,30.678571428571427,2026-07-09 01:45:00-04:00,0.8882421420256112,1.0512223515715948,False,6,107262
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 01:40:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,41.25,2,1.0,20.25,60.0,72.5,72.5,4.25,0.9922480620155039,0.7300884955752213,56.5,30.678571428571427,2026-07-09 01:45:00-04:00,1.3445867287543656,1.841676367869616,False,6,107262
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 01:40:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,-41.25,0,0.0,0.0,60.0,72.5,72.5,4.25,0.007751937984496124,0.7300884955752213,56.5,30.678571428571427,2026-07-09 01:45:00-04:00,1.3445867287543656,1.841676367869616,False,6,107262
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 01:35:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,34.25,2,0.6666666666666666,20.25,40.0,60.0,60.0,14.25,0.9922480620155039,0.4065281899109792,84.25,30.678571428571427,2026-07-09 01:45:00-04:00,1.1164144353899885,2.7462165308498254,False,6,107262
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 01:35:00-04:00,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,-34.25,1,0.3333333333333333,7.25,40.0,60.0,60.0,14.25,0.007751937984496124,0.4065281899109792,84.25,30.678571428571427,2026-07-09 01:45:00-04:00,1.1164144353899885,2.7462165308498254,False,6,107262
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 01:50:00-04:00,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,17.5,1,1.0,17.5,60.0,65.0,67.5,,0.8910891089108911,0.693069306930693,25.25,31.410714285714285,2026-07-09 01:50:00-04:00,0.557134735645253,0.8038658328595794,False,6,107263
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 01:50:00-04:00,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,-17.5,0,0.0,0.0,60.0,65.0,67.5,,0.10891089108910891,0.693069306930693,25.25,31.410714285714285,2026-07-09 01:50:00-04:00,0.557134735645253,0.8038658328595794,False,6,107263
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,44.75,2,1.0,22.375,70.0,75.0,76.25,5.25,0.8910891089108911,0.7782608695652173,57.5,31.410714285714285,2026-07-09 01:50:00-04:00,1.4246731097214327,1.8305855599772598,False,6,107263
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 01:45:00-04:00,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,-44.75,0,0.0,0.0,70.0,75.0,76.25,5.25,0.10891089108910891,0.7782608695652173,57.5,31.410714285714285,2026-07-09 01:50:00-04:00,1.4246731097214327,1.8305855599772598,False,6,107263
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 01:40:00-04:00,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,58.75,3,1.0,17.5,60.0,65.0,67.5,4.75,0.8910891089108911,0.7186544342507645,81.75,31.410714285714285,2026-07-09 01:50:00-04:00,1.870380898237635,2.602615122228539,False,6,107263
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 01:40:00-04:00,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,-58.75,0,0.0,0.0,60.0,65.0,67.5,4.75,0.10891089108910891,0.7186544342507645,81.75,31.410714285714285,2026-07-09 01:50:00-04:00,1.870380898237635,2.602615122228539,False,6,107263
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 01:55:00-04:00,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,27.0,1,1.0,27.0,70.0,80.0,82.5,,0.9318181818181818,0.8181818181818182,33.0,31.821428571428573,2026-07-09 01:55:00-04:00,0.8484848484848484,1.037037037037037,False,6,107264
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 01:55:00-04:00,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,-27.0,0,0.0,0.0,70.0,80.0,82.5,,0.06818181818181818,0.8181818181818182,33.0,31.821428571428573,2026-07-09 01:55:00-04:00,0.8484848484848484,1.037037037037037,False,6,107264
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,43.25,2,1.0,22.25,65.0,72.5,75.0,7.75,0.9318181818181818,0.7424892703862661,58.25,31.821428571428573,2026-07-09 01:55:00-04:00,1.3591470258136924,1.8305274971941639,False,6,107264
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 01:50:00-04:00,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,-43.25,0,0.0,0.0,65.0,72.5,75.0,7.75,0.06818181818181818,0.7424892703862661,58.25,31.821428571428573,2026-07-09 01:55:00-04:00,1.3591470258136924,1.8305274971941639,False,6,107264
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 01:45:00-04:00,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,70.5,3,1.0,27.0,70.0,80.0,82.5,6.5,0.9318181818181818,0.7790055248618785,90.5,31.821428571428573,2026-07-09 01:55:00-04:00,2.2154882154882154,2.843995510662177,True,6,107264
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 01:45:00-04:00,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,-70.5,0,0.0,0.0,70.0,80.0,82.5,6.5,0.06818181818181818,0.7790055248618785,90.5,31.821428571428573,2026-07-09 01:55:00-04:00,2.2154882154882154,2.843995510662177,False,6,107264
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 02:00:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,-15.0,0,0.0,0.0,30.0,45.0,57.5,,0.0990990990990991,0.5405405405405406,27.75,33.035714285714285,2026-07-09 02:00:00-04:00,0.4540540540540541,0.8400000000000001,False,6,107265
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 02:00:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,15.0,1,1.0,15.0,30.0,45.0,57.5,,0.9009009009009009,0.5405405405405406,27.75,33.035714285714285,2026-07-09 02:00:00-04:00,0.4540540540540541,0.8400000000000001,False,6,107265
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,10.75,1,0.5,27.0,50.0,62.5,70.0,21.25,0.0990990990990991,0.17695473251028807,60.75,33.035714285714285,2026-07-09 02:00:00-04:00,0.3254054054054054,1.838918918918919,False,6,107265
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 01:55:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,-10.75,1,0.5,15.0,50.0,62.5,70.0,21.25,0.9009009009009009,0.17695473251028807,60.75,33.035714285714285,2026-07-09 02:00:00-04:00,0.3254054054054054,1.838918918918919,False,6,107265
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 01:50:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,27.0,2,0.6666666666666666,22.25,60.0,65.0,67.5,14.5,0.0990990990990991,0.313953488372093,86.0,33.035714285714285,2026-07-09 02:00:00-04:00,0.8172972972972973,2.6032432432432433,True,6,107265
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 01:50:00-04:00,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,-27.0,1,0.3333333333333333,15.0,60.0,65.0,67.5,14.5,0.9009009009009009,0.313953488372093,86.0,33.035714285714285,2026-07-09 02:00:00-04:00,0.8172972972972973,2.6032432432432433,False,6,107265
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 02:05:00-04:00,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,7.5,1,1.0,7.5,20.0,20.0,31.25,,0.6551724137931034,0.20689655172413793,36.25,33.30357142857143,2026-07-09 02:05:00-04:00,0.22520107238605896,1.0884718498659516,False,6,107266
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 02:05:00-04:00,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,-7.5,0,0.0,0.0,20.0,20.0,31.25,,0.3448275862068966,0.20689655172413793,36.25,33.30357142857143,2026-07-09 02:05:00-04:00,0.22520107238605896,1.0884718498659516,False,6,107266
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,-10.5,1,0.5,7.5,25.0,32.5,44.375,19.75,0.6551724137931034,0.1640625,64.0,33.30357142857143,2026-07-09 02:05:00-04:00,0.31528150134048255,1.9217158176943698,False,6,107266
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 02:00:00-04:00,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,10.5,1,0.5,15.0,25.0,32.5,44.375,19.75,0.3448275862068966,0.1640625,64.0,33.30357142857143,2026-07-09 02:05:00-04:00,0.31528150134048255,1.9217158176943698,False,6,107266
NQ,5m,bull,3,phase1-v1.0.0,2026-07-09 01:55:00-04:00,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,15.25,2,0.6666666666666666,17.25,30.0,45.0,57.5,20.5,0.6551724137931034,0.15721649484536082,97.0,33.30357142857143,2026-07-09 02:05:00-04:00,0.4579088471849866,2.9126005361930294,False,6,107266
NQ,5m,bear,3,phase1-v1.0.0,2026-07-09 01:55:00-04:00,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,-15.25,1,0.3333333333333333,15.0,30.0,45.0,57.5,20.5,0.3448275862068966,0.15721649484536082,97.0,33.30357142857143,2026-07-09 02:05:00-04:00,0.4579088471849866,2.9126005361930294,False,6,107266
NQ,5m,bull,1,phase1-v1.0.0,2026-07-09 02:10:00-04:00,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,7.75,1,1.0,7.75,30.0,20.0,35.0,,0.7156862745098039,0.30392156862745096,25.5,34.82142857142857,2026-07-09 02:10:00-04:00,0.22256410256410258,0.7323076923076923,False,6,107267
NQ,5m,bear,1,phase1-v1.0.0,2026-07-09 02:10:00-04:00,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,-7.75,0,0.0,0.0,30.0,20.0,35.0,,0.28431372549019607,0.30392156862745096,25.5,34.82142857142857,2026-07-09 02:10:00-04:00,0.22256410256410258,0.7323076923076923,False,6,107267
NQ,5m,bull,2,phase1-v1.0.0,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,17.75,2,1.0,7.625,25.0,20.0,33.125,20.5,0.7156862745098039,0.2874493927125506,61.75,34.82142857142857,2026-07-09 02:10:00-04:00,0.5097435897435898,1.7733333333333334,False,6,107267
NQ,5m,bear,2,phase1-v1.0.0,2026-07-09 02:05:00-04:00,2026-07-09 02:10:00-04:00,2026-07-09 02:15:00-04:00,-17.75,0,0.0,0.0,25.0,20.0,33.125,20.5,0.28431372549019607,0.2874493927125506,61.75,34.82142857142857,2026-07-09 02:10:00-04:00,0.5097435897435898,1.7733333333333334,False,6,107267
