id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,C_index
FVG-1m-bear-20260706T0130,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:28:00-04:00,2026-07-06 01:29:00-04:00,2026-07-06 01:30:00-04:00,29785.0,29777.75,29770.0,29757.5,29782.0,29769.5,29770.0,29777.75,29773.875,2026-07-06 01:31:00-04:00,2026-07-06 01:37:00-04:00,2026-07-06 01:37:00-04:00,2026-07-06 01:38:00-04:00,2026-07-06 01:38:00-04:00,2026-07-06 01:38:00-04:00,504997
FVG-1m-bear-20260706T0131,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:29:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:31:00-04:00,29782.0,29767.75,29765.75,29753.75,29770.0,29762.75,29765.75,29767.75,29766.75,2026-07-06 01:32:00-04:00,2026-07-06 01:33:00-04:00,2026-07-06 01:33:00-04:00,2026-07-06 01:33:00-04:00,2026-07-06 01:33:00-04:00,2026-07-06 01:33:00-04:00,504998
FVG-1m-bull-20260706T0137,NQ,bull,1m,phase1-v1.0.0,2026-07-06 01:35:00-04:00,2026-07-06 01:36:00-04:00,2026-07-06 01:37:00-04:00,29763.25,29755.0,29780.5,29771.0,29762.5,29772.0,29763.25,29771.0,29767.125,2026-07-06 01:38:00-04:00,2026-07-06 01:48:00-04:00,2026-07-06 01:48:00-04:00,2026-07-06 01:48:00-04:00,2026-07-06 02:11:00-04:00,2026-07-06 02:11:00-04:00,505004
FVG-1m-bull-20260706T0144,NQ,bull,1m,phase1-v1.0.0,2026-07-06 01:42:00-04:00,2026-07-06 01:43:00-04:00,2026-07-06 01:44:00-04:00,29786.5,29780.0,29799.0,29788.25,29785.5,29791.75,29786.5,29788.25,29787.375,2026-07-06 01:45:00-04:00,2026-07-06 01:46:00-04:00,2026-07-06 01:46:00-04:00,2026-07-06 01:46:00-04:00,2026-07-06 01:46:00-04:00,2026-07-06 01:46:00-04:00,505011
FVG-1m-bear-20260706T0146,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:44:00-04:00,2026-07-06 01:45:00-04:00,2026-07-06 01:46:00-04:00,29799.0,29788.25,29782.0,29775.5,29789.5,29780.5,29782.0,29788.25,29785.125,2026-07-06 01:47:00-04:00,2026-07-06 01:52:00-04:00,2026-07-06 01:53:00-04:00,2026-07-06 01:53:00-04:00,2026-07-06 01:53:00-04:00,2026-07-06 01:53:00-04:00,505013
FVG-1m-bear-20260706T0148,NQ,bear,1m,phase1-v1.0.0,2026-07-06 01:46:00-04:00,2026-07-06 01:47:00-04:00,2026-07-06 01:48:00-04:00,29782.0,29775.5,29772.0,29766.25,29778.25,29768.75,29772.0,29775.5,29773.75,2026-07-06 01:49:00-04:00,2026-07-06 01:50:00-04:00,,2026-07-06 01:51:00-04:00,2026-07-06 01:51:00-04:00,2026-07-06 01:51:00-04:00,505015
FVG-1m-bull-20260706T0152,NQ,bull,1m,phase1-v1.0.0,2026-07-06 01:50:00-04:00,2026-07-06 01:51:00-04:00,2026-07-06 01:52:00-04:00,29779.0,29770.0,29793.5,29779.75,29774.25,29779.75,29779.0,29779.75,29779.375,2026-07-06 01:53:00-04:00,2026-07-06 02:07:00-04:00,,2026-07-06 02:07:00-04:00,2026-07-06 02:07:00-04:00,2026-07-06 02:07:00-04:00,505019
FVG-1m-bull-20260706T0153,NQ,bull,1m,phase1-v1.0.0,2026-07-06 01:51:00-04:00,2026-07-06 01:52:00-04:00,2026-07-06 01:53:00-04:00,29783.0,29772.75,29797.0,29790.25,29779.75,29793.5,29783.0,29790.25,29786.625,2026-07-06 01:54:00-04:00,2026-07-06 01:59:00-04:00,2026-07-06 01:59:00-04:00,2026-07-06 02:04:00-04:00,2026-07-06 02:07:00-04:00,2026-07-06 02:07:00-04:00,505020
FVG-1m-bear-20260706T0206,NQ,bear,1m,phase1-v1.0.0,2026-07-06 02:04:00-04:00,2026-07-06 02:05:00-04:00,2026-07-06 02:06:00-04:00,29798.5,29788.75,29786.75,29773.75,29793.25,29784.5,29786.75,29788.75,29787.75,2026-07-06 02:07:00-04:00,2026-07-06 02:08:00-04:00,2026-07-06 02:26:00-04:00,2026-07-06 02:26:00-04:00,2026-07-06 02:26:00-04:00,2026-07-06 02:26:00-04:00,505033
FVG-1m-bear-20260706T0209,NQ,bear,1m,phase1-v1.0.0,2026-07-06 02:07:00-04:00,2026-07-06 02:08:00-04:00,2026-07-06 02:09:00-04:00,29787.0,29777.75,29776.5,29768.75,29780.25,29774.0,29776.5,29777.75,29777.125,2026-07-06 02:10:00-04:00,2026-07-06 02:25:00-04:00,,2026-07-06 02:25:00-04:00,2026-07-06 02:25:00-04:00,2026-07-06 02:25:00-04:00,505036
FVG-1m-bull-20260706T0222,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:20:00-04:00,2026-07-06 02:21:00-04:00,2026-07-06 02:22:00-04:00,29761.25,29755.25,29773.5,29762.5,29761.25,29768.0,29761.25,29762.5,29761.875,2026-07-06 02:23:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,505049
FVG-1m-bull-20260706T0226,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:24:00-04:00,2026-07-06 02:25:00-04:00,2026-07-06 02:26:00-04:00,29778.5,29765.25,29794.0,29787.75,29775.75,29792.25,29778.5,29787.75,29783.125,2026-07-06 02:27:00-04:00,2026-07-06 02:31:00-04:00,2026-07-06 02:31:00-04:00,2026-07-06 04:17:00-04:00,2026-07-06 09:31:00-04:00,2026-07-06 09:31:00-04:00,505053
FVG-1m-bull-20260706T0233,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:31:00-04:00,2026-07-06 02:32:00-04:00,2026-07-06 02:33:00-04:00,29790.25,29784.5,29817.0,29797.5,29785.0,29799.0,29790.25,29797.5,29793.875,2026-07-06 02:34:00-04:00,2026-07-06 04:17:00-04:00,2026-07-06 04:17:00-04:00,2026-07-06 04:17:00-04:00,2026-07-06 04:17:00-04:00,2026-07-06 04:17:00-04:00,505060
FVG-1m-bull-20260706T0234,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:32:00-04:00,2026-07-06 02:33:00-04:00,2026-07-06 02:34:00-04:00,29800.0,29785.0,29818.0,29808.5,29798.5,29810.0,29800.0,29808.5,29804.25,2026-07-06 02:35:00-04:00,2026-07-06 04:14:00-04:00,2026-07-06 04:16:00-04:00,2026-07-06 04:14:00-04:00,2026-07-06 04:17:00-04:00,2026-07-06 04:17:00-04:00,505061
FVG-1m-bull-20260706T0236,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:34:00-04:00,2026-07-06 02:35:00-04:00,2026-07-06 02:36:00-04:00,29818.0,29808.5,29830.5,29825.0,29817.25,29829.25,29818.0,29825.0,29821.5,2026-07-06 02:37:00-04:00,2026-07-06 03:29:00-04:00,2026-07-06 03:29:00-04:00,2026-07-06 03:29:00-04:00,2026-07-06 03:30:00-04:00,2026-07-06 03:30:00-04:00,505063
FVG-1m-bull-20260706T0238,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:36:00-04:00,2026-07-06 02:37:00-04:00,2026-07-06 02:38:00-04:00,29830.5,29825.0,29842.25,29833.25,29826.25,29838.5,29830.5,29833.25,29831.875,2026-07-06 02:39:00-04:00,2026-07-06 02:47:00-04:00,2026-07-06 03:02:00-04:00,2026-07-06 03:02:00-04:00,2026-07-06 03:03:00-04:00,2026-07-06 03:03:00-04:00,505065
FVG-1m-bull-20260706T0241,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:39:00-04:00,2026-07-06 02:40:00-04:00,2026-07-06 02:41:00-04:00,29845.0,29835.75,29855.75,29847.5,29841.5,29851.0,29845.0,29847.5,29846.25,2026-07-06 02:42:00-04:00,2026-07-06 02:43:00-04:00,,2026-07-06 02:43:00-04:00,2026-07-06 02:43:00-04:00,2026-07-06 02:43:00-04:00,505068
FVG-1m-bear-20260706T0246,NQ,bear,1m,phase1-v1.0.0,2026-07-06 02:44:00-04:00,2026-07-06 02:45:00-04:00,2026-07-06 02:46:00-04:00,29856.75,29850.25,29845.5,29832.5,29855.0,29845.5,29845.5,29850.25,29847.875,2026-07-06 02:47:00-04:00,2026-07-06 02:49:00-04:00,2026-07-06 02:49:00-04:00,2026-07-06 02:49:00-04:00,2026-07-06 02:51:00-04:00,2026-07-06 02:51:00-04:00,505073
FVG-1m-bull-20260706T0249,NQ,bull,1m,phase1-v1.0.0,2026-07-06 02:47:00-04:00,2026-07-06 02:48:00-04:00,2026-07-06 02:49:00-04:00,29840.5,29835.5,29848.25,29844.0,29840.25,29846.5,29840.5,29844.0,29842.25,2026-07-06 02:50:00-04:00,2026-07-06 02:54:00-04:00,2026-07-06 02:54:00-04:00,2026-07-06 02:54:00-04:00,2026-07-06 02:54:00-04:00,2026-07-06 02:54:00-04:00,505076
FVG-1m-bear-20260706T0254,NQ,bear,1m,phase1-v1.0.0,2026-07-06 02:52:00-04:00,2026-07-06 02:53:00-04:00,2026-07-06 02:54:00-04:00,29854.25,29850.25,29844.5,29839.25,29853.25,29838.75,29844.5,29850.25,29847.375,2026-07-06 02:55:00-04:00,2026-07-06 02:56:00-04:00,2026-07-06 02:56:00-04:00,2026-07-06 02:56:00-04:00,2026-07-06 02:56:00-04:00,2026-07-06 02:56:00-04:00,505081
FVG-1m-bear-20260706T0301,NQ,bear,1m,phase1-v1.0.0,2026-07-06 02:59:00-04:00,2026-07-06 03:00:00-04:00,2026-07-06 03:01:00-04:00,29851.0,29844.0,29843.0,29831.0,29846.25,29839.25,29843.0,29844.0,29843.5,2026-07-06 03:02:00-04:00,2026-07-06 03:05:00-04:00,2026-07-06 03:05:00-04:00,2026-07-06 03:05:00-04:00,2026-07-06 03:05:00-04:00,2026-07-06 03:05:00-04:00,505088
FVG-1m-bear-20260706T0302,NQ,bear,1m,phase1-v1.0.0,2026-07-06 03:00:00-04:00,2026-07-06 03:01:00-04:00,2026-07-06 03:02:00-04:00,29852.75,29836.0,29834.75,29829.75,29841.5,29832.5,29834.75,29836.0,29835.375,2026-07-06 03:03:00-04:00,2026-07-06 03:04:00-04:00,2026-07-06 03:04:00-04:00,2026-07-06 03:04:00-04:00,2026-07-06 03:04:00-04:00,2026-07-06 03:04:00-04:00,505089
FVG-1m-bear-20260706T0314,NQ,bear,1m,phase1-v1.0.0,2026-07-06 03:12:00-04:00,2026-07-06 03:13:00-04:00,2026-07-06 03:14:00-04:00,29862.75,29856.25,29848.0,29841.0,29856.75,29843.25,29848.0,29856.25,29852.125,2026-07-06 03:15:00-04:00,2026-07-06 03:16:00-04:00,2026-07-06 03:16:00-04:00,2026-07-06 03:16:00-04:00,2026-07-06 03:16:00-04:00,2026-07-06 03:16:00-04:00,505101
FVG-1m-bear-20260706T0329,NQ,bear,1m,phase1-v1.0.0,2026-07-06 03:27:00-04:00,2026-07-06 03:28:00-04:00,2026-07-06 03:29:00-04:00,29835.75,29828.75,29825.25,29817.75,29831.75,29820.25,29825.25,29828.75,29827.0,2026-07-06 03:30:00-04:00,2026-07-06 03:32:00-04:00,2026-07-06 03:32:00-04:00,2026-07-06 03:32:00-04:00,2026-07-06 03:32:00-04:00,2026-07-06 03:32:00-04:00,505116
FVG-1m-bull-20260706T0333,NQ,bull,1m,phase1-v1.0.0,2026-07-06 03:31:00-04:00,2026-07-06 03:32:00-04:00,2026-07-06 03:33:00-04:00,29834.0,29820.5,29846.75,29838.75,29833.5,29843.0,29834.0,29838.75,29836.375,2026-07-06 03:34:00-04:00,2026-07-06 03:38:00-04:00,2026-07-06 03:39:00-04:00,2026-07-06 03:39:00-04:00,2026-07-06 03:40:00-04:00,2026-07-06 03:40:00-04:00,505120
FVG-1m-bull-20260706T0334,NQ,bull,1m,phase1-v1.0.0,2026-07-06 03:32:00-04:00,2026-07-06 03:33:00-04:00,2026-07-06 03:34:00-04:00,29843.0,29833.5,29848.5,29844.25,29843.0,29845.5,29843.0,29844.25,29843.625,2026-07-06 03:35:00-04:00,2026-07-06 03:36:00-04:00,2026-07-06 03:38:00-04:00,2026-07-06 03:38:00-04:00,2026-07-06 03:38:00-04:00,2026-07-06 03:38:00-04:00,505121
FVG-1m-bull-20260706T0344,NQ,bull,1m,phase1-v1.0.0,2026-07-06 03:42:00-04:00,2026-07-06 03:43:00-04:00,2026-07-06 03:44:00-04:00,29857.25,29851.75,29876.25,29867.0,29855.0,29867.25,29857.25,29867.0,29862.125,2026-07-06 03:45:00-04:00,2026-07-06 03:47:00-04:00,2026-07-06 03:51:00-04:00,2026-07-06 03:53:00-04:00,2026-07-06 03:55:00-04:00,2026-07-06 03:55:00-04:00,505131
FVG-1m-bull-20260706T0401,NQ,bull,1m,phase1-v1.0.0,2026-07-06 03:59:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 04:01:00-04:00,29863.25,29851.25,29875.5,29864.0,29852.75,29872.75,29863.25,29864.0,29863.625,2026-07-06 04:02:00-04:00,2026-07-06 04:04:00-04:00,2026-07-06 04:04:00-04:00,2026-07-06 04:04:00-04:00,2026-07-06 04:04:00-04:00,2026-07-06 04:04:00-04:00,505148
FVG-1m-bull-20260706T0406,NQ,bull,1m,phase1-v1.0.0,2026-07-06 04:04:00-04:00,2026-07-06 04:05:00-04:00,2026-07-06 04:06:00-04:00,29866.25,29860.75,29880.0,29868.25,29864.0,29872.25,29866.25,29868.25,29867.25,2026-07-06 04:07:00-04:00,2026-07-06 04:11:00-04:00,2026-07-06 04:11:00-04:00,2026-07-06 04:11:00-04:00,2026-07-06 04:11:00-04:00,2026-07-06 04:11:00-04:00,505153
FVG-1m-bear-20260706T0416,NQ,bear,1m,phase1-v1.0.0,2026-07-06 04:14:00-04:00,2026-07-06 04:15:00-04:00,2026-07-06 04:16:00-04:00,29823.0,29810.0,29808.0,29780.0,29824.25,29805.0,29808.0,29810.0,29809.0,2026-07-06 04:17:00-04:00,2026-07-06 04:19:00-04:00,2026-07-06 04:20:00-04:00,2026-07-06 04:19:00-04:00,2026-07-06 04:20:00-04:00,2026-07-06 04:20:00-04:00,505163
FVG-1m-bull-20260706T0440,NQ,bull,1m,phase1-v1.0.0,2026-07-06 04:38:00-04:00,2026-07-06 04:39:00-04:00,2026-07-06 04:40:00-04:00,29820.0,29813.5,29850.0,29825.5,29817.0,29826.75,29820.0,29825.5,29822.75,2026-07-06 04:41:00-04:00,2026-07-06 09:30:00-04:00,,2026-07-06 09:30:00-04:00,2026-07-06 09:31:00-04:00,2026-07-06 09:31:00-04:00,505187
FVG-1m-bull-20260706T0441,NQ,bull,1m,phase1-v1.0.0,2026-07-06 04:39:00-04:00,2026-07-06 04:40:00-04:00,2026-07-06 04:41:00-04:00,29827.75,29816.5,29851.25,29843.75,29827.75,29849.5,29827.75,29843.75,29835.75,2026-07-06 04:42:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 05:49:00-04:00,2026-07-06 05:49:00-04:00,2026-07-06 05:49:00-04:00,505188
FVG-1m-bull-20260706T0456,NQ,bull,1m,phase1-v1.0.0,2026-07-06 04:54:00-04:00,2026-07-06 04:55:00-04:00,2026-07-06 04:56:00-04:00,29853.75,29850.0,29866.0,29856.25,29852.25,29856.5,29853.75,29856.25,29855.0,2026-07-06 04:57:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,505203
FVG-1m-bull-20260706T0459,NQ,bull,1m,phase1-v1.0.0,2026-07-06 04:57:00-04:00,2026-07-06 04:58:00-04:00,2026-07-06 04:59:00-04:00,29862.75,29857.0,29870.75,29864.5,29860.75,29867.0,29862.75,29864.5,29863.625,2026-07-06 05:00:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,2026-07-06 05:01:00-04:00,505206
FVG-1m-bull-20260706T0507,NQ,bull,1m,phase1-v1.0.0,2026-07-06 05:05:00-04:00,2026-07-06 05:06:00-04:00,2026-07-06 05:07:00-04:00,29861.75,29856.0,29871.25,29862.0,29859.25,29869.75,29861.75,29862.0,29861.875,2026-07-06 05:08:00-04:00,2026-07-06 05:09:00-04:00,2026-07-06 05:09:00-04:00,2026-07-06 05:09:00-04:00,2026-07-06 05:09:00-04:00,2026-07-06 05:09:00-04:00,505214
FVG-1m-bear-20260706T0520,NQ,bear,1m,phase1-v1.0.0,2026-07-06 05:18:00-04:00,2026-07-06 05:19:00-04:00,2026-07-06 05:20:00-04:00,29869.0,29862.5,29857.5,29850.5,29864.75,29856.5,29857.5,29862.5,29860.0,2026-07-06 05:21:00-04:00,2026-07-06 05:22:00-04:00,2026-07-06 05:24:00-04:00,2026-07-06 05:25:00-04:00,2026-07-06 05:25:00-04:00,2026-07-06 05:25:00-04:00,505227
FVG-1m-bear-20260706T0532,NQ,bear,1m,phase1-v1.0.0,2026-07-06 05:30:00-04:00,2026-07-06 05:31:00-04:00,2026-07-06 05:32:00-04:00,29867.0,29856.5,29848.5,29840.75,29862.5,29845.0,29848.5,29856.5,29852.5,2026-07-06 05:33:00-04:00,2026-07-06 05:36:00-04:00,2026-07-06 05:36:00-04:00,2026-07-06 05:36:00-04:00,2026-07-06 05:36:00-04:00,2026-07-06 05:36:00-04:00,505239
FVG-1m-bear-20260706T0546,NQ,bear,1m,phase1-v1.0.0,2026-07-06 05:44:00-04:00,2026-07-06 05:45:00-04:00,2026-07-06 05:46:00-04:00,29857.75,29849.75,29847.25,29839.0,29849.75,29843.0,29847.25,29849.75,29848.5,2026-07-06 05:47:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:52:00-04:00,2026-07-06 05:52:00-04:00,2026-07-06 05:52:00-04:00,505253
FVG-1m-bear-20260706T0549,NQ,bear,1m,phase1-v1.0.0,2026-07-06 05:47:00-04:00,2026-07-06 05:48:00-04:00,2026-07-06 05:49:00-04:00,29843.25,29839.5,29835.75,29829.75,29842.5,29829.0,29835.75,29839.5,29837.625,2026-07-06 05:50:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:51:00-04:00,505256
FVG-1m-bull-20260706T0551,NQ,bull,1m,phase1-v1.0.0,2026-07-06 05:49:00-04:00,2026-07-06 05:50:00-04:00,2026-07-06 05:51:00-04:00,29835.75,29829.75,29871.0,29847.75,29834.75,29847.75,29835.75,29847.75,29841.75,2026-07-06 05:52:00-04:00,2026-07-06 06:46:00-04:00,2026-07-06 09:19:00-04:00,2026-07-06 07:09:00-04:00,2026-07-06 09:19:00-04:00,2026-07-06 09:19:00-04:00,505258
FVG-1m-bull-20260706T0552,NQ,bull,1m,phase1-v1.0.0,2026-07-06 05:50:00-04:00,2026-07-06 05:51:00-04:00,2026-07-06 05:52:00-04:00,29847.75,29831.75,29874.0,29869.0,29847.75,29869.25,29847.75,29869.0,29858.375,2026-07-06 05:53:00-04:00,2026-07-06 05:54:00-04:00,2026-07-06 06:03:00-04:00,2026-07-06 06:07:00-04:00,2026-07-06 06:46:00-04:00,2026-07-06 06:46:00-04:00,505259
FVG-1m-bear-20260706T0603,NQ,bear,1m,phase1-v1.0.0,2026-07-06 06:01:00-04:00,2026-07-06 06:02:00-04:00,2026-07-06 06:03:00-04:00,29891.5,29875.25,29870.0,29863.5,29877.0,29866.5,29870.0,29875.25,29872.625,2026-07-06 06:04:00-04:00,2026-07-06 06:05:00-04:00,2026-07-06 06:13:00-04:00,2026-07-06 06:05:00-04:00,2026-07-06 06:15:00-04:00,2026-07-06 06:15:00-04:00,505270
FVG-1m-bear-20260706T0622,NQ,bear,1m,phase1-v1.0.0,2026-07-06 06:20:00-04:00,2026-07-06 06:21:00-04:00,2026-07-06 06:22:00-04:00,29883.25,29877.5,29875.25,29872.75,29878.5,29875.25,29875.25,29877.5,29876.375,2026-07-06 06:23:00-04:00,2026-07-06 06:24:00-04:00,2026-07-06 06:35:00-04:00,2026-07-06 06:24:00-04:00,2026-07-06 06:35:00-04:00,2026-07-06 06:35:00-04:00,505289
FVG-1m-bear-20260706T0625,NQ,bear,1m,phase1-v1.0.0,2026-07-06 06:23:00-04:00,2026-07-06 06:24:00-04:00,2026-07-06 06:25:00-04:00,29876.5,29872.75,29869.75,29865.0,29873.0,29868.0,29869.75,29872.75,29871.25,2026-07-06 06:26:00-04:00,2026-07-06 06:27:00-04:00,2026-07-06 06:34:00-04:00,2026-07-06 06:34:00-04:00,2026-07-06 06:34:00-04:00,2026-07-06 06:34:00-04:00,505292
FVG-1m-bull-20260706T0634,NQ,bull,1m,phase1-v1.0.0,2026-07-06 06:32:00-04:00,2026-07-06 06:33:00-04:00,2026-07-06 06:34:00-04:00,29861.75,29857.5,29880.0,29872.75,29860.75,29872.75,29861.75,29872.75,29867.25,2026-07-06 06:35:00-04:00,2026-07-06 06:36:00-04:00,2026-07-06 06:36:00-04:00,2026-07-06 06:43:00-04:00,2026-07-06 06:44:00-04:00,2026-07-06 06:44:00-04:00,505301
FVG-1m-bear-20260706T0643,NQ,bear,1m,phase1-v1.0.0,2026-07-06 06:41:00-04:00,2026-07-06 06:42:00-04:00,2026-07-06 06:43:00-04:00,29885.0,29875.75,29870.25,29861.75,29878.5,29866.5,29870.25,29875.75,29873.0,2026-07-06 06:44:00-04:00,2026-07-06 06:56:00-04:00,2026-07-06 06:57:00-04:00,2026-07-06 06:59:00-04:00,2026-07-06 06:59:00-04:00,2026-07-06 06:59:00-04:00,505310
FVG-1m-bear-20260706T0644,NQ,bear,1m,phase1-v1.0.0,2026-07-06 06:42:00-04:00,2026-07-06 06:43:00-04:00,2026-07-06 06:44:00-04:00,29878.5,29866.25,29862.5,29854.25,29868.0,29861.75,29862.5,29866.25,29864.375,2026-07-06 06:45:00-04:00,2026-07-06 06:51:00-04:00,2026-07-06 06:51:00-04:00,2026-07-06 06:52:00-04:00,2026-07-06 06:53:00-04:00,2026-07-06 06:53:00-04:00,505311
FVG-1m-bear-20260706T0702,NQ,bear,1m,phase1-v1.0.0,2026-07-06 07:00:00-04:00,2026-07-06 07:01:00-04:00,2026-07-06 07:02:00-04:00,29896.0,29878.0,29869.25,29853.5,29891.5,29869.0,29869.25,29878.0,29873.625,2026-07-06 07:03:00-04:00,2026-07-06 07:18:00-04:00,2026-07-06 07:19:00-04:00,2026-07-06 07:19:00-04:00,2026-07-06 07:22:00-04:00,2026-07-06 07:22:00-04:00,505329
