instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,1h,bear,phase1-v1.0.0,2026-07-06 14:00:00-04:00,2026-07-06 15:00:00-04:00,29990.0,30004.0,30004.0,29990.0,14.0,0.75,93.75,108.5,0.14933333333333335,0.12903225806451613,40.0,,,2026-07-06 16:00:00-04:00,2026-07-06 16:00:00-04:00,2026-07-06 16:00:00-04:00,,body_overlap,2026-07-06 16:00:00-04:00,False,False,25,True,8434
NQ,1h,bull,phase1-v1.0.0,2026-07-06 14:00:00-04:00,2026-07-06 15:00:00-04:00,29895.5,29896.25,29895.5,29896.25,0.75,14.0,93.75,108.5,0.008,0.0069124423963133645,0.0,,,2026-07-06 19:00:00-04:00,2026-07-06 19:00:00-04:00,2026-07-06 19:00:00-04:00,,body_overlap,2026-07-06 19:00:00-04:00,False,False,25,True,8434
NQ,1h,bear,phase1-v1.0.0,2026-07-06 15:00:00-04:00,2026-07-06 16:00:00-04:00,29990.75,30052.0,30052.0,29990.75,61.25,20.25,39.0,120.5,1.5705128205128205,0.508298755186722,90.0,,,2026-07-09 14:00:00-04:00,2026-07-10 13:00:00-04:00,,,body_overlap,2026-07-10 13:00:00-04:00,False,False,25,True,8435
NQ,1h,bull,phase1-v1.0.0,2026-07-06 15:00:00-04:00,2026-07-06 16:00:00-04:00,29931.5,29951.75,29931.5,29951.75,20.25,61.25,39.0,120.5,0.5192307692307693,0.16804979253112035,40.0,,,2026-07-06 17:00:00-04:00,2026-07-06 17:00:00-04:00,2026-07-06 17:00:00-04:00,,body_overlap,2026-07-06 17:00:00-04:00,False,False,25,True,8435
NQ,1h,bear,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 17:00:00-04:00,29951.25,29972.75,29972.75,29951.25,21.5,16.5,3.5,41.5,6.142857142857143,0.5180722891566265,50.0,60.0,,2026-07-06 19:00:00-04:00,2026-07-06 19:00:00-04:00,2026-07-06 19:00:00-04:00,,body_overlap,2026-07-06 19:00:00-04:00,False,False,25,True,8436
NQ,1h,bull,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 17:00:00-04:00,29931.25,29947.75,29931.25,29947.75,16.5,21.5,3.5,41.5,4.714285714285714,0.39759036144578314,40.0,20.0,,2026-07-06 19:00:00-04:00,2026-07-06 19:00:00-04:00,2026-07-06 19:00:00-04:00,,body_overlap,2026-07-06 19:00:00-04:00,False,False,25,True,8436
NQ,1h,bear,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-06 19:00:00-04:00,29960.0,29973.75,29973.75,29960.0,13.75,5.75,65.25,84.75,0.210727969348659,0.16224188790560473,20.0,40.0,,2026-07-09 14:00:00-04:00,2026-07-09 14:00:00-04:00,2026-07-09 14:00:00-04:00,,body_overlap,2026-07-09 14:00:00-04:00,False,False,25,True,8437
NQ,1h,bull,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-06 19:00:00-04:00,29889.0,29894.75,29889.0,29894.75,5.75,13.75,65.25,84.75,0.08812260536398467,0.06784660766961652,10.0,5.0,,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,,body_overlap,2026-07-06 20:00:00-04:00,False,False,25,True,8437
NQ,1h,bear,phase1-v1.0.0,2026-07-06 19:00:00-04:00,2026-07-06 20:00:00-04:00,29893.5,29928.75,29928.75,29893.5,35.25,13.0,41.25,89.5,0.8545454545454545,0.39385474860335196,60.0,75.0,,2026-07-06 21:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,,body_overlap,2026-07-09 10:00:00-04:00,False,False,25,True,8438
NQ,1h,bull,phase1-v1.0.0,2026-07-06 19:00:00-04:00,2026-07-06 20:00:00-04:00,29839.25,29852.25,29839.25,29852.25,13.0,35.25,41.25,89.5,0.3151515151515151,0.1452513966480447,30.0,15.0,,2026-07-06 21:00:00-04:00,2026-07-06 21:00:00-04:00,2026-07-06 21:00:00-04:00,,body_overlap,2026-07-06 21:00:00-04:00,False,False,25,True,8438
NQ,1h,bear,phase1-v1.0.0,2026-07-06 20:00:00-04:00,2026-07-06 21:00:00-04:00,29851.0,29914.25,29914.25,29851.0,63.25,8.5,34.25,106.0,1.8467153284671534,0.5966981132075472,90.0,90.0,,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,,body_overlap,2026-07-09 10:00:00-04:00,False,False,25,True,8439
