id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,fvg_width,atr_at_C,atr_availability_et,fvg_width_atr,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,segment_id,C_index
FVG-1h-bull-20260708T1300,NQ,bull,1h,phase1-v1.0.0,2026-07-08 11:00:00-04:00,2026-07-08 12:00:00-04:00,2026-07-08 13:00:00-04:00,29224.25,29034.0,29457.75,29324.25,29097.25,29373.25,29224.25,29324.25,29274.25,100.0,181.125,2026-07-08 13:00:00-04:00,0.5521048999309869,2026-07-08 14:00:00-04:00,,,,,,6,8931
FVG-1h-bull-20260708T2000,NQ,bull,1h,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-08 19:00:00-04:00,2026-07-08 20:00:00-04:00,29449.25,29402.75,29583.0,29486.25,29424.0,29491.25,29449.25,29486.25,29467.75,37.0,157.41071428571428,2026-07-08 20:00:00-04:00,0.23505388542257516,2026-07-08 21:00:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 22:00:00-04:00,6,8937
FVG-1h-bull-20260709T0200,NQ,bull,1h,phase1-v1.0.0,2026-07-09 00:00:00-04:00,2026-07-09 01:00:00-04:00,2026-07-09 02:00:00-04:00,29558.5,29462.5,29644.25,29572.25,29554.75,29607.75,29558.5,29572.25,29565.375,13.75,130.94642857142858,2026-07-09 02:00:00-04:00,0.10500477294422472,2026-07-09 03:00:00-04:00,2026-07-09 07:00:00-04:00,,2026-07-09 07:00:00-04:00,,,6,8943
FVG-1h-bull-20260709T0800,NQ,bull,1h,phase1-v1.0.0,2026-07-09 06:00:00-04:00,2026-07-09 07:00:00-04:00,2026-07-09 08:00:00-04:00,29669.0,29564.5,29786.5,29681.0,29601.75,29696.0,29669.0,29681.0,29675.0,12.0,104.05357142857143,2026-07-09 08:00:00-04:00,0.11532521022824781,2026-07-09 09:00:00-04:00,2026-07-09 10:00:00-04:00,,2026-07-09 10:00:00-04:00,2026-07-09 11:00:00-04:00,2026-07-09 11:00:00-04:00,6,8949
FVG-1h-bull-20260709T1400,NQ,bull,1h,phase1-v1.0.0,2026-07-09 12:00:00-04:00,2026-07-09 13:00:00-04:00,2026-07-09 14:00:00-04:00,29924.25,29864.0,29985.0,29929.5,29897.0,29973.75,29924.25,29929.5,29926.875,5.25,125.75,2026-07-09 14:00:00-04:00,0.041749502982107355,2026-07-09 15:00:00-04:00,2026-07-09 16:00:00-04:00,,2026-07-09 16:00:00-04:00,2026-07-09 16:00:00-04:00,2026-07-09 16:00:00-04:00,6,8955
FVG-1h-bear-20260710T0100,NQ,bear,1h,phase1-v1.0.0,2026-07-09 23:00:00-04:00,2026-07-10 00:00:00-04:00,2026-07-10 01:00:00-04:00,29963.5,29912.5,29897.0,29840.0,29933.0,29881.75,29897.0,29912.5,29904.75,15.5,96.33928571428571,2026-07-10 01:00:00-04:00,0.16088971269694163,2026-07-10 02:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,6,8965
FVG-1h-bear-20260710T0200,NQ,bear,1h,phase1-v1.0.0,2026-07-10 00:00:00-04:00,2026-07-10 01:00:00-04:00,2026-07-10 02:00:00-04:00,29948.75,29875.25,29856.75,29775.25,29883.75,29845.5,29856.75,29875.25,29866.0,18.5,78.39285714285714,2026-07-10 02:00:00-04:00,0.23599088838268795,2026-07-10 03:00:00-04:00,2026-07-10 07:00:00-04:00,,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,6,8966
FVG-1h-bear-20260710T0300,NQ,bear,1h,phase1-v1.0.0,2026-07-10 01:00:00-04:00,2026-07-10 02:00:00-04:00,2026-07-10 03:00:00-04:00,29897.0,29840.0,29827.75,29761.75,29847.25,29819.5,29827.75,29840.0,29833.875,12.25,75.23214285714286,2026-07-10 03:00:00-04:00,0.1628293377640636,2026-07-10 04:00:00-04:00,2026-07-10 07:00:00-04:00,2026-07-10 07:00:00-04:00,2026-07-10 07:00:00-04:00,2026-07-10 07:00:00-04:00,2026-07-10 07:00:00-04:00,6,8967
FVG-1h-bull-20260710T0600,NQ,bull,1h,phase1-v1.0.0,2026-07-10 04:00:00-04:00,2026-07-10 05:00:00-04:00,2026-07-10 06:00:00-04:00,29803.75,29743.75,29862.25,29805.5,29776.75,29814.75,29803.75,29805.5,29804.625,1.75,76.71428571428571,2026-07-10 06:00:00-04:00,0.02281191806331471,2026-07-10 07:00:00-04:00,2026-07-10 09:00:00-04:00,2026-07-10 09:00:00-04:00,2026-07-10 09:00:00-04:00,2026-07-10 09:00:00-04:00,2026-07-10 09:00:00-04:00,6,8970
FVG-1h-bull-20260710T1300,NQ,bull,1h,phase1-v1.0.0,2026-07-10 11:00:00-04:00,2026-07-10 12:00:00-04:00,2026-07-10 13:00:00-04:00,29991.5,29780.0,30072.25,29996.5,29944.25,30026.75,29991.5,29996.5,29994.0,5.0,108.91071428571429,2026-07-10 13:00:00-04:00,0.045909165436956875,2026-07-10 14:00:00-04:00,,,,2026-07-12 19:00:00-04:00,2026-07-12 19:00:00-04:00,6,8977
