instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,4h,bear,phase1-v1.0.0,2026-07-07 00:00:00-04:00,2026-07-07 04:00:00-04:00,29670.0,29744.0,29744.0,29670.0,74.0,87.0,24.5,185.5,3.020408163265306,0.39892183288409705,275.85714285714283,2026-07-07 00:00:00-04:00,0.08881408596582083,0.6724495080269292,0.26825479026411186,100.0,90.0,82.5,2026-07-07 08:00:00-04:00,2026-07-09 04:00:00-04:00,,,body_overlap,2026-07-09 04:00:00-04:00,False,False,6,True,2420
NQ,4h,bull,phase1-v1.0.0,2026-07-07 00:00:00-04:00,2026-07-07 04:00:00-04:00,29558.5,29645.5,29558.5,29645.5,87.0,74.0,24.5,185.5,3.5510204081632653,0.46900269541778977,275.85714285714283,2026-07-07 00:00:00-04:00,0.08881408596582083,0.6724495080269292,0.3153806317969964,80.0,75.0,60.0,2026-07-07 08:00:00-04:00,2026-07-07 08:00:00-04:00,,,body_overlap,2026-07-07 08:00:00-04:00,False,False,6,True,2420
NQ,4h,bear,phase1-v1.0.0,2026-07-07 04:00:00-04:00,2026-07-07 08:00:00-04:00,29646.75,29709.25,29709.25,29646.75,62.5,51.25,4.25,118.0,14.705882352941176,0.5296610169491526,268.60714285714283,2026-07-07 04:00:00-04:00,0.01582236404733413,0.43930328413774766,0.23268182422550196,80.0,80.0,72.5,2026-07-07 12:00:00-04:00,,2026-07-07 12:00:00-04:00,,wick_traversal_beyond_far,2026-07-07 12:00:00-04:00,False,False,6,True,2421
NQ,4h,bull,phase1-v1.0.0,2026-07-07 04:00:00-04:00,2026-07-07 08:00:00-04:00,29591.25,29642.5,29591.25,29642.5,51.25,62.5,4.25,118.0,12.058823529411764,0.4343220338983051,268.60714285714283,2026-07-07 04:00:00-04:00,0.01582236404733413,0.43930328413774766,0.1907990958649116,50.0,35.0,37.5,2026-07-07 12:00:00-04:00,2026-07-07 12:00:00-04:00,2026-07-07 12:00:00-04:00,,body_overlap,2026-07-07 12:00:00-04:00,False,False,6,True,2421
NQ,4h,bear,phase1-v1.0.0,2026-07-07 08:00:00-04:00,2026-07-07 12:00:00-04:00,29640.75,29716.0,29716.0,29640.75,75.25,176.75,254.0,506.0,0.296259842519685,0.14871541501976285,251.17857142857142,2026-07-07 08:00:00-04:00,1.0112327598464383,2.0145030570169205,0.29958765818285227,100.0,95.0,82.5,2026-07-09 04:00:00-04:00,2026-07-09 04:00:00-04:00,,,body_overlap,2026-07-09 04:00:00-04:00,False,False,6,True,2422
NQ,4h,bull,phase1-v1.0.0,2026-07-07 08:00:00-04:00,2026-07-07 12:00:00-04:00,29210.0,29386.75,29210.0,29386.75,176.75,75.25,254.0,506.0,0.6958661417322834,0.3493083003952569,251.17857142857142,2026-07-07 08:00:00-04:00,1.0112327598464383,2.0145030570169205,0.7036826389876297,100.0,95.0,87.5,2026-07-07 16:00:00-04:00,2026-07-07 20:00:00-04:00,,,body_overlap,2026-07-07 20:00:00-04:00,False,False,6,True,2422
NQ,4h,bear,phase1-v1.0.0,2026-07-07 12:00:00-04:00,2026-07-07 16:00:00-04:00,29394.5,29580.75,29580.75,29394.5,186.25,117.0,6.5,309.75,28.653846153846153,0.6012913640032284,269.3392857142857,2026-07-07 12:00:00-04:00,0.02413313001392296,1.1500364648942518,0.6915069946297155,100.0,95.0,97.5,2026-07-07 20:00:00-04:00,2026-07-07 20:00:00-04:00,,,body_overlap,2026-07-07 20:00:00-04:00,False,False,6,True,2423
NQ,4h,bull,phase1-v1.0.0,2026-07-07 12:00:00-04:00,2026-07-07 16:00:00-04:00,29271.0,29388.0,29271.0,29388.0,117.0,186.25,6.5,309.75,18.0,0.37772397094430993,269.3392857142857,2026-07-07 12:00:00-04:00,0.02413313001392296,1.1500364648942518,0.43439634025061324,90.0,85.0,77.5,2026-07-07 20:00:00-04:00,2026-07-07 20:00:00-04:00,,,body_overlap,2026-07-07 20:00:00-04:00,False,False,6,True,2423
NQ,4h,bear,phase1-v1.0.0,2026-07-07 16:00:00-04:00,2026-07-07 20:00:00-04:00,29395.0,29437.25,29437.25,29395.0,42.25,8.0,94.5,144.75,0.4470899470899471,0.2918825561312608,240.80357142857142,2026-07-07 16:00:00-04:00,0.3924360400444939,0.6011123470522803,0.17545420837968115,50.0,55.0,55.0,2026-07-08 00:00:00-04:00,2026-07-08 00:00:00-04:00,2026-07-08 00:00:00-04:00,,body_overlap,2026-07-08 00:00:00-04:00,False,False,6,False,2424
NQ,4h,bull,phase1-v1.0.0,2026-07-07 16:00:00-04:00,2026-07-07 20:00:00-04:00,29292.5,29300.5,29292.5,29300.5,8.0,42.25,94.5,144.75,0.08465608465608465,0.055267702936096716,240.80357142857142,2026-07-07 16:00:00-04:00,0.3924360400444939,0.6011123470522803,0.0332220986281053,0.0,5.0,6.25,2026-07-08 00:00:00-04:00,2026-07-08 00:00:00-04:00,2026-07-08 00:00:00-04:00,,body_overlap,2026-07-08 00:00:00-04:00,False,False,6,False,2424
NQ,4h,bear,phase1-v1.0.0,2026-07-07 20:00:00-04:00,2026-07-08 00:00:00-04:00,29467.0,29558.75,29558.75,29467.0,91.75,34.0,167.0,292.75,0.5494011976047904,0.3134073441502989,240.80357142857142,2026-07-07 20:00:00-04:00,0.6935113088616982,1.2157211716722285,0.3810159436410827,90.0,90.0,85.0,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,,,body_overlap,2026-07-08 04:00:00-04:00,False,False,6,True,2425
