id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,segment_id,C_index
FVG-5m-bear-20260707T1955,NQ,bear,5m,phase1-v1.0.0,2026-07-07 19:45:00-04:00,2026-07-07 19:50:00-04:00,2026-07-07 19:55:00-04:00,29359.75,29325.25,29322.75,29292.5,29338.0,29320.5,29322.75,29325.25,29324.0,2026-07-07 20:00:00-04:00,2026-07-07 20:05:00-04:00,2026-07-07 20:05:00-04:00,2026-07-07 20:05:00-04:00,2026-07-07 20:05:00-04:00,2026-07-07 20:05:00-04:00,25,101492
FVG-5m-bull-20260707T2005,NQ,bull,5m,phase1-v1.0.0,2026-07-07 19:55:00-04:00,2026-07-07 20:00:00-04:00,2026-07-07 20:05:00-04:00,29322.75,29292.5,29410.5,29332.5,29300.0,29337.0,29322.75,29332.5,29327.625,2026-07-07 20:10:00-04:00,2026-07-08 01:50:00-04:00,2026-07-08 01:50:00-04:00,2026-07-08 01:50:00-04:00,2026-07-08 01:50:00-04:00,2026-07-08 01:50:00-04:00,25,101494
FVG-5m-bull-20260707T2010,NQ,bull,5m,phase1-v1.0.0,2026-07-07 20:00:00-04:00,2026-07-07 20:05:00-04:00,2026-07-07 20:10:00-04:00,29337.0,29266.0,29426.5,29375.25,29334.25,29400.25,29337.0,29375.25,29356.125,2026-07-07 20:15:00-04:00,2026-07-08 01:35:00-04:00,2026-07-08 01:35:00-04:00,2026-07-08 01:35:00-04:00,2026-07-08 01:50:00-04:00,2026-07-08 01:50:00-04:00,25,101495
FVG-5m-bull-20260707T2040,NQ,bull,5m,phase1-v1.0.0,2026-07-07 20:30:00-04:00,2026-07-07 20:35:00-04:00,2026-07-07 20:40:00-04:00,29455.0,29416.0,29515.75,29475.75,29425.0,29478.5,29455.0,29475.75,29465.375,2026-07-07 20:45:00-04:00,2026-07-07 21:35:00-04:00,2026-07-07 21:35:00-04:00,2026-07-07 21:35:00-04:00,2026-07-07 21:35:00-04:00,2026-07-07 21:35:00-04:00,25,101501
FVG-5m-bull-20260707T2045,NQ,bull,5m,phase1-v1.0.0,2026-07-07 20:35:00-04:00,2026-07-07 20:40:00-04:00,2026-07-07 20:45:00-04:00,29480.0,29407.25,29538.5,29512.0,29477.25,29515.25,29480.0,29512.0,29496.0,2026-07-07 20:50:00-04:00,2026-07-07 21:10:00-04:00,2026-07-07 21:10:00-04:00,2026-07-07 21:10:00-04:00,2026-07-07 21:35:00-04:00,2026-07-07 21:35:00-04:00,25,101502
FVG-5m-bear-20260707T2125,NQ,bear,5m,phase1-v1.0.0,2026-07-07 21:15:00-04:00,2026-07-07 21:20:00-04:00,2026-07-07 21:25:00-04:00,29554.75,29519.75,29513.0,29481.5,29531.5,29504.25,29513.0,29519.75,29516.375,2026-07-07 21:30:00-04:00,2026-07-07 23:30:00-04:00,2026-07-07 23:30:00-04:00,2026-07-07 23:30:00-04:00,2026-07-07 23:30:00-04:00,2026-07-07 23:30:00-04:00,25,101510
FVG-5m-bear-20260707T2130,NQ,bear,5m,phase1-v1.0.0,2026-07-07 21:20:00-04:00,2026-07-07 21:25:00-04:00,2026-07-07 21:30:00-04:00,29533.0,29498.5,29495.25,29452.25,29505.0,29485.25,29495.25,29498.5,29496.875,2026-07-07 21:35:00-04:00,2026-07-07 23:15:00-04:00,2026-07-07 23:25:00-04:00,2026-07-07 23:20:00-04:00,2026-07-07 23:25:00-04:00,2026-07-07 23:25:00-04:00,25,101511
FVG-5m-bear-20260707T2135,NQ,bear,5m,phase1-v1.0.0,2026-07-07 21:25:00-04:00,2026-07-07 21:30:00-04:00,2026-07-07 21:35:00-04:00,29513.0,29481.5,29471.0,29427.0,29489.0,29467.0,29471.0,29481.5,29476.25,2026-07-07 21:40:00-04:00,2026-07-07 21:45:00-04:00,,2026-07-07 21:50:00-04:00,2026-07-07 21:50:00-04:00,2026-07-07 21:50:00-04:00,25,101512
FVG-5m-bear-20260707T2155,NQ,bear,5m,phase1-v1.0.0,2026-07-07 21:45:00-04:00,2026-07-07 21:50:00-04:00,2026-07-07 21:55:00-04:00,29485.25,29458.0,29449.0,29427.5,29471.25,29434.5,29449.0,29458.0,29453.5,2026-07-07 22:00:00-04:00,2026-07-07 22:30:00-04:00,,2026-07-07 22:30:00-04:00,2026-07-07 22:30:00-04:00,2026-07-07 22:30:00-04:00,25,101516
FVG-5m-bear-20260707T2205,NQ,bear,5m,phase1-v1.0.0,2026-07-07 21:55:00-04:00,2026-07-07 22:00:00-04:00,2026-07-07 22:05:00-04:00,29449.0,29427.5,29416.75,29389.25,29437.75,29409.75,29416.75,29427.5,29422.125,2026-07-07 22:10:00-04:00,2026-07-07 22:15:00-04:00,2026-07-07 22:20:00-04:00,2026-07-07 22:20:00-04:00,2026-07-07 22:20:00-04:00,2026-07-07 22:20:00-04:00,25,101518
FVG-5m-bull-20260707T2245,NQ,bull,5m,phase1-v1.0.0,2026-07-07 22:35:00-04:00,2026-07-07 22:40:00-04:00,2026-07-07 22:45:00-04:00,29420.0,29400.0,29475.0,29454.0,29419.25,29456.25,29420.0,29454.0,29437.0,2026-07-07 22:50:00-04:00,2026-07-07 22:55:00-04:00,2026-07-08 00:15:00-04:00,2026-07-08 00:15:00-04:00,2026-07-08 00:35:00-04:00,2026-07-08 00:35:00-04:00,25,101526
