instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,atr_value,atr_availability_et,net_move_atr,total_distance_atr,created_fvg,segment_id,end_index
NQ,daily,bear,3,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,539.0,1,0.3333333333333333,540.5,5.0,2.5,1.25,319.75,0.2580893682588598,0.29554489376285126,1823.75,755.1428571428571,2026-07-07 18:00:00-04:00,0.7137722285281877,2.4151059402194477,True,6,392
NQ,daily,bull,1,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,519.25,1,1.0,519.25,70.0,55.0,72.5,,0.8959899749373433,0.8675856307435255,598.5,751.2678571428571,2026-07-08 18:00:00-04:00,0.6911649354662357,0.7966532766038364,False,6,393
NQ,daily,bear,1,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,-519.25,0,0.0,0.0,70.0,55.0,72.5,,0.10401002506265664,0.8675856307435255,598.5,751.2678571428571,2026-07-08 18:00:00-04:00,0.6911649354662357,0.7966532766038364,False,6,393
NQ,daily,bull,2,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,557.5,2,1.0,268.375,37.5,28.75,36.875,163.75,0.8959899749373433,0.4468937875751503,1247.5,751.2678571428571,2026-07-08 18:00:00-04:00,0.742078866677759,1.660526253238573,False,6,393
NQ,daily,bear,2,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,-557.5,0,0.0,0.0,37.5,28.75,36.875,163.75,0.10401002506265664,0.4468937875751503,1247.5,751.2678571428571,2026-07-08 18:00:00-04:00,0.742078866677759,1.660526253238573,False,6,393
NQ,daily,bull,3,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,-28.75,2,0.6666666666666666,268.375,70.0,55.0,72.5,256.25,0.8959899749373433,0.014294592914853946,2011.25,751.2678571428571,2026-07-08 18:00:00-04:00,0.03826864110670058,2.67714102350788,False,6,393
NQ,daily,bear,3,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,28.75,1,0.3333333333333333,540.5,70.0,55.0,72.5,256.25,0.10401002506265664,0.014294592914853946,2011.25,751.2678571428571,2026-07-08 18:00:00-04:00,0.03826864110670058,2.67714102350788,False,6,393
NQ,daily,bull,1,phase1-v1.0.0,2026-07-09 18:00:00-04:00,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,130.75,1,1.0,130.75,20.0,15.0,25.0,,0.9770328988206083,0.32464307883302296,402.75,747.0357142857143,2026-07-09 18:00:00-04:00,0.17502509920160633,0.5391308505043744,False,6,394
NQ,daily,bear,1,phase1-v1.0.0,2026-07-09 18:00:00-04:00,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,-130.75,0,0.0,0.0,20.0,15.0,25.0,,0.022967101179391682,0.32464307883302296,402.75,747.0357142857143,2026-07-09 18:00:00-04:00,0.17502509920160633,0.5391308505043744,False,6,394
NQ,daily,bull,2,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,656.5,2,1.0,325.0,45.0,35.0,48.75,318.5,0.9770328988206083,0.6556803995006242,1001.25,747.0357142857143,2026-07-09 18:00:00-04:00,0.8788067122436295,1.3402973657790314,False,6,394
NQ,daily,bear,2,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,-656.5,0,0.0,0.0,45.0,35.0,48.75,318.5,0.022967101179391682,0.6556803995006242,1001.25,747.0357142857143,2026-07-09 18:00:00-04:00,0.8788067122436295,1.3402973657790314,False,6,394
NQ,daily,bull,3,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,694.75,3,1.0,130.75,20.0,15.0,25.0,241.125,0.9770328988206083,0.4209968186638388,1650.25,747.0357142857143,2026-07-09 18:00:00-04:00,0.9300090835205813,2.2090643973801214,True,6,394
NQ,daily,bear,3,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,-694.75,0,0.0,0.0,20.0,15.0,25.0,241.125,0.022967101179391682,0.4209968186638388,1650.25,747.0357142857143,2026-07-09 18:00:00-04:00,0.9300090835205813,2.2090643973801214,False,6,394
