instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,15m,bull,phase1-v1.0.0,2026-07-07 12:15:00-04:00,2026-07-07 12:30:00-04:00,29450.5,29467.25,29450.5,29467.25,16.75,16.0,64.75,97.5,0.25868725868725867,0.1717948717948718,102.69642857142857,2026-07-07 12:15:00-04:00,0.6304990436445835,0.9494001043296818,0.16310206920535558,40.0,35.0,52.5,2026-07-07 14:45:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,,body_overlap,2026-07-07 15:00:00-04:00,False,False,6,True,35612
NQ,15m,bear,phase1-v1.0.0,2026-07-07 12:30:00-04:00,2026-07-07 12:45:00-04:00,29532.25,29558.25,29558.25,29532.25,26.0,41.5,4.5,72.0,5.777777777777778,0.3611111111111111,104.98214285714286,2026-07-07 12:30:00-04:00,0.04286443272665419,0.685830923626467,0.2476611668651131,70.0,80.0,85.0,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,,,body_overlap,2026-07-07 13:00:00-04:00,False,False,6,True,35613
NQ,15m,bull,phase1-v1.0.0,2026-07-07 12:30:00-04:00,2026-07-07 12:45:00-04:00,29486.25,29527.75,29486.25,29527.75,41.5,26.0,4.5,72.0,9.222222222222221,0.5763888888888888,104.98214285714286,2026-07-07 12:30:00-04:00,0.04286443272665419,0.685830923626467,0.39530532403469976,70.0,75.0,87.5,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,,,body_overlap,2026-07-07 13:00:00-04:00,False,False,6,True,35613
NQ,15m,bear,phase1-v1.0.0,2026-07-07 12:45:00-04:00,2026-07-07 13:00:00-04:00,29540.0,29557.75,29557.75,29540.0,17.75,24.75,12.75,55.25,1.392156862745098,0.3212669683257919,106.89285714285714,2026-07-07 12:45:00-04:00,0.11927831607083195,0.5168727029736051,0.1660541262946876,50.0,60.0,72.5,2026-07-07 13:15:00-04:00,,2026-07-07 13:15:00-04:00,,wick_traversal_beyond_far,2026-07-07 13:15:00-04:00,False,False,6,True,35614
NQ,15m,bull,phase1-v1.0.0,2026-07-07 12:45:00-04:00,2026-07-07 13:00:00-04:00,29502.5,29527.25,29502.5,29527.25,24.75,17.75,12.75,55.25,1.9411764705882353,0.4479638009049774,106.89285714285714,2026-07-07 12:45:00-04:00,0.11927831607083195,0.5168727029736051,0.23154026060808555,40.0,50.0,70.0,2026-07-07 13:30:00-04:00,2026-07-07 14:30:00-04:00,,,body_overlap,2026-07-07 14:30:00-04:00,False,False,6,True,35614
NQ,15m,bear,phase1-v1.0.0,2026-07-07 13:00:00-04:00,2026-07-07 13:15:00-04:00,29539.5,29580.75,29580.75,29539.5,41.25,4.5,5.0,50.75,8.25,0.812807881773399,105.64285714285714,2026-07-07 13:00:00-04:00,0.04732927653820149,0.4803921568627451,0.3904665314401623,100.0,95.0,97.5,2026-07-07 13:30:00-04:00,2026-07-07 13:45:00-04:00,,,body_overlap,2026-07-07 13:45:00-04:00,False,False,6,True,35615
NQ,15m,bull,phase1-v1.0.0,2026-07-07 13:00:00-04:00,2026-07-07 13:15:00-04:00,29530.0,29534.5,29530.0,29534.5,4.5,41.25,5.0,50.75,0.9,0.08866995073891626,105.64285714285714,2026-07-07 13:00:00-04:00,0.04732927653820149,0.4803921568627451,0.04259634888438134,10.0,10.0,22.5,2026-07-07 13:30:00-04:00,2026-07-07 13:30:00-04:00,2026-07-07 13:30:00-04:00,,body_overlap,2026-07-07 13:30:00-04:00,False,False,6,True,35615
NQ,15m,bear,phase1-v1.0.0,2026-07-07 13:15:00-04:00,2026-07-07 13:30:00-04:00,29533.75,29573.5,29573.5,29533.75,39.75,23.25,0.5,63.5,79.5,0.6259842519685039,95.375,2026-07-07 13:15:00-04:00,0.005242463958060288,0.6657929226736566,0.4167758846657929,85.0,87.5,93.75,2026-07-07 13:45:00-04:00,2026-07-07 13:45:00-04:00,,,body_overlap,2026-07-07 13:45:00-04:00,False,False,6,True,35616
NQ,15m,bull,phase1-v1.0.0,2026-07-07 13:15:00-04:00,2026-07-07 13:30:00-04:00,29510.0,29533.25,29510.0,29533.25,23.25,39.75,0.5,63.5,46.5,0.3661417322834646,95.375,2026-07-07 13:15:00-04:00,0.005242463958060288,0.6657929226736566,0.2437745740498034,50.0,45.0,67.5,2026-07-07 13:45:00-04:00,2026-07-07 14:30:00-04:00,2026-07-07 14:30:00-04:00,,body_overlap,2026-07-07 14:30:00-04:00,False,False,6,True,35616
NQ,15m,bear,phase1-v1.0.0,2026-07-07 13:30:00-04:00,2026-07-07 13:45:00-04:00,29561.75,29570.0,29570.0,29561.75,8.25,1.0,28.25,37.5,0.2920353982300885,0.22,87.30357142857143,2026-07-07 13:30:00-04:00,0.3235835549192064,0.42953569237062794,0.09449785232153815,40.0,30.0,47.5,2026-07-07 14:00:00-04:00,2026-07-07 14:00:00-04:00,,,body_overlap,2026-07-07 14:00:00-04:00,False,False,6,True,35617
