instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,created_fvg,end_index
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,-13.0,0,0.0,0.0,90.0,90.0,80.0,,0.0,0.8813559322033898,14.75,False,3240
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,13.0,1,1.0,13.0,90.0,90.0,80.0,,1.0,0.8813559322033898,14.75,False,3240
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 03:59:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,-8.5,1,0.5,2.5,60.0,65.0,55.0,9.75,0.0,0.3269230769230769,26.0,False,3240
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 03:59:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,8.5,1,0.5,13.0,60.0,65.0,55.0,9.75,1.0,0.3269230769230769,26.0,False,3240
NQ,1m,bull,3,phase1-v1.0.0,2026-07-08 03:58:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,-17.75,1,0.3333333333333333,2.5,70.0,70.0,67.5,8.5,0.0,0.47333333333333333,37.5,False,3240
NQ,1m,bear,3,phase1-v1.0.0,2026-07-08 03:58:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,17.75,2,0.6666666666666666,10.5,70.0,70.0,67.5,8.5,1.0,0.47333333333333333,37.5,False,3240
NQ,1m,bull,1,phase1-v1.0.0,2026-07-08 04:01:00-04:00,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,-5.0,0,0.0,0.0,40.0,52.5,46.25,,0.2708333333333333,0.4166666666666667,12.0,False,3241
NQ,1m,bear,1,phase1-v1.0.0,2026-07-08 04:01:00-04:00,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,5.0,1,1.0,5.0,40.0,52.5,46.25,,0.7291666666666666,0.4166666666666667,12.0,False,3241
NQ,1m,bull,2,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,-18.0,0,0.0,0.0,65.0,71.25,63.125,3.75,0.2708333333333333,0.6728971962616822,26.75,False,3241
NQ,1m,bear,2,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:01:00-04:00,2026-07-08 04:02:00-04:00,18.0,2,1.0,9.0,65.0,71.25,63.125,3.75,0.7291666666666666,0.6728971962616822,26.75,False,3241
