week,variant_id,trigger_ts,structure_id,activation_ts,deactivation_ts,deactivation_reason,exclusion_reason
historical,EP-00998-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-03 02:47:00-04:00,IFVG2-003423,2026-06-02 23:24:00-04:00,2026-06-03 07:29:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-01002-ENTRY_ON_MINIMAL_WICK_REJECTION,2026-06-03 03:45:00-04:00,IFVG2-002503,2026-06-03 03:42:00-04:00,2026-06-03 03:54:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-01011-ENTRY_ON_TAP,2026-06-03 03:13:00-04:00,IFVG2-003413,2026-06-02 18:50:00-04:00,2026-06-03 03:04:00-04:00,EXPIRED_UNTOUCHED_8H,same_direction
historical,EP-01036-ENTRY_ON_IFVG_RETEST,2026-06-03 04:48:00-04:00,IFVG2-003425,2026-06-03 04:27:00-04:00,2026-06-03 04:40:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT,component
historical,EP-01079-ENTRY_ON_TAP,2026-06-03 08:48:00-04:00,IFVG2-000028,2026-06-02 18:02:00-04:00,2026-06-02 18:31:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01082-ENTRY_ON_TAP,2026-06-03 08:48:00-04:00,IFVG2-000028,2026-06-02 18:02:00-04:00,2026-06-02 18:31:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01116-ENTRY_ON_TAP,2026-06-03 09:37:00-04:00,IFVG2-004126,2026-06-02 19:30:00-04:00,2026-06-02 19:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-01121-ENTRY_ON_IFVG_RETEST,2026-06-03 09:40:00-04:00,IFVG2-003426,2026-06-03 04:27:00-04:00,2026-06-03 05:09:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-01121-ENTRY_ON_IFVG_RETEST,2026-06-03 09:40:00-04:00,IFVG2-002504,2026-06-03 09:36:00-04:00,2026-06-03 18:02:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-01121-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 09:43:00-04:00,IFVG2-002504,2026-06-03 09:36:00-04:00,2026-06-03 18:02:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-01123-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-03 09:44:00-04:00,IFVG2-003411,2026-06-02 15:05:00-04:00,2026-06-02 19:20:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
