application_session,lookback,item_id,lookback_had_enough_sessions,n_lookback_sessions,lane,entry_variant,reaction_state,direction,context_tf,trigger_tf,session_window,target_family,target_tf,natural_rr_bin,total_occurrences,executable_occurrences,target_hits,stop_hits,time_exits,success_count,failure_count,support_class,most_recent_session,age_sessions,source_session_dates,source_episode_ids,source_variant_ids
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-013,True,1,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,3,3,NY_AM,ifvg,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41749,EP-41749-ENTRY_ON_MINIMAL_WICK_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-014,True,1,A,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,5,5,ASIA,fvg,3,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41153,EP-41153-ENTRY_ON_MINIMAL_WICK_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-015,True,1,A,ENTRY_ON_NEW_FVG,NEW_FVG,1,1,1,NY_LUNCH,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41875,EP-41875-ENTRY_ON_NEW_FVG
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-016,True,1,A,ENTRY_ON_NEW_FVG,NEW_FVG,1,1,1,NY_LUNCH,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41871,EP-41871-ENTRY_ON_NEW_FVG
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-017,True,1,A,ENTRY_ON_NEW_FVG,NEW_FVG,1,5,1,NY_LUNCH,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41873,EP-41873-ENTRY_ON_NEW_FVG
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-018,True,1,A,ENTRY_ON_NEW_FVG,NEW_FVG,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41843,EP-41843-ENTRY_ON_NEW_FVG
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-019,True,1,A,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,1,3,3,NY_AM,ifvg,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41749,EP-41749-ENTRY_ON_STRONG_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-020,True,1,A,ENTRY_ON_TAP,TAP_ONLY,-1,3,1,NY_AM,rb,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41691,EP-41691-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-021,True,1,A,ENTRY_ON_TAP,TAP_ONLY,-1,3,1,NY_AM,rb,1,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41672,EP-41672-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-022,True,1,A,ENTRY_ON_TAP,TAP_ONLY,-1,30,1,NY_AM,rb,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41671,EP-41671-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-023,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,ASIA,rb,3,1.0-2.0,3,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-40775,EP-40775-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-024,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,GLOBEX_EVENING,rb,5,2.0-1000000000.0,3,2,1,1,0,1,1,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-40609,EP-40609-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-025,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,4,2,1,1,0,1,1,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41884,EP-41884-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-026,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,3,3,ASIA,fvg,3,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41161,EP-41161-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-027,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,5,1,ASIA,rb,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-40744,EP-40744-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-028,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,5,1,NY_AM,ifvg,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41762,EP-41762-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-029,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,5,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41873,EP-41873-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-030,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,5,1,NY_PREMARKET,rb,5,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41569,EP-41569-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-031,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,5,5,NY_AM,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41750,EP-41750-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-032,True,1,A,ENTRY_ON_TAP,TAP_ONLY,1,5,5,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41874,EP-41874-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-033,True,1,B,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41831,EP-41831-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-034,True,1,B,ENTRY_ON_NEW_FVG,NEW_FVG,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41831,EP-41831-ENTRY_ON_NEW_FVG
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-035,True,1,B,ENTRY_ON_TAP,TAP_ONLY,1,15,1,NY_AM,rb,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41735,EP-41735-ENTRY_ON_TAP
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-036,True,1,C,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41832,EP-41832-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-037,True,1,C,ENTRY_ON_NEW_FVG,NEW_FVG,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41832,EP-41832-ENTRY_ON_NEW_FVG
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-038,True,1,F,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,3,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41882,EP-41882-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-039,True,1,F,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,5,1,NY_AM,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41753,EP-41753-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-040,True,1,F,ENTRY_ON_IMMEDIATE_DISPLACEMENT,IMMEDIATE_DISPLACEMENT,1,5,1,NY_AM,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41753,EP-41753-ENTRY_ON_IMMEDIATE_DISPLACEMENT
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-041,True,1,F,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,3,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41882,EP-41882-ENTRY_ON_MINIMAL_WICK_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-042,True,1,F,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,5,1,NY_AM,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41753,EP-41753-ENTRY_ON_MINIMAL_WICK_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-043,True,1,F,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41881,EP-41881-ENTRY_ON_STRONG_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-044,True,1,F,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,1,3,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41882,EP-41882-ENTRY_ON_STRONG_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-045,True,1,F,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,1,5,1,NY_AM,ifvg,1,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41753,EP-41753-ENTRY_ON_STRONG_REJECTION
2026-07-12,PREV_1_SESSION,PREV_1_SESSION-046,True,1,F,ENTRY_ON_TAP,TAP_ONLY,1,3,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41882,EP-41882-ENTRY_ON_TAP
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-001,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,1,1,LONDON,rb,60,1.0-2.0,2,2,2,0,0,2,0,TWO_OBSERVATIONS_PROVISIONAL,2026-07-07,5,2026-07-07,EP-38014|EP-38026,EP-38014-ENTRY_ON_DELAYED_DISPLACEMENT|EP-38026-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-002,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,1,1,LONDON,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-38000,EP-38000-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-003,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,5,5,LONDON,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-37985,EP-37985-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-004,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,LONDON,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39576,EP-39576-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-005,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,LONDON,rb,3,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-38035,EP-38035-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-006,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,2,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41875,EP-41875-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-007,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,1,1,NY_PREMARKET,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39940,EP-39940-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-008,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,3,1,LONDON,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39580,EP-39580-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-009,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,3,1,NY_PREMARKET,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39942,EP-39942-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-010,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,30,1,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41861,EP-41861-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-011,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,1,NY_LUNCH,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41873,EP-41873-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-012,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,1,NY_PREMARKET,rb,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-38323,EP-38323-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-013,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,ASIA,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39475,EP-39475-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-014,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,NY_AM,fvg,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-40017,EP-40017-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-015,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41843,EP-41843-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-016,True,3,A,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,1,5,5,NY_PREMARKET,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39923,EP-39923-ENTRY_ON_DELAYED_DISPLACEMENT
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-017,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,ASIA,rb,1,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-37667,EP-37667-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-018,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,LONDON,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-38014,EP-38014-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-019,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,1,1,LONDON,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-38026,EP-38026-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-020,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,3,3,NY_AM,rb,15,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-40094,EP-40094-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-021,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,5,5,LONDON,rb,60,2.0-1000000000.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-07,5,2026-07-07,EP-37985,EP-37985-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-022,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,NY_LUNCH,rb,60,2.0-1000000000.0,3,3,2,1,0,2,1,TWO_OBSERVATIONS_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41871|EP-41875,EP-41871-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-41875-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-023,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,1,1,NY_PREMARKET,rb,60,1.0-2.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-08,4,2026-07-08,EP-39943,EP-39943-ENTRY_ON_FIRST_CLOSE_OUTSIDE
2026-07-12,PREV_3_SESSIONS,PREV_3_SESSIONS-024,True,3,A,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,15,15,NY_LUNCH,rb,60,0.5-1.0,1,1,1,0,0,1,0,SINGLE_OBSERVATION_PROVISIONAL,2026-07-09,3,2026-07-09,EP-41844,EP-41844-ENTRY_ON_FIRST_CLOSE_OUTSIDE
