variant_id,episode_id,cross_lookback,prev_1,prev_3,prev_10,prev_20,support_1,support_3,support_10,support_20
EP-44005-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44005,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-44210-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-44210,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-44211-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44211,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,2
EP-44220-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-44220,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,2
EP-44220-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-44220,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,1
EP-44220-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-44220,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,2
EP-44220-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44220,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,2
EP-44224-ENTRY_ON_TAP,EP-44224,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,3
EP-44444-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-44444,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-44818-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44818,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-44831-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44831,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,2
EP-44902-ENTRY_ON_DELAYED_DISPLACEMENT,EP-44902,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-45778-ENTRY_ON_TAP,EP-45778,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-45814-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45814,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45831-ENTRY_ON_NEW_FVG,EP-45831,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45844-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45844,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45865-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45865,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45874-ENTRY_ON_NEW_FVG,EP-45874,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45936-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-45936,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45943-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45943,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45944-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45944,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-45951-ENTRY_ON_DELAYED_DISPLACEMENT,EP-45951,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-46039-ENTRY_ON_DELAYED_DISPLACEMENT,EP-46039,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-46700-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-46700,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-46700-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-46700,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-46700-ENTRY_ON_NEW_FVG,EP-46700,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-46717-ENTRY_ON_TAP,EP-46717,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-46724-ENTRY_ON_TAP,EP-46724,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,3
EP-46725-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-46725,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-46761-ENTRY_ON_DELAYED_DISPLACEMENT,EP-46761,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-46768-ENTRY_ON_DELAYED_DISPLACEMENT,EP-46768,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-46771-ENTRY_ON_TAP,EP-46771,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,3
EP-47545-ENTRY_ON_DELAYED_DISPLACEMENT,EP-47545,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,2
EP-47549-ENTRY_ON_DELAYED_DISPLACEMENT,EP-47549,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,4
EP-47550-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-47550,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,5
EP-47550-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-47550,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,2
EP-47994-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-47994,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-47994-ENTRY_ON_DELAYED_DISPLACEMENT,EP-47994,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-47995-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-47995,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48001-ENTRY_ON_TAP,EP-48001,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,2
EP-48001-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48001,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48012-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48012,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48029-ENTRY_ON_TAP,EP-48029,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,2
EP-48048-ENTRY_ON_TAP,EP-48048,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,2
EP-48048-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48048,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48057-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48057,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48059-ENTRY_ON_TAP,EP-48059,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48287-ENTRY_ON_NEW_FVG,EP-48287,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48306-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48306,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48344-ENTRY_ON_TAP,EP-48344,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,2
EP-48483-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48483,ALL_LOOKBACKS,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,1,1,1,1
EP-48483-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-48483,ALL_LOOKBACKS,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,1,1,1,1
EP-48483-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-48483,ALL_LOOKBACKS,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,1,1,1,1
EP-48490-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48490,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48490-ENTRY_ON_DELAYED_DISPLACEMENT,EP-48490,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48494-ENTRY_ON_TAP,EP-48494,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-48498-ENTRY_ON_TAP,EP-48498,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,2,2
EP-48498-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48498,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48498-ENTRY_ON_DELAYED_DISPLACEMENT,EP-48498,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48499-ENTRY_ON_TAP,EP-48499,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48499-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-48499,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-48502-ENTRY_ON_TAP,EP-48502,ALL_LOOKBACKS,REDUCED_FAMILY,REDUCED_FAMILY,EXACT,EXACT,1,1,1,2
EP-48510-ENTRY_ON_TAP,EP-48510,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-48512-ENTRY_ON_TAP,EP-48512,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-48737-ENTRY_ON_TAP,EP-48737,SHORT_AND_LONG_LOOKBACK_SUPPORT,,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,0,1,1,1
EP-48751-ENTRY_ON_TAP,EP-48751,SHORT_AND_LONG_LOOKBACK_SUPPORT,,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,0,1,1,1
EP-48755-ENTRY_ON_TAP,EP-48755,SHORT_AND_LONG_LOOKBACK_SUPPORT,,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,0,1,1,1
EP-48851-ENTRY_ON_TAP,EP-48851,SHORT_AND_LONG_LOOKBACK_SUPPORT,,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,0,1,1,1
EP-48876-ENTRY_ON_TAP,EP-48876,SHORT_AND_LONG_LOOKBACK_SUPPORT,,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,0,1,1,1
EP-48878-ENTRY_ON_TAP,EP-48878,SHORT_AND_LONG_LOOKBACK_SUPPORT,,REDUCED_FAMILY,REDUCED_FAMILY,REDUCED_FAMILY,0,1,1,1
EP-49068-ENTRY_ON_DELAYED_DISPLACEMENT,EP-49068,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-49068-ENTRY_ON_NEW_FVG,EP-49068,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,1
EP-49122-ENTRY_ON_TAP,EP-49122,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-49122-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-49122,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,2
EP-49122-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-49122,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-49124-ENTRY_ON_TAP,EP-49124,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-49192-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-49192,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,2
EP-49205-ENTRY_ON_TAP,EP-49205,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,3
EP-49205-ENTRY_ON_NEW_FVG,EP-49205,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,1
EP-49261-ENTRY_ON_DELAYED_DISPLACEMENT,EP-49261,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,1
EP-49281-ENTRY_ON_TAP,EP-49281,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,3
EP-49283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-49283,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,2
EP-49297-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-49297,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-49297-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-49297,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-49325-ENTRY_ON_TAP,EP-49325,TWENTY_SESSION_ONLY,,,,EXACT,0,0,0,3
EP-49342-ENTRY_ON_DELAYED_DISPLACEMENT,EP-49342,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,3
EP-49355-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-49355,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,1
EP-49491-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-49491,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-50147-ENTRY_ON_TAP,EP-50147,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,0,0,0,1
EP-50179-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-50179,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,REDUCED_FAMILY,REDUCED_FAMILY,0,0,1,2
EP-50328-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-50328,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-50339-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-50339,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-50340-ENTRY_ON_TAP,EP-50340,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-50370-ENTRY_ON_NEW_FVG,EP-50370,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-50371-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-50371,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
EP-50371-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-50371,SHORT_AND_LONG_LOOKBACK_SUPPORT,,,EXACT,EXACT,0,0,1,1
