structure_id,timeframe,direction,activation_ts,active,deactivation_seq,deactivation_ts,deactivation_available_seq,deactivation_reason,active_until_seq
IFVG2-000089,1,bearish,2026-06-05 10:11:00-04:00,False,2670,2026-06-05 10:13:00-04:00,2671,DEACTIVATED_OVERSHOOT_LIMIT,2670
IFVG2-000090,1,bullish,2026-06-05 10:15:00-04:00,False,2682,2026-06-05 10:25:00-04:00,2683,DEACTIVATED_CLOSE_THROUGH,2682
IFVG2-000091,1,bearish,2026-06-05 10:22:00-04:00,False,2692,2026-06-05 10:35:00-04:00,2693,DEACTIVATED_CLOSE_THROUGH,2692
IFVG2-000092,1,bearish,2026-06-05 10:22:00-04:00,False,2692,2026-06-05 10:35:00-04:00,2693,DEACTIVATED_CLOSE_THROUGH,2692
IFVG2-000093,1,bearish,2026-06-05 10:25:00-04:00,False,2691,2026-06-05 10:34:00-04:00,2692,DEACTIVATED_CLOSE_THROUGH,2691
IFVG2-000094,1,bullish,2026-06-05 10:30:00-04:00,False,2704,2026-06-05 10:47:00-04:00,2705,DEACTIVATED_CLOSE_THROUGH,2704
IFVG2-000095,1,bearish,2026-06-05 10:41:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_ACTIVE_8H,3074
IFVG2-000096,1,bearish,2026-06-05 10:47:00-04:00,False,2707,2026-06-05 10:50:00-04:00,2708,DEACTIVATED_CLOSE_THROUGH,2707
IFVG2-000097,1,bullish,2026-06-05 10:50:00-04:00,False,2711,2026-06-05 10:54:00-04:00,2712,DEACTIVATED_OVERSHOOT_LIMIT,2711
IFVG2-000098,1,bullish,2026-06-05 10:56:00-04:00,False,2718,2026-06-05 11:01:00-04:00,2719,DEACTIVATED_CLOSE_THROUGH,2718
IFVG2-000099,1,bearish,2026-06-05 11:19:00-04:00,False,2737,2026-06-05 11:20:00-04:00,2738,DEACTIVATED_OVERSHOOT_LIMIT,2737
IFVG2-000100,1,bullish,2026-06-05 11:42:00-04:00,False,2765,2026-06-05 11:48:00-04:00,2766,DEACTIVATED_OVERSHOOT_LIMIT,2765
IFVG2-000101,1,bullish,2026-06-05 12:26:00-04:00,False,2805,2026-06-05 12:28:00-04:00,2806,DEACTIVATED_CLOSE_THROUGH,2805
IFVG2-000102,1,bearish,2026-06-05 12:27:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_UNTOUCHED_8H,3074
IFVG2-000103,1,bullish,2026-06-05 12:35:00-04:00,False,2813,2026-06-05 12:36:00-04:00,2814,DEACTIVATED_CLOSE_THROUGH,2813
IFVG2-000104,1,bullish,2026-06-05 12:52:00-04:00,False,2832,2026-06-05 12:55:00-04:00,2833,DEACTIVATED_CLOSE_THROUGH,2832
IFVG2-000105,1,bullish,2026-06-05 12:52:00-04:00,False,2839,2026-06-05 13:02:00-04:00,2840,DEACTIVATED_CLOSE_THROUGH,2839
IFVG2-000106,1,bullish,2026-06-05 13:22:00-04:00,False,2863,2026-06-05 13:26:00-04:00,2864,DEACTIVATED_OVERSHOOT_LIMIT,2863
IFVG2-000107,1,bearish,2026-06-05 13:32:00-04:00,False,2871,2026-06-05 13:34:00-04:00,2872,DEACTIVATED_CLOSE_THROUGH,2871
IFVG2-000108,1,bullish,2026-06-05 13:35:00-04:00,False,2878,2026-06-05 13:41:00-04:00,2879,DEACTIVATED_CLOSE_THROUGH,2878
IFVG2-000109,1,bearish,2026-06-05 13:41:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_ACTIVE_8H,3074
IFVG2-000110,1,bearish,2026-06-05 13:41:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_ACTIVE_8H,3074
IFVG2-000111,1,bearish,2026-06-05 13:44:00-04:00,False,2895,2026-06-05 13:58:00-04:00,2896,DEACTIVATED_CLOSE_THROUGH,2895
IFVG2-000112,1,bullish,2026-06-05 13:56:00-04:00,False,2900,2026-06-05 14:03:00-04:00,2901,DEACTIVATED_CLOSE_THROUGH,2900
IFVG2-000113,1,bearish,2026-06-05 14:02:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_UNTOUCHED_8H,3074
IFVG2-000114,1,bearish,2026-06-05 14:02:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_UNTOUCHED_8H,3074
IFVG2-000115,1,bearish,2026-06-05 14:02:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_UNTOUCHED_8H,3074
IFVG2-000116,1,bearish,2026-06-05 15:07:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_ACTIVE_8H,3074
IFVG2-000117,1,bearish,2026-06-05 15:08:00-04:00,False,3004,2026-06-05 15:48:00-04:00,3005,DEACTIVATED_OVERSHOOT_LIMIT,3004
IFVG2-000118,1,bullish,2026-06-05 15:20:00-04:00,False,2978,2026-06-05 15:22:00-04:00,2979,DEACTIVATED_CLOSE_THROUGH,2978
IFVG2-000119,1,bullish,2026-06-05 15:25:00-04:00,False,2982,2026-06-05 15:26:00-04:00,2983,DEACTIVATED_CLOSE_THROUGH,2982
IFVG2-000120,1,bullish,2026-06-05 15:27:00-04:00,False,2988,2026-06-05 15:32:00-04:00,2989,DEACTIVATED_CLOSE_THROUGH,2988
IFVG2-000121,1,bearish,2026-06-05 15:31:00-04:00,False,2991,2026-06-05 15:35:00-04:00,2992,DEACTIVATED_CLOSE_THROUGH,2991
IFVG2-000122,1,bearish,2026-06-05 15:41:00-04:00,False,3001,2026-06-05 15:45:00-04:00,3002,DEACTIVATED_CLOSE_THROUGH,3001
IFVG2-000123,1,bearish,2026-06-05 15:54:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_ACTIVE_8H,3074
IFVG2-000124,1,bearish,2026-06-05 15:57:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_UNTOUCHED_8H,3074
IFVG2-000125,1,bearish,2026-06-05 15:57:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_UNTOUCHED_8H,3074
IFVG2-000126,1,bearish,2026-06-05 15:59:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,EXPIRED_ACTIVE_8H,3074
IFVG2-000127,1,bullish,2026-06-05 16:08:00-04:00,False,3026,2026-06-05 16:10:00-04:00,3027,DEACTIVATED_CLOSE_THROUGH,3026
IFVG2-000128,1,bullish,2026-06-05 16:28:00-04:00,False,3044,2026-06-05 16:30:00-04:00,3045,DEACTIVATED_CLOSE_THROUGH,3044
IFVG2-000129,1,bearish,2026-06-05 16:30:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,DEACTIVATED_OVERSHOOT_LIMIT,3074
IFVG2-000130,1,bearish,2026-06-05 16:30:00-04:00,False,3074,2026-06-07 18:00:00-04:00,3075,DEACTIVATED_OVERSHOOT_LIMIT,3074
IFVG2-000131,1,bearish,2026-06-07 18:56:00-04:00,False,3124,2026-06-07 19:10:00-04:00,3125,DEACTIVATED_CLOSE_THROUGH,3124
IFVG2-000132,1,bullish,2026-06-07 20:02:00-04:00,False,3231,2026-06-07 21:30:00-04:00,3232,DEACTIVATED_CLOSE_THROUGH,3231
IFVG2-000133,1,bullish,2026-06-07 21:08:00-04:00,False,3211,2026-06-07 21:10:00-04:00,3212,DEACTIVATED_CLOSE_THROUGH,3211
IFVG2-000134,1,bullish,2026-06-07 21:08:00-04:00,False,3211,2026-06-07 21:10:00-04:00,3212,DEACTIVATED_CLOSE_THROUGH,3211
IFVG2-000135,1,bearish,2026-06-07 21:30:00-04:00,False,3232,2026-06-07 21:31:00-04:00,3233,DEACTIVATED_CLOSE_THROUGH,3232
IFVG2-000136,1,bullish,2026-06-07 21:31:00-04:00,False,3351,2026-06-08 01:14:00-04:00,3352,DEACTIVATED_CLOSE_THROUGH,3351
IFVG2-000137,1,bullish,2026-06-07 22:00:00-04:00,False,3254,2026-06-07 22:02:00-04:00,3255,DEACTIVATED_CLOSE_THROUGH,3254
IFVG2-000138,1,bullish,2026-06-07 22:25:00-04:00,False,3273,2026-06-07 22:31:00-04:00,3274,DEACTIVATED_CLOSE_THROUGH,3273
IFVG2-000139,1,bearish,2026-06-07 23:17:00-04:00,False,3307,2026-06-07 23:29:00-04:00,3308,DEACTIVATED_CLOSE_THROUGH,3307
IFVG2-000140,1,bullish,2026-06-08 00:01:00-04:00,False,3320,2026-06-08 00:04:00-04:00,3321,DEACTIVATED_CLOSE_THROUGH,3320
IFVG2-000141,1,bullish,2026-06-08 00:46:00-04:00,False,3342,2026-06-08 00:57:00-04:00,3343,DEACTIVATED_CLOSE_THROUGH,3342
IFVG2-000142,1,bearish,2026-06-08 01:53:00-04:00,False,3374,2026-06-08 01:56:00-04:00,3375,DEACTIVATED_CLOSE_THROUGH,3374
IFVG2-000143,1,bullish,2026-06-08 03:13:00-04:00,False,3781,2026-06-08 11:13:00-04:00,3782,EXPIRED_ACTIVE_8H,3781
IFVG2-000144,1,bullish,2026-06-08 03:13:00-04:00,False,3781,2026-06-08 11:13:00-04:00,3782,EXPIRED_ACTIVE_8H,3781
IFVG2-000145,1,bullish,2026-06-08 04:05:00-04:00,False,3480,2026-06-08 04:40:00-04:00,3481,DEACTIVATED_CLOSE_THROUGH,3480
IFVG2-000146,1,bullish,2026-06-08 05:36:00-04:00,False,3918,2026-06-08 13:36:00-04:00,3919,EXPIRED_ACTIVE_8H,3918
IFVG2-000147,1,bearish,2026-06-08 07:47:00-04:00,False,3600,2026-06-08 08:09:00-04:00,3601,DEACTIVATED_CLOSE_THROUGH,3600
IFVG2-000148,1,bearish,2026-06-08 07:47:00-04:00,False,3610,2026-06-08 08:19:00-04:00,3611,DEACTIVATED_CLOSE_THROUGH,3610
IFVG2-000149,1,bearish,2026-06-08 08:34:00-04:00,False,3629,2026-06-08 08:39:00-04:00,3630,DEACTIVATED_CLOSE_THROUGH,3629
IFVG2-000150,1,bearish,2026-06-08 09:15:00-04:00,False,3666,2026-06-08 09:18:00-04:00,3667,DEACTIVATED_OVERSHOOT_LIMIT,3666
IFVG2-000151,1,bearish,2026-06-08 09:29:00-04:00,False,3678,2026-06-08 09:30:00-04:00,3679,DEACTIVATED_CLOSE_THROUGH,3678
IFVG2-000152,1,bearish,2026-06-08 09:29:00-04:00,False,3678,2026-06-08 09:30:00-04:00,3679,DEACTIVATED_CLOSE_THROUGH,3678
IFVG2-000153,1,bearish,2026-06-08 09:29:00-04:00,False,3679,2026-06-08 09:31:00-04:00,3680,DEACTIVATED_OVERSHOOT_LIMIT,3679
IFVG2-000154,1,bullish,2026-06-08 09:30:00-04:00,False,3679,2026-06-08 09:31:00-04:00,3680,DEACTIVATED_CLOSE_THROUGH,3679
IFVG2-000155,1,bearish,2026-06-08 09:32:00-04:00,False,3691,2026-06-08 09:43:00-04:00,3692,DEACTIVATED_CLOSE_THROUGH,3691
IFVG2-000156,1,bearish,2026-06-08 09:33:00-04:00,False,3684,2026-06-08 09:36:00-04:00,3685,DEACTIVATED_OVERSHOOT_LIMIT,3684
IFVG2-000157,1,bearish,2026-06-08 09:33:00-04:00,False,3691,2026-06-08 09:43:00-04:00,3692,DEACTIVATED_CLOSE_THROUGH,3691
IFVG2-000158,1,bullish,2026-06-08 09:43:00-04:00,False,3692,2026-06-08 09:44:00-04:00,3693,DEACTIVATED_CLOSE_THROUGH,3692
IFVG2-000159,1,bullish,2026-06-08 09:43:00-04:00,False,3698,2026-06-08 09:50:00-04:00,3699,DEACTIVATED_CLOSE_THROUGH,3698
IFVG2-000160,1,bearish,2026-06-08 09:48:00-04:00,False,3701,2026-06-08 09:53:00-04:00,3702,DEACTIVATED_CLOSE_THROUGH,3701
IFVG2-000161,1,bearish,2026-06-08 09:55:00-04:00,False,3734,2026-06-08 10:26:00-04:00,3735,DEACTIVATED_CLOSE_THROUGH,3734
IFVG2-000162,1,bearish,2026-06-08 09:57:00-04:00,False,3710,2026-06-08 10:02:00-04:00,3711,DEACTIVATED_OVERSHOOT_LIMIT,3710
IFVG2-000163,1,bearish,2026-06-08 09:57:00-04:00,False,3719,2026-06-08 10:11:00-04:00,3720,DEACTIVATED_CLOSE_THROUGH,3719
IFVG2-000164,1,bearish,2026-06-08 09:58:00-04:00,False,3707,2026-06-08 09:59:00-04:00,3708,DEACTIVATED_OVERSHOOT_LIMIT,3707
IFVG2-000165,1,bullish,2026-06-08 10:09:00-04:00,False,4096,2026-06-08 18:07:00-04:00,4097,DEACTIVATED_CLOSE_THROUGH,4096
IFVG2-000166,1,bullish,2026-06-08 10:26:00-04:00,False,4005,2026-06-08 15:10:00-04:00,4006,DEACTIVATED_CLOSE_THROUGH,4005
IFVG2-000167,1,bearish,2026-06-08 10:42:00-04:00,False,3753,2026-06-08 10:45:00-04:00,3754,DEACTIVATED_CLOSE_THROUGH,3753
IFVG2-000168,1,bullish,2026-06-08 10:45:00-04:00,False,3802,2026-06-08 11:34:00-04:00,3803,DEACTIVATED_OVERSHOOT_LIMIT,3802
IFVG2-000169,1,bullish,2026-06-08 10:45:00-04:00,False,3883,2026-06-08 13:01:00-04:00,3884,DEACTIVATED_OVERSHOOT_LIMIT,3883
IFVG2-000170,1,bullish,2026-06-08 10:51:00-04:00,False,3764,2026-06-08 10:56:00-04:00,3765,DEACTIVATED_OVERSHOOT_LIMIT,3764
IFVG2-000171,1,bearish,2026-06-08 11:25:00-04:00,False,3815,2026-06-08 11:47:00-04:00,3816,DEACTIVATED_OVERSHOOT_LIMIT,3815
IFVG2-000172,1,bearish,2026-06-08 11:30:00-04:00,False,3808,2026-06-08 11:40:00-04:00,3809,DEACTIVATED_CLOSE_THROUGH,3808
