episode_id,variant_id,role,structure_id
EP-00047,EP-00047-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-023769
EP-00047,EP-00047-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-023765
EP-00048,,context/component,RB2-017347
EP-00049,,context/component,RB2-029315
EP-00050,,context/component,RB2-029314
EP-00051,,context/component,RB2-029315
EP-00052,,context/component,RB2-029314
EP-00052,EP-00052-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-029315
EP-00052,EP-00052-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-029315
EP-00052,EP-00052-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-029315
EP-00052,EP-00052-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-023767
EP-00053,,context/component,FVG2-006112
EP-00054,,context/component,FVG2-006112
EP-00055,,context/component,RB2-017350
EP-00056,,context/component,RB2-027821
EP-00057,,context/component,RB2-017346
EP-00057,,context/component,RB2-023768
EP-00058,,context/component,RB2-017346
EP-00059,,context/component,RB2-023768
EP-00060,,context/component,RB2-027821
EP-00061,,context/component,FVG2-006113
EP-00062,,context/component,FVG2-006113
EP-00063,,context/component,RB2-000005
EP-00063,,context/component,RB2-017349
EP-00064,,context/component,RB2-017349
EP-00065,,context/component,FVG2-006111
EP-00065,EP-00065-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-003397
EP-00065,EP-00065-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00065,EP-00065-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-003397
EP-00065,EP-00065-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000002
EP-00066,,context/component,FVG2-006111
EP-00066,EP-00066-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-003397
EP-00066,EP-00066-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00066,EP-00066-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-003397
EP-00066,EP-00066-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000002
EP-00067,,context/component,RB2-027823
EP-00068,,context/component,RB2-000003
EP-00069,,context/component,RB2-023772
EP-00070,,context/component,IFVG2-003397
EP-00070,,context/component,RB2-023770
EP-00071,,context/component,RB2-023772
EP-00072,,context/component,RB2-017352
EP-00073,,context/component,RB2-017352
EP-00074,,context/component,RB2-017348
EP-00075,,context/component,IFVG2-003397
EP-00076,,context/component,RB2-017348
EP-00077,,context/component,RB2-023770
EP-00078,,context/component,RB2-000006
EP-00078,,context/component,RB2-023773
EP-00079,,context/component,RB2-023773
EP-00080,,context/component,RB2-023769
EP-00081,,context/component,RB2-023769
EP-00081,,context/component,RB2-027823
EP-00082,,context/component,FVG2-000003
EP-00083,,context/component,RB2-000007
EP-00084,,context/component,RB2-000008
EP-00085,,context/component,RB2-027824
EP-00086,,context/component,FVG2-000004
EP-00087,,context/component,RB2-017353
EP-00087,,context/component,RB2-023774
EP-00087,,context/component,RB2-027824
EP-00088,,context/component,RB2-000009
EP-00089,,context/component,RB2-017353
EP-00090,,context/component,RB2-023774
EP-00091,,context/component,FVG2-004444
EP-00092,,context/component,FVG2-004444
EP-00092,EP-00092-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,RB2-000013
EP-00092,EP-00092-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-017353
EP-00093,,context/component,RB2-000012
EP-00093,,context/component,RB2-017355
EP-00093,,context/component,RB2-023776
EP-00094,,context/component,RB2-029316
EP-00095,,context/component,RB2-017354
EP-00096,,context/component,RB2-017355
EP-00097,,context/component,RB2-023775
EP-00098,,context/component,RB2-023776
EP-00099,,context/component,FVG2-007147
EP-00100,,context/component,RB2-029316
EP-00101,,context/component,FVG2-007147
EP-00101,,context/component,RB2-000010
EP-00101,,context/component,RB2-017354
EP-00101,,context/component,RB2-023775
EP-00102,,context/component,RB2-000011
EP-00102,EP-00102-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00102,EP-00102-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,RB2-023769
EP-00102,EP-00102-ENTRY_ON_MINIMAL_WICK_REJECTION,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_MINIMAL_WICK_REJECTION,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00102,EP-00102-ENTRY_ON_MINIMAL_WICK_REJECTION,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_MINIMAL_WICK_REJECTION,target:ANY_SURFACE_DIAGNOSTIC,RB2-023769
EP-00102,EP-00102-ENTRY_ON_IMMEDIATE_DISPLACEMENT,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_IMMEDIATE_DISPLACEMENT,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00102,EP-00102-ENTRY_ON_IMMEDIATE_DISPLACEMENT,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_IMMEDIATE_DISPLACEMENT,target:ANY_SURFACE_DIAGNOSTIC,RB2-023769
EP-00102,EP-00102-ENTRY_ON_NEW_FVG,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_NEW_FVG,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00102,EP-00102-ENTRY_ON_NEW_FVG,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000001
EP-00102,EP-00102-ENTRY_ON_NEW_FVG,target:ANY_SURFACE_DIAGNOSTIC,RB2-023769
EP-00103,,context/component,RB2-000014
EP-00104,,context/component,IFVG2-003398
EP-00105,,context/component,RB2-017357
EP-00106,,context/component,IFVG2-000001
EP-00107,,context/component,RB2-017357
EP-00108,,context/component,IFVG2-003398
EP-00109,,context/component,RB2-000015
EP-00110,,context/component,RB2-017358
EP-00111,,context/component,IFVG2-000002
EP-00111,,context/component,RB2-017358
EP-00112,,context/component,RB2-000016
EP-00113,,context/component,RB2-000017
EP-00114,,context/component,RB2-023779
EP-00115,,context/component,FVG2-004446
EP-00116,,context/component,RB2-017359
EP-00117,,context/component,FVG2-004446
EP-00118,,context/component,IFVG2-003396
EP-00119,,context/component,RB2-023779
EP-00120,,context/component,RB2-027825
EP-00121,,context/component,FVG2-000006
EP-00121,,context/component,RB2-017359
EP-00121,,context/component,RB2-027825
EP-00122,,context/component,IFVG2-003396
EP-00123,,context/component,IFVG2-000003
EP-00124,,context/component,RB2-023780
EP-00125,,context/component,RB2-023780
EP-00126,,context/component,FVG2-006114
EP-00127,,context/component,RB2-000018
EP-00127,,context/component,RB2-017360
EP-00128,,context/component,FVG2-004445
EP-00129,,context/component,RB2-017360
EP-00130,,context/component,FVG2-000005
EP-00130,,context/component,FVG2-004445
EP-00130,,context/component,FVG2-006114
EP-00131,,context/component,RB2-000019
EP-00132,,context/component,RB2-017361
EP-00133,,context/component,RB2-017361
EP-00134,,context/component,RB2-023778
EP-00135,,context/component,RB2-023781
EP-00136,,context/component,RB2-000020
EP-00136,,context/component,RB2-023781
EP-00137,,context/component,IFVG2-002482
EP-00137,,context/component,RB2-017356
EP-00138,,context/component,IFVG2-002482
EP-00138,,context/component,RB2-017356
EP-00138,,context/component,RB2-023778
EP-00138,EP-00138-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000004
EP-00138,EP-00138-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-027825
EP-00138,EP-00138-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-027825
EP-00138,EP-00138-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,RB2-000007
EP-00139,,context/component,RB2-023777
EP-00140,,context/component,IFVG2-002483
EP-00141,,context/component,IFVG2-003399
EP-00142,,context/component,RB2-023777
EP-00143,,context/component,RB2-029317
EP-00144,,context/component,FVG2-000007
EP-00144,,context/component,IFVG2-002483
EP-00144,,context/component,IFVG2-003399
EP-00145,,context/component,FVG2-006115
EP-00145,,context/component,RB2-000021
EP-00145,,context/component,RB2-023783
EP-00146,,context/component,FVG2-006115
EP-00146,,context/component,RB2-023782
EP-00146,,context/component,RB2-023783
EP-00147,,context/component,IFVG2-000005
EP-00148,,context/component,FVG2-004448
EP-00148,,context/component,RB2-017362
EP-00149,,context/component,FVG2-004448
EP-00149,,context/component,RB2-017362
EP-00149,,context/component,RB2-023782
EP-00149,,context/component,RB2-029317
EP-00150,,context/component,FVG2-000008
EP-00150,,context/component,IFVG2-003400
EP-00151,,context/component,IFVG2-003400
EP-00152,,context/component,RB2-000023
EP-00153,,context/component,RB2-017365
EP-00154,,context/component,RB2-017365
EP-00155,,context/component,IFVG2-000004
EP-00156,,context/component,RB2-023784
EP-00157,,context/component,RB2-023784
EP-00158,,context/component,RB2-017366
EP-00159,,context/component,RB2-017366
EP-00160,,context/component,RB2-023785
EP-00161,,context/component,RB2-023785
EP-00162,,context/component,FVG2-004447
EP-00163,,context/component,FVG2-004447
EP-00164,,context/component,RB2-000024
EP-00165,,context/component,FVG2-000009
EP-00166,,context/component,IFVG2-002484
EP-00167,,context/component,FVG2-000010
EP-00168,,context/component,IFVG2-002484
EP-00169,,context/component,IFVG2-000006
EP-00170,,context/component,RB2-017368
EP-00170,,context/component,RB2-023786
EP-00170,,context/component,RB2-027827
EP-00171,,context/component,RB2-000025
EP-00171,,context/component,RB2-023787
EP-00172,,context/component,RB2-017367
EP-00173,,context/component,RB2-017368
EP-00174,,context/component,RB2-017367
EP-00175,,context/component,RB2-023786
EP-00176,,context/component,RB2-023787
EP-00177,,context/component,RB2-027827
EP-00178,,context/component,RB2-017369
EP-00179,,context/component,FVG2-004449
EP-00179,,context/component,RB2-017369
EP-00180,,context/component,FVG2-004449
EP-00181,,context/component,RB2-000027
EP-00182,,context/component,RB2-017370
EP-00183,,context/component,IFVG2-002485
EP-00184,,context/component,RB2-017370
EP-00185,,context/component,IFVG2-002485
EP-00186,,context/component,RB2-023788
EP-00187,,context/component,RB2-023788
EP-00188,,context/component,RB2-000026
EP-00189,,context/component,RB2-017371
EP-00190,,context/component,RB2-017371
EP-00191,,context/component,RB2-023789
EP-00192,,context/component,RB2-023789
EP-00193,,context/component,RB2-017372
EP-00194,,context/component,RB2-017372
EP-00195,,context/component,RB2-017373
EP-00196,,context/component,RB2-023790
EP-00197,,context/component,RB2-027828
EP-00198,,context/component,FVG2-007709
EP-00199,,context/component,RB2-000028
EP-00199,,context/component,RB2-017373
EP-00199,,context/component,RB2-023790
EP-00199,,context/component,RB2-027828
EP-00200,,context/component,RB2-017374
EP-00201,,context/component,RB2-017374
EP-00202,,context/component,RB2-017375
EP-00203,,context/component,RB2-017375
EP-00204,,context/component,RB2-017350
EP-00205,,context/component,RB2-017351
EP-00205,,context/component,RB2-023771
EP-00206,,context/component,RB2-017351
EP-00207,,context/component,RB2-023771
EP-00208,,context/component,RB2-000029
EP-00209,,context/component,RB2-023793
EP-00210,,context/component,RB2-017377
EP-00211,,context/component,RB2-017377
EP-00211,,context/component,RB2-023793
EP-00212,,context/component,IFVG2-000007
EP-00213,,context/component,FVG2-000011
EP-00214,,context/component,FVG2-007143
EP-00214,,context/component,FVG2-007525
EP-00214,,context/component,FVG2-007709
EP-00215,,context/component,RB2-017343
EP-00215,,context/component,RB2-023763
EP-00216,,context/component,RB2-017344
EP-00216,,context/component,RB2-023764
EP-00217,,context/component,RB2-017343
EP-00218,,context/component,RB2-017344
EP-00219,,context/component,FVG2-006110
EP-00220,,context/component,RB2-023764
EP-00221,,context/component,FVG2-007143
EP-00222,,context/component,FVG2-007525
EP-00223,,context/component,IFVG2-000008
EP-00224,,context/component,FVG2-006110
EP-00225,,context/component,RB2-000001
EP-00226,,context/component,RB2-000031
EP-00227,,context/component,RB2-023795
EP-00228,,context/component,RB2-023795
EP-00229,,context/component,FVG2-004450
EP-00229,,context/component,FVG2-006116
EP-00230,,context/component,FVG2-004450
EP-00231,,context/component,FVG2-006116
EP-00232,,context/component,RB2-000030
EP-00233,,context/component,RB2-017380
EP-00234,,context/component,RB2-017380
EP-00235,,context/component,RB2-000033
EP-00236,,context/component,RB2-023796
EP-00237,,context/component,RB2-023796
EP-00238,,context/component,RB2-000034
EP-00238,,context/component,RB2-017381
EP-00238,,context/component,RB2-029319
EP-00239,,context/component,RB2-017381
EP-00240,,context/component,FVG2-007149
EP-00241,,context/component,RB2-029319
EP-00242,,context/component,FVG2-007527
EP-00243,,context/component,FVG2-007149
EP-00243,,context/component,FVG2-007527
EP-00244,,context/component,RB2-023794
EP-00245,,context/component,RB2-023794
EP-00246,,context/component,RB2-000035
EP-00247,,context/component,RB2-017383
EP-00248,,context/component,RB2-017383
EP-00249,,context/component,RB2-027829
EP-00250,,context/component,RB2-023766
EP-00251,,context/component,RB2-027829
EP-00252,,context/component,RB2-000036
EP-00253,,context/component,FVG2-000013
EP-00253,,context/component,FVG2-006117
EP-00253,,context/component,FVG2-006118
EP-00253,,context/component,IFVG2-002486
EP-00253,,context/component,IFVG2-003401
EP-00254,,context/component,RB2-017382
EP-00255,,context/component,IFVG2-002486
EP-00256,,context/component,RB2-017382
EP-00257,,context/component,FVG2-006117
EP-00257,,context/component,FVG2-006118
EP-00257,,context/component,IFVG2-003401
EP-00258,,context/component,FVG2-000012
EP-00258,,context/component,RB2-023797
EP-00258,,context/component,RB2-027831
EP-00259,,context/component,RB2-023797
EP-00260,,context/component,RB2-027830
EP-00261,,context/component,RB2-027831
EP-00262,,context/component,RB2-017384
EP-00263,,context/component,RB2-000038
EP-00264,,context/component,IFVG2-000009
EP-00265,,context/component,RB2-027830
EP-00266,,context/component,RB2-023798
EP-00267,,context/component,RB2-017385
EP-00267,,context/component,RB2-023798
EP-00268,,context/component,RB2-017385
EP-00269,,context/component,IFVG2-000010
EP-00270,,context/component,IFVG2-002481
EP-00271,,context/component,RB2-017378
EP-00272,,context/component,RB2-017379
EP-00273,,context/component,RB2-000032
EP-00273,,context/component,RB2-017378
EP-00274,,context/component,RB2-017379
EP-00275,,context/component,IFVG2-002481
EP-00276,,context/component,RB2-023762
EP-00277,,context/component,RB2-023762
EP-00278,,context/component,RB2-017387
EP-00278,EP-00278-ENTRY_ON_TAP,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000009
EP-00278,EP-00278-ENTRY_ON_TAP,target:BRANCH_SEMANTIC_TARGET,RB2-029320
EP-00278,EP-00278-ENTRY_ON_TAP,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-004451
EP-00278,EP-00278-ENTRY_ON_TAP,target:ANY_SURFACE_DIAGNOSTIC,FVG2-007142
EP-00278,EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000009
EP-00278,EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-029320
EP-00278,EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007150
EP-00278,EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000015
EP-00279,,context/component,RB2-017387
EP-00280,,context/component,RB2-000041
EP-00281,,context/component,FVG2-000015
EP-00282,,context/component,RB2-000042
EP-00282,EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000009
EP-00282,EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-029320
EP-00282,EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000009
EP-00282,EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000015
EP-00282,EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000009
EP-00282,EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,target:BRANCH_SEMANTIC_TARGET,RB2-029320
EP-00282,EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,IFVG2-000009
EP-00282,EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000015
EP-00283,,context/component,RB2-023800
EP-00283,EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000009
EP-00283,EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:BRANCH_SEMANTIC_TARGET,RB2-029320
EP-00283,EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007150
EP-00283,EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000015
EP-00283,EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,target:NEAREST_OPPOSING_VALID_STRUCTURE,IFVG2-000009
EP-00283,EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,target:BRANCH_SEMANTIC_TARGET,RB2-029320
EP-00283,EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-007150
EP-00283,EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,target:ANY_SURFACE_DIAGNOSTIC,FVG2-000015
EP-00284,,context/component,RB2-017388
EP-00285,,context/component,RB2-023800
EP-00286,,context/component,IFVG2-004191
EP-00287,,context/component,IFVG2-004191
EP-00287,,context/component,RB2-017388
EP-00288,,context/component,RB2-000043
EP-00289,,context/component,RB2-000044
EP-00289,,context/component,RB2-017389
EP-00290,,context/component,RB2-017389
EP-00291,,context/component,FVG2-000016
EP-00291,,context/component,FVG2-004452
