timeframe,source_seq,source_ts,source_ohlc,lower_wick,upper_wick,wick_body_ratio,reason
1,1090,2026-07-13 12:10:00-04:00,"(29618.75, 29638.5, 29614.5, 29634.25)",4.25,4.25,0.27419354838709675,equal_wick_ambiguous
1,1165,2026-07-13 13:25:00-04:00,"(29514.0, 29517.75, 29498.25, 29502.0)",3.75,3.75,0.3125,equal_wick_ambiguous
1,1178,2026-07-13 13:38:00-04:00,"(29504.75, 29507.5, 29497.0, 29499.75)",2.75,2.75,0.55,equal_wick_ambiguous
1,1194,2026-07-13 13:54:00-04:00,"(29474.75, 29491.0, 29472.0, 29488.25)",2.75,2.75,0.2037037037037037,equal_wick_ambiguous
1,1248,2026-07-13 14:48:00-04:00,"(29501.75, 29506.25, 29489.75, 29494.25)",4.5,4.5,0.6,equal_wick_ambiguous
1,1272,2026-07-13 15:12:00-04:00,"(29460.75, 29463.75, 29455.75, 29458.75)",3.0,3.0,1.5,equal_wick_ambiguous
1,1348,2026-07-13 16:28:00-04:00,"(29434.0, 29436.25, 29433.25, 29435.5)",0.75,0.75,0.5,equal_wick_ambiguous
1,1375,2026-07-13 16:55:00-04:00,"(29433.0, 29437.0, 29432.25, 29436.25)",0.75,0.75,0.23076923076923078,equal_wick_ambiguous
1,1379,2026-07-13 16:59:00-04:00,"(29431.25, 29434.0, 29426.0, 29428.75)",2.75,2.75,1.1,equal_wick_ambiguous
1,1388,2026-07-13 18:08:00-04:00,"(29470.75, 29472.5, 29463.75, 29465.5)",1.75,1.75,0.3333333333333333,equal_wick_ambiguous
1,1425,2026-07-13 18:45:00-04:00,"(29442.25, 29455.0, 29438.0, 29450.75)",4.25,4.25,0.5,equal_wick_ambiguous
1,1450,2026-07-13 19:10:00-04:00,"(29384.0, 29388.75, 29382.5, 29387.25)",1.5,1.5,0.46153846153846156,equal_wick_ambiguous
1,1466,2026-07-13 19:26:00-04:00,"(29391.0, 29394.25, 29388.75, 29392.0)",2.25,2.25,2.25,equal_wick_ambiguous
1,1579,2026-07-13 21:19:00-04:00,"(29511.75, 29519.75, 29507.25, 29515.25)",4.5,4.5,1.2857142857142858,equal_wick_ambiguous
1,1640,2026-07-13 22:20:00-04:00,"(29401.0, 29406.5, 29390.0, 29395.5)",5.5,5.5,1.0,equal_wick_ambiguous
1,1646,2026-07-13 22:26:00-04:00,"(29376.5, 29381.0, 29374.25, 29378.75)",2.25,2.25,1.0,equal_wick_ambiguous
1,1696,2026-07-13 23:16:00-04:00,"(29330.5, 29334.25, 29327.25, 29331.0)",3.25,3.25,6.5,equal_wick_ambiguous
1,1743,2026-07-14 00:03:00-04:00,"(29426.25, 29443.25, 29422.5, 29439.5)",3.75,3.75,0.2830188679245283,equal_wick_ambiguous
1,1915,2026-07-14 02:55:00-04:00,"(29573.25, 29580.25, 29569.25, 29576.25)",4.0,4.0,1.3333333333333333,equal_wick_ambiguous
1,1917,2026-07-14 02:57:00-04:00,"(29567.0, 29574.75, 29565.5, 29573.25)",1.5,1.5,0.24,equal_wick_ambiguous
1,1919,2026-07-14 02:59:00-04:00,"(29571.75, 29573.25, 29562.75, 29564.25)",1.5,1.5,0.2,equal_wick_ambiguous
1,2015,2026-07-14 04:35:00-04:00,"(29620.75, 29623.75, 29614.5, 29617.5)",3.0,3.0,0.9230769230769231,equal_wick_ambiguous
1,2329,2026-07-14 09:49:00-04:00,"(29767.75, 29780.75, 29752.0, 29765.0)",13.0,13.0,4.7272727272727275,equal_wick_ambiguous
1,2408,2026-07-14 11:08:00-04:00,"(29837.5, 29862.25, 29833.25, 29858.0)",4.25,4.25,0.2073170731707317,equal_wick_ambiguous
1,2446,2026-07-14 11:46:00-04:00,"(29839.25, 29841.5, 29830.75, 29833.0)",2.25,2.25,0.36,equal_wick_ambiguous
1,2498,2026-07-14 12:38:00-04:00,"(29773.0, 29795.5, 29768.0, 29790.5)",5.0,5.0,0.2857142857142857,equal_wick_ambiguous
1,2528,2026-07-14 13:08:00-04:00,"(29838.0, 29840.5, 29834.0, 29836.5)",2.5,2.5,1.6666666666666667,equal_wick_ambiguous
1,2579,2026-07-14 13:59:00-04:00,"(29861.25, 29865.5, 29859.0, 29863.25)",2.25,2.25,1.125,equal_wick_ambiguous
1,2632,2026-07-14 14:52:00-04:00,"(29824.25, 29835.75, 29820.25, 29831.75)",4.0,4.0,0.5333333333333333,equal_wick_ambiguous
1,2633,2026-07-14 14:53:00-04:00,"(29832.75, 29843.5, 29830.5, 29841.25)",2.25,2.25,0.2647058823529412,equal_wick_ambiguous
1,2685,2026-07-14 15:45:00-04:00,"(29811.25, 29818.5, 29810.0, 29817.25)",1.25,1.25,0.20833333333333334,equal_wick_ambiguous
1,2724,2026-07-14 16:24:00-04:00,"(29772.75, 29776.5, 29772.0, 29775.75)",0.75,0.75,0.25,equal_wick_ambiguous
1,2750,2026-07-14 16:50:00-04:00,"(29789.5, 29790.75, 29785.75, 29787.0)",1.25,1.25,0.5,equal_wick_ambiguous
1,2802,2026-07-14 18:42:00-04:00,"(29782.75, 29783.5, 29779.5, 29780.25)",0.75,0.75,0.3,equal_wick_ambiguous
1,2804,2026-07-14 18:44:00-04:00,"(29780.0, 29781.75, 29778.0, 29779.75)",1.75,1.75,7.0,equal_wick_ambiguous
1,2846,2026-07-14 19:26:00-04:00,"(29852.25, 29855.5, 29835.0, 29838.25)",3.25,3.25,0.23214285714285715,equal_wick_ambiguous
1,2865,2026-07-14 19:45:00-04:00,"(29848.5, 29853.75, 29844.5, 29849.75)",4.0,4.0,3.2,equal_wick_ambiguous
1,2870,2026-07-14 19:50:00-04:00,"(29872.5, 29875.5, 29871.0, 29874.0)",1.5,1.5,1.0,equal_wick_ambiguous
