id,parent_fvg_id,timeframe,parent_direction,child_direction,parent_formation_ts_et,parent_width_points,parent_width_atr,parent_first_touch_ts_et,inversion_ts_et,inversion_open,inversion_high,inversion_low,inversion_close,close_through_boundary,atr_at_inversion,inversion_body_atr,inversion_range_atr,bars_from_formation_to_inversion,bars_from_first_touch_to_inversion,inversion_speed_bucket,max_penetration_before_inversion,distance_through_zone,distance_through_zone_over_width,n_scraping_candles,avg_scraping_body,activation_ts_et,expiry_ts_et,deactivation_reason
IFVG2-000319,FVG2-000611,1,bullish,bearish,2026-07-16 13:28:00-04:00,6.0,0.318473788062661,2026-07-16 13:31:00-04:00,2026-07-16 13:33:00-04:00,29319.25,29323.0,29293.5,29295.5,29310.0,18.821745210398564,1.261838354228634,1.5673360610418823,5,2,5plus_candles,0.0,14.5,2.4166666666666665,1,10.5,2026-07-16 13:33:00-04:00,2026-07-16 21:33:00-04:00,EXPIRED_UNTOUCHED_8H
IFVG2-000320,FVG2-000614,1,bearish,bullish,2026-07-16 13:52:00-04:00,4.5,0.26720146237978,2026-07-16 13:53:00-04:00,2026-07-16 13:53:00-04:00,29244.25,29269.0,29242.0,29262.0,29250.5,17.566851965495747,1.0104257743427216,1.536985684915689,1,,1_candles,0.0,11.5,2.5555555555555554,0,,2026-07-16 13:53:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000321,FVG2-000615,1,bearish,bullish,2026-07-16 13:56:00-04:00,10.5,0.5941062756097457,2026-07-16 13:58:00-04:00,2026-07-16 14:00:00-04:00,29244.25,29259.5,29233.0,29256.5,29250.0,17.914829746987575,0.6837910364210896,1.4792214257272551,4,,4_candles,1.5,6.5,0.6190476190476191,2,7.75,2026-07-16 14:00:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000322,FVG2-000624,1,bearish,bullish,2026-07-16 14:54:00-04:00,2.5,0.15246693018781743,2026-07-16 14:57:00-04:00,2026-07-16 15:00:00-04:00,29210.0,29228.75,29202.75,29228.25,29223.25,16.67301197214281,1.0945832720861721,1.5594063054378344,6,,5plus_candles,0.25,5.0,2.0,1,10.5,2026-07-16 15:00:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000323,FVG2-000627,1,bearish,bullish,2026-07-16 15:26:00-04:00,3.25,0.1864221498292156,2026-07-16 15:28:00-04:00,2026-07-16 15:29:00-04:00,29143.0,29160.25,29142.75,29148.5,29145.25,17.238342157519067,0.31905620330206724,1.0151788286883958,3,,3_candles,0.5,3.25,1.0,1,13.25,2026-07-16 15:29:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000324,FVG2-000631,1,bearish,bullish,2026-07-16 15:48:00-04:00,5.75,0.29733181850127566,2026-07-16 15:49:00-04:00,2026-07-16 15:50:00-04:00,29094.0,29142.75,29094.0,29133.75,29100.75,21.234612956881694,1.8719437025160308,2.2957800125196606,2,,2_candles,0.0,33.0,5.739130434782608,1,8.25,2026-07-16 15:50:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000325,FVG2-000629,1,bearish,bullish,2026-07-16 15:44:00-04:00,5.5,0.2825860218833085,2026-07-16 15:50:00-04:00,2026-07-16 15:51:00-04:00,29135.5,29157.0,29126.75,29154.75,29144.0,21.878569174247286,0.87985644064232,1.3826315495807886,7,,5plus_candles,0.0,10.75,1.9545454545454546,1,39.75,2026-07-16 15:51:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000326,FVG2-000634,1,bullish,bearish,2026-07-16 15:55:00-04:00,1.75,0.07697715126715458,2026-07-16 16:13:00-04:00,2026-07-16 16:13:00-04:00,29181.25,29185.25,29171.75,29171.75,29172.5,17.232642393870826,0.5512793559378268,0.7833969794905961,18,0,5plus_candles,0.0,0.75,0.42857142857142855,0,,2026-07-16 16:13:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000327,FVG2-000635,1,bullish,bearish,2026-07-16 15:56:00-04:00,10.25,0.45803878927890057,2026-07-16 16:05:00-04:00,2026-07-16 16:13:00-04:00,29181.25,29185.25,29171.75,29171.75,29175.5,17.232642393870826,0.5512793559378268,0.7833969794905961,17,8,5plus_candles,0.0,3.75,0.36585365853658536,6,3.4583333333333335,2026-07-16 16:13:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000328,FVG2-000636,1,bearish,bullish,2026-07-16 16:05:00-04:00,6.5,0.2902423528990249,2026-07-16 16:07:00-04:00,2026-07-16 18:00:00-04:00,29191.0,29215.0,29191.0,29210.0,29205.75,8.420682775735987,2.2563490997129216,2.8501251785847432,55,,5plus_candles,0.0,4.25,0.6538461538461539,2,2.75,2026-07-16 18:00:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000329,FVG2-000633,1,bullish,bearish,2026-07-16 15:52:00-04:00,5.0,0.22975573082613313,2026-07-16 18:25:00-04:00,2026-07-16 18:29:00-04:00,29144.25,29144.75,29136.5,29139.75,29142.75,9.96325045806971,0.4516598291830791,0.8280430201689783,97,4,5plus_candles,0.0,3.0,0.6,4,3.5625,2026-07-16 18:29:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000330,FVG2-000639,1,bearish,bullish,2026-07-16 18:29:00-04:00,2.75,0.27601434005632614,2026-07-16 18:32:00-04:00,2026-07-16 18:32:00-04:00,29136.75,29159.25,29134.25,29156.5,29147.5,10.621542003053625,1.8594286963533169,2.353707210573819,3,,3_candles,0.0,9.0,3.272727272727273,0,,2026-07-16 18:32:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000331,FVG2-000640,1,bearish,bullish,2026-07-16 18:35:00-04:00,3.5,0.3414661125064881,2026-07-16 18:36:00-04:00,2026-07-16 18:37:00-04:00,29148.5,29156.75,29148.25,29151.25,29150.0,10.241001600783507,0.2685284220431726,0.8299969408607154,2,,2_candles,0.0,1.25,0.35714285714285715,1,7.75,2026-07-16 18:37:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000332,FVG2-000641,1,bullish,bearish,2026-07-16 18:38:00-04:00,2.25,0.2318170424250592,2026-07-16 18:39:00-04:00,2026-07-16 18:40:00-04:00,29153.5,29154.75,29147.0,29147.5,29149.75,9.071694794796418,0.6613979124872718,0.854305636962726,2,1,2_candles,0.0,2.25,1.0,1,0.25,2026-07-16 18:40:00-04:00,2026-07-17 02:40:00-04:00,EXPIRED_ACTIVE_8H
IFVG2-000333,FVG2-000642,1,bearish,bullish,2026-07-16 18:42:00-04:00,4.75,0.5201505483483189,2026-07-16 18:44:00-04:00,2026-07-16 18:44:00-04:00,29136.5,29150.5,29135.0,29149.5,29147.0,9.52833259668317,1.3643520383120677,1.6267274302951578,2,,2_candles,0.0,2.5,0.5263157894736842,0,,2026-07-16 18:44:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000334,FVG2-000646,1,bullish,bearish,2026-07-16 19:13:00-04:00,7.25,0.6694031959803165,2026-07-16 19:17:00-04:00,2026-07-16 19:18:00-04:00,29120.5,29122.0,29106.75,29111.75,29112.0,10.618216642468434,0.8240555165359551,1.4362110431055217,5,1,5plus_candles,0.0,0.25,0.034482758620689655,1,4.75,2026-07-16 19:18:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000335,FVG2-000632,1,bullish,bearish,2026-07-16 15:51:00-04:00,31.0,1.416911670644775,2026-07-16 18:49:00-04:00,2026-07-16 19:24:00-04:00,29097.5,29099.25,29091.0,29091.0,29095.75,9.038231858353083,0.719167211227574,0.9127891527119208,153,35,5plus_candles,1.0,4.75,0.1532258064516129,28,4.491071428571429,2026-07-16 19:24:00-04:00,2026-07-17 03:24:00-04:00,EXPIRED_ACTIVE_8H
IFVG2-000336,FVG2-000651,1,bearish,bullish,2026-07-16 19:25:00-04:00,0.25,0.02794477795349465,2026-07-16 19:27:00-04:00,2026-07-16 19:27:00-04:00,29087.75,29101.25,29087.75,29097.75,29094.75,9.689593802041443,1.0320350062448602,1.3932472584305613,2,,2_candles,0.0,3.0,12.0,0,,2026-07-16 19:27:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000337,FVG2-000647,1,bearish,bullish,2026-07-16 19:18:00-04:00,1.0,0.09417777331839486,2026-07-16 19:40:00-04:00,2026-07-16 19:40:00-04:00,29104.5,29129.75,29103.25,29124.75,29123.0,13.227214109271685,1.5309346195436313,2.003445304587962,22,,5plus_candles,0.0,1.75,1.75,0,,2026-07-16 19:40:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000338,FVG2-000648,1,bearish,bullish,2026-07-16 19:19:00-04:00,5.0,0.49282997041048615,2026-07-16 19:40:00-04:00,2026-07-16 19:40:00-04:00,29104.5,29129.75,29103.25,29124.75,29118.75,13.227214109271685,1.5309346195436313,2.003445304587962,21,,5plus_candles,0.0,6.0,1.2,0,,2026-07-16 19:40:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000339,FVG2-000649,1,bearish,bullish,2026-07-16 19:21:00-04:00,1.75,0.1838809544559224,2026-07-16 19:40:00-04:00,2026-07-16 19:40:00-04:00,29104.5,29129.75,29103.25,29124.75,29109.75,13.227214109271685,1.5309346195436313,2.003445304587962,19,,5plus_candles,0.0,15.0,8.571428571428571,0,,2026-07-16 19:40:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000340,FVG2-000655,1,bearish,bullish,2026-07-16 19:44:00-04:00,0.5,0.04307912464578945,2026-07-16 19:50:00-04:00,2026-07-16 19:50:00-04:00,29097.0,29118.0,29097.0,29115.75,29115.0,13.314334962029575,1.408256593624248,1.5772473848591577,6,,5plus_candles,0.0,0.75,1.5,0,,2026-07-16 19:50:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000341,FVG2-000657,1,bearish,bullish,2026-07-16 19:57:00-04:00,3.0,0.23347451617704645,2026-07-16 19:59:00-04:00,2026-07-16 20:00:00-04:00,29095.5,29124.25,29095.25,29122.75,29100.0,13.540201061447133,2.012525506551644,2.1417702638531257,3,,3_candles,0.0,22.75,7.583333333333333,1,2.5,2026-07-16 20:00:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000342,FVG2-000660,1,bearish,bullish,2026-07-16 20:36:00-04:00,9.75,0.6038419140005518,2026-07-16 20:37:00-04:00,2026-07-16 20:38:00-04:00,29006.0,29022.25,29004.25,29021.0,29017.0,15.904475110306652,0.9431307789767598,1.1317569347721117,2,,2_candles,0.0,4.0,0.41025641025641024,1,4.75,2026-07-16 20:38:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000343,FVG2-000664,1,bullish,bearish,2026-07-16 21:02:00-04:00,7.25,0.4720107018361526,2026-07-16 21:05:00-04:00,2026-07-16 21:06:00-04:00,29086.75,29087.5,29054.5,29057.75,29075.0,17.008495268107232,1.7050303123744366,1.9402069071847037,4,1,4_candles,0.0,17.25,2.3793103448275863,1,3.0,2026-07-16 21:06:00-04:00,2026-07-17 05:06:00-04:00,EXPIRED_UNTOUCHED_8H
IFVG2-000344,FVG2-000662,1,bullish,bearish,2026-07-16 20:51:00-04:00,17.5,1.1870668925731922,2026-07-16 21:00:00-04:00,2026-07-16 21:13:00-04:00,29045.25,29049.25,29028.75,29035.75,29036.25,17.332243945474442,0.5481113714926976,1.1827666437474,22,13,5plus_candles,0.0,0.5,0.02857142857142857,7,9.035714285714286,2026-07-16 21:13:00-04:00,2026-07-17 05:13:00-04:00,EXPIRED_ACTIVE_8H
IFVG2-000345,FVG2-000670,1,bearish,bullish,2026-07-16 21:45:00-04:00,3.5,0.25184595226228723,2026-07-16 21:47:00-04:00,2026-07-16 21:48:00-04:00,28974.5,28990.75,28971.75,28989.0,28980.0,14.967858402150744,0.9687424620422974,1.2693866744002518,3,,3_candles,0.0,9.0,2.5714285714285716,1,13.5,2026-07-16 21:48:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000346,FVG2-000675,1,bullish,bearish,2026-07-16 22:58:00-04:00,5.75,0.5260753968158689,2026-07-16 22:59:00-04:00,2026-07-16 23:01:00-04:00,28925.5,28928.25,28915.0,28916.5,28917.0,11.240868415093114,0.8006498846579949,1.1787345524131592,3,2,3_candles,0.0,0.5,0.08695652173913043,1,4.75,2026-07-16 23:01:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000347,FVG2-000671,1,bearish,bullish,2026-07-16 22:07:00-04:00,5.0,0.38548921494620086,2026-07-16 22:12:00-04:00,2026-07-16 23:18:00-04:00,28971.5,28978.75,28969.75,28976.75,28972.5,8.781823782743029,0.5978257056713733,1.0248440668652115,71,,5plus_candles,0.25,4.25,0.85,4,4.4375,2026-07-16 23:18:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000348,FVG2-000683,1,bullish,bearish,2026-07-16 23:27:00-04:00,8.5,0.7882377866451118,2026-07-16 23:29:00-04:00,2026-07-16 23:30:00-04:00,29013.5,29016.75,28993.5,28997.0,29004.75,11.219644655442654,1.4706348112367216,2.0722581431062896,3,1,3_candles,0.0,7.75,0.9117647058823529,1,0.5,2026-07-16 23:30:00-04:00,2026-07-17 07:30:00-04:00,EXPIRED_UNTOUCHED_8H
IFVG2-000349,FVG2-000682,1,bullish,bearish,2026-07-16 23:21:00-04:00,2.25,0.26088701665193437,2026-07-16 23:32:00-04:00,2026-07-16 23:33:00-04:00,28989.25,28994.5,28980.25,28980.75,28983.0,11.21731388775784,0.7577571676296395,1.270357604555572,12,1,5plus_candles,0.0,2.25,1.0,1,0.5,2026-07-16 23:33:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000350,FVG2-000681,1,bullish,bearish,2026-07-16 23:20:00-04:00,0.75,0.08572037264629351,2026-07-16 23:34:00-04:00,2026-07-16 23:34:00-04:00,28981.0,28983.0,28970.0,28977.0,28978.75,11.34464861006085,0.3525891490770947,1.1459147345005578,14,0,5plus_candles,0.0,1.75,2.3333333333333335,0,,2026-07-16 23:34:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000351,FVG2-000685,1,bearish,bullish,2026-07-16 23:34:00-04:00,2.25,0.19833139635586577,2026-07-16 23:35:00-04:00,2026-07-16 23:35:00-04:00,28977.5,28991.0,28972.25,28991.0,28985.25,11.873602280770788,1.1369759303680864,1.5791332366223423,1,,1_candles,0.0,5.75,2.5555555555555554,0,,2026-07-16 23:35:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000352,FVG2-000678,1,bullish,bearish,2026-07-16 23:17:00-04:00,3.25,0.37079119209898315,2026-07-16 23:40:00-04:00,2026-07-16 23:40:00-04:00,28969.75,28970.5,28946.25,28955.5,28962.5,12.459225344414211,1.1437308184163022,1.946348936603181,23,0,5plus_candles,0.0,7.0,2.1538461538461537,0,,2026-07-16 23:40:00-04:00,2026-07-17 07:40:00-04:00,EXPIRED_UNTOUCHED_8H
IFVG2-000353,FVG2-000676,1,bullish,bearish,2026-07-16 23:04:00-04:00,8.0,0.7138818164528291,2026-07-16 23:50:00-04:00,2026-07-16 23:53:00-04:00,28930.25,28932.0,28922.5,28922.5,28926.0,11.092445468037877,0.6986737074643364,0.8564387381820898,49,3,5plus_candles,0.0,3.5,0.4375,3,5.333333333333333,2026-07-16 23:53:00-04:00,2026-07-17 07:53:00-04:00,EXPIRED_ACTIVE_8H
IFVG2-000354,FVG2-000689,1,bearish,bullish,2026-07-17 00:25:00-04:00,4.75,0.3472665825814233,2026-07-17 00:48:00-04:00,2026-07-17 00:48:00-04:00,28824.75,28837.0,28819.75,28835.75,28833.75,13.914675409709588,0.790532274459256,1.2396983394929242,23,,5plus_candles,0.0,2.0,0.42105263157894735,0,,2026-07-17 00:48:00-04:00,,DEACTIVATED_CLOSE_THROUGH
