id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,activated,activation_candle_number,activation_ts_et,first_tap_ts_et,first_tap_was_activated,n_taps,max_penetration,deactivation_ts_et,deactivation_reason_final
RB2-002870,1,bullish,6343,2026-07-17 07:43:00-04:00,28731.25,28732.5,28713.5,28729.0,15.5,1.25,2.25,False,19.0,6.888888888888889,0.8157894736842105,12.4,12.687866950967205,28713.5,28729.0,4.75,5.5,5.5,0.374373408734232,0.43348499958700554,0.43348499958700554,False,,,2026-07-17 07:44:00-04:00,False,8,13.25,2026-07-17 08:03:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002871,1,bearish,6344,2026-07-17 07:44:00-04:00,28729.5,28733.75,28727.5,28729.75,4.0,2.0,0.25,False,6.25,16.0,0.64,2.0,12.228019311612403,28729.75,28733.75,2.25,11.75,11.75,0.18400363482115828,0.9609078707327156,0.9609078707327156,False,,,2026-07-17 07:45:00-04:00,False,3,14.5,2026-07-17 07:48:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002872,1,bullish,6349,2026-07-17 07:49:00-04:00,28748.25,28749.0,28741.25,28744.75,3.5,0.75,3.5,False,7.75,1.0,0.45161290322580644,4.666666666666667,11.72994134561958,28741.25,28744.75,0.0,,,0.0,,,False,,,2026-07-17 07:50:00-04:00,False,1,4.0,2026-07-17 07:50:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002873,1,bullish,6352,2026-07-17 07:52:00-04:00,28738.0,28744.0,28736.75,28743.5,1.25,0.5,5.5,False,7.25,0.22727272727272727,0.1724137931034483,2.5,11.603564554054744,28736.75,28738.0,8.25,26.25,,0.7109884175304669,2.2622358739605763,,True,2,2026-07-17 07:54:00-04:00,2026-07-17 07:57:00-04:00,True,1,0.75,2026-07-17 07:57:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002874,1,bullish,6353,2026-07-17 07:53:00-04:00,28741.75,28746.25,28739.25,28745.75,2.5,0.5,4.0,False,7.0,0.625,0.35714285714285715,5.0,11.274738514479406,28739.25,28741.75,22.5,,,1.995611691668479,,,True,1,2026-07-17 07:54:00-04:00,2026-07-17 07:56:00-04:00,True,1,1.0,2026-07-17 07:56:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002875,1,bearish,6355,2026-07-17 07:55:00-04:00,28756.5,28762.0,28747.5,28748.75,5.5,1.25,7.75,False,14.5,0.7096774193548387,0.3793103448275862,4.4,12.11699392319908,28756.5,28762.0,18.25,,,1.5061491419137154,,,True,1,2026-07-17 07:56:00-04:00,2026-07-17 10:02:00-04:00,True,1,5.25,2026-07-17 10:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002876,1,bearish,6356,2026-07-17 07:56:00-04:00,28748.75,28752.25,28738.25,28738.75,3.5,0.5,10.0,False,14.0,0.35,0.25,7.0,12.25149435725629,28748.75,28752.25,12.75,12.75,12.75,1.0406893745535994,1.0406893745535994,1.0406893745535994,False,,,2026-07-17 10:02:00-04:00,False,1,15.0,2026-07-17 10:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002877,1,bullish,6358,2026-07-17 07:58:00-04:00,28740.5,28748.25,28737.75,28746.75,2.75,1.5,6.25,False,10.5,0.44,0.2619047619047619,1.8333333333333333,11.744910950899556,28737.75,28740.5,7.5,7.5,7.5,0.6385744456773056,0.6385744456773056,0.6385744456773056,False,,,2026-07-17 07:59:00-04:00,False,3,14.75,2026-07-17 08:01:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002878,1,bearish,6360,2026-07-17 08:00:00-04:00,28740.0,28744.75,28737.5,28740.75,4.0,2.5,0.75,False,7.25,5.333333333333333,0.5517241379310345,1.6,11.274948728071555,28740.75,28744.75,17.75,,,1.5742865380671158,,,True,1,2026-07-17 08:01:00-04:00,2026-07-17 08:01:00-04:00,True,2,3.25,2026-07-17 10:01:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-002879,1,bearish,6365,2026-07-17 08:05:00-04:00,28697.75,28701.25,28689.0,28692.0,3.5,3.0,5.75,False,12.25,0.6086956521739131,0.2857142857142857,1.1666666666666667,12.240042817151844,28697.75,28701.25,13.5,13.5,15.5,1.1029373182488047,1.1029373182488047,1.26633543947085,False,,,2026-07-17 08:09:00-04:00,False,2,38.75,2026-07-17 10:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002880,1,bearish,6367,2026-07-17 08:07:00-04:00,28690.0,28695.0,28684.5,28685.75,5.0,1.25,4.25,False,10.5,1.1764705882352942,0.47619047619047616,4.0,12.099832837238068,28690.0,28695.0,7.75,,,0.6405047164080516,,,False,,,2026-07-17 08:08:00-04:00,False,1,2.0,2026-07-17 08:08:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-002881,1,bearish,6370,2026-07-17 08:10:00-04:00,28686.0,28695.75,28682.25,28685.0,9.75,2.75,1.0,False,13.5,9.75,0.7222222222222222,3.5454545454545454,12.621750270922755,28686.0,28695.75,9.25,11.0,11.0,0.7328619091212417,0.8715114594955307,0.8715114594955307,False,,,2026-07-17 08:11:00-04:00,False,16,44.25,2026-07-17 10:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
