timeframe,a_seq,b_seq,c_seq,a_ts,b_ts,c_ts,a_colour_state,b_colour_state,c_colour_state,geometry_direction,lo,hi,exclusion_reason
1,4737,4738,4739,2026-07-16 03:57:00-04:00,2026-07-16 03:58:00-04:00,2026-07-16 03:59:00-04:00,exact_doji_colour_unresolved,bullish,bearish,bullish,29557.75,29561.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,4835,4836,4837,2026-07-16 05:35:00-04:00,2026-07-16 05:36:00-04:00,2026-07-16 05:37:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29607.25,29609.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,4837,4838,4839,2026-07-16 05:37:00-04:00,2026-07-16 05:38:00-04:00,2026-07-16 05:39:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29600.5,29601.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,5046,5047,5048,2026-07-16 09:06:00-04:00,2026-07-16 09:07:00-04:00,2026-07-16 09:08:00-04:00,bullish,bullish,exact_doji_colour_unresolved,bullish,29431.0,29437.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,5166,5167,5168,2026-07-16 11:06:00-04:00,2026-07-16 11:07:00-04:00,2026-07-16 11:08:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29378.0,29380.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,5290,5291,5292,2026-07-16 13:10:00-04:00,2026-07-16 13:11:00-04:00,2026-07-16 13:12:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29313.25,29322.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,5355,5356,5357,2026-07-16 14:15:00-04:00,2026-07-16 14:16:00-04:00,2026-07-16 14:17:00-04:00,bearish,bullish,exact_doji_colour_unresolved,bullish,29234.75,29266.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,5468,5469,5470,2026-07-16 16:08:00-04:00,2026-07-16 16:09:00-04:00,2026-07-16 16:10:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29186.0,29188.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,5487,5488,5489,2026-07-16 16:27:00-04:00,2026-07-16 16:28:00-04:00,2026-07-16 16:29:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29182.0,29185.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,5489,5490,5491,2026-07-16 16:29:00-04:00,2026-07-16 16:30:00-04:00,2026-07-16 16:31:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29172.25,29179.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,5548,5549,5550,2026-07-16 18:28:00-04:00,2026-07-16 18:29:00-04:00,2026-07-16 18:30:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29142.75,29144.5,EXACT_DOJI_COLOUR_UNRESOLVED
1,5657,5658,5659,2026-07-16 20:17:00-04:00,2026-07-16 20:18:00-04:00,2026-07-16 20:19:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29050.0,29058.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,5721,5722,5723,2026-07-16 21:21:00-04:00,2026-07-16 21:22:00-04:00,2026-07-16 21:23:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,29020.5,29021.25,EXACT_DOJI_COLOUR_UNRESOLVED
1,5785,5786,5787,2026-07-16 22:25:00-04:00,2026-07-16 22:26:00-04:00,2026-07-16 22:27:00-04:00,bullish,bearish,exact_doji_colour_unresolved,bearish,28926.0,28926.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,5787,5788,5789,2026-07-16 22:27:00-04:00,2026-07-16 22:28:00-04:00,2026-07-16 22:29:00-04:00,exact_doji_colour_unresolved,bullish,bearish,bullish,28926.0,28928.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,6134,6135,6136,2026-07-17 04:14:00-04:00,2026-07-17 04:15:00-04:00,2026-07-17 04:16:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,28660.75,28673.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,6272,6273,6274,2026-07-17 06:32:00-04:00,2026-07-17 06:33:00-04:00,2026-07-17 06:34:00-04:00,exact_doji_colour_unresolved,bullish,bullish,bullish,28775.0,28779.0,EXACT_DOJI_COLOUR_UNRESOLVED
1,6876,6877,6878,2026-07-17 16:36:00-04:00,2026-07-17 16:37:00-04:00,2026-07-17 16:38:00-04:00,bullish,exact_doji_colour_unresolved,bullish,bullish,28755.5,28755.75,EXACT_DOJI_COLOUR_UNRESOLVED
1,6893,6894,6895,2026-07-17 16:53:00-04:00,2026-07-17 16:54:00-04:00,2026-07-17 16:55:00-04:00,exact_doji_colour_unresolved,bullish,bearish,bullish,28762.5,28762.75,EXACT_DOJI_COLOUR_UNRESOLVED
3,919,920,921,2026-07-14 17:00:00-04:00,2026-07-14 18:03:00-04:00,2026-07-14 18:06:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29792.5,29793.5,EXACT_DOJI_COLOUR_UNRESOLVED
3,1484,1485,1486,2026-07-15 23:15:00-04:00,2026-07-15 23:18:00-04:00,2026-07-15 23:21:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29731.25,29743.25,EXACT_DOJI_COLOUR_UNRESOLVED
3,1925,1926,1927,2026-07-16 22:18:00-04:00,2026-07-16 22:21:00-04:00,2026-07-16 22:24:00-04:00,exact_doji_colour_unresolved,bearish,bullish,bearish,28934.0,28950.0,EXACT_DOJI_COLOUR_UNRESOLVED
5,630,631,632,2026-07-15 00:35:00-04:00,2026-07-15 00:40:00-04:00,2026-07-15 00:45:00-04:00,bearish,bullish,exact_doji_colour_unresolved,bullish,29998.25,30002.0,EXACT_DOJI_COLOUR_UNRESOLVED
5,833,834,835,2026-07-15 18:30:00-04:00,2026-07-15 18:35:00-04:00,2026-07-15 18:40:00-04:00,exact_doji_colour_unresolved,bearish,bearish,bearish,29709.75,29712.5,EXACT_DOJI_COLOUR_UNRESOLVED
5,1043,1044,1045,2026-07-16 12:00:00-04:00,2026-07-16 12:05:00-04:00,2026-07-16 12:10:00-04:00,bearish,bearish,exact_doji_colour_unresolved,bearish,29355.5,29373.5,EXACT_DOJI_COLOUR_UNRESOLVED
15,58,59,60,2026-07-13 08:45:00-04:00,2026-07-13 09:00:00-04:00,2026-07-13 09:15:00-04:00,bullish,bullish,exact_doji_colour_unresolved,bullish,29694.5,29711.0,EXACT_DOJI_COLOUR_UNRESOLVED
