id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,confirming_candle_number,confirmed,rejection_reason,activation_ts_et,first_tap_ts_et,max_penetration_after_activation,deactivation_ts_et,deactivation_reason_final
RB2-000403,1,bearish,554,2026-07-13 03:14:00-04:00,29663.75,29675.5,29661.5,29670.75,4.75,2.25,7.0,False,14.0,0.6785714285714286,0.3392857142857143,2.111111111111111,13.377178361670584,29670.75,29675.5,8.5,15.0,26.25,0.6354105305461811,1.121312700963849,1.9622972266867358,3,True,,2026-07-13 03:17:00-04:00,2026-07-13 03:22:00-04:00,2.25,2026-07-13 03:23:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000405,1,bearish,556,2026-07-13 03:16:00-04:00,29668.0,29675.0,29655.75,29656.5,7.0,0.75,11.5,False,19.25,0.6086956521739131,0.36363636363636365,9.333333333333334,13.755067056746574,29668.0,29675.0,23.5,,,1.7084613185127104,,,1,True,,2026-07-13 03:17:00-04:00,2026-07-13 03:22:00-04:00,2.75,2026-07-13 03:23:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000409,1,bullish,560,2026-07-13 03:20:00-04:00,29648.5,29653.0,29644.0,29651.5,4.5,1.5,3.0,False,9.0,1.5,0.5,3.0,12.932091321525899,29644.0,29648.5,9.5,23.5,,0.7346066281009732,1.817184816881355,,2,True,,2026-07-13 03:22:00-04:00,2026-07-13 03:31:00-04:00,7.5,2026-07-13 03:33:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000410,1,bullish,561,2026-07-13 03:21:00-04:00,29653.75,29658.0,29651.75,29658.0,2.0,0.0,4.25,False,6.25,0.47058823529411764,0.32,8.0,12.472656227131193,29651.75,29653.75,18.25,24.0,,1.463200754327023,1.9242092111697835,,2,True,,2026-07-13 03:23:00-04:00,2026-07-13 03:30:00-04:00,2.75,2026-07-13 03:30:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000411,1,bullish,562,2026-07-13 03:22:00-04:00,29658.25,29672.0,29655.5,29672.0,2.75,0.0,13.75,False,16.5,0.2,0.16666666666666666,11.0,12.760323639478965,29655.5,29658.25,19.5,,,1.5281744061466636,,,1,True,,2026-07-13 03:23:00-04:00,2026-07-13 03:30:00-04:00,6.5,2026-07-13 03:30:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000412,1,bullish,563,2026-07-13 03:23:00-04:00,29670.5,29677.75,29667.75,29676.75,2.75,1.0,6.25,False,10.0,0.44,0.275,2.75,12.563157665230467,29667.75,29670.5,19.75,,,1.5720570040014452,,,1,True,,2026-07-13 03:24:00-04:00,2026-07-13 03:29:00-04:00,18.75,2026-07-13 03:30:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000416,1,bearish,568,2026-07-13 03:28:00-04:00,29676.5,29684.75,29676.0,29679.75,5.0,0.5,3.25,False,8.75,1.5384615384615385,0.5714285714285714,10.0,12.057538337813886,29679.75,29684.75,10.25,30.75,,0.850090599990445,2.550271799971335,,2,True,,2026-07-13 03:30:00-04:00,2026-07-13 04:06:00-04:00,2.0,2026-07-13 04:07:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000422,1,bullish,577,2026-07-13 03:37:00-04:00,29648.75,29662.5,29643.0,29658.25,5.75,4.25,9.5,False,19.5,0.6052631578947368,0.2948717948717949,1.3529411764705883,12.690858833182384,29643.0,29648.75,12.75,15.0,21.25,1.004660139049296,1.1819531047638776,1.67443356508216,3,True,,2026-07-13 03:40:00-04:00,2026-07-13 03:42:00-04:00,6.0,2026-07-13 03:50:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000425,1,bearish,580,2026-07-13 03:40:00-04:00,29661.25,29670.0,29660.75,29666.75,3.25,0.5,5.5,False,9.25,0.5909090909090909,0.35135135135135137,6.5,11.871744481232398,29666.75,29670.0,9.75,18.5,,0.821277784020151,1.5583219491664402,,2,True,,2026-07-13 03:42:00-04:00,2026-07-13 04:00:00-04:00,1.25,2026-07-13 04:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000428,1,bearish,587,2026-07-13 03:47:00-04:00,29657.0,29663.0,29657.0,29657.75,5.25,0.0,0.75,False,6.0,7.0,0.875,21.0,10.93360622373645,29657.75,29663.0,12.5,14.0,20.75,1.1432641476389525,1.2804558453556267,1.8978184850806612,3,True,,2026-07-13 03:50:00-04:00,2026-07-13 03:55:00-04:00,8.25,2026-07-13 04:00:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000434,1,bullish,600,2026-07-13 04:00:00-04:00,29654.25,29671.25,29647.5,29668.5,6.75,2.75,14.25,False,23.75,0.47368421052631576,0.28421052631578947,2.4545454545454546,11.345478360369956,29647.5,29654.25,23.0,,,2.0272393344241513,,,1,True,,2026-07-13 04:01:00-04:00,2026-07-13 04:05:00-04:00,15.75,2026-07-13 09:34:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000438,1,bearish,604,2026-07-13 04:04:00-04:00,29676.0,29678.5,29670.0,29670.0,2.5,0.0,6.0,False,8.5,0.4166666666666667,0.29411764705882354,10.0,11.367020445921655,29676.0,29678.5,28.5,,,2.507253341857535,,,1,True,,2026-07-13 04:05:00-04:00,2026-07-13 04:06:00-04:00,2.5,2026-07-13 04:06:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000441,1,bullish,610,2026-07-13 04:10:00-04:00,29681.0,29683.0,29675.0,29677.5,2.5,2.0,3.5,False,8.0,0.7142857142857143,0.3125,1.25,13.221817299440318,29675.0,29677.5,14.5,21.5,,1.0966722404047882,1.6261002185312377,,2,True,,2026-07-13 04:12:00-04:00,2026-07-13 08:30:00-04:00,3.75,2026-07-13 08:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000456,1,bearish,633,2026-07-13 04:33:00-04:00,29733.0,29735.0,29723.5,29725.0,2.0,1.5,8.0,False,11.5,0.25,0.17391304347826086,1.3333333333333333,11.358034031392563,29733.0,29735.0,17.5,,,1.5407596025537171,,,1,True,,2026-07-13 04:34:00-04:00,2026-07-13 04:43:00-04:00,1.25,2026-07-13 04:48:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000458,1,bearish,635,2026-07-13 04:35:00-04:00,29716.0,29721.0,29715.75,29718.25,2.75,0.25,2.25,False,5.25,1.2222222222222223,0.5238095238095238,11.0,10.798508935231341,29718.25,29721.0,9.25,14.75,18.25,0.856599744972275,1.365929323063898,1.6900481454858398,3,True,,2026-07-13 04:38:00-04:00,2026-07-13 04:39:00-04:00,4.0,2026-07-13 04:40:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000459,1,bullish,637,2026-07-13 04:37:00-04:00,29709.75,29712.25,29703.5,29706.25,2.75,2.5,3.5,False,8.75,0.7857142857142857,0.3142857142857143,1.1,10.549479643133145,29703.5,29706.25,2.25,12.75,18.75,0.21328066180634486,1.208590416902621,1.7773388483862071,3,True,,2026-07-13 04:40:00-04:00,2026-07-13 08:12:00-04:00,9.75,2026-07-13 08:12:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000460,1,bullish,638,2026-07-13 04:38:00-04:00,29705.25,29708.5,29700.0,29703.75,3.75,3.25,1.5,False,8.5,2.5,0.4411764705882353,1.1538461538461537,10.403088240052204,29700.0,29703.75,15.25,21.25,,1.4659108572478545,2.042662669935535,,2,True,,2026-07-13 04:40:00-04:00,2026-07-13 08:12:00-04:00,6.25,2026-07-13 08:12:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000461,1,bullish,640,2026-07-13 04:40:00-04:00,29716.75,29725.0,29712.75,29721.25,4.0,3.75,4.5,False,12.25,0.8888888888888888,0.32653061224489793,1.0666666666666667,10.85648934984093,29712.75,29716.75,6.75,6.75,17.25,0.6217479502339218,0.6217479502339218,1.5889114283755779,3,True,,2026-07-13 04:43:00-04:00,2026-07-13 08:03:00-04:00,2.0,2026-07-13 08:07:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000466,1,bullish,648,2026-07-13 04:48:00-04:00,29725.0,29736.25,29721.75,29734.75,3.25,1.5,9.75,False,14.5,0.3333333333333333,0.22413793103448276,2.1666666666666665,9.729857614640398,29721.75,29725.0,14.75,,,1.5159522969591923,,,1,True,,2026-07-13 04:49:00-04:00,2026-07-13 05:03:00-04:00,1.5,2026-07-13 05:03:00-04:00,DEACTIVATED_CLOSE_THROUGH
