family,id,timeframe,event,ts_et,deactivation_reason
RB,RB2-004035,1,SOURCE,2026-07-14 20:07:00-04:00,
RB,RB2-004036,1,SOURCE,2026-07-14 20:08:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004036,1,ACTIVATED,2026-07-14 20:10:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004036,1,FIRST_TAP,2026-07-14 20:43:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004036,1,DEACTIVATED,2026-07-14 20:43:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004037,1,SOURCE,2026-07-14 20:08:00-04:00,
RB,RB2-004038,1,SOURCE,2026-07-14 20:09:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004038,1,ACTIVATED,2026-07-14 20:10:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004038,1,FIRST_TAP,2026-07-14 20:42:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004038,1,DEACTIVATED,2026-07-14 20:43:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004039,1,SOURCE,2026-07-14 20:09:00-04:00,
RB,RB2-004040,1,SOURCE,2026-07-14 20:10:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004040,1,ACTIVATED,2026-07-14 20:11:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004040,1,FIRST_TAP,2026-07-14 20:42:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004040,1,DEACTIVATED,2026-07-14 20:42:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB,RB2-004041,1,SOURCE,2026-07-14 20:10:00-04:00,
RB,RB2-004042,1,SOURCE,2026-07-14 20:11:00-04:00,
RB,RB2-004043,1,SOURCE,2026-07-14 20:12:00-04:00,
RB,RB2-004044,1,SOURCE,2026-07-14 20:12:00-04:00,
