branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-368139,GEP-081792,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368140,GEP-081966,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368141,GEP-081966,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368142,GEP-081966,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368143,GEP-081990,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368144,GEP-081990,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368145,GEP-081990,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368146,GEP-081967,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368147,GEP-081967,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368148,GEP-081967,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368149,GEP-081991,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368150,GEP-081991,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368151,GEP-081991,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368152,GEP-081765,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368153,GEP-081765,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368154,GEP-081765,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368155,GEP-081995,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368156,GEP-081995,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368157,GEP-081995,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368158,GEP-081995,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368159,GEP-081995,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368160,GEP-081996,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-368161,GEP-081996,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-368162,GEP-081996,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-368163,GEP-081996,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-368164,GEP-081996,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-368165,GEP-081997,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-368166,GEP-081997,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-368167,GEP-081997,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-368168,GEP-081998,H_rb_reaction_continuation,INVALIDATED,opposing_move,2
GBR-368169,GEP-081998,H_rb_fvg_fill_continuation,INVALIDATED,opposing_move,2
GBR-368170,GEP-081998,H_rb_unresolved_fade,INVALIDATED,origin_invalidated,2
GBR-368171,GEP-081999,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-368172,GEP-081999,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-368173,GEP-081999,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-368174,GEP-081999,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-368175,GEP-081999,H_fvg_first_fill,EMITTED,fvg_fill,2
