session,day,event_type,event_subtype
2026-07-13,2026-07-13,hist_level,PREV_3SESSION_LOW_EXACT_TOUCH x1
2026-07-13,2026-07-13,hist_level,PREV_3SESSION_LOW_FIRST_TOUCH x1
2026-07-13,2026-07-13,hist_level,PREV_DAY_LOW_EXACT_TOUCH x1
2026-07-13,2026-07-13,hist_level,PREV_DAY_LOW_FIRST_TOUCH x1
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_ACCEPTANCE_ABOVE x6
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_ACCEPTANCE_BELOW x7
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_CONTINUATION x12
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_RECLAIM x16
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_REJECTION x19
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_REVISIT x35
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_SWEEP_ABOVE x14
2026-07-13,2026-07-13,hist_level,PREV_RTH_CLOSE_SWEEP_BELOW x5
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_ACCEPTANCE_ABOVE x5
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_ACCEPTANCE_BELOW x7
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_CONTINUATION x12
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_EXACT_TOUCH x1
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_RECLAIM x20
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_REJECTION x21
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_REVISIT x42
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_SWEEP_ABOVE x10
2026-07-13,2026-07-13,hist_level,PREV_RTH_LOW_SWEEP_BELOW x11
2026-07-13,2026-07-13,ifvg,BEARISH_IFVG_ACTIVATION x42
2026-07-13,2026-07-13,ifvg,BEARISH_IFVG_EXPIRY x7
2026-07-13,2026-07-13,ifvg,BEARISH_IFVG_FIRST_TOUCH x42
2026-07-13,2026-07-13,ifvg,BEARISH_IFVG_REINVERSION x43
2026-07-13,2026-07-13,ifvg,BEARISH_IFVG_REJECTION x92
2026-07-13,2026-07-13,ifvg,BEARISH_IFVG_REVISIT x184
2026-07-13,2026-07-13,ifvg,BULLISH_IFVG_ACTIVATION x47
2026-07-13,2026-07-13,ifvg,BULLISH_IFVG_FIRST_TOUCH x46
2026-07-13,2026-07-13,ifvg,BULLISH_IFVG_REINVERSION x42
2026-07-13,2026-07-13,ifvg,BULLISH_IFVG_REJECTION x79
2026-07-13,2026-07-13,ifvg,BULLISH_IFVG_REVISIT x159
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_ACCEPTANCE_ABOVE x116
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_ACCEPTANCE_BELOW x145
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_BREAK x20
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_CONFIRMED x20
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_CONTINUATION x226
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_EXACT_TOUCH x11
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_EXPIRY x29
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_FIRST_TOUCH x22
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_RECLAIM x321
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_REJECTION x303
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_REVISIT x623
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_SWEEP_ABOVE x169
2026-07-13,2026-07-13,liquidity,EQUAL_HIGHS_SWEEP_BELOW x134
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_ACCEPTANCE_ABOVE x173
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_ACCEPTANCE_BELOW x173
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_BREAK x21
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_CONFIRMED x21
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_CONTINUATION x294
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_EXACT_TOUCH x12
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_EXPIRY x30
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_FIRST_TOUCH x22
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_RECLAIM x434
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_REJECTION x453
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_REVISIT x893
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_SWEEP_ABOVE x228
2026-07-13,2026-07-13,liquidity,EQUAL_LOWS_SWEEP_BELOW x225
2026-07-13,2026-07-13,liquidity,SWING_HIGH_ACCEPTANCE_ABOVE x261
2026-07-13,2026-07-13,liquidity,SWING_HIGH_ACCEPTANCE_BELOW x323
2026-07-13,2026-07-13,liquidity,SWING_HIGH_BREAK x47
2026-07-13,2026-07-13,liquidity,SWING_HIGH_CONFIRMED x46
2026-07-13,2026-07-13,liquidity,SWING_HIGH_CONTINUATION x513
2026-07-13,2026-07-13,liquidity,SWING_HIGH_EXACT_TOUCH x60
2026-07-13,2026-07-13,liquidity,SWING_HIGH_EXPIRY x52
2026-07-13,2026-07-13,liquidity,SWING_HIGH_FIRST_TOUCH x47
2026-07-13,2026-07-13,liquidity,SWING_HIGH_RECLAIM x728
2026-07-13,2026-07-13,liquidity,SWING_HIGH_REJECTION x688
2026-07-13,2026-07-13,liquidity,SWING_HIGH_REVISIT x1435
2026-07-13,2026-07-13,liquidity,SWING_HIGH_SWEEP_ABOVE x386
2026-07-13,2026-07-13,liquidity,SWING_HIGH_SWEEP_BELOW x302
2026-07-13,2026-07-13,liquidity,SWING_LOW_ACCEPTANCE_ABOVE x367
2026-07-13,2026-07-13,liquidity,SWING_LOW_ACCEPTANCE_BELOW x376
2026-07-13,2026-07-13,liquidity,SWING_LOW_BREAK x43
2026-07-13,2026-07-13,liquidity,SWING_LOW_CONFIRMED x43
2026-07-13,2026-07-13,liquidity,SWING_LOW_CONTINUATION x626
2026-07-13,2026-07-13,liquidity,SWING_LOW_EXACT_TOUCH x65
2026-07-13,2026-07-13,liquidity,SWING_LOW_EXPIRY x49
2026-07-13,2026-07-13,liquidity,SWING_LOW_FIRST_TOUCH x42
2026-07-13,2026-07-13,liquidity,SWING_LOW_RECLAIM x972
2026-07-13,2026-07-13,liquidity,SWING_LOW_REJECTION x926
2026-07-13,2026-07-13,liquidity,SWING_LOW_REVISIT x1942
2026-07-13,2026-07-13,liquidity,SWING_LOW_SWEEP_ABOVE x467
2026-07-13,2026-07-13,liquidity,SWING_LOW_SWEEP_BELOW x459
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_CONFIRMED x12
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_EXACT_TOUCH x1
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_EXPIRY x5
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_FAILURE x7
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_FORMED x19
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_INVALIDATION x12
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_REJECTION x29
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_REVISIT x39
2026-07-13,2026-07-13,rejection_block,BEARISH_RB_TAP x12
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_CONFIRMED x17
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_FAILURE x9
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_FORMED x26
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_INVALIDATION x18
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_REJECTION x39
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_REVISIT x113
2026-07-13,2026-07-13,rejection_block,BULLISH_RB_TAP x17
2026-07-13,2026-07-13,structure,BEARISH_EXPANSION x15
2026-07-13,2026-07-13,structure,BULLISH_EXPANSION x14
2026-07-13,2026-07-13,structure,COMPRESSION x3
2026-07-13,2026-07-13,structure,STRUCT_BREAK x2
2026-07-13,2026-07-13,structure,STRUCT_CONTINUATION x1
2026-07-13,2026-07-13,structure,STRUCT_FAILED_CONTINUATION x1
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_ACCEPTANCE_ABOVE x6
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_ACCEPTANCE_BELOW x6
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_BREAK x1
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_CONTINUATION x8
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_EXPIRY x1
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_FIRST_TOUCH x1
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_FORMED x1
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_RECLAIM x14
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_REJECTION x15
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_REVISIT x28
2026-07-13,2026-07-13,time_anchor,ANCHOR_ASIA_OPEN_SWEEP x15
2026-07-13,2026-07-13,vwap,VWAP_BAND_REJECT_M1_618 x20
2026-07-13,2026-07-13,vwap,VWAP_BAND_REJECT_M2_618 x5
2026-07-13,2026-07-13,vwap,VWAP_BAND_REJECT_M3_618 x1
2026-07-13,2026-07-13,vwap,VWAP_BAND_REJECT_P1_618 x16
2026-07-13,2026-07-13,vwap,VWAP_BAND_REJECT_P2_618 x3
2026-07-13,2026-07-13,vwap,VWAP_BAND_REJECT_P3_618 x1
2026-07-13,2026-07-13,vwap,VWAP_VWAP x19
2026-07-13,2026-07-13,vwap,VWAP_VWAP_ABOVE x8
2026-07-13,2026-07-13,vwap,VWAP_VWAP_BELOW x7
2026-07-13,2026-07-13,vwap,VWAP_VWAP_BOUNCE_DOWN x20
2026-07-13,2026-07-13,vwap,VWAP_VWAP_BOUNCE_UP x21
2026-07-13,2026-07-13,vwap,VWAP_VWAP_DOWN x13
2026-07-13,2026-07-13,vwap,VWAP_VWAP_UP x13
2026-07-13,2026-07-14,displacement,BAD_BEARISH_DISPLACEMENT x10
2026-07-13,2026-07-14,displacement,BAD_BULLISH_DISPLACEMENT x10
2026-07-13,2026-07-14,displacement,DISPLACEMENT_CONTINUATION x205
2026-07-13,2026-07-14,displacement,DISPLACEMENT_FAILED_CONTINUATION x43
2026-07-13,2026-07-14,displacement,GOOD_BEARISH_DISPLACEMENT x36
2026-07-13,2026-07-14,displacement,GOOD_BULLISH_DISPLACEMENT x43
2026-07-13,2026-07-14,displacement,MIXED_BEARISH_DISPLACEMENT x148
2026-07-13,2026-07-14,displacement,MIXED_BULLISH_DISPLACEMENT x161
2026-07-13,2026-07-14,fvg,BEARISH_FVG_EXACT_TOUCH x7
2026-07-13,2026-07-14,fvg,BEARISH_FVG_FAILURE x109
2026-07-13,2026-07-14,fvg,BEARISH_FVG_FIRST_FILL x108
2026-07-13,2026-07-14,fvg,BEARISH_FVG_FIRST_TOUCH x108
2026-07-13,2026-07-14,fvg,BEARISH_FVG_FORMED x106
2026-07-13,2026-07-14,fvg,BEARISH_FVG_FULL_FILL x105
2026-07-13,2026-07-14,fvg,BEARISH_FVG_MIDPOINT x106
2026-07-13,2026-07-14,fvg,BEARISH_FVG_REVISIT x313
2026-07-13,2026-07-14,fvg,BULLISH_FVG_CONTINUATION x10
2026-07-13,2026-07-14,fvg,BULLISH_FVG_EXACT_TOUCH x15
2026-07-13,2026-07-14,fvg,BULLISH_FVG_EXPIRY x18
2026-07-13,2026-07-14,fvg,BULLISH_FVG_FAILURE x114
2026-07-13,2026-07-14,fvg,BULLISH_FVG_FIRST_FILL x126
2026-07-13,2026-07-14,fvg,BULLISH_FVG_FIRST_TOUCH x127
2026-07-13,2026-07-14,fvg,BULLISH_FVG_FORMED x134
2026-07-13,2026-07-14,fvg,BULLISH_FVG_FULL_FILL x122
2026-07-13,2026-07-14,fvg,BULLISH_FVG_MIDPOINT x124
2026-07-13,2026-07-14,fvg,BULLISH_FVG_REVISIT x457
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_ACCEPTANCE_ABOVE x14
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_ACCEPTANCE_BELOW x11
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_CONTINUATION x23
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_EXACT_TOUCH x2
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_RECLAIM x34
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_REJECTION x44
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_REVISIT x81
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_SWEEP_ABOVE x31
2026-07-13,2026-07-14,hist_level,HL_0900_HIGH_SWEEP_BELOW x13
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_ACCEPTANCE_ABOVE x13
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_ACCEPTANCE_BELOW x12
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_CONTINUATION x17
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_EXACT_TOUCH x2
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_RECLAIM x29
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_REJECTION x36
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_REVISIT x66
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_SWEEP_ABOVE x20
2026-07-13,2026-07-14,hist_level,HL_0900_LOW_SWEEP_BELOW x16
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_ACCEPTANCE_ABOVE x10
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_ACCEPTANCE_BELOW x11
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_CONTINUATION x18
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_EXACT_TOUCH x2
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_RECLAIM x24
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_REJECTION x42
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_REVISIT x67
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_SWEEP_ABOVE x18
2026-07-13,2026-07-14,hist_level,HL_0930_HIGH_SWEEP_BELOW x24
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_ACCEPTANCE_ABOVE x12
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_ACCEPTANCE_BELOW x10
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_CONTINUATION x19
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_EXACT_TOUCH x2
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_RECLAIM x28
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_REJECTION x26
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_REVISIT x57
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_SWEEP_ABOVE x10
2026-07-13,2026-07-14,hist_level,HL_0930_LOW_SWEEP_BELOW x16
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_ACCEPTANCE_ABOVE x12
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_ACCEPTANCE_BELOW x11
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_CONTINUATION x22
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_RECLAIM x29
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_REJECTION x29
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_REVISIT x57
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_SWEEP_ABOVE x12
2026-07-13,2026-07-14,hist_level,HL_1000_HIGH_SWEEP_BELOW x17
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_ACCEPTANCE_ABOVE x20
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_ACCEPTANCE_BELOW x13
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_CONTINUATION x30
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_EXACT_TOUCH x3
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_RECLAIM x46
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_REJECTION x35
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_REVISIT x85
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_SWEEP_ABOVE x14
2026-07-13,2026-07-14,hist_level,HL_1000_LOW_SWEEP_BELOW x21
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_HIGH_ACCEPTANCE_BELOW x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_HIGH_CONTINUATION x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_LOW_ACCEPTANCE_ABOVE x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_LOW_CONTINUATION x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_3SESSION_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_ACCEPTANCE_ABOVE x9
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_ACCEPTANCE_BELOW x13
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_CONTINUATION x18
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_EXACT_TOUCH x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_RECLAIM x26
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_REJECTION x29
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_REVISIT x56
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_SWEEP_ABOVE x19
2026-07-13,2026-07-14,hist_level,PREV_DAY_HIGH_SWEEP_BELOW x10
2026-07-13,2026-07-14,hist_level,PREV_DAY_LOW_ACCEPTANCE_ABOVE x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_LOW_CONTINUATION x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_DAY_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_HIGH_ACCEPTANCE_BELOW x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_HIGH_CONTINUATION x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_LOW_ACCEPTANCE_ABOVE x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_LOW_CONTINUATION x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_MONTH20_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_ACCEPTANCE_ABOVE x4
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_ACCEPTANCE_BELOW x3
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_CONTINUATION x7
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_EXACT_TOUCH x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_RECLAIM x6
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_REJECTION x5
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_REVISIT x12
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_SWEEP_ABOVE x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_CLOSE_SWEEP_BELOW x4
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_ACCEPTANCE_ABOVE x8
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_ACCEPTANCE_BELOW x6
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_CONTINUATION x12
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_FIRST_TOUCH x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_RECLAIM x17
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_REJECTION x20
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_REVISIT x36
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_SWEEP_ABOVE x7
2026-07-13,2026-07-14,hist_level,PREV_RTH_HIGH_SWEEP_BELOW x13
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_ACCEPTANCE_ABOVE x2
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_ACCEPTANCE_BELOW x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_CONTINUATION x3
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_EXACT_TOUCH x2
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_RECLAIM x2
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_REJECTION x3
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_REVISIT x7
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_SWEEP_ABOVE x2
2026-07-13,2026-07-14,hist_level,PREV_RTH_LOW_SWEEP_BELOW x1
2026-07-13,2026-07-14,hist_level,PREV_TWOWEEK10_HIGH_ACCEPTANCE_BELOW x1
2026-07-13,2026-07-14,hist_level,PREV_TWOWEEK10_HIGH_BREAK x1
2026-07-13,2026-07-14,hist_level,PREV_TWOWEEK10_HIGH_CONTINUATION x1
2026-07-13,2026-07-14,hist_level,PREV_TWOWEEK10_HIGH_EXPIRY x1
2026-07-13,2026-07-14,hist_level,PREV_TWOWEEK10_HIGH_FORMED x1
2026-07-13,2026-07-14,hist_level,PREV_TWOWEEK10_LOW_ACCEPTANCE_ABOVE x1
