config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
D059,D,AMD tf1m L18 w1.5 exc0.25 mw6 opposite rbw12,TOO_FEW,1,,,,,,,,,,,,
D059_V,D,AMD tf1m L18 w1.5 exc0.25 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D060,D,AMD tf1m L18 w1.5 exc0.25 mw12 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D060_V,D,AMD tf1m L18 w1.5 exc0.25 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D061,D,AMD tf1m L18 w1.5 exc0.25 mw12 midpoint rbw12,TOO_FEW,1,,,,,,,,,,,,
D061_V,D,AMD tf1m L18 w1.5 exc0.25 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D062,D,AMD tf1m L18 w1.5 exc0.25 mw12 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D062_V,D,AMD tf1m L18 w1.5 exc0.25 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D063,D,AMD tf1m L18 w1.5 exc0.25 mw12 opposite rbw12,TOO_FEW,1,,,,,,,,,,,,
D063_V,D,AMD tf1m L18 w1.5 exc0.25 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D064,D,AMD tf1m L24 w1.0 exc0.0 mw6 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D064_V,D,AMD tf1m L24 w1.0 exc0.0 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D065,D,AMD tf1m L24 w1.0 exc0.0 mw6 midpoint rbw12,TOO_FEW,3,,,,,,,,,,,,
D065_V,D,AMD tf1m L24 w1.0 exc0.0 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D066,D,AMD tf1m L24 w1.0 exc0.0 mw6 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
