config_id,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
V06,AMD tf1m w4.50 gate=False wait30m,EVALUATED,3346,8.037748798901854,1.3555542057046182,1.2515937385457134,1.1565065613240444,587.6804,435.2515302453903,282.82266049078066,-31.65739811942558,-37.602654447686064,8,7,6
V06_K1,AMD tf1m w4.50 gate=False wait30m +K1 VWAP state,EVALUATED,979,2.3517501715854494,1.471870310110002,1.3371254403259236,1.2150533243549708,202.9266,152.5053674974361,102.08413499487222,-27.507123587263614,-33.9220471745272,7,6,6
V07,AMD tf1m w4.50 gate=False wait60m,EVALUATED,3583,8.607069320521619,1.3103683281100431,1.2068962874435623,1.1124131262252728,554.8251,387.4484328453043,220.07176569060854,-40.82349866845624,-52.91667856603101,8,8,6
V07_K1,AMD tf1m w4.50 gate=False wait60m +K1 VWAP state,EVALUATED,1116,2.6808510638297873,1.479036787312563,1.3472084958063864,1.227751908989628,239.5411,182.6113529612964,125.6816059225928,-26.250313349331595,-33.15492669866313,7,7,7
V08,AMD tf3m w2.00 gate=True wait30m,EVALUATED,1977,4.749142072752231,1.4318767520588926,1.3296371697353733,1.2353958934980291,407.8134,324.48118047744913,241.14896095489814,-19.406405938868005,-21.32436242373285,8,8,7
V08_K1,AMD tf3m w2.00 gate=True wait30m +K1 VWAP state,EVALUATED,418,1.004118050789293,1.4104134730231679,1.2858400250605833,1.172668874733425,77.58760000000001,56.759515858626074,35.93143171725216,-16.14818448677361,-20.34886897354726,8,7,7
V09,AMD tf3m w2.00 gate=True wait60m,EVALUATED,2638,6.336993822923816,1.3684000170660229,1.2690755144020485,1.1776616574895082,476.63550000000004,363.1937789681826,249.7520579363652,-25.131155391941036,-31.89903904311211,8,7,7
V09_K1,AMD tf3m w2.00 gate=True wait60m +K1 VWAP state,EVALUATED,649,1.559025394646534,1.5388576923076922,1.4060731361848335,1.285587471893309,154.1133,122.06440793950247,90.01551587900495,-12.96952712565551,-14.38095632719461,8,8,8
V10,AMD tf3m w2.00 gate=False wait30m,EVALUATED,2248,5.400137268359643,1.452474293680196,1.3469109707417122,1.2497809617542355,482.2595,385.80095839390225,289.34241678780444,-24.127918364121285,-27.13733672824307,8,8,7
V10_K1,AMD tf3m w2.00 gate=False wait30m +K1 VWAP state,EVALUATED,536,1.2875772134522994,1.535894821489058,1.3986443930091499,1.274142090254917,124.35300000000001,97.24028185199106,70.12756370398213,-10.163917965017063,-11.222235930034124,8,8,6
V11,AMD tf3m w2.00 gate=False wait60m,EVALUATED,3030,7.278654770075498,1.3546290720537943,1.2535884004016207,1.1608388972325832,530.664,396.4295040278994,262.19500805579884,-26.963238088379683,-39.33436618591624,8,8,7
V11_K1,AMD tf3m w2.00 gate=False wait60m +K1 VWAP state,EVALUATED,795,1.9097460535346602,1.5075678223377371,1.3745209656494815,1.2539832891290508,179.1955,139.0846179206101,98.97373584122016,-15.153915923691684,-17.485631847383374,8,8,8
V12,AMD tf3m w3.00 gate=True wait30m,EVALUATED,3024,7.264241592312972,1.360883259051591,1.2585726727100297,1.1647524876847553,534.9802,400.65835582286206,266.3365116457241,-26.00746362105795,-35.936920451448486,8,7,7
V12_K1,AMD tf3m w3.00 gate=True wait30m +K1 VWAP state,EVALUATED,750,1.8016472203157172,1.375620760233918,1.2490538131096613,1.1347167405499057,128.4623,89.73178019413578,51.001260388271575,-21.280896858445047,-26.28006598994419,7,7,7
V13,AMD tf3m w3.00 gate=True wait60m,EVALUATED,3401,8.169869595058339,1.3475877202740232,1.2449133994398323,1.150875370003159,585.8817999999999,431.7746740673749,277.66754813474995,-35.911513351886754,-42.54274937524423,8,7,6
V13_K1,AMD tf3m w3.00 gate=True wait60m +K1 VWAP state,EVALUATED,915,2.198009608785175,1.4147645083932852,1.2866458200291113,1.170894839134721,172.9568,125.91711995537327,78.87743991074653,-32.61751357098174,-38.74762714196347,7,7,6
V14,AMD tf3m w3.00 gate=False wait30m,EVALUATED,3233,7.766300617707619,1.3595615227785403,1.255104644065121,1.1595310181187561,571.7071000000001,424.47090870101727,277.23471740203445,-43.929623013332275,-50.263156898761565,8,7,6
V14_K1,AMD tf3m w3.00 gate=False wait30m +K1 VWAP state,EVALUATED,903,2.1691832532601234,1.469865070989088,1.3322831078233097,1.20819313271979,187.9683,140.15550939028796,92.34271878057591,-28.183953236991112,-34.3588064739822,7,7,7
V15,AMD tf3m w3.00 gate=False wait60m,EVALUATED,3586,8.614275909402883,1.296561836525215,1.194176308731555,1.1006837001739433,532.5102,365.2482817709176,197.98636354183517,-49.5283331358398,-70.78266627167903,8,7,6
V15_K1,AMD tf3m w3.00 gate=False wait60m +K1 VWAP state,EVALUATED,1068,2.565545641729581,1.4592067366680876,1.3252155809396815,1.2042212373672654,220.44099999999997,164.50378166149335,108.56656332298674,-24.406506946125145,-31.055513892250215,8,7,6
V16,AMD tf5m w1.50 gate=True wait30m,EVALUATED,1819,4.369595058339053,1.3942694423044364,1.295986250709049,1.2053117327905283,346.05920000000003,270.6952900954982,195.33138019099638,-21.187273937275506,-26.7448577916673,7,7,7
V16_K1,AMD tf5m w1.50 gate=True wait30m +K1 VWAP state,EVALUATED,373,0.8960192175703501,1.50150245398773,1.3702886678798603,1.2509912199808513,81.7449,63.371514061572654,44.99812812314532,-11.954442714830336,-12.933212553812389,8,7,7
V17,AMD tf5m w1.50 gate=True wait60m,EVALUATED,2469,5.931022649279341,1.348549288572348,1.2510065274208795,1.1612081569157617,421.98350000000005,316.9950036076749,212.00650721534979,-30.775307322007322,-35.57091464401455,8,7,7
V17_K1,AMD tf5m w1.50 gate=True wait60m +K1 VWAP state,EVALUATED,611,1.467741935483871,1.6237828793774318,1.4821664623562094,1.3537446242676907,160.3122,130.28263639195706,100.25307278391409,-19.536670998601984,-23.427141997203954,8,7,7
V18,AMD tf5m w1.50 gate=False wait30m,EVALUATED,2074,4.982155113246397,1.4291441181138447,1.325963596017248,1.2309776944270296,423.4462,335.51157161939796,247.57694323879585,-21.043905746596693,-24.855695554068053,7,7,7
V18_K1,AMD tf5m w1.50 gate=False wait30m +K1 VWAP state,EVALUATED,468,1.1242278654770075,1.6545341968911917,1.5066337961696512,1.372418902712937,126.32509999999999,102.76551201516503,79.20592403033004,-9.672982825153404,-10.655365650306795,8,8,7
V19,AMD tf5m w1.50 gate=False wait60m,EVALUATED,2846,6.836650652024709,1.351917497103591,1.251375934048525,1.1590877960815673,493.6295,368.3690949332622,243.10868986652446,-31.964411923813657,-40.32645262085868,8,7,7
