amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD5,gt1ATR_POC,K1_930,796,1.9121482498284146,1.3808407554259507,1.2602652156566712,145.05410380813555,104.04290761627104,-22.557138987821507,-26.77787797564299,7,7
AMD5,gt1ATR_POC,930_and_EMA,414,0.9945092656142759,1.372366879994779,1.2603415564919909,75.35596887347822,55.12483774695643,-18.397668089502087,-24.51003115751864,7,7
AMD6,none,none,3346,8.037748798901854,1.2515937385457134,1.1565065613240444,435.2515302453903,282.82266049078066,-31.65739811942558,-37.602654447686064,7,6
AMD6,none,K1_930,979,2.3517501715854494,1.3371254403259236,1.2150533243549708,152.5053674974361,102.08413499487222,-27.507123587263614,-33.9220471745272,6,6
AMD6,none,K3_LON_EMA,410,0.9849004804392588,1.4982027406307747,1.360113240754318,78.76260766765019,59.48601533530036,-11.177636500951973,-12.474653767397909,7,6
AMD6,none,930_and_EMA,462,1.1098146877144819,1.3627057733243388,1.2467617398902102,76.72369850941823,54.538197018836456,-21.604119626618512,-25.730639253236987,6,5
AMD6,in_value,none,1245,2.9907343857240907,1.2617853756327888,1.1615667145604087,164.42385157811566,106.12400315623128,-42.18858540623434,-47.227051349763585,7,6
AMD6,in_value,K1_930,512,1.2299245024021963,1.3791610322568195,1.2545412794220752,88.6199180957681,62.477836191536184,-24.383438129748516,-31.267976259497033,6,5
AMD6,below_POC,none,1840,4.420041180507893,1.2465214516161525,1.1523646821637772,231.63108523904992,149.5309704780998,-24.73101117720998,-28.883922354419525,8,5
AMD6,below_POC,K1_930,502,1.2059025394646534,1.28394371309898,1.1726138825086658,68.91593623696644,43.916372473932874,-22.209669718091984,-25.68553943618394,6,5
AMD6,above_POC,none,1532,3.680164722031572,1.254429079215175,1.1582470850661257,204.5731777882894,132.9327555765788,-20.329116786574986,-23.82373357314995,6,6
AMD6,above_POC,K1_930,484,1.1626630061770762,1.435967035830246,1.297903066553662,91.4048259230422,65.6198518460844,-11.631631313378435,-14.144662626756833,8,6
AMD6,gt1ATR_POC,none,2958,7.105696636925189,1.2294378337173588,1.1359566395306213,368.64017916349746,228.55265832699487,-38.19985838052065,-43.19741676104135,8,6
AMD6,gt1ATR_POC,K1_930,783,1.8809196980096088,1.3477928181300858,1.224460515678108,128.15885128921096,86.8626025784219,-18.689516855926307,-23.373333711852627,6,6
AMD7,none,none,3583,8.607069320521619,1.2068962874435623,1.1124131262252728,387.4484328453043,220.07176569060854,-40.82349866845624,-52.91667856603101,8,6
AMD7,none,K1_930,1116,2.6808510638297873,1.3472084958063864,1.227751908989628,182.6113529612964,125.6816059225928,-26.250313349331595,-33.15492669866313,7,7
AMD7,none,K3_LON_EMA,489,1.1746739876458476,1.4891380012688096,1.3567552344273464,94.80366677773657,72.2913335554731,-12.684382390686263,-14.337596800159652,7,7
AMD7,none,930_and_EMA,528,1.268359643102265,1.3909312787948467,1.2775437028001364,97.05137124246905,72.01324248493809,-22.621232253911764,-24.646049917013396,6,5
AMD7,in_value,none,1329,3.192518874399451,1.2603395763065564,1.1575214836047885,173.1635611098653,109.63562221973062,-38.96086720919274,-43.384834418385466,7,7
AMD7,in_value,K1_930,555,1.3332189430336308,1.4087790695657614,1.2831882819738114,102.37052126238429,74.43884252476859,-23.34550030893184,-29.73741572326309,6,5
AMD7,below_POC,none,1986,4.77076183939602,1.1909498096171445,1.0980251476508804,197.73054947772013,106.10729895544026,-26.129042070863846,-48.498963043415536,7,6
AMD7,below_POC,K1_930,587,1.410089224433768,1.280576223463068,1.1727075259362112,81.0214014374303,52.2502028748606,-28.448126097319648,-36.79595219463928,6,5
