amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
AMD16,above_POC,none,831,1.9962251201098147,1.230842140276142,1.1423017730223177,101.29060380832414,65.01200761664832,-35.200003680243796,-40.001307360487544,5,5
AMD16,gt1ATR_POC,none,1599,3.841111873713109,1.2417148782939957,1.1539415037373684,207.89065405014986,138.04000810029973,-20.94546756207265,-25.01163512414533,7,6
AMD17,none,none,2469,5.931022649279341,1.2510065274208795,1.1612081569157617,316.9950036076749,212.00650721534979,-30.775307322007322,-35.57091464401455,7,7
AMD17,none,K1_930,611,1.467741935483871,1.4821664623562094,1.3537446242676907,130.28263639195706,100.25307278391409,-19.536670998601984,-23.427141997203954,7,7
AMD17,in_value,none,923,2.217227179135209,1.2295571873000972,1.1366471395084687,107.53755321611621,66.7635064322324,-31.80260292801391,-36.60510585602783,5,5
AMD17,below_POC,none,1371,3.293411118737131,1.2877360768160189,1.1963678763001915,196.69785506340077,139.75021012680156,-21.663060296801156,-27.311529944326182,6,5
AMD17,above_POC,none,1118,2.685655456417296,1.1881309959652544,1.1011777370471372,111.77040267635682,62.63640535271365,-28.98492145655041,-40.79844291310083,5,5
AMD17,gt1ATR_POC,none,2181,5.239190116678106,1.2055659545388142,1.1187878505129056,244.18958807135837,147.2052761427167,-28.972792759936766,-35.65437038965611,8,6
AMD17,gt1ATR_POC,K1_930,480,1.1530542210020591,1.4885882120790603,1.3585609107886722,107.04623368806163,82.53566737612324,-16.04886269544274,-18.116325390885486,8,7
AMD18,none,none,2074,4.982155113246397,1.325963596017248,1.2309776944270296,335.51157161939796,247.57694323879585,-21.043905746596693,-24.855695554068053,7,7
AMD18,none,K1_930,468,1.1242278654770075,1.5066337961696512,1.372418902712937,102.76551201516503,79.20592403033004,-9.672982825153404,-10.655365650306795,8,7
AMD18,in_value,none,760,1.82566918325326,1.3627645085338231,1.2604465598916361,131.36269273656447,98.32548547312894,-13.521850786782595,-15.112601573565183,7,7
AMD18,below_POC,none,1133,2.72168840082361,1.3261587187844264,1.2323513764311433,179.8950107159254,133.39522143185076,-19.35547298771712,-23.805233488873554,6,6
AMD18,above_POC,none,959,2.3037062457103636,1.3095509189295056,1.2140984931141796,151.80894988113272,109.42979976226538,-27.363858488485192,-35.28131697697039,5,5
AMD18,gt1ATR_POC,none,1823,4.37920384351407,1.2526903810469199,1.1622266425505026,245.83733525006028,164.71397050012052,-22.02124985333782,-27.665691017266113,7,6
AMD19,none,none,2846,6.836650652024709,1.251375934048525,1.1590877960815673,368.3690949332622,243.10868986652446,-31.964411923813657,-40.32645262085868,7,7
AMD19,none,K1_930,757,1.8184625943719972,1.4875411146636024,1.3560951422752856,163.1110426480396,125.03108529607917,-18.770575824384515,-23.223051648769008,8,7
AMD19,in_value,none,1075,2.582361015785861,1.2933816663157003,1.1932446662112939,155.67454816450427,107.04069632900857,-32.32149045154738,-36.02473061312702,6,6
AMD19,in_value,K1_930,400,0.9608785175017158,1.550194597709153,1.4139537958446802,93.13846193644113,73.50392387288225,-18.27259145108768,-22.37968290217534,8,7
AMD19,below_POC,none,1555,3.7354152367879205,1.2745202669386289,1.1802866450776883,214.70558581784172,147.05787163568334,-24.641821426860833,-35.6198428537216,6,5
AMD19,above_POC,none,1313,3.1540837336993826,1.218176379427153,1.12834538007952,152.08131431133378,93.30292862266757,-30.885721658208354,-37.23164331641655,5,4
AMD19,gt1ATR_POC,none,2527,6.07035003431709,1.2094391635069397,1.1198709724540388,288.1775759670169,172.29625193403373,-40.94866173671694,-51.723423473433805,8,4
AMD19,gt1ATR_POC,K1_930,608,1.460535346602608,1.4669658154955112,1.3354887686110228,129.94813483264878,98.15186966529753,-17.588677100882734,-20.35685420176546,8,5
AMD20,none,none,2863,6.877487989018531,1.2552137323361434,1.1628738916734385,374.8420885481123,249.44397709622453,-24.582695082778855,-31.527622671587224,7,7
AMD20,none,K1_930,678,1.6286890871654085,1.2550289274112474,1.1417553356025325,83.49449261757019,48.73328523514038,-18.033419810822693,-23.10587705933152,6,5
AMD20,in_value,none,1027,2.4670555936856555,1.232550255212478,1.1381664805333978,122.71914584861861,76.12009169723723,-30.065396976305752,-35.17849395261148,7,5
AMD20,below_POC,none,1551,3.7258064516129035,1.2440250563605144,1.1535122891243028,190.8058781038764,125.09375620775283,-37.210409954282156,-47.93781990856435,5,4
AMD20,above_POC,none,1331,3.1973232669869596,1.253628530611587,1.159957448874058,177.40683211375236,116.75846422750475,-26.50468551000091,-30.05045598447495,7,5
AMD20,gt1ATR_POC,none,2531,6.0799588194921075,1.2534859263617057,1.1615638129447095,346.4892701443283,230.67364028865666,-23.09742242651481,-26.339897875157455,7,7
AMD20,gt1ATR_POC,K1_930,529,1.2707618393960192,1.3255232806957638,1.2071818230610372,83.64892858610405,55.925657172208105,-16.0587542394875,-20.923308478975084,7,5
AMD21,none,none,3342,8.028140013726835,1.2421736331904476,1.1491065908119837,417.5259647826344,268.2180295652688,-29.97295332660991,-35.928937799220506,8,7
AMD21,none,K1_930,882,2.1187371310912835,1.2724460966228377,1.1591163829846405,116.73734375150522,71.59558750301045,-25.144254621196104,-31.536243000938434,6,6
AMD21,none,930_and_EMA,444,1.0665751544269046,1.2599457596013377,1.1539410497188416,55.873820692144015,34.61954138428803,-17.33309099536557,-19.722749325146868,7,6
AMD21,in_value,none,1209,2.904255319148936,1.250242522712811,1.1522496922237426,154.93397063040933,98.50324126081867,-38.488009892541484,-42.18623377238152,7,7
AMD21,in_value,K1_930,459,1.102608098833219,1.2443450966909084,1.1335567729681668,55.099286215691684,31.652372431383345,-27.887369804096252,-33.052439608192515,6,6
AMD21,below_POC,none,1830,4.39601921757035,1.2555398470125576,1.1627669827545977,236.035702137049,156.75200427409786,-32.06660180852022,-45.83428982796265,7,4
AMD21,below_POC,K1_930,438,1.0521619766643788,1.4889173832806084,1.3650883227718307,99.23316244424183,77.73832488848362,-17.743523183437382,-20.42164636687477,6,6
AMD21,above_POC,none,1538,3.6945778997940977,1.2054365840029846,1.113522625990062,168.52851521057403,97.25153042114802,-45.017996042571355,-62.548033099553265,5,5
AMD21,above_POC,K1_930,449,1.078586135895676,1.089147943580732,0.9845464904267491,20.196716388438745,-3.6795672231225076,-28.587863174097155,-34.77210356022684,6,4
AMD21,gt1ATR_POC,none,2973,7.141729581331504,1.2367232090277889,1.144281755086852,379.63944076897474,241.7946815379495,-38.32720130661812,-43.23340261323585,8,7
AMD21,gt1ATR_POC,K1_930,697,1.67433081674674,1.3373431371255755,1.2183514007429534,114.46868651808347,77.87467303616694,-14.142578873947812,-17.759445492821502,7,6
AMD22,none,none,3119,7.49245024021963,1.2411317368797257,1.1480528243674082,389.523387652133,249.585375304266,-36.88807693671504,-46.901726121492764,7,6
AMD22,none,K1_930,812,1.9505833905284833,1.3319872367423016,1.21049989254561,126.93708146554843,84.55006293109682,-25.533467972992952,-31.110135945985867,6,6
AMD22,in_value,none,1130,2.7144818119423473,1.251782855860538,1.1544946632323585,145.09370086004662,93.01200172009324,-35.40240473138141,-38.89972146153008,6,6
AMD22,in_value,K1_930,418,1.004118050789293,1.3185999170997902,1.199618080235883,63.48213247843383,41.82136495686766,-26.63105699708143,-31.515513994162866,7,5
AMD22,below_POC,none,1715,4.119766643788607,1.2237391151329233,1.1325563923798136,196.18348368239654,121.25416736479308,-45.23737707897786,-58.32985415795563,6,5
AMD22,below_POC,K1_930,425,1.020933424845573,1.3597372037686706,1.2403716361215782,72.3114865659162,50.72417313183239,-16.098235864722554,-19.164571729445115,7,5
AMD22,above_POC,none,1429,3.43273850377488,1.253477100818605,1.1585248763675389,190.94440761531143,124.68581523062286,-34.00706015387877,-38.271920307757554,7,6
AMD22,gt1ATR_POC,none,2774,6.6636925188744,1.204819557221301,1.1143509987208875,311.30499648611055,181.67609297222106,-46.33673301095587,-52.08036602191157,7,5
AMD22,gt1ATR_POC,K1_930,656,1.575840768702814,1.3614759439405844,1.2377107326460426,113.13407026686573,78.19644053373148,-16.229755680022894,-20.22821136004578,6,6
AMD23,none,none,3543,8.510981468771448,1.213470341306767,1.1202790095922746,395.51751556022776,232.76753112045546,-41.221385943214955,-60.91138374733069,8,6
AMD23,none,K1_930,997,2.394989704873027,1.3300004451345264,1.2101252863797165,156.36158962852141,104.55777925704288,-20.480176680587306,-26.5365406050788,6,6
AMD23,none,K3_LON_EMA,420,1.0089224433768016,1.513984936848041,1.3736988940971386,82.49375704878068,62.78021409756134,-10.794932281250766,-12.351564562501437,7,7
AMD23,none,930_and_EMA,452,1.085792724776939,1.3588812617814228,1.2459413293566315,76.37250206795511,54.738404135910244,-19.078867467143567,-20.465549360381942,6,6
AMD23,in_value,none,1280,3.074811256005491,1.250345161578941,1.1500886036607054,162.4920658017678,101.88893160353554,-36.26497466313053,-41.826022549146856,7,7
AMD23,in_value,K1_930,499,1.1986959505833905,1.3497067834397132,1.228021992299712,81.44191622475714,55.81353244951427,-24.201273378390418,-29.55694675678084,6,6
AMD23,below_POC,none,1952,4.689087165408374,1.2006532733925637,1.1088545640805898,202.21255726070638,114.54091452141277,-39.19795258867624,-57.07657826668463,6,5
AMD23,below_POC,K1_930,514,1.2347288949897048,1.3786447300129618,1.2603911427471222,92.35457960128336,66.61235920256672,-16.753154327967277,-23.557808655934522,6,4
AMD23,above_POC,none,1616,3.881949210706932,1.226920269625271,1.1320696716549532,194.86125847888644,118.51661695777288,-40.015285442611145,-53.35921312668515,6,5
AMD23,above_POC,K1_930,490,1.177076183939602,1.3004078892911741,1.1770819842621996,69.38019615068325,43.005992301366504,-22.314556872702433,-23.989613745404853,7,6
AMD23,gt1ATR_POC,none,3163,7.598146877144818,1.1753976072075547,1.0850131258358369,305.3203027239051,154.79710544781028,-52.61650787752197,-73.00771575504365,7,6
AMD23,gt1ATR_POC,K1_930,812,1.9505833905284833,1.3468137980417485,1.22495808614005,136.3516770227198,92.97755404543959,-19.428571235180755,-24.46999868969214,7,7
AMD25,none,none,592,1.4221002059025394,1.2294216057681535,1.1383353533066305,68.00761896312035,42.80683792624071,-28.95373317264454,-40.38166634528902,5,4
AMD25,gt1ATR_POC,none,500,1.201098146877145,1.2376095159569631,1.144898263118421,62.122287383980165,39.65567476796033,-28.916422029559772,-32.23604405911953,5,5
AMD27,none,none,602,1.4461221688400825,1.2267626078861595,1.1353416169578687,68.18052617867033,42.4863523573407,-30.54088401644931,-42.25066803289855,5,4
AMD27,gt1ATR_POC,none,507,1.2179135209334249,1.2103063602654478,1.1193594201033183,56.3112146554296,33.45662931085919,-29.453060948686623,-35.08521725611028,5,5
AMD28,none,none,1025,2.4622512010981468,1.3503879605600568,1.2509329275217125,175.05149255141816,130.73158510283628,-25.80278821031513,-31.538176420630254,7,6
AMD28,in_value,none,410,0.9849004804392588,1.3687792924706463,1.2675551400001694,73.6600283490734,55.72525669814679,-20.736449924123228,-24.85199984824647,5,5
AMD28,below_POC,none,596,1.4317089910775567,1.4262571048747907,1.3235555908975731,119.7388754931693,94.67585098633859,-22.1404739433029,-24.327447886605768,6,6
AMD28,above_POC,none,437,1.0497597803706247,1.2166478938284015,1.1242215265460735,48.97160342813326,29.326806856266515,-21.945749080207307,-24.890798160414615,5,5
AMD28,gt1ATR_POC,none,872,2.0947151681537406,1.293004066442531,1.196991427769188,134.47414549202574,94.53609098405141,-30.638888699506683,-36.62791337944345,6,6
AMD29,none,none,1704,4.09334248455731,1.2389708216847541,1.1469166104590762,207.7590752022557,133.26705040451142,-32.12512514976235,-39.177450299524644,6,6
AMD29,none,K1_930,420,1.0089224433768016,1.1377575729048761,1.0352277319352068,29.357200169813172,7.89860033962638,-26.894090530150812,-35.19885159693322,4,3
AMD29,in_value,none,683,1.64070006863418,1.3053305763273637,1.2041509464065543,102.89889635242294,71.81169270484587,-37.35900623771281,-44.87691247542561,5,5
AMD29,below_POC,none,946,2.272477693891558,1.2922656943935869,1.1987413833789131,137.4646616355928,97.42472327118558,-21.856612302529847,-27.711277788788884,5,4
AMD29,above_POC,none,779,1.8713109128345917,1.1339418600659128,1.04663792262533,55.85338677571229,20.323873551424555,-23.540739088052852,-28.89687905243867,4,4
AMD29,gt1ATR_POC,none,1453,3.490391214824983,1.201901772409605,1.1126974032415853,160.43399031093006,93.65308062186013,-34.41342729398309,-40.69095458796623,6,5
AMD30,none,none,1056,2.53671928620453,1.3445305984648401,1.2456621791148987,178.18406516686065,132.44973033372133,-26.846744254271172,-32.626088508542324,7,5
AMD30,in_value,none,420,1.0089224433768016,1.4241756185421257,1.3189743810865893,85.13731219517678,66.73592439035355,-18.180658724461093,-20.449069118320665,6,6
AMD30,below_POC,none,607,1.458133150308854,1.4241262371487493,1.3214438120076317,121.80230496600163,96.1643099320032,-22.1404739433029,-24.327447886605768,6,6
AMD30,above_POC,none,457,1.0978037062457104,1.2108294415758962,1.1193220209068964,50.040746570743465,29.556493141486918,-21.935104834620414,-24.315809669240842,5,5
AMD30,gt1ATR_POC,none,900,2.161976664378861,1.291982694344562,1.1962204602707955,138.54101879733054,97.3189375946611,-30.332361661186724,-36.81605930280352,6,5
AMD31,none,none,1811,4.350377487989019,1.264815461449034,1.1707680556247857,244.36066680370385,164.4202336074077,-31.365328665322203,-38.978057330644354,7,6
AMD31,none,K1_930,453,1.0881949210706932,1.206029760123127,1.0976327388996687,46.23521026692853,23.023820533857073,-16.01461232777318,-18.57529483546893,5,4
AMD31,in_value,none,698,1.6767330130404943,1.3854238347190468,1.2786025710229383,128.95933117413364,97.21096234826726,-26.581203221654413,-30.84310644330884,6,5
AMD31,below_POC,none,992,2.382978723404255,1.336210925650244,1.2389377557967725,163.40679523957658,121.03989047915323,-23.216702042889153,-26.514704085778355,6,5
AMD31,above_POC,none,842,2.022649279341112,1.1411898088449952,1.0540689691155265,64.48297120336694,25.80214240673387,-30.304714785733722,-32.97622957146751,6,4
AMD31,gt1ATR_POC,none,1563,3.7546328071379547,1.2321372588161636,1.1405273756966354,197.35246732876467,124.94203465752932,-34.25147211719059,-41.03434423438124,7,6
