config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2,best_year_share2
T0025,C,TPO dev bin1: above_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0026,B,TPO dev bin1: below_POC,EVALUATED,1905,4.576183939601922,1.2600227715899606,1.1689658062554784,1.0855384257299876,263.04200000000003,178.74356108099323,94.44512216198649,-38.61969490834059,-62.75228981668113,7,4,4,0.3176729272901197
T0027,C,TPO dev bin1: below_POC + 09:30VWAP<1sd,EVALUATED,404,0.970487302676733,1.3835825396825399,1.2644091794129302,1.1563168483245678,72.4971,52.53483014573485,32.5725602914697,-18.726867123268455,-25.130029576100284,7,7,5,0.3326878964898951
T0028,C,TPO dev bin1: below_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0029,B,TPO prior bin1: inside_value,EVALUATED,2426,5.8277282086479065,1.3860595435384147,1.2735007663568059,1.17097835241479,451.51370000000003,335.52802544401754,219.54235088803512,-33.6523532386433,-38.71034665156424,7,7,6,0.3092484471958564
T0030,C,TPO prior bin1: inside_value + 09:30VWAP<1sd,EVALUATED,1025,2.4622512010981468,1.4572887168141595,1.3242142934473256,1.2039058361061108,206.6945,154.319819911546,101.945139823092,-23.253150896767742,-33.76342883693444,8,8,6,0.31081000936071856
T0031,C,TPO prior bin1: inside_value + LONVWAP<1sd + EMA,EVALUATED,485,1.1650652024708306,1.807582634730539,1.6455693657914237,1.4974668912349778,134.86630000000002,112.87321323678714,90.88012647357425,-8.21933583872935,-8.840416570048646,8,7,7,0.3024678307912028
T0032,B,TPO prior bin1: above_VAH,EVALUATED,1920,4.6122168840082365,1.2665681050774418,1.1696267456126184,1.0810377444041728,271.8107,181.11644373460211,90.42218746920426,-50.68632835468941,-84.90744912671795,6,5,5,0.32218601310652045
T0033,C,TPO prior bin1: above_VAH + 09:30VWAP<1sd,EVALUATED,587,1.410089224433768,1.5845927612124742,1.4356885392677836,1.3012202925786394,146.17589999999998,114.79061822157283,83.40533644314569,-18.40564479626505,-20.82928959253023,6,6,5,0.3799641164532297
T0034,C,TPO prior bin1: above_VAH + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0035,B,TPO prior bin1: below_VAL,EVALUATED,2132,5.121482498284146,1.2959028151626946,1.201119904854488,1.114157023291812,318.96479999999997,226.54284330175423,134.1208866035084,-49.044906860166066,-59.36603641964186,7,7,6,0.5167643028795467
T0036,C,TPO prior bin1: below_VAL + 09:30VWAP<1sd,EVALUATED,582,1.3980782429649965,1.3889788888888888,1.2700671909447385,1.1618844241547066,105.0243,76.5339379699978,48.043575939995605,-16.079397464561104,-17.243570888737153,8,8,7,0.36227489854704675
T0037,C,TPO prior bin1: below_VAL + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0038,B,TPO prior bin1: within_0.25ATR_POC,TOO_FEW,,,,,,,,,,,,,,
T0039,C,TPO prior bin1: within_0.25ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0040,C,TPO prior bin1: within_0.25ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0041,B,TPO prior bin1: within_0.50ATR_POC,EVALUATED,515,1.2371310912834592,1.4989042089302027,1.3815833343009303,1.273420859523518,105.94630000000001,84.46288106272985,62.979462125459705,-15.386539755338024,-16.54877951067605,6,5,5,0.3044133232888683
T0042,C,TPO prior bin1: within_0.50ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0043,C,TPO prior bin1: within_0.50ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0044,B,TPO prior bin1: 0.5-1.0ATR_from_POC,EVALUATED,986,2.36856554564173,1.2030438725829917,1.1194022728077526,1.0416866434721381,93.02120000000001,56.787755899555314,20.554311799110632,-18.188599843232865,-26.556702338120047,6,6,4,0.3862007978494578
T0045,C,TPO prior bin1: 0.5-1.0ATR_from_POC + 09:30VWAP<1sd,EVALUATED,316,0.7590940288263556,1.2587598540145986,1.1456100403138947,1.042494519494856,35.4501,20.919185222590563,6.388270445181115,-16.540480641188594,-22.891461282377183,8,5,4,0.5510095838994172
T0046,C,TPO prior bin1: 0.5-1.0ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0047,B,TPO prior bin1: gt_1ATR_from_POC,EVALUATED,5501,13.214481811942347,1.288907607578506,1.1883489225269142,1.0967919009552116,838.5218,573.5352213854721,308.5486427709443,-38.45873839756973,-73.77695452607654,7,7,5,0.5254866284913229
T0048,C,TPO prior bin1: gt_1ATR_from_POC + 09:30VWAP<1sd,EVALUATED,1750,4.203843514070007,1.49311207115629,1.3580934853716091,1.2360033295602033,388.0792,296.74086041743885,205.40252083487778,-20.17633602849034,-22.861872056980843,8,8,8,0.2691051115204355
T0049,C,TPO prior bin1: gt_1ATR_from_POC + LONVWAP<1sd + EMA,EVALUATED,703,1.6887439945092657,1.8554339694656485,1.6918869178167457,1.5427364307517168,224.1237,190.02301372954378,155.92232745908757,-12.882206073818125,-14.487812147636163,8,8,8,0.223017563026134
T0050,B,TPO prior bin1: above_POC,EVALUATED,2957,7.1032944406314344,1.2763720171944875,1.1746545409842295,1.0818792540570452,419.2236,277.69795455917614,136.17230911835233,-65.24936991786825,-91.67421437326507,6,6,5,0.3211575164463062
T0051,C,TPO prior bin1: above_POC + 09:30VWAP<1sd,EVALUATED,1077,2.58716540837337,1.4777455136245272,1.3373385053560674,1.2107094143866237,223.1298,166.12437713453258,109.11895426906517,-21.000803833799097,-25.815607667598016,8,8,7,0.3539155208519022
T0052,C,TPO prior bin1: above_POC + LONVWAP<1sd + EMA,EVALUATED,465,1.1170212765957448,1.7113081871345028,1.5527625250579564,1.4085995485264096,121.6337,99.23749225908168,76.84128451816335,-11.083175960980398,-12.73665192196082,8,7,7,0.269753857399757
T0053,B,TPO prior bin1: below_POC,EVALUATED,3245,7.79512697323267,1.3593855691880599,1.255657592757468,1.1607947906683331,572.7935,426.5110706236371,280.22864124727414,-56.928913061364995,-75.22232612273044,7,7,5,0.3173903863157991
T0054,C,TPO prior bin1: below_POC + 09:30VWAP<1sd,EVALUATED,1089,2.6159917638984216,1.493383298969072,1.364565492534748,1.2474864602762041,239.2909,185.67828792660129,132.06567585320255,-16.750251890026597,-20.964403780053193,8,8,6,0.36262375628760524
T0055,C,TPO prior bin1: below_POC + LONVWAP<1sd + EMA,EVALUATED,468,1.1242278654770075,1.9268073170731708,1.7669504497791648,1.6199165233599817,151.9964,131.26455312927027,110.53270625854057,-9.830486548281167,-10.843073096562332,8,7,7,0.24021153289931457
T0056,B,TPO dev bin2: inside_value,EVALUATED,1081,2.596774193548387,1.2787594356261023,1.1766907036757308,1.0839325263498072,158.0566,105.21156925324763,52.366538506495246,-27.278226254978318,-30.303152509956647,7,7,6,0.3646224197271353
T0057,C,TPO dev bin2: inside_value + 09:30VWAP<1sd,EVALUATED,615,1.477350720658888,1.3527948979591837,1.236276561766845,1.1306233081511843,103.7217,73.03711738306617,42.35253476613235,-25.374132716649793,-34.91296543329959,8,6,4,0.6378634703447699
T0058,C,TPO dev bin2: inside_value + LONVWAP<1sd + EMA,EVALUATED,338,0.8119423472889499,1.5393828571428572,1.4056983469219602,1.2835970466197475,75.51360000000001,59.49184502288805,43.470090045776104,-15.109422648885767,-21.234722811967238,7,5,5,0.4754319259123825
T0059,B,TPO dev bin2: above_VAH,EVALUATED,1029,2.4718599862731643,1.2816201422157296,1.1945477818693186,1.1147895806202268,163.86419999999998,118.39051705319518,72.91683410639033,-40.38472056651288,-49.17874113302554,7,7,5,0.279483722839838
T0060,C,TPO dev bin2: above_VAH + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0061,C,TPO dev bin2: above_VAH + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0062,B,TPO dev bin2: below_VAL,EVALUATED,1607,3.8603294440631437,1.2757451909294608,1.1872208769927906,1.1059061260206173,237.58520000000001,168.46278256772683,99.34036513545368,-37.62478233381863,-49.41116466763722,7,5,4,0.3421199589169629
T0063,C,TPO dev bin2: below_VAL + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0064,C,TPO dev bin2: below_VAL + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0065,B,TPO dev bin2: within_0.25ATR_POC,TOO_FEW,,,,,,,,,,,,,,
T0066,C,TPO dev bin2: within_0.25ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0067,C,TPO dev bin2: within_0.25ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0068,B,TPO dev bin2: within_0.50ATR_POC,EVALUATED,324,0.7783115991763898,1.2124623879362655,1.1146129602660015,1.0246972887559007,32.3181,18.203167910910793,4.08823582182157,-29.33870585423484,-36.5561117084697,4,3,3,0.610905071572594
T0069,C,TPO dev bin2: within_0.50ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0070,C,TPO dev bin2: within_0.50ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0071,B,TPO dev bin2: 0.5-1.0ATR_from_POC,EVALUATED,828,1.9890185312285518,1.2424876023692364,1.1618431407224397,1.0866794496630339,91.1556,63.05800060967118,34.960401219342366,-23.45672209404728,-25.489944188094498,5,5,5,0.3146134208346724
T0072,C,TPO dev bin2: 0.5-1.0ATR_from_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0073,C,TPO dev bin2: 0.5-1.0ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0074,B,TPO dev bin2: gt_1ATR_from_POC,EVALUATED,2941,7.064859299931366,1.2947413426807293,1.2017865660325953,1.1170019937702897,489.1736,351.03543530696226,212.89727061392446,-38.73698883912503,-48.919684113344346,8,7,6,0.3540108042220878
T0075,C,TPO dev bin2: gt_1ATR_from_POC + 09:30VWAP<1sd,EVALUATED,365,0.8768016472203157,1.7329748427672957,1.5850255439744614,1.4512688948128476,116.543,97.95409446807557,79.36518893615111,-10.156764163808603,-12.249053718198084,8,8,8,0.24204742089997508
T0076,C,TPO dev bin2: gt_1ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0077,B,TPO dev bin2: above_POC,EVALUATED,1549,3.7210020590253947,1.30421727690318,1.2097703764511234,1.123448389902584,255.80489999999998,184.68915926695803,113.57341853391603,-36.548209980655656,-40.82891996131124,8,7,5,0.24591634002168034
T0078,C,TPO dev bin2: above_POC + 09:30VWAP<1sd,EVALUATED,403,0.9680851063829787,1.6036371428571425,1.4672106732805938,1.3432382271628458,105.63650000000001,85.86868450718224,66.10086901436446,-12.031005519950526,-13.262811039901123,7,7,6,0.2767910091407962
T0079,C,TPO dev bin2: above_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0080,B,TPO dev bin2: below_POC,EVALUATED,1897,4.556966369251888,1.256539733736898,1.1659145407433285,1.0828674609524203,258.74889999999994,174.97840283204178,91.20790566408357,-41.74254308731721,-64.82730556699114,7,4,4,0.3146568396743706
T0081,C,TPO dev bin2: below_POC + 09:30VWAP<1sd,EVALUATED,396,0.9512697323266988,1.3666881720430106,1.2495262347036282,1.1431703684870542,68.20400000000001,48.76967189678338,29.33534379356675,-22.510679176847788,-29.39015835369557,7,7,5,0.3405163599715813
T0082,C,TPO dev bin2: below_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0083,B,TPO prior bin2: inside_value,EVALUATED,2373,5.70041180507893,1.363497127264595,1.2527957765068065,1.1519583411416876,419.6735,306.1389571113358,192.60441422267164,-32.59438222415053,-38.145046748058874,7,7,6,0.35314107845739207
T0084,C,TPO prior bin2: inside_value + 09:30VWAP<1sd,EVALUATED,991,2.380576527110501,1.4099628959276016,1.280599265109264,1.163642807814799,181.2036,130.60338389517332,80.00316779034667,-21.594005184399975,-31.940537412198893,8,7,5,0.3780293175890867
T0085,C,TPO prior bin2: inside_value + LONVWAP<1sd + EMA,EVALUATED,466,1.119423472889499,1.6612423529411766,1.5118749179796307,1.3753399335265237,112.41120000000001,91.1080309292953,69.8048618585906,-8.219335838729315,-8.438671677458629,7,7,6,0.28712705205603534
T0086,B,TPO prior bin2: above_VAH,EVALUATED,1948,4.679478380233356,1.263713349319153,1.166736655318023,1.0781575247563981,272.8555,180.69447171823293,88.53344343646577,-55.503541147030205,-89.71048229405908,5,5,5,0.30873263506281723
T0087,C,TPO prior bin2: above_VAH + 09:30VWAP<1sd,EVALUATED,603,1.4485243651338366,1.58593033682959,1.4372388705404888,1.3030071560143717,151.1978,118.90541975807218,86.6130395161444,-20.764967748618204,-23.440235497236444,7,7,6,0.3787638866896179
T0088,C,TPO prior bin2: above_VAH + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0089,B,TPO prior bin2: below_VAL,EVALUATED,2145,5.152711050102951,1.3045485360945206,1.2088003373368883,1.1209593614495665,327.97980000000007,234.98651561574658,141.99323123149316,-46.92544244860869,-57.12710759652701,7,7,5,0.47073539149072213
T0090,C,TPO prior bin2: below_VAL + 09:30VWAP<1sd,EVALUATED,593,1.4245024021962938,1.442047037037037,1.3190244528921844,1.2070832684909139,119.3527,90.40006495342568,61.44742990685136,-16.079397464561097,-17.127694929122228,8,8,7,0.34910783445140114
T0091,C,TPO prior bin2: below_VAL + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0092,B,TPO prior bin2: within_0.25ATR_POC,TOO_FEW,,,,,,,,,,,,,,
T0093,C,TPO prior bin2: within_0.25ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0094,C,TPO prior bin2: within_0.25ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0095,B,TPO prior bin2: within_0.50ATR_POC,EVALUATED,522,1.2539464653397392,1.4348774046390305,1.3223806622096026,1.2185986694974362,95.0612,73.42893887190435,51.7966777438087,-15.184854760183761,-16.534309520367525,7,7,5,0.3788725435551092
T0096,C,TPO prior bin2: within_0.50ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0097,C,TPO prior bin2: within_0.50ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0098,B,TPO prior bin2: 0.5-1.0ATR_from_POC,EVALUATED,1006,2.4166094715168156,1.2822792501013545,1.1938759960408847,1.111672450096021,129.0183,91.9543315995067,54.89036319901343,-20.689407561115374,-26.131951957938742,8,6,4,0.390323448956695
T0099,C,TPO prior bin2: 0.5-1.0ATR_from_POC + 09:30VWAP<1sd,EVALUATED,320,0.7687028140013727,1.3119459259259258,1.1952399887167486,1.0886246045323227,42.1127,27.60468904818645,13.096678096372887,-9.73650157469327,-15.86890314938655,7,6,6,0.4250879737831799
T0100,C,TPO prior bin2: 0.5-1.0ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0101,B,TPO prior bin2: gt_1ATR_from_POC,EVALUATED,5487,13.180851063829788,1.2858740180708272,1.18550008059037,1.0941197953060546,829.1454,564.4986241942718,299.8518483885432,-40.72688020326933,-73.78542733668795,7,7,6,0.5219806655601361
T0102,C,TPO prior bin2: gt_1ATR_from_POC + 09:30VWAP<1sd,EVALUATED,1744,4.189430336307481,1.471668987341772,1.338444355755179,1.218000916419501,372.6185,281.5574537594484,190.49640751889675,-20.905512027851387,-24.537024055702773,8,8,8,0.28429003176444945
T0103,C,TPO prior bin2: gt_1ATR_from_POC + LONVWAP<1sd + EMA,EVALUATED,695,1.6695264241592314,1.8147958015267176,1.655274476521211,1.5097773456003905,213.47650000000002,179.95596076751116,146.43542153502233,-12.882206073818082,-14.487812147636163,8,8,7,0.23144778064980429
T0104,B,TPO prior bin2: above_POC,EVALUATED,2949,7.0840768702814,1.272474151738287,1.1712164278534896,1.078870123574536,413.31100000000004,272.24628394436036,131.18156788872068,-64.83684545454676,-96.2594176492148,6,6,5,0.3296427923960507
T0105,C,TPO prior bin2: above_POC + 09:30VWAP<1sd,EVALUATED,1069,2.567947838023336,1.4835880732728441,1.3426947169446675,1.2156430249548182,223.92419999999998,167.32781737848873,110.73143475697745,-18.909189999880084,-23.176279999760055,8,8,7,0.3467269806668437
T0106,C,TPO prior bin2: above_POC + LONVWAP<1sd + EMA,EVALUATED,469,1.1266300617707619,1.7168180232558141,1.5573642833177475,1.412415286339354,123.29270000000001,100.66324464525754,78.03378929051507,-11.083175960980405,-12.73665192196082,7,7,7,0.27656663393226516
T0107,B,TPO prior bin2: below_POC,EVALUATED,3261,7.8335621139327385,1.3602618505546866,1.256261340214002,1.1611455048707422,576.3516999999999,429.1187740315719,281.88584806314356,-55.50344528581061,-74.21759057162168,7,7,5,0.3174079445638542
T0108,C,TPO prior bin2: below_POC + 09:30VWAP<1sd,EVALUATED,1096,2.6328071379547016,1.496564476386037,1.3673125745123194,1.2498264450176417,241.82690000000002,187.83834822006168,133.84979644012333,-16.750251890026583,-20.964403780053196,8,8,7,0.36440183118510444
T0109,C,TPO prior bin2: below_POC + LONVWAP<1sd + EMA,EVALUATED,468,1.1242278654770075,1.9175781818181818,1.758946553699559,1.6130192188020087,151.4004,130.67721672701947,109.95403345403889,-10.854015960045873,-11.890131920091743,8,7,7,0.2416750243834755
T0110,B,TPO dev bin4: inside_value,EVALUATED,1075,2.582361015785861,1.2702112299465242,1.1683355103142972,1.0757579454347133,151.5885,99.17863701586143,46.76877403172282,-21.145150732981126,-24.61500146596225,7,7,5,0.46898929769140046
T0111,C,TPO dev bin4: inside_value + 09:30VWAP<1sd,EVALUATED,620,1.4893617021276595,1.3310832214765098,1.216144386959531,1.111940553197975,98.6628,67.7288151625856,36.79483032517122,-26.63087910840237,-36.115658216804746,7,6,4,0.6509921537858173
T0112,C,TPO dev bin4: inside_value + LONVWAP<1sd + EMA,EVALUATED,344,0.8263555250514757,1.5451295774647886,1.4114428524729787,1.289193479946722,77.40839999999999,61.1579297665707,44.90745953314142,-14.415979189524142,-21.17635837904828,7,5,5,0.46809986082804794
T0113,B,TPO dev bin4: above_VAH,EVALUATED,1043,2.5054907343857242,1.2898510263431617,1.201774441389491,1.1211336836974983,170.68239999999997,124.29543631547277,77.9084726309455,-36.62301224411884,-45.449924488237315,7,6,5,0.2754724035337034
T0114,C,TPO dev bin4: above_VAH + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0115,C,TPO dev bin4: above_VAH + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0116,B,TPO dev bin4: below_VAL,EVALUATED,1582,3.8002745367192863,1.2751015346545491,1.187042274030653,1.1061233610032375,233.7294,165.92456239098,98.11972478195999,-44.184719732938724,-51.93743946587741,7,5,4,0.3214041154988535
T0117,C,TPO dev bin4: below_VAL + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0118,C,TPO dev bin4: below_VAL + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0119,B,TPO dev bin4: within_0.25ATR_POC,TOO_FEW,,,,,,,,,,,,,,
T0120,C,TPO dev bin4: within_0.25ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0121,C,TPO dev bin4: within_0.25ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0122,B,TPO dev bin4: within_0.50ATR_POC,EVALUATED,336,0.8071379547014413,1.2082092976925392,1.1098129678280761,1.0194669240672283,32.7122,18.02160803755924,3.3310160751184554,-32.27265398059444,-40.144537280757596,4,4,4,0.5559673892505013
T0123,C,TPO dev bin4: within_0.50ATR_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0124,C,TPO dev bin4: within_0.50ATR_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0125,B,TPO dev bin4: 0.5-1.0ATR_from_POC,EVALUATED,817,1.9625943719972547,1.241788958770091,1.16136936201587,1.0864316508341472,90.16760000000001,62.37871071446919,34.58982142893842,-24.468326008668654,-27.516752017337225,6,6,6,0.4532719012547424
T0126,C,TPO dev bin4: 0.5-1.0ATR_from_POC + 09:30VWAP<1sd,TOO_FEW,,,,,,,,,,,,,,
T0127,C,TPO dev bin4: 0.5-1.0ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0128,B,TPO dev bin4: gt_1ATR_from_POC,EVALUATED,2937,7.055250514756349,1.3045724971344168,1.2110111757199147,1.1256602049286406,503.0535,365.284014642318,227.51452928463598,-38.520113578805024,-46.24037520955332,8,7,6,0.35788249301110325
T0129,C,TPO dev bin4: gt_1ATR_from_POC + 09:30VWAP<1sd,EVALUATED,365,0.8768016472203157,1.7625943037974683,1.613174067653232,1.4780075240984352,120.4899,101.98971630708408,83.48953261416816,-10.156764163808603,-11.052328327617214,8,8,8,0.20488330177208924
T0130,C,TPO dev bin4: gt_1ATR_from_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0131,B,TPO dev bin4: above_POC,EVALUATED,1560,3.7474262182566918,1.2926536308745538,1.198916929521318,1.1132611231365066,249.00799999999998,177.23464821288,105.46129642575998,-35.01377807509937,-39.37545615019863,8,7,5,0.2470292183165033
T0132,C,TPO dev bin4: above_POC + 09:30VWAP<1sd,EVALUATED,414,0.9945092656142759,1.5562489130434785,1.4236783939205737,1.303278042959075,102.34979999999999,81.89679498683306,61.4437899736661,-12.29175846983544,-14.766871498926363,7,6,6,0.2842964900451625
T0133,C,TPO dev bin4: above_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0134,B,TPO dev bin4: below_POC,EVALUATED,1887,4.5329444063143445,1.2660734961606077,1.1748888136483162,1.0913178914066755,265.9701,182.78441155190276,99.59872310380553,-39.29852422018648,-59.21646251874934,7,4,4,0.30813880659868337
T0135,C,TPO dev bin4: below_POC + 09:30VWAP<1sd,EVALUATED,387,0.9296499656829101,1.4181191011235956,1.2966471372753074,1.1863901323840464,74.4252,55.48866885024327,36.552137700486554,-20.143043926952576,-22.408287853905147,7,7,7,0.2556511101863999
T0136,C,TPO dev bin4: below_POC + LONVWAP<1sd + EMA,TOO_FEW,,,,,,,,,,,,,,
T0137,B,TPO prior bin4: inside_value,EVALUATED,2337,5.613932738503775,1.3881455598243362,1.2758320064713378,1.1734658790554064,437.08400000000006,325.7013932072341,214.31878641446824,-29.91179377400707,-35.61545108776284,7,7,7,0.34877396299981406
T0138,C,TPO prior bin4: inside_value + 09:30VWAP<1sd,EVALUATED,978,2.3493479752916953,1.4630355140186917,1.3299156968385222,1.2094221397240181,198.17919999999998,148.60214532546013,99.0250906509203,-21.091349037750316,-30.979325118899588,8,7,6,0.3938244764695387
