sess,sym,rk,yr,entry,plain,be,tp2.0,tp2.5,tp3.0
2022-04-27,MSFT,2,2022,12959.25,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-04-28,META,6,2022,13176.75,2.1723869694727505,0.0,2.0000000000000018,2.499999999999991,2.1723869694727505
2022-04-29,AAPL,1,2022,13231.0,2.8399213967198245,-0.0,2.0000000000000018,2.500000000000002,3.0000000000000027
2022-05-19,CSCO,10,2022,11898.5,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-05-26,NVDA,5,2022,11902.5,3.129594622978371,0.0,2.0000000000000018,2.499999999999991,3.0000000000000027
2022-07-12,PEP,7,2022,11880.25,0.8585677910818323,-0.0,0.8585677910818323,0.8585677910818323,0.8585677910818323
2022-07-27,MSFT,2,2022,12294.25,2.6130101470199563,0.0,2.0000000000000018,2.499999999999991,3.0000000000000027
2022-07-28,META,6,2022,12580.75,1.2558869701726927,0.0,1.2558869701726927,1.2558869701726927,1.2558869701726927
2022-07-29,AAPL,1,2022,12877.75,-0.7318825105317339,-0.0,-0.7318825105317339,-0.7318825105317339,-0.7318825105317339
2022-08-18,CSCO,10,2022,13489.25,-0.2928257686676483,-0.0,-0.2928257686676483,-0.2928257686676483,-0.2928257686676483
2022-08-25,NVDA,5,2022,12942.75,-1.6000000000000014,-0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-09-02,AVGO,8,2022,12310.5,-1.6000000000000014,0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-10-12,PEP,7,2022,10853.0,0.14512116465493774,-0.0,0.14512116465493774,0.14512116465493774,0.14512116465493774
2022-10-26,MSFT,2,2022,11496.25,-1.6000000000000014,-0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2022-10-27,META,6,2022,11428.75,1.6515366947391419,-0.0,1.6515366947391419,1.6515366947391419,1.6515366947391419
2022-10-28,AAPL,1,2022,11167.5,3.734049697783748,3.734049697783748,2.0000000000000018,2.499999999999991,3.0000000000000027
2022-11-17,NVDA,5,2022,11775.25,0.5350204878877274,0.5350204878877274,2.000000000000013,0.5350204878877274,0.5350204878877274
2022-12-09,AVGO,8,2022,11636.5,0.5628840287027925,-0.0,0.5628840287027925,0.5628840287027925,0.5628840287027925
2024-01-25,TSLA,8,2024,17605.25,-0.18602405532439636,-0.0,-0.18602405532439636,-0.18602405532439636,-0.18602405532439636
2024-01-31,MSFT,1,2024,17460.5,1.2700094499012105,-0.0,1.2700094499012105,1.2700094499012105,1.2700094499012105
2024-02-01,QCOM,10,2024,17273.75,0.9638902959693274,0.0,0.9638902959693274,0.9638902959693274,0.9638902959693274
2024-02-02,AAPL,2,2024,17600.0,0.7372159090909047,0.0,0.7372159090909047,0.7372159090909047,0.7372159090909047
2024-02-22,NVDA,3,2024,17684.25,2.0385371163605948,2.0385371163605948,2.0000000000000018,2.0385371163605948,2.0385371163605948
2024-03-08,AVGO,7,2024,18259.5,-1.199375667460778,0.0,-1.199375667460778,-1.199375667460778,-1.199375667460778
2024-04-24,TSLA,8,2024,17668.0,-0.05518451437627192,0.0,-0.05518451437627192,-0.05518451437627192,-0.05518451437627192
2024-04-25,META,6,2024,17473.75,-0.5350883468059342,-0.0,-0.5350883468059342,-0.5350883468059342,-0.5350883468059342
2024-04-26,MSFT,1,2024,17767.25,0.40523997804950973,0.0,0.40523997804950973,0.40523997804950973,0.40523997804950973
2024-05-01,AMZN,5,2024,17481.5,-1.6000000000000014,-0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2024-05-02,QCOM,10,2024,17499.0,0.852905880336019,0.0,0.852905880336019,0.852905880336019,0.852905880336019
2024-05-03,AAPL,2,2024,17726.0,1.5542141487081107,1.5542141487081107,1.5542141487081107,1.5542141487081107,1.5542141487081107
2024-05-23,NVDA,3,2024,18845.0,0.7866808171928863,-0.0,0.7866808171928863,0.7866808171928863,0.7866808171928863
2024-06-13,AVGO,7,2024,19595.25,-0.014034013345065599,0.0,-0.014034013345065599,-0.014034013345065599,-0.014034013345065599
2024-07-24,GOOGL,4,2024,19841.75,3.2116622777728754,3.2116622777728754,1.9999999999999907,2.500000000000002,3.0000000000000138
2024-07-31,MSFT,1,2024,18987.5,2.680710994075053,2.680710994075053,2.0000000000000018,2.499999999999991,3.0000000000000027
2024-08-01,META,6,2024,19637.75,-1.6000000000000125,0.0,-1.6000000000000125,-1.6000000000000125,-1.6000000000000125
2024-08-02,AAPL,2,2024,18918.5,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2024-08-29,NVDA,3,2024,19224.0,-1.6000000000000014,-0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2024-09-06,AVGO,7,2024,18917.25,2.4263568964833726,-0.0,2.0000000000000018,2.500000000000002,2.4263568964833726
2024-10-24,TSLA,8,2024,20287.5,0.4559457794208299,0.0,0.4559457794208299,0.4559457794208299,0.4559457794208299
2024-10-30,GOOGL,4,2024,20738.25,-0.9824840572372318,0.0,-0.9824840572372318,-0.9824840572372318,-0.9824840572372318
2024-10-31,MSFT,1,2024,20444.75,2.120348744787781,2.120348744787781,2.0000000000000018,2.120348744787781,2.120348744787781
2024-11-01,AAPL,2,2024,20107.75,0.1951983687881631,0.0,0.1951983687881631,0.1951983687881631,0.1951983687881631
2024-11-07,QCOM,10,2024,20862.75,-1.6000000000000014,-0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2024-11-21,NVDA,3,2024,20728.0,0.4619355461211949,0.0,0.4619355461211949,0.4619355461211949,0.4619355461211949
2024-12-13,AVGO,7,2024,21721.25,0.3510387293548911,0.0,0.3510387293548911,0.3510387293548911,0.3510387293548911
2026-01-29,MSFT,4,2026,26234.25,-1.6000000000000014,0.0,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2026-01-30,AAPL,2,2026,25958.75,1.0911542350845127,1.0911542350845127,1.0911542350845127,1.0911542350845127,1.0911542350845127
2026-02-04,AMD,10,2026,25382.75,1.5295820980784192,-0.0,1.9999999999999907,1.5295820980784192,1.5295820980784192
2026-02-05,GOOGL,3,2026,25080.0,-1.5999999999999903,0.0,-1.5999999999999903,-1.5999999999999903,-1.5999999999999903
2026-02-06,AMZN,5,2026,24451.25,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014,-1.6000000000000014
2026-02-26,NVDA,1,2026,25325.5,0.9565457740222327,-0.0,0.9565457740222327,0.9565457740222327,0.9565457740222327
2026-03-05,AVGO,6,2026,25171.5,-0.49162743579047596,0.0,-0.49162743579047596,-0.49162743579047596,-0.49162743579047596
2026-03-19,MU,9,2026,24603.0,0.11482339552086884,-0.0,0.11482339552086884,0.11482339552086884,0.11482339552086884
2026-04-23,TSLA,8,2026,27089.75,0.6035493129320169,-0.0,0.6035493129320169,0.6035493129320169,0.6035493129320169
2026-04-30,GOOGL,3,2026,27434.75,0.5203254995944873,0.0,0.5203254995944873,0.5203254995944873,0.5203254995944873
2026-05-01,AAPL,2,2026,27640.5,0.7118178035853129,0.0,0.7118178035853129,0.7118178035853129,0.7118178035853129
2026-05-06,AMD,10,2026,28265.0,1.575269768264631,1.575269768264631,1.575269768264631,1.575269768264631,1.575269768264631
2026-05-21,NVDA,1,2026,29143.25,-1.0396918668988508,-0.0,-1.0396918668988508,-1.0396918668988508,-1.0396918668988508
2026-06-04,AVGO,6,2026,30478.0,-0.02460791390510586,-0.0,-0.02460791390510586,-0.02460791390510586,-0.02460791390510586
