sess,yr,entry,r,be_r,mfe,hrs,be_hrs
2024-11-01,2024,20107.75,0.1951983687881631,0.0,0.8964205343710674,21.4,14.916666666666666
2024-11-07,2024,20862.75,-1.6,-0.0,0.005991898952606434,16.15,13.75
2024-11-21,2024,20728.0,0.4619355461211949,0.0,0.8575357005017326,21.9,15.516666666666667
2024-12-13,2024,21721.25,0.3510387293548911,0.0,0.8597571502560797,21.9,16.8
2026-01-29,2026,26234.25,-1.6,0.0,0.17629625394284254,15.916666666666666,15.416666666666666
2026-01-30,2026,25958.75,1.0911542350845127,1.0911542350845127,1.5252994377902729,21.9,21.9
2026-02-04,2026,25382.75,1.5295820980784192,-0.0,2.4179393548126704,21.9,15.416666666666666
2026-02-05,2026,25080.0,-1.6,0.0,0.3548644338118079,15.433333333333334,15.416666666666666
2026-02-06,2026,24451.25,-1.6,-1.6000000000000014,0.8725337513794562,12.516666666666667,12.516666666666667
2026-02-26,2026,25325.5,0.9565457740222327,-0.0,1.8653151930173806,21.4,14.916666666666666
2026-03-05,2026,25171.5,-0.49162743579047596,0.0,0.31186063603678704,21.816666666666666,15.333333333333334
2026-03-19,2026,24603.0,0.11482339552086884,-0.0,1.1355812017634914,21.9,21.0
2026-04-23,2026,27089.75,0.6035493129320169,-0.0,1.5291350829687023,21.9,15.7
2026-04-30,2026,27434.75,0.5203254995944873,0.0,0.6852623041945005,21.816666666666666,15.333333333333334
2026-05-01,2026,27640.5,0.7118178035853129,0.0,1.0003436985582814,21.816666666666666,15.333333333333334
2026-05-06,2026,28265.0,1.575269768264631,1.575269768264631,1.6301079073058444,21.9,21.9
2026-05-21,2026,29143.25,-1.0396918668988508,-0.0,0.10390547178236176,21.9,15.416666666666666
2026-06-04,2026,30478.0,-0.02460791390510586,-0.0,1.0845411429140084,21.9,18.3
