sess,yr,day,az,entry,A_30_nostop,B_30_s05,C_30_s05tp05,D_open_s05,E_30_s03
2024-05-03,2024,NFP,0.8957480865859107,17898.25,0.18577235204559894,0.18577235204559894,0.18577235204559894,0.29192798178592216,0.18577235204559894
2024-05-14,2024,PPI,1.6375944478474411,18222.25,-0.18246923404079407,-0.18246923404079407,-0.18246923404079407,-0.3745421119784931,-0.18246923404079407
2024-05-15,2024,CPI,1.1978241142570365,18523.25,-0.14036413696300043,-0.14036413696300043,-0.14036413696300043,-0.1214689646795275,-0.14036413696300043
2024-06-07,2024,NFP,1.1424847404586853,19008.25,0.13283705759341569,0.13283705759341569,0.13283705759341569,-0.019728275880215307,0.13283705759341569
2024-06-12,2024,CPI,1.3932610920384727,19422.0,-0.015446400988572417,-0.015446400988572417,-0.015446400988572417,-0.21367521367521292,-0.015446400988572417
2024-06-13,2024,PPI,1.472373326191028,19668.25,-0.1830361114995016,-0.1830361114995016,-0.1830361114995016,-0.16905418631550928,-0.1830361114995016
2024-07-11,2024,CPI,2.221391329606817,20955.75,-0.34477410734523595,-0.34477410734523595,-0.34477410734523595,-0.3459670973360529,-0.3
2024-07-12,2024,PPI,0.8951055583261015,20406.0,-0.18131921983730592,-0.18131921983730592,-0.18131921983730592,-0.26217779084583004,-0.3
2024-08-02,2024,NFP,1.3355836865519943,18601.5,0.15455742816439244,0.15455742816439244,0.15455742816439244,-0.18278095852484189,0.15455742816439244
2024-08-13,2024,PPI,0.8735020208029405,18796.25,0.08778346744695575,0.08778346744695575,0.08778346744695575,0.25270998204429684,0.08778346744695575
2024-09-11,2024,CPI,1.261095335723328,18755.25,-0.6931392543421122,-0.5,-0.5,-0.5,-0.3
2024-10-04,2024,NFP,1.3534154670382343,20119.0,0.6312440976191658,0.6312440976191658,0.5,0.5107112679556547,0.6312440976191658
2024-10-10,2024,CPI,1.261095335723328,20399.25,0.18873242888831632,0.18873242888831632,0.18873242888831632,0.2524602620194383,0.18873242888831632
2024-11-01,2024,NFP,1.300664602131441,20093.5,-0.05723243835071834,-0.05723243835071834,-0.05723243835071834,0.06594172244756002,-0.05723243835071834
2024-12-06,2024,NFP,0.7625600286907527,21507.0,-0.013948946854513977,-0.013948946854513977,-0.013948946854513977,-0.06160784860742563,-0.013948946854513977
2024-12-12,2024,PPI,1.1225609997192545,21703.75,0.10136497149110246,0.10136497149110246,0.10136497149110246,0.12670621436388085,0.10136497149110246
2026-01-09,2026,NFP,1.0038095376047689,25755.25,0.23296221158792818,0.23296221158792818,0.23296221158792818,-0.2834373574319815,0.23296221158792818
2026-01-13,2026,CPI,1.1266014242982167,26004.25,-0.12401818933444053,-0.12401818933444053,-0.12401818933444053,-0.12113404539642048,-0.12401818933444053
2026-01-30,2026,PPI,1.4758786609278485,25821.25,-0.0755191944619149,-0.0755191944619149,-0.0755191944619149,-0.2914266350389605,-0.0755191944619149
2026-02-11,2026,NFP,1.333605231856119,25296.25,0.5524534268913417,0.5524534268913417,0.5,0.6443642832435703,0.5524534268913417
2026-02-13,2026,CPI,0.947607082958686,24801.75,0.03326378178958311,0.03326378178958311,0.03326378178958311,-0.23486245930226524,-0.3
2026-02-27,2026,PPI,1.2845232578665131,24850.0,-0.0392354124748584,-0.0392354124748584,-0.0392354124748584,0.087525150905432,-0.0392354124748584
2026-03-06,2026,NFP,3.3618277663876084,24760.75,0.4523287864866776,0.4523287864866776,0.5,0.31804367799844746,-0.3
2026-03-18,2026,PPI,1.018493050689377,24982.0,0.4653350412296864,0.4653350412296864,0.4653350412296864,0.2331678808742299,0.4653350412296864
2026-04-06,2026,NFP,1.7420135323004964,24212.5,-0.35518843572535097,-0.35518843572535097,-0.35518843572535097,-0.5,-0.3
2026-04-10,2026,CPI,1.1266014242982167,25332.25,-0.0907933562948382,-0.0907933562948382,-0.0907933562948382,-0.0217114547661601,-0.0907933562948382
2026-04-14,2026,PPI,1.4478129468509575,25677.25,0.03602410694291125,0.03602410694291125,0.03602410694291125,-0.04673397657459777,0.03602410694291125
2026-05-12,2026,CPI,1.3932610920384734,29144.5,-0.28135668822590887,-0.28135668822590887,-0.28135668822590887,-0.07462814596235212,-0.3
2026-05-13,2026,PPI,2.0516941338556385,29300.25,0.09470908951288992,0.09470908951288992,0.09470908951288992,0.13481113642375142,0.09470908951288992
2026-06-05,2026,NFP,1.2671925495924583,30096.0,0.09801967038809423,0.09801967038809423,0.09801967038809423,0.25169457735246814,0.09801967038809423
