event_id,series,family,release_ts_utc,release_date_et,surprise_abs,deadband_pass,prior_sign,notes,sigma,surprise_z,z_signed
c387e01e1d8a,GOOGL_EPS,eps,2021-04-27 20:01:33+00:00,2021-04-27,0.53,True,1.0,post_market,,,
b85780c2102c,TXN_EPS,eps,2021-04-27 20:05:02+00:00,2021-04-27,0.31,True,1.0,post_market,,,
87cdaf50c8a0,QCOM_EPS,eps,2021-04-28 20:01:50+00:00,2021-04-28,0.23,True,1.0,post_market,,,
c04e9e5bb34e,META_EPS,eps,2021-04-28 20:09:19+00:00,2021-04-28,0.95,True,1.0,post_market,,,
e9c2f9b48191,AAPL_EPS,eps,2021-04-28 20:30:33+00:00,2021-04-28,0.42,True,1.0,post_market,,,
d3d88420076b,AMZN_EPS,eps,2021-04-29 20:31:31+00:00,2021-04-29,0.32,True,1.0,post_market,,,
92a3ed966ed7,US_CORE_PCE_MOM,inflation,2021-04-30 12:30:00+00:00,2021-04-30,0.1,True,-1.0,,0.12692955176439846,0.7878385971583355,-0.7878385971583355
d6acf3ca9eff,US_NFP,labour,2021-05-07 12:30:00+00:00,2021-05-07,-724.0,True,-1.0,,3090.4922026346317,-0.2342668910093975,0.2342668910093975
e34186754e3f,US_UNEMP_RATE,labour,2021-05-07 12:30:00+00:00,2021-05-07,0.3,True,1.0,,1.7626426441309908,0.1701989912696708,0.1701989912696708
465971cbf9c1,US_CPI_MOM,inflation,2021-05-12 12:30:00+00:00,2021-05-12,0.6,True,-1.0,,0.11281521496355323,5.31843156256751,-5.31843156256751
4baf3abef5f7,US_CORE_CPI_MOM,inflation,2021-05-12 12:30:00+00:00,2021-05-12,0.6,True,-1.0,,0.17939291563999452,3.344613681423626,-3.344613681423626
890ffc683d14,US_CORE_PPI_MOM,inflation,2021-05-13 12:30:00+00:00,2021-05-13,0.3,True,-1.0,,0.3917198545446024,0.7658534448011777,-0.7658534448011777
85296f0f2049,US_PPI_MOM,inflation,2021-05-13 12:30:00+00:00,2021-05-13,0.3,True,-1.0,,0.3894440481849308,0.7703288865196432,-0.7703288865196432
32f0edae37d2,CSCO_EPS,eps,2021-05-19 20:14:04+00:00,2021-05-19,0.01,True,1.0,post_market,,,
cfc15ebfd8df,AMAT_EPS,eps,2021-05-20 20:11:47+00:00,2021-05-20,0.12,True,1.0,post_market,,,
96ef16e277cd,NVDA_EPS,eps,2021-05-26 20:20:35+00:00,2021-05-26,0.0093,True,1.0,post_market,,,
c0306f389271,US_CORE_PCE_MOM,inflation,2021-05-28 12:30:00+00:00,2021-05-28,0.1,True,-1.0,,0.12292725943057184,0.8134892168199607,-0.8134892168199607
5508b3beb817,AVGO_EPS,eps,2021-06-03 20:19:10+00:00,2021-06-03,0.019,True,1.0,post_market,,,
67ad609958c8,US_UNEMP_RATE,labour,2021-06-04 12:30:00+00:00,2021-06-04,-0.1,True,1.0,,1.721433511156714,-0.058091119611587666,-0.058091119611587666
46008d4b6ffd,US_NFP,labour,2021-06-04 12:30:00+00:00,2021-06-04,-86.0,True,-1.0,,2993.020755428242,-0.02873351273760048,0.02873351273760048
791eb800b508,US_CORE_CPI_MOM,inflation,2021-06-10 12:30:00+00:00,2021-06-10,0.2,True,-1.0,,0.23788843832962772,0.8407302238155518,-0.8407302238155518
ed4ce08981a3,US_CPI_MOM,inflation,2021-06-10 12:30:00+00:00,2021-06-10,0.2,True,-1.0,,0.19286515936521478,1.0369939322284463,-1.0369939322284463
66a73c443858,US_CORE_PPI_MOM,inflation,2021-06-15 12:30:00+00:00,2021-06-15,0.2,True,-1.0,,0.3736794931975311,0.535218024111047,-0.535218024111047
bd6e4b4f0315,US_PPI_MOM,inflation,2021-06-15 12:30:00+00:00,2021-06-15,0.3,True,-1.0,,0.372216945537753,0.8059815749833232,-0.8059815749833232
7545f8b5c033,ADBE_EPS,eps,2021-06-17 20:09:03+00:00,2021-06-17,0.21,True,1.0,post_market,,,
c4a8de3cadc1,US_CORE_PCE_MOM,inflation,2021-06-25 12:30:00+00:00,2021-06-25,-0.1,True,-1.0,,0.11908743922772957,-0.8397191227596315,0.8397191227596315
5e5527ebe840,MU_EPS,eps,2021-06-30 20:00:41+00:00,2021-06-30,0.16,True,1.0,post_market,,,
2cf06dfa34b7,US_UNEMP_RATE,labour,2021-07-02 12:30:00+00:00,2021-07-02,0.3,True,1.0,,0.5219427578041889,0.5747756732215211,0.5747756732215211
9304c14edd91,US_NFP,labour,2021-07-02 12:30:00+00:00,2021-07-02,125.0,True,-1.0,,593.5560719983094,0.21059509943039723,-0.21059509943039723
ec40df97fcf9,US_CORE_CPI_MOM,inflation,2021-07-13 12:30:00+00:00,2021-07-13,0.5,True,-1.0,,0.23354968324845687,2.1408720964441885,-2.1408720964441885
f29063becd84,US_CPI_MOM,inflation,2021-07-13 12:30:00+00:00,2021-07-13,0.4,True,-1.0,,0.18504708655481242,2.161611984534092,-2.161611984534092
7d03e270f673,US_PPI_MOM,inflation,2021-07-14 12:30:00+00:00,2021-07-14,0.4,True,-1.0,,0.3570714214271425,1.120224067222408,-1.120224067222408
37ac10f119ea,US_CORE_PPI_MOM,inflation,2021-07-14 12:30:00+00:00,2021-07-14,0.5,True,-1.0,,0.3563280749108846,1.403201249649068,-1.403201249649068
446cdda6dcb4,NFLX_EPS,eps,2021-07-20 20:04:07+00:00,2021-07-20,-0.02,True,1.0,post_market,,,
a89e8b2d7eea,TXN_EPS,eps,2021-07-21 20:08:56+00:00,2021-07-21,0.25,True,1.0,post_market,,,
2cbc8a26da47,INTC_EPS,eps,2021-07-22 20:05:35+00:00,2021-07-22,0.21,True,1.0,post_market,,,
74e2d8deaabb,TSLA_EPS,eps,2021-07-26 20:25:13+00:00,2021-07-26,0.16,True,1.0,post_market,,,
13d9383e126d,AAPL_EPS,eps,2021-07-27 20:35:44+00:00,2021-07-27,0.29,True,1.0,post_market,,,
b971b0b34f70,GOOGL_EPS,eps,2021-07-27 20:36:42+00:00,2021-07-27,0.4,True,1.0,post_market,,,
8f689a25c101,QCOM_EPS,eps,2021-07-28 20:01:42+00:00,2021-07-28,0.24,True,1.0,post_market,,,
ac601f4bb8f2,META_EPS,eps,2021-07-28 20:08:06+00:00,2021-07-28,0.55,True,1.0,post_market,,,
ec19daf57021,AMZN_EPS,eps,2021-07-29 20:34:52+00:00,2021-07-29,0.15,True,1.0,post_market,,,
89672e5ac183,US_CORE_PCE_MOM,inflation,2021-07-30 12:30:00+00:00,2021-07-30,-0.2,True,-1.0,,0.11934162828797103,-1.6758611631927842,1.6758611631927842
8a3c5bb63208,US_UNEMP_RATE,labour,2021-08-06 12:30:00+00:00,2021-08-06,-0.3,True,1.0,,0.4680714786129452,-0.6409277507978096,-0.6409277507978096
6b023a50795d,US_NFP,labour,2021-08-06 12:30:00+00:00,2021-08-06,73.0,True,-1.0,,273.2995221142556,0.2671062116584369,-0.2671062116584369
5523a9f99efe,US_CPI_MOM,inflation,2021-08-11 12:30:00+00:00,2021-08-11,0.0,False,-1.0,,0.202072594216369,0.0,-0.0
f713c1a7464b,US_CORE_CPI_MOM,inflation,2021-08-11 12:30:00+00:00,2021-08-11,-0.1,True,-1.0,,0.26053557891157186,-0.38382473678936924,0.38382473678936924
9edb53781a5d,US_CORE_PPI_MOM,inflation,2021-08-12 12:30:00+00:00,2021-08-12,0.5,True,-1.0,,0.31466673086799557,1.5889827266478729,-1.5889827266478729
79abdb8ea23b,US_PPI_MOM,inflation,2021-08-12 12:30:00+00:00,2021-08-12,0.4,True,-1.0,,0.2644319239884671,1.5126766616024985,-1.5126766616024985
fa3d2297d93c,CSCO_EPS,eps,2021-08-18 20:10:56+00:00,2021-08-18,0.01,True,1.0,post_market,,,
e3e387a1b1d7,NVDA_EPS,eps,2021-08-18 20:21:07+00:00,2021-08-18,0.002,True,1.0,post_market,,,
b0a24aebe4f7,AMAT_EPS,eps,2021-08-19 20:04:55+00:00,2021-08-19,0.12,True,1.0,post_market,,,
3d68e9d15178,US_CORE_PCE_MOM,inflation,2021-08-27 12:30:00+00:00,2021-08-27,0.0,False,-1.0,,0.13483997249264842,0.0,-0.0
718448de3061,AVGO_EPS,eps,2021-09-02 20:18:04+00:00,2021-09-02,0.008,True,1.0,post_market,,,
9c51767c2890,US_UNEMP_RATE,labour,2021-09-03 12:30:00+00:00,2021-09-03,0.0,False,1.0,,0.4680714786129452,0.0,0.0
65cc37ea6cfd,US_NFP,labour,2021-09-03 12:30:00+00:00,2021-09-03,-485.0,True,-1.0,,261.54649334644097,-1.854354817740093,1.854354817740093
2a558737ceee,US_PPI_MOM,inflation,2021-09-10 12:30:00+00:00,2021-09-10,0.1,True,-1.0,,0.2674231693686086,0.3739391775069527,-0.3739391775069527
