sym,filed,asof,float_usd
NVDA,2011-03-16,2010-08-01,5000000000.0
NVDA,2011-05-27,2011-08-01,5033591950.0
NVDA,2011-08-25,2010-08-01,5033591950.0
NVDA,2011-11-22,2010-08-01,5033591950.0
NVDA,2012-03-13,2011-07-31,7980000000.0
NVDA,2012-05-23,2011-07-31,7980000000.0
NVDA,2012-08-22,2011-07-31,7980000000.0
NVDA,2012-11-19,2011-07-31,7980000000.0
NVDA,2013-03-12,2012-07-29,7980000000.0
NVDA,2013-05-22,2012-07-29,7980000000.0
NVDA,2013-08-21,2012-07-29,7980000000.0
NVDA,2013-11-19,2012-07-29,7980000000.0
NVDA,2014-03-13,2013-07-28,7820789330.0
NVDA,2014-05-21,2013-07-28,7820789330.0
NVDA,2014-08-20,2013-07-28,7820789330.0
NVDA,2014-11-19,2013-07-28,7820789330.0
NVDA,2015-03-12,2014-07-27,9375465755.0
NVDA,2015-05-20,2014-07-27,9375465755.0
NVDA,2015-08-19,2014-07-27,9375465755.0
NVDA,2015-11-18,2014-07-27,9375465755.0
NVDA,2016-03-17,2015-07-24,9918351568.0
NVDA,2016-05-25,2015-07-24,9918351568.0
NVDA,2016-08-23,2015-07-24,9918351568.0
NVDA,2016-11-22,2015-07-24,9918351568.0
NVDA,2017-03-01,2016-07-29,28978018802.0
NVDA,2017-05-23,2016-07-29,28978018802.0
NVDA,2017-08-23,2016-07-29,28978018802.0
NVDA,2017-11-21,2016-07-29,28978018802.0
NVDA,2018-02-28,2017-07-28,94311225054.0
NVDA,2018-05-22,2017-07-28,94311225054.0
NVDA,2019-02-21,2018-07-27,146660000000.0
NVDA,2020-02-20,2019-07-26,102150000000.0
NVDA,2021-02-26,2020-07-24,241210000000.0
NVDA,2022-03-18,2021-07-30,467250000000.0
NVDA,2023-02-24,2022-07-29,434370000000.0
NVDA,2024-02-21,2023-07-28,1100000000000.0
NVDA,2025-02-26,2024-07-26,2700000000000.0
NVDA,2026-02-25,2025-07-25,4000000000000.0
META,2013-02-01,2012-06-29,47206114899.0
META,2014-01-31,2013-06-28,49067097971.0
META,2015-01-29,2014-06-30,143589386032.0
META,2016-01-28,2015-06-30,198000000000.0
META,2017-02-03,2016-06-30,274000000000.0
META,2018-02-01,2017-06-30,372000000000.0
META,2019-01-31,2018-06-29,486000000000.0
META,2020-01-30,2019-06-28,478000000000.0
META,2021-01-28,2020-06-30,563000000000.0
META,2022-02-03,2021-06-30,857000000000.0
META,2023-02-02,2022-06-30,378000000000.0
META,2024-02-02,2023-06-30,637000000000.0
META,2025-01-30,2024-06-30,1103000000000.0
META,2026-01-29,2025-06-30,1600000000000.0
TSLA,2012-02-27,2011-06-30,1854208453.0
TSLA,2012-03-28,2011-06-30,1854208453.0
TSLA,2013-03-07,2012-06-30,1991698678.0
TSLA,2014-02-26,2013-06-30,9911123918.0
TSLA,2015-02-26,2014-06-30,22968512773.0
TSLA,2016-02-24,2015-06-30,26340519416.0
TSLA,2017-03-01,2016-06-30,24663024104.0
TSLA,2018-02-23,2017-06-30,47830000000.0
TSLA,2019-02-19,2018-06-30,46570000000.0
TSLA,2020-02-13,2019-06-30,31540000000.0
TSLA,2020-04-28,2019-06-30,31540000000.0
TSLA,2021-02-08,2020-06-30,160570000000.0
TSLA,2021-04-30,2020-06-30,160570000000.0
TSLA,2022-02-07,2021-06-30,541280000000.0
TSLA,2022-05-02,2021-06-30,541280000000.0
TSLA,2023-01-31,2022-06-30,580480000000.0
TSLA,2024-01-29,2023-06-30,722520000000.0
TSLA,2025-01-30,2024-06-28,550170000000.0
TSLA,2025-04-30,2024-06-28,550170000000.0
TSLA,2026-01-29,2025-06-30,892930000000.0
TSLA,2026-04-30,2024-06-28,550170000000.0
NFLX,2009-07-31,2008-06-30,1523744783.0
NFLX,2010-02-22,2009-06-30,1622014793.0
NFLX,2011-02-18,2010-06-30,4018312143.0
NFLX,2012-02-10,2011-06-30,13428994404.0
NFLX,2013-02-01,2012-06-30,3278134336.0
NFLX,2014-02-03,2013-06-30,10368444430.0
NFLX,2015-01-29,2014-06-30,25313674160.0
NFLX,2016-01-28,2015-06-30,33823183533.0
NFLX,2017-01-27,2016-06-30,38059122667.0
NFLX,2018-01-29,2017-06-30,54917149461.0
NFLX,2018-02-05,2017-06-30,54917149461.0
NFLX,2019-01-29,2018-06-30,148681810838.0
NFLX,2020-01-29,2019-06-30,156930337748.0
NFLX,2021-01-28,2020-06-30,196932116552.0
NFLX,2022-01-27,2021-06-30,229758549359.0
NFLX,2023-01-26,2022-06-30,76550886077.0
NFLX,2024-01-26,2023-06-30,192301932760.0
NFLX,2025-01-27,2024-06-30,287180927160.0
NFLX,2026-01-23,2025-06-30,565657747980.0
CSCO,2010-09-21,2010-01-22,131623106220.0
CSCO,2011-09-14,2011-01-28,115714190905.0
CSCO,2012-09-12,2012-01-27,105101493544.0
CSCO,2013-09-10,2013-01-25,112104863683.0
CSCO,2014-09-09,2014-01-24,114846004146.0
CSCO,2015-09-08,2015-01-23,143712018680.0
CSCO,2016-09-08,2016-01-22,117979166007.0
CSCO,2017-09-07,2017-01-27,155020814264.0
CSCO,2018-09-06,2018-01-26,207120318133.0
CSCO,2019-09-05,2019-01-25,204000000000.0
CSCO,2020-09-03,2020-01-24,207100000000.0
CSCO,2021-09-09,2021-01-22,189000000000.0
CSCO,2022-09-08,2022-01-28,230800000000.0
CSCO,2023-09-07,2023-01-27,198600000000.0
CSCO,2024-09-05,2024-01-26,211100000000.0
CSCO,2025-09-03,2025-01-24,247500000000.0
INTC,2009-08-03,2008-06-27,120900000000.0
INTC,2010-02-22,2009-06-26,91100000000.0
INTC,2011-02-18,2010-06-25,111500000000.0
INTC,2012-02-23,2011-07-01,119000000000.0
INTC,2013-02-19,2012-06-30,133500000000.0
INTC,2014-02-14,2013-06-28,120600000000.0
INTC,2015-02-13,2014-06-27,153000000000.0
INTC,2016-02-12,2015-06-26,147300000000.0
INTC,2017-02-17,2016-07-01,154800000000.0
INTC,2018-02-16,2017-06-30,158300000000.0
INTC,2019-02-01,2018-06-29,229200000000.0
INTC,2020-01-24,2019-06-29,212000000000.0
INTC,2021-01-22,2020-06-26,244500000000.0
INTC,2022-01-27,2021-06-25,226800000000.0
INTC,2023-01-27,2022-07-01,149200000000.0
INTC,2024-01-26,2023-06-30,140000000000.0
INTC,2025-01-31,2024-06-28,132400000000.0
INTC,2026-01-23,2025-06-27,99300000000.0
QCOM,2009-07-22,2009-06-28,74231680337.0
QCOM,2009-11-05,2009-09-27,72423662440.0
QCOM,2009-12-22,2009-09-27,72423662440.0
QCOM,2010-01-27,2009-03-29,62311546530.0
QCOM,2010-11-03,2010-03-28,67115795559.0
QCOM,2011-11-02,2011-03-27,8.6665135824e+16
QCOM,2012-11-07,2012-03-25,113918365564.0
QCOM,2013-11-06,2013-03-31,113760527188.0
QCOM,2014-11-05,2014-03-30,132801562449.0
QCOM,2015-11-04,2015-03-29,109303248283.0
QCOM,2016-11-02,2016-03-27,74547554964.0
QCOM,2017-11-01,2017-03-26,83990231661.0
QCOM,2018-11-07,2018-03-25,79468272443.0
QCOM,2019-11-06,2019-09-29,69171646680.0
QCOM,2020-11-04,2020-03-27,74900000000.0
QCOM,2021-11-03,2021-03-26,149900000000.0
QCOM,2022-11-02,2022-03-27,177100000000.0
QCOM,2023-11-01,2023-03-24,138900000000.0
QCOM,2024-11-06,2024-03-22,190000000000.0
QCOM,2025-11-05,2025-03-28,167900000000.0
TXN,2009-07-29,2009-06-30,36021000000.0
TXN,2009-10-30,2009-09-30,36021000000.0
TXN,2010-02-23,2009-06-30,26413333167.0
TXN,2010-04-30,2009-06-30,26413333167.0
TXN,2010-07-30,2009-06-30,26413333167.0
TXN,2010-11-04,2009-06-30,26413333167.0
TXN,2011-02-25,2010-06-30,27239003249.0
TXN,2011-05-05,2010-06-30,27329003249.0
TXN,2012-02-24,2011-06-30,37518854008.0
TXN,2013-02-22,2012-06-29,31629212979.0
TXN,2014-02-24,2013-06-28,37754545231.0
TXN,2015-02-24,2014-06-30,50978062488.0
TXN,2016-02-24,2015-06-30,53229272810.0
TXN,2017-02-23,2016-06-30,62805040210.0
TXN,2018-02-22,2017-06-30,76179967734.0
TXN,2019-02-22,2018-06-30,107359133537.0
TXN,2020-02-20,2019-06-30,107187939993.0
TXN,2021-02-05,2020-06-30,116120360680.0
TXN,2022-02-04,2021-06-30,177340424753.0
TXN,2023-02-03,2022-06-30,140429302063.0
TXN,2024-02-02,2023-06-30,163230185912.0
TXN,2025-02-14,2024-06-30,177352918130.0
TXN,2026-02-06,2025-06-30,188509303179.0
AVGO,2018-12-21,2018-05-04,97800000000.0
AVGO,2019-12-20,2019-05-03,122700000000.0
AVGO,2020-12-18,2020-05-01,101800000000.0
AVGO,2021-12-17,2021-04-30,182800000000.0
AVGO,2022-12-16,2022-04-29,220100000000.0
AVGO,2023-12-14,2023-04-28,253700000000.0
AVGO,2024-12-20,2024-05-03,583100000000.0
AVGO,2025-12-18,2025-05-02,939200000000.0
ADBE,2009-06-26,2009-05-29,12843687113.0
ADBE,2009-10-01,2009-05-29,12843687113.0
ADBE,2010-01-22,2009-05-29,12843687113.0
ADBE,2010-04-09,2009-05-29,12843687113.0
ADBE,2010-07-02,2010-06-04,13532884642.0
ADBE,2010-10-08,2010-06-04,13532884642.0
ADBE,2011-01-27,2010-06-04,13532884642.0
ADBE,2011-04-08,2010-06-04,13532884642.0
ADBE,2011-06-29,2010-06-04,13532884642.0
ADBE,2011-10-07,2010-06-04,13532884642.0
ADBE,2012-01-26,2011-06-03,15056458705.0
ADBE,2013-01-22,2012-06-01,12526183922.0
ADBE,2014-01-21,2013-05-31,17106099177.0
ADBE,2015-01-20,2014-05-30,24153080560.0
ADBE,2016-01-19,2015-05-29,31964797377.0
ADBE,2017-01-20,2016-06-03,36974539289.0
ADBE,2018-01-22,2017-06-02,52575558763.0
ADBE,2019-01-25,2018-06-01,96776869889.0
ADBE,2020-01-21,2019-05-31,102250000000.0
ADBE,2021-01-15,2020-05-29,143270000000.0
ADBE,2022-01-21,2021-06-04,188310000000.0
ADBE,2023-01-17,2022-06-03,159000000000.0
ADBE,2024-01-17,2023-06-02,165530000000.0
ADBE,2025-01-13,2024-05-31,164650000000.0
ADBE,2026-01-15,2025-05-30,144940000000.0
MU,2010-01-12,2009-12-03,1400000000.0
MU,2011-01-11,2010-03-04,6100000000.0
MU,2011-04-12,2010-03-04,6100000000.0
MU,2011-07-12,2010-03-04,6100000000.0
MU,2011-10-25,2011-03-03,9100000000.0
MU,2012-10-29,2012-03-01,5700000000.0
MU,2013-10-28,2013-02-28,6500000000.0
MU,2014-10-27,2014-02-27,21300000000.0
MU,2015-10-27,2015-03-05,27700000000.0
MU,2016-10-28,2016-03-03,9300000000.0
MU,2017-10-26,2017-03-02,20500000000.0
MU,2018-10-15,2018-03-01,45000000000.0
MU,2019-10-17,2019-02-28,36200000000.0
MU,2020-10-19,2020-02-27,44800000000.0
MU,2021-10-08,2021-03-04,79900000000.0
MU,2022-10-07,2022-03-03,83900000000.0
MU,2023-10-06,2023-03-02,47900000000.0
MU,2024-10-04,2024-02-29,83600000000.0
MU,2025-10-03,2025-02-27,85700000000.0
AMAT,2009-09-01,2009-04-26,15579209892.0
AMAT,2009-12-11,2009-04-26,15579209892.0
AMAT,2009-12-18,2009-04-26,15579209892.0
AMAT,2010-03-09,2009-04-26,15579209892.0
AMAT,2010-06-09,2010-05-02,18484888271.0
AMAT,2010-09-03,2010-05-02,18484888271.0
AMAT,2010-12-10,2010-05-02,18484888271.0
AMAT,2011-02-28,2010-05-02,18484888271.0
AMAT,2011-05-31,2010-05-02,20652343218.0
AMAT,2011-08-26,2011-05-01,20652343218.0
AMAT,2011-12-06,2011-05-01,20652343218.0
AMAT,2012-05-24,2012-04-29,15382534908.0
AMAT,2012-08-23,2012-04-29,15382534908.0
AMAT,2012-12-05,2012-04-29,15382534908.0
AMAT,2013-12-04,2013-04-26,16956394267.0
AMAT,2014-12-17,2014-04-27,22617248500.0
AMAT,2015-12-09,2015-04-26,26764127442.0
AMAT,2016-12-15,2016-05-01,22248434583.0
AMAT,2017-12-15,2017-04-28,43552849133.0
AMAT,2018-12-13,2018-04-29,49674881854.0
AMAT,2019-12-13,2019-04-28,41677858958.0
AMAT,2020-12-11,2020-04-26,47228292437.0
AMAT,2021-12-17,2021-05-02,120888771285.0
AMAT,2022-12-16,2022-05-01,95725229751.0
AMAT,2023-12-15,2023-04-30,94685528382.0
AMAT,2024-12-13,2024-04-28,167928935720.0
AMAT,2025-12-12,2025-04-27,121318219350.0
PEP,2010-02-22,2009-06-12,94258682675.0
PEP,2011-02-18,2010-06-11,101306369191.0
PEP,2011-03-31,2010-06-11,101306369191.0
PEP,2012-02-27,2011-06-10,108849195879.0
PEP,2013-02-21,2012-06-15,108253443093.84
PEP,2014-02-14,2013-06-14,127040995303.0
PEP,2015-02-12,2014-06-13,131600000000.0
PEP,2016-02-11,2015-06-12,137900000000.0
PEP,2017-02-15,2016-06-10,148700000000.0
PEP,2018-02-13,2016-06-10,166500000000.0
PEP,2019-02-15,2018-06-15,152000000000.0
PEP,2020-02-13,2019-06-14,185400000000.0
PEP,2021-02-11,2020-06-12,178500000000.0
PEP,2022-02-10,2021-06-11,203900000000.0
PEP,2023-02-09,2021-06-11,224200000000.0
PEP,2024-02-09,2023-06-16,255900000000.0
PEP,2025-02-04,2024-06-14,224800000000.0
PEP,2026-02-03,2025-06-13,179000000000.0
COST,2010-10-18,2010-02-14,25866245752.0
COST,2011-10-14,2011-02-11,32525998477.0
COST,2012-10-19,2012-02-10,36229506282.0
COST,2013-10-16,2013-02-17,44218428626.0
COST,2014-10-15,2014-02-16,50658922369.0
COST,2015-10-14,2015-02-15,64213793359.0
COST,2016-10-12,2016-02-14,64810523114.0
COST,2017-10-18,2017-02-12,74963307820.0
COST,2018-10-26,2018-02-18,83850253577.0
COST,2019-10-11,2019-02-17,95005703244.0
COST,2020-10-07,2020-02-16,140245657604.0
COST,2021-10-06,2021-02-14,155810963274.0
COST,2022-10-05,2022-02-13,225434477639.0
COST,2023-10-11,2023-02-12,221351787419.0
COST,2024-10-09,2024-02-18,320635374592.0
COST,2025-10-08,2025-02-16,475200000000.0
SBUX,2009-08-05,2008-03-28,12100000000.0
SBUX,2009-11-20,2009-03-27,8400000000.0
SBUX,2010-02-02,2009-03-27,8400000000.0
SBUX,2010-11-22,2010-03-26,16000000000.0
SBUX,2011-11-18,2011-04-01,27000000000.0
SBUX,2012-11-16,2012-03-30,41000000000.0
SBUX,2013-01-29,2012-03-30,41000000000.0
SBUX,2013-11-18,2013-03-29,41000000000.0
SBUX,2014-11-14,2014-03-28,54000000000.0
SBUX,2015-11-12,2015-03-27,69000000000.0
SBUX,2016-11-18,2016-03-25,83000000000.0
SBUX,2017-11-17,2017-04-02,82000000000.0
SBUX,2018-11-16,2018-04-01,78000000000.0
SBUX,2019-11-15,2019-03-31,89800000000.0
SBUX,2020-11-12,2020-03-29,77400000000.0
SBUX,2021-11-19,2021-03-28,129300000000.0
SBUX,2022-11-18,2022-04-03,104800000000.0
SBUX,2023-11-17,2023-04-02,117100000000.0
SBUX,2024-11-20,2024-03-31,103400000000.0
SBUX,2025-11-14,2025-03-30,111000000000.0
GILD,2009-08-05,2008-06-30,45855192117.0
GILD,2010-03-01,2009-06-30,39885530020.0
GILD,2011-02-28,2010-06-30,25450411375.0
GILD,2012-02-23,2011-06-30,29933970092.0
GILD,2013-02-27,2012-06-29,32606069397.0
GILD,2014-02-25,2013-06-28,60272481253.0
GILD,2015-02-25,2014-06-30,99821731329.0
GILD,2016-02-24,2015-06-30,140034139655.0
GILD,2017-02-27,2016-06-30,103455508531.0
GILD,2018-02-27,2017-06-30,80416471495.0
GILD,2019-02-26,2018-06-29,79506595778.0
GILD,2020-02-25,2019-06-28,66400000000.0
GILD,2021-02-25,2020-06-30,69900000000.0
GILD,2022-02-23,2021-06-30,62600000000.0
GILD,2023-02-22,2022-06-30,55900000000.0
GILD,2024-02-23,2023-06-30,67000000000.0
GILD,2025-02-28,2024-06-28,60000000000.0
GILD,2026-02-24,2025-06-30,103200000000.0
AMGN,2009-08-10,2008-06-30,49808027303.0
AMGN,2010-03-01,2009-06-30,53667437634.0
AMGN,2010-08-09,2009-06-30,53667437634.0
AMGN,2010-11-08,2009-06-30,53667437634.0
AMGN,2011-02-25,2010-06-30,50355022164.0
AMGN,2011-05-10,2010-06-30,50355022164.0
AMGN,2011-08-08,2010-06-30,50355022164.0
AMGN,2011-11-04,2010-06-30,50355022164.0
AMGN,2012-02-29,2011-06-30,53861879805.0
AMGN,2013-02-27,2012-06-30,56028159915.0
AMGN,2014-02-24,2013-06-30,74222900950.0
AMGN,2015-02-19,2014-06-30,89797013692.0
AMGN,2016-02-16,2015-06-30,102117764803.0
AMGN,2017-02-14,2016-06-30,101183706509.0
AMGN,2018-02-13,2017-06-30,125649811435.0
AMGN,2019-02-13,2018-06-30,119629312769.0
AMGN,2020-02-12,2019-06-30,110809019075.0
AMGN,2021-02-09,2020-06-30,138056968288.0
AMGN,2022-02-16,2021-06-30,137531019585.0
AMGN,2023-02-09,2022-06-30,129940091621.0
AMGN,2024-02-14,2023-06-30,118556278405.0
AMGN,2025-02-14,2024-06-30,167600000000.0
AMGN,2026-02-13,2025-06-30,150100000000.0
BKNG,2011-02-25,2010-06-30,8400000000.0
BKNG,2012-02-27,2011-06-30,25200000000.0
BKNG,2013-02-27,2012-06-30,32800000000.0
BKNG,2013-05-09,2012-06-30,32800000000.0
BKNG,2013-08-08,2012-06-30,32800000000.0
BKNG,2013-11-07,2012-09-30,32800000000.0
BKNG,2014-02-20,2013-06-30,42300000000.0
BKNG,2014-05-08,2013-06-30,32800000000.0
BKNG,2014-08-11,2013-06-30,32800000000.0
BKNG,2014-11-04,2013-06-30,32800000000.0
BKNG,2015-02-19,2014-06-30,62800000000.0
BKNG,2016-02-17,2015-06-30,58600000000.0
BKNG,2017-02-27,2016-06-30,61600000000.0
BKNG,2018-02-27,2017-06-30,91500000000.0
BKNG,2019-02-27,2018-06-30,96600000000.0
BKNG,2020-02-26,2019-06-30,80000000000.0
BKNG,2021-02-24,2020-06-30,65000000000.0
BKNG,2022-02-23,2021-06-30,89700000000.0
BKNG,2023-02-23,2022-06-30,70100000000.0
BKNG,2024-02-22,2023-06-30,97200000000.0
BKNG,2025-02-20,2024-06-30,133100000000.0
BKNG,2026-02-18,2025-06-30,187400000000.0
ISRG,2009-07-23,2008-06-30,10344393000.0
ISRG,2010-01-29,2009-06-30,6208203975.0
ISRG,2011-02-01,2010-06-30,11157929000.0
ISRG,2012-02-06,2011-06-30,14370737496.0
ISRG,2013-02-04,2012-06-30,21873011510.0
ISRG,2014-02-03,2013-06-30,19977428381.0
ISRG,2015-02-06,2014-06-30,14639055551.0
ISRG,2016-02-02,2015-06-30,17737874460.0
ISRG,2017-02-06,2016-06-30,25194062637.0
ISRG,2018-02-02,2017-06-30,34385417181.0
ISRG,2019-02-04,2018-06-30,53900000000.0
ISRG,2020-02-07,2019-06-30,59900000000.0
ISRG,2021-02-10,2020-06-30,66400000000.0
ISRG,2022-02-03,2021-06-30,108700000000.0
ISRG,2023-02-10,2022-06-30,71400000000.0
ISRG,2024-01-31,2023-06-30,119600000000.0
ISRG,2025-01-31,2024-06-30,157300000000.0
ISRG,2026-02-03,2025-06-30,193900000000.0
LRCX,2011-08-19,2010-12-26,5116431866.0
LRCX,2012-08-22,2011-12-25,3659876227.0
LRCX,2013-08-27,2012-12-23,4776853218.0
LRCX,2014-08-26,2013-12-29,6184276734.0
LRCX,2015-08-13,2014-12-28,8838403605.0
LRCX,2016-08-17,2015-12-27,8074598541.0
LRCX,2017-08-15,2016-12-25,12210431182.0
LRCX,2018-08-14,2017-12-24,24908278746.0
LRCX,2019-08-20,2018-12-23,15363329674.0
LRCX,2020-08-18,2019-12-29,29587424632.0
LRCX,2021-08-17,2020-12-27,53314078151.0
LRCX,2022-08-24,2021-12-26,77032123135.0
LRCX,2023-08-15,2022-12-25,46244310674.0
LRCX,2024-08-29,2023-12-24,83831499278.0
LRCX,2025-08-11,2024-12-29,76867228862.0
MRVL,2022-03-10,2021-07-31,49623085335.0
MRVL,2023-03-09,2022-07-29,47253245480.0
MRVL,2024-03-13,2023-07-28,55800186642.0
MRVL,2025-03-12,2024-08-02,51191375327.0
MRVL,2026-03-11,2025-08-01,64119895583.0
KLAC,2011-08-05,2010-12-31,6400000000.0
KLAC,2012-08-06,2011-12-31,8000000000.0
KLAC,2013-08-08,2012-12-31,7900000000.0
KLAC,2014-08-08,2013-12-31,10700000000.0
KLAC,2015-08-07,2014-12-31,11450000000.0
KLAC,2016-08-05,2015-12-31,10780000000.0
KLAC,2017-08-04,2016-12-31,11050000000.0
KLAC,2018-08-06,2017-12-31,16430000000.0
KLAC,2019-08-16,2018-12-31,13530000000.0
KLAC,2020-08-10,2019-12-31,27900000000.0
KLAC,2021-08-06,2020-12-31,39860000000.0
KLAC,2022-08-05,2021-12-31,64800000000.0
KLAC,2023-08-04,2022-12-31,52140000000.0
KLAC,2024-08-05,2023-12-31,78540000000.0
KLAC,2025-08-08,2024-12-31,83700000000.0
NXPI,2020-02-27,2019-06-28,27200000000.0
NXPI,2021-02-25,2020-06-26,30200000000.0
NXPI,2022-02-24,2021-07-02,54700000000.0
NXPI,2023-03-01,2022-07-01,38400000000.0
NXPI,2024-02-22,2023-06-30,52900000000.0
NXPI,2025-02-20,2023-06-30,67700000000.0
NXPI,2026-02-19,2025-06-27,54700000000.0
ADI,2009-08-18,2008-05-03,6911000000.0
ADI,2009-11-24,2009-05-02,5181000000.0
ADI,2010-02-17,2009-05-02,5181000000.0
ADI,2010-05-18,2009-05-02,5181000000.0
ADI,2010-08-17,2009-05-02,5181000000.0
ADI,2010-11-22,2010-05-01,7314000000.0
ADI,2011-02-15,2010-05-01,7314000000.0
ADI,2011-05-17,2010-05-01,7314000000.0
ADI,2011-08-16,2010-05-01,7314000000.0
ADI,2011-11-22,2011-04-30,9291000000.0
ADI,2012-11-27,2012-05-05,9664000.0
ADI,2013-11-26,2013-05-04,12124000000.0
ADI,2014-12-10,2014-05-04,12606000000.0
ADI,2015-11-24,2015-05-03,16532000000.0
ADI,2016-11-22,2016-05-01,13575000000.0
ADI,2017-11-22,2017-04-30,21972000000.0
ADI,2018-11-27,2018-05-06,26590000000.0
ADI,2019-11-26,2019-05-03,31890000000.0
ADI,2020-11-24,2020-05-01,29650000000.0
ADI,2021-12-03,2021-04-30,42211000000.0
ADI,2022-11-22,2022-04-30,62631000000.0
ADI,2023-11-21,2023-04-29,74584000000.0
ADI,2024-11-26,2024-05-04,76694000000.0
ADI,2025-11-25,2025-05-03,81121000000.0
ON,2011-02-24,2010-07-02,2297958473.0
ON,2012-02-22,2011-07-01,3522004475.0
ON,2013-02-26,2012-06-30,2337923528.0
ON,2014-02-21,2013-06-28,3590800724.0
ON,2015-02-27,2014-06-27,3982333746.0
ON,2016-02-24,2015-07-03,4783105387.0
ON,2017-02-28,2016-07-03,3601740218.0
ON,2018-02-21,2017-07-03,5851728750.0
ON,2019-02-20,2018-06-29,9369083794.0
ON,2020-02-19,2019-06-28,8172927739.0
ON,2021-02-16,2020-07-03,7783044394.0
ON,2022-02-14,2021-07-02,16502024002.0
ON,2023-02-06,2022-07-01,20262351285.0
ON,2024-02-05,2023-06-30,40710818329.0
ON,2025-02-10,2024-06-28,29264164935.0
ON,2026-02-09,2025-07-04,23198209519.0
CDNS,2010-08-04,2009-07-04,1539777972.0
CDNS,2010-10-29,2009-07-04,1539777972.0
CDNS,2011-02-24,2010-07-03,1544216296.0
CDNS,2011-04-29,2010-07-03,1544216296.0
CDNS,2011-07-29,2010-07-03,1544216296.0
CDNS,2011-10-28,2010-07-03,1544216296.0
CDNS,2012-02-24,2011-07-02,2874022123.0
CDNS,2013-02-21,2012-06-30,3021086192.0
CDNS,2014-02-20,2013-06-29,4111472399.0
CDNS,2015-02-20,2014-06-28,5029294000.0
