sess,yr,series,az,agree,impulse,r5,mae5,r15,mae15,r30,mae30,r60,mae60,r_open,mae_open
2022-04-01,2022,US_UNEMP_RATE,0.4742069502722874,1.0,0.0518359975921312,0.12380171649406524,0.006691984675355478,0.16562662071504253,0.006691984675355478,0.26935238318304133,0.006691984675355478,0.23589245980626394,0.006691984675355478,0.23589245980626394,0.006691984675355478
2022-04-12,2022,US_CORE_CPI_MOM,0.8691172572598894,1.0,0.8313010662726716,0.14123296377375194,0.1981178801386818,0.49608078525527066,0.1981178801386818,0.7079302309158875,0.1981178801386818,0.019419532518893945,0.1981178801386818,0.019419532518893945,0.1981178801386818
2022-04-13,2022,US_CORE_PPI_MOM,1.6346451533369355,1.0,0.14497163209421515,-0.06990249498135537,0.17744479495267473,-0.22763120160596007,0.3082879265844607,-0.05556352165185796,0.3082879265844607,0.06452537998279384,0.3082879265844607,0.06452537998279384,0.3082879265844607
2022-05-06,2022,US_UNEMP_RATE,0.4754233873720096,1.0,0.5625109865426969,0.1301299357119312,0.5330573671261662,-0.56907568900888,0.5801914436413425,-1.0099636801522704,1.222844785215771,-1.0119059179987233,1.2865658135463143,-1.0119059179987233,1.2865658135463143
2022-05-11,2022,US_CORE_CPI_MOM,0.8043996665398438,1.0,1.2222289120356389,0.2255272461294644,0.36571985858833145,0.6278190905766201,0.36571985858833145,1.2251615262708793,0.36571985858833145,0.5851517737413103,0.36571985858833145,0.5851517737413103,0.36571985858833145
2022-05-12,2022,US_CORE_PPI_MOM,0.6538580613347743,1.0,0.15054812238926019,-0.13761856368563752,0.38895619460561637,-0.12703252032519874,0.38895619460561637,-0.20748644986450238,0.38895619460561637,0.3514566395663943,0.38895619460561637,0.3514566395663943,0.38895619460561637
2022-06-03,2022,US_UNEMP_RATE,0.5404029961335259,1.0,0.24099690426739873,-0.2951466937706426,0.3826080131852594,-0.4886534665076936,0.793963513140783,-0.5668380211489188,0.8376695048880389,-1.071128398584864,1.174679138568635,-1.071128398584864,1.174679138568635
2022-06-10,2022,US_CPI_MOM,2.1375759095832763,1.0,1.5755065578430205,0.2062791369280892,0.5136350509509446,0.026816287800657257,0.5136350509509446,0.3939931515326567,0.5136350509509446,0.6105862453071542,0.5136350509509446,0.6105862453071542,0.5136350509509446
2022-06-14,2022,US_CORE_PPI_MOM,0.3138589853526057,1.0,0.180116856301904,0.2433783546746282,0.004385387887562153,0.34862304858795934,0.004385387887562153,0.27845991931239045,0.004385387887562153,0.17540782318892223,0.004385387887562153,0.17540782318892223,0.004385387887562153
2022-06-30,2022,US_CORE_PCE_MOM,1.2610953357233272,1.0,0.49964156148849526,-0.01945399131054737,0.23182251494930917,0.036746428031042555,0.26223397338649423,-0.36746428031040335,0.5149263459783615,0.0151308821304319,0.5149263459783615,0.0151308821304319,0.5149263459783615
2022-07-08,2022,US_NFP,0.4392310639550297,1.0,0.4050423641248191,0.06847325393202208,0.05394862431007397,0.7283064281860763,0.05394862431007397,0.22409428559572175,0.05394862431007397,0.28841764535004755,0.05394862431007397,0.28841764535004755,0.05394862431007397
2022-07-13,2022,US_CPI_MOM,1.3470089048297798,1.0,2.6519916142557665,0.7192850220738678,0.2239689889092178,0.9454075589533706,0.2239689889092178,0.4479379778184578,0.2239689889092178,0.06029934316786889,0.2239689889092178,0.06029934316786889,0.2239689889092178
2022-07-14,2022,US_PPI_MOM,1.222431847851449,0.0,0.06871523975175986,0.21673354649041077,0.10525863550439052,0.05793867084398219,0.10525863550439052,0.02789639707303504,0.10525863550439052,0.24677582026135791,0.2085842078100919,0.24677582026135791,0.2085842078100919
2022-07-29,2022,US_CORE_PCE_MOM,1.2610953357233272,1.0,0.19452603731009432,-0.005847155358917888,0.1773637125538352,0.046777242871343105,0.1773637125538352,0.015592414290444001,0.1773637125538352,0.24752957686086097,0.1773637125538352,0.24752957686086097,0.1773637125538352
2022-08-05,2022,US_NFP,1.0932780012733567,1.0,0.9967026378896904,0.013246536976763146,0.1173264703655974,0.39361138445235255,0.1173264703655974,0.4939065929906894,0.1173264703655974,0.4352433578078907,0.1173264703655974,0.4352433578078907,0.1173264703655974
2022-08-10,2022,US_CPI_MOM,1.612757024996288,1.0,1.3061660969694744,0.47878456579517614,0.030168756481563364,0.6823622551884068,0.030168756481563364,0.5353339239599686,0.030168756481563364,0.640892725867559,0.030168756481563364,0.640892725867559,0.030168756481563364
2022-08-11,2022,US_PPI_MOM,2.9564405186880625,1.0,0.07048262046964737,-0.22427342823250207,0.258301897311064,-0.011120996441282838,0.258301897311064,0.053751482799535566,0.258301897311064,0.0648724792408073,0.258301897311064,0.0648724792408073,0.258301897311064
2022-08-26,2022,US_CORE_PCE_MOM,1.7320508075688763,1.0,0.3930922621887323,-0.22618843967991964,0.2400685910260103,-0.23759289882343548,0.35670685182358497,0.08173195719525239,0.35670685182358497,-0.11974682100701628,0.35670685182358497,-0.11974682100701628,0.35670685182358497
2022-09-02,2022,US_UNEMP_RATE,1.4062460986213174,1.0,0.736550826076332,0.042415673601303716,0.29169874002350493,-0.4423348818420547,0.4606050768013237,-0.20197939810139287,0.6484926104368682,0.040395879620280795,0.6484926104368682,0.040395879620280795,0.6484926104368682
2022-09-13,2022,US_CORE_CPI_MOM,1.942016624910449,1.0,2.24393074765451,0.5817750074206041,0.051449490452171176,0.6728010289898112,0.051449490452171176,1.4682893044424605,0.051449490452171176,1.3040467003067158,0.051449490452171176,1.3040467003067158,0.051449490452171176
2022-09-14,2022,US_CORE_PPI_MOM,0.3715848675706955,1.0,0.04942746519482899,-0.04945190801945998,0.11538778537871774,-0.24725954009725548,0.31731640979146825,-0.15865820489573412,0.3729498063133496,-0.2163520975851041,0.3729498063133496,-0.2163520975851041,0.3729498063133496
2022-09-30,2022,US_CORE_PCE_MOM,1.4957567100278102,1.0,0.8411918360118675,-0.2411037192481036,0.6942894137607736,-0.5447158101531402,0.7880519712461398,-0.41523418314952654,0.7880519712461398,-0.03571906951824744,0.7880519712461398,-0.03571906951824744,0.7880519712461398
2022-10-07,2022,US_UNEMP_RATE,1.2335371226084146,1.0,1.1694386694386716,-0.03286878779911184,0.4031904636690342,0.4755017968270714,0.4031904636690342,0.5412393724252729,0.4031904636690342,0.7165395740205138,0.4031904636690342,0.7165395740205138,0.4031904636690342
2022-10-12,2022,US_PPI_MOM,0.6334159813827913,1.0,0.8104467730520759,-0.04142883446878187,0.24396980298286852,-0.3751611121340481,0.478733198306025,-0.14039771681089164,0.478733198306025,0.12888970723623494,0.478733198306025,0.12888970723623494,0.478733198306025
2022-10-13,2022,US_CPI_MOM,1.4250506063888508,1.0,3.3585164835164827,-0.06396133892403455,0.22504915547343352,0.3600786487574892,0.3292824485348067,-0.004737876957339182,0.3292824485348067,0.17056357046407733,0.3292824485348067,0.17056357046407733,0.3292824485348067
2022-11-04,2022,US_UNEMP_RATE,0.6633249580710854,0.0,0.7064764199017914,-1.1640655982457337,1.4113420579933367,-1.0217649940513773,1.4113420579933367,-1.7052744535423603,1.8032519187253682,-2.134509062915524,2.3048032285907682,-2.134509062915524,2.3048032285907682
2022-11-10,2022,US_CPI_MOM,1.4062460986213052,1.0,2.6292201971915174,0.6785354383607611,0.060500134444740894,0.9405441719852137,0.060500134444740894,1.2115104691523992,0.060500134444740894,1.9729033702832854,0.060500134444740894,1.9729033702832854,0.060500134444740894
2022-11-15,2022,US_CORE_PPI_MOM,1.181526428122759,1.0,0.8362500785949356,0.623545061523112,0.05615056670480456,0.21616228799468118,0.05615056670480456,0.2972231459926755,0.05615056670480456,-0.04364815430661917,0.11653071416679595,-0.04364815430661917,0.11653071416679595
2022-12-01,2022,US_CORE_PCE_MOM,1.4957567100278102,1.0,0.13049422097022312,0.21720692579798584,0.026899519947032324,0.12618688070167305,0.026899519947032324,-0.1406673424215521,0.17199220854573483,-0.399247015990567,0.4467439637617865,-0.399247015990567,0.4467439637617865
