event_id,event_type,series,release_date_et,release_ts_et,release_ts_utc,ts_source,unit,actual,consensus,previous,surprise_abs,surprise_dir,source_actual,source_consensus,collected_at,notes
129bb803d7e2,macro_release,US_CPI_MOM,2021-04-13,2021-04-13T08:30:00-04:00,2021-04-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.5,0.4,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
ceaf49338bb2,macro_release,US_CPI_MOM,2021-05-12,2021-05-12T08:30:00-04:00,2021-05-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.8,0.2,0.6,0.6,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
4b8fcc640368,macro_release,US_CPI_MOM,2021-06-10,2021-06-10T08:30:00-04:00,2021-06-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.4,0.8,0.2,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
6b11bd31b88e,macro_release,US_CPI_MOM,2021-07-13,2021-07-13T08:30:00-04:00,2021-07-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.9,0.5,0.6,0.4,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
4b9201e8d134,macro_release,US_CPI_MOM,2021-08-11,2021-08-11T08:30:00-04:00,2021-08-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.5,0.5,0.9,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
a281014c0654,macro_release,US_CPI_MOM,2021-09-14,2021-09-14T08:30:00-04:00,2021-09-14T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.4,0.5,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
6022cb3b00dd,macro_release,US_CPI_MOM,2021-10-13,2021-10-13T08:30:00-04:00,2021-10-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.3,0.3,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
4fb5031c05ea,macro_release,US_CPI_MOM,2021-11-10,2021-11-10T08:30:00-05:00,2021-11-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.9,0.6,0.4,0.3,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
a778469a1ba1,macro_release,US_CPI_MOM,2021-12-10,2021-12-10T08:30:00-05:00,2021-12-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.8,0.7,0.9,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
ac9f62ae55c3,macro_release,US_CPI_MOM,2022-01-12,2022-01-12T08:30:00-05:00,2022-01-12T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.5,0.4,0.8,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
38fcb9eb183b,macro_release,US_CPI_MOM,2022-02-10,2022-02-10T08:30:00-05:00,2022-02-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.4,0.5,0.2,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
e239a640aed5,macro_release,US_CPI_MOM,2022-03-10,2022-03-10T08:30:00-05:00,2022-03-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.8,0.8,0.6,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
c866a9328bef,macro_release,US_CPI_MOM,2022-04-12,2022-04-12T08:30:00-04:00,2022-04-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,1.2,1.2,0.8,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
c1211e7722ca,macro_release,US_CPI_MOM,2022-05-11,2022-05-11T08:30:00-04:00,2022-05-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.2,1.2,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
fab071b6d5e4,macro_release,US_CPI_MOM,2022-06-10,2022-06-10T08:30:00-04:00,2022-06-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,1.0,0.7,0.3,0.3,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
d89d6f0bca81,macro_release,US_CPI_MOM,2022-07-13,2022-07-13T08:30:00-04:00,2022-07-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,1.3,1.1,1.0,0.2,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
3dfa623ece57,macro_release,US_CPI_MOM,2022-08-10,2022-08-10T08:30:00-04:00,2022-08-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.0,0.2,1.3,-0.2,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
a864dbf07b0e,macro_release,US_CPI_MOM,2022-09-13,2022-09-13T08:30:00-04:00,2022-09-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.1,-0.1,0.0,0.2,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
815319dea7d9,macro_release,US_CPI_MOM,2022-10-13,2022-10-13T08:30:00-04:00,2022-10-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.2,0.1,0.2,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
defc9b47a9e4,macro_release,US_CPI_MOM,2022-11-10,2022-11-10T08:30:00-05:00,2022-11-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.6,0.4,-0.2,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
16ef8910761e,macro_release,US_CPI_MOM,2022-12-13,2022-12-13T08:30:00-05:00,2022-12-13T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.1,0.3,0.4,-0.2,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
45db346e4e39,macro_release,US_CPI_MOM,2023-01-12,2023-01-12T08:30:00-05:00,2023-01-12T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,-0.1,-0.1,0.1,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
6031f3309540,macro_release,US_CPI_MOM,2023-02-14,2023-02-14T08:30:00-05:00,2023-02-14T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.5,0.5,-0.1,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
74371bd7511a,macro_release,US_CPI_MOM,2023-03-14,2023-03-14T08:30:00-04:00,2023-03-14T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.4,0.5,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
9f4e2a8720ff,macro_release,US_CPI_MOM,2023-04-12,2023-04-12T08:30:00-04:00,2023-04-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.1,0.2,0.4,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
066388d04325,macro_release,US_CPI_MOM,2023-05-10,2023-05-10T08:30:00-04:00,2023-05-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.4,0.1,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
ea0d68c8a6da,macro_release,US_CPI_MOM,2023-06-13,2023-06-13T08:30:00-04:00,2023-06-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.1,0.2,0.4,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
2ace2272c3d5,macro_release,US_CPI_MOM,2023-07-12,2023-07-12T08:30:00-04:00,2023-07-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.3,0.1,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
4bb2ba0e717e,macro_release,US_CPI_MOM,2023-08-10,2023-08-10T08:30:00-04:00,2023-08-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.2,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
b3fe11c7a437,macro_release,US_CPI_MOM,2023-09-13,2023-09-13T08:30:00-04:00,2023-09-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.6,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
840b81db6613,macro_release,US_CPI_MOM,2023-10-12,2023-10-12T08:30:00-04:00,2023-10-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.3,0.6,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
11f687892bce,macro_release,US_CPI_MOM,2023-11-14,2023-11-14T08:30:00-05:00,2023-11-14T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.0,0.1,0.4,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
08c9cbccd1c7,macro_release,US_CPI_MOM,2023-12-12,2023-12-12T08:30:00-05:00,2023-12-12T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.1,0.0,0.0,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
1b61a1faeebc,macro_release,US_CPI_MOM,2024-01-11,2024-01-11T08:30:00-05:00,2024-01-11T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.2,0.1,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
7c1a7a232ac0,macro_release,US_CPI_MOM,2024-02-13,2024-02-13T08:30:00-05:00,2024-02-13T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.2,0.3,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
3eb2666fada3,macro_release,US_CPI_MOM,2024-03-12,2024-03-12T08:30:00-04:00,2024-03-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.4,0.3,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
30e6307ba213,macro_release,US_CPI_MOM,2024-04-10,2024-04-10T08:30:00-04:00,2024-04-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.3,0.4,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
c549ae603c03,macro_release,US_CPI_MOM,2024-05-15,2024-05-15T08:30:00-04:00,2024-05-15T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.4,0.4,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
6fd6ae3819fd,macro_release,US_CPI_MOM,2024-06-12,2024-06-12T08:30:00-04:00,2024-06-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.0,0.1,0.3,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
f130e7c984d3,macro_release,US_CPI_MOM,2024-07-11,2024-07-11T08:30:00-04:00,2024-07-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,-0.1,0.1,0.0,-0.2,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
2a2195154efb,macro_release,US_CPI_MOM,2024-08-14,2024-08-14T08:30:00-04:00,2024-08-14T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.2,-0.1,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
f1d1e33001bd,macro_release,US_CPI_MOM,2024-09-11,2024-09-11T08:30:00-04:00,2024-09-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.2,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
adf461c59cdb,macro_release,US_CPI_MOM,2024-10-10,2024-10-10T08:30:00-04:00,2024-10-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.1,0.2,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
d5d5dca80dd0,macro_release,US_CPI_MOM,2024-11-13,2024-11-13T08:30:00-05:00,2024-11-13T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.2,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
ac7e2b105503,macro_release,US_CPI_MOM,2024-12-11,2024-12-11T08:30:00-05:00,2024-12-11T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.3,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
af5e4ae16391,macro_release,US_CPI_MOM,2025-01-15,2025-01-15T08:30:00-05:00,2025-01-15T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.4,0.3,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
eb1112da6dea,macro_release,US_CPI_MOM,2025-02-12,2025-02-12T08:30:00-05:00,2025-02-12T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.5,0.3,0.4,0.2,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
7c843cedf754,macro_release,US_CPI_MOM,2025-03-12,2025-03-12T08:30:00-04:00,2025-03-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.3,0.5,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
9c2538139d95,macro_release,US_CPI_MOM,2025-04-10,2025-04-10T08:30:00-04:00,2025-04-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,-0.1,0.1,0.2,-0.2,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
b25a0757bf35,macro_release,US_CPI_MOM,2025-05-13,2025-05-13T08:30:00-04:00,2025-05-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.3,-0.1,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
bcea8b21c20c,macro_release,US_CPI_MOM,2025-06-11,2025-06-11T08:30:00-04:00,2025-06-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.1,0.2,0.2,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
82ddc84f4264,macro_release,US_CPI_MOM,2025-07-15,2025-07-15T08:30:00-04:00,2025-07-15T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.3,0.1,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
0e673fc17111,macro_release,US_CPI_MOM,2025-08-12,2025-08-12T08:30:00-04:00,2025-08-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.2,0.3,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
72200185675e,macro_release,US_CPI_MOM,2025-09-11,2025-09-11T08:30:00-04:00,2025-09-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.3,0.2,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
0e756d0f0c6a,macro_release,US_CPI_MOM,2025-10-24,2025-10-24T08:30:00-04:00,2025-10-24T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.4,0.4,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
f99f2f74b10f,macro_release,US_CPI_MOM,2026-01-13,2026-01-13T08:30:00-05:00,2026-01-13T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.3,0.3,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
15dd00ed85bd,macro_release,US_CPI_MOM,2026-02-13,2026-02-13T08:30:00-05:00,2026-02-13T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.3,0.3,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
3131aba05016,macro_release,US_CPI_MOM,2026-03-11,2026-03-11T08:30:00-04:00,2026-03-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.3,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
c9c87b79cd4e,macro_release,US_CPI_MOM,2026-04-10,2026-04-10T08:30:00-04:00,2026-04-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.9,1.0,0.3,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
4bf6095ade60,macro_release,US_CPI_MOM,2026-05-12,2026-05-12T08:30:00-04:00,2026-05-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.6,0.9,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
d28a0702e9da,macro_release,US_CPI_MOM,2026-06-10,2026-06-10T08:30:00-04:00,2026-06-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.5,0.5,0.6,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
064cd38dcfc7,macro_release,US_CPI_MOM,2026-07-14,2026-07-14T08:30:00-04:00,2026-07-14T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,-0.4,-0.1,0.5,-0.3,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
