sess,rk,yr,imm_r,imm_mae,pb0.1_fire,pb0.2_fire,pb0.3_fire,pb0.1_r,pb0.1_mae,pb0.2_r,pb0.2_mae,pb0.3_r,pb0.3_mae
2022-04-27,2,2022,-1.6,2.28408279800143,1,1,1,-1.6,2.0989389767191113,-1.6,2.0989389767191113,-1.6,2.0989389767191113
2022-04-28,6,2022,2.1723869694727505,1.1029693854062828,0,0,0,,,,,,
2022-04-29,1,2022,2.8399213967198245,1.526717557251911,1,0,0,4.031279744685612,0.2818163154849618,,,,
2022-05-19,10,2022,-1.6,1.661825017088181,1,1,1,-1.6,1.7622180451127845,-1.6,1.7622180451127845,-1.6,1.7622180451127845
2022-05-26,5,2022,3.129594622978371,0.45787352562614014,1,1,0,3.3162191734702473,0.27641212837339335,3.340138488413702,0.12644089941626913,,
2022-07-12,7,2022,0.8585677910818323,1.2226173691631148,1,1,0,0.7604162278299742,1.3228293381640555,0.7604162278299742,1.3228293381640555,,
2022-07-27,2,2022,2.6130101470199563,0.463738508682332,0,0,0,,,,,,
2022-07-28,6,2022,1.2558869701726927,1.058317937183717,1,1,1,1.2578991296053443,1.0563097437545244,1.2538748907082065,1.0603261306129097,1.2538748907082065,1.0603261306129097
2022-07-29,1,2022,-0.7318825105317339,1.0424957776008936,1,1,1,-0.7025579319178687,1.0130807747544823,-0.7025579319178687,1.0130807747544823,-0.7025579319178687,1.0130807747544823
2022-08-18,10,2022,-0.2928257686676483,0.6393980391793397,0,0,0,,,,,,
2022-08-25,5,2022,-1.6,1.6901354039906558,0,0,0,,,,,,
2022-09-02,8,2022,-1.6,2.244554722700931,1,1,1,-1.6,2.200950976931537,-1.6,2.200950976931537,-1.6,2.2030273457777083
2022-10-12,7,2022,0.14512116465493774,1.1402377222887727,1,1,1,0.06915788745706086,1.2171788192443245,0.1979970070219883,1.0866812478415921,0.1979970070219883,1.0866812478415921
2022-10-26,2,2022,-1.6,1.802761770142447,0,0,0,,,,,,
2022-10-27,6,2022,1.6515366947391419,0.9515476320682392,1,1,1,1.6902455557256224,0.30612468020903005,1.6902455557256224,0.30612468020903005,1.6902455557256224,0.30612468020903005
2022-10-28,1,2022,3.734049697783748,0.9537154221659794,0,0,0,,,,,,
2022-11-17,5,2022,0.5350204878877274,0.44372730939894467,1,1,0,0.6594571670907601,0.31806615776082126,0.6257424062447003,0.06999830307143906,,
2022-12-09,8,2022,0.5628840287027925,0.9581918961887093,1,1,1,0.3552283149260482,0.9128291244160369,0.3552283149260482,0.9128291244160369,0.3552283149260482,0.9128291244160369
2024-01-25,8,2024,-0.18602405532439636,0.8335581715681384,1,1,0,-0.14904822064814027,0.7963433503201056,-0.14478353442157754,0.7920511000709674,,
2024-01-31,1,2024,1.2700094499012105,0.13458950201883368,0,0,0,,,,,,
2024-02-01,10,2024,0.9638902959693274,0.06372101779843486,0,0,0,,,,,,
2024-02-02,2,2024,0.7372159090909047,0.7700896052217132,1,0,0,0.7386468557792014,0.7686582119034613,,,,
2024-02-22,3,2024,2.0385371163605948,0.046673455532930674,0,0,0,,,,,,
2024-03-08,7,2024,-1.199375667460778,1.3712699514226268,1,0,0,-1.6,1.752949340735599,,,,
2024-04-24,8,2024,-0.05518451437627192,0.5735103673027986,0,0,0,,,,,,
2024-04-25,6,2024,-0.5350883468059342,0.7511266900350533,0,0,0,,,,,,
2024-04-26,1,2024,0.40523997804950973,0.5603271404921228,1,0,0,0.6303765336341804,0.3353473037793764,,,,
2024-05-01,5,2024,-1.6,1.7833137888625172,0,0,0,,,,,,
2024-05-02,10,2024,0.852905880336019,0.6485009705945899,0,0,0,,,,,,
2024-05-03,2,2024,1.5542141487081107,0.03668275064194759,0,0,0,,,,,,
2024-05-23,3,2024,0.7866808171928863,0.9458742371981854,0,0,0,,,,,,
2024-06-13,7,2024,-0.014034013345065599,0.4884615384615376,0,0,0,,,,,,
2024-07-24,4,2024,3.2116622777728754,0.027719329192232856,0,0,0,,,,,,
2024-07-31,1,2024,2.680710994075053,0.2137541563308254,0,0,0,,,,,,
2024-08-01,6,2024,-1.6,4.078279649676042,1,1,1,-1.6,3.883508009486847,-1.6,3.883508009486847,-1.6,3.883508009486847
2024-08-02,2,2024,-1.6,2.897624518988895,1,1,1,-1.6,3.0227214010850822,-1.6,3.0227214010850822,-1.6,3.0023251703085174
2024-08-29,3,2024,-1.6,2.4422596754057446,0,0,0,,,,,,
2024-09-06,7,2024,2.4263568964833726,0.2907399331298244,1,0,0,2.3992703045685237,0.3185807952622577,,,,
2024-10-24,8,2024,0.4559457794208299,0.1270867521314889,0,0,0,,,,,,
2024-10-30,4,2024,-0.9824840572372318,1.0894600226666107,1,0,0,-0.956216613811478,1.0626500444801845,,,,
